Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CONCLA901,0,1916,1776.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA001,0,1997,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA001,1,2225,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA001,2,2225,684.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA001,3,1997,684.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA002,0,2156,1046.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA002,1,2240,1046.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA002,2,2240,908.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA002,3,2156,908.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA003,0,2240,1046.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA003,1,2332,1046.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA003,2,2332,909.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA003,3,2240,908.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA004,0,2332,909.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA004,1,2432,909.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA004,2,2432,980.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA004,3,2331,980.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA005,0,2225,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA005,1,2409,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA005,2,2409,684.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA005,3,2225,684.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA006,0,2482,1099.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA006,1,2586,1099.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA006,2,2586,907.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA006,3,2481,907.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA007,0,2409,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA007,1,2607,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA007,2,2607,681.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA007,3,2409,684.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA008,0,2586,1099.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA008,1,2711.666656,1099.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA008,2,2647.666656,908.333374,Concord - 2001 Clayton,,,,,,,,,
CONCLA008,3,2586,907.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,0,2607,681.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,1,2812.666656,681.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,2,2848.666656,791.333374,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,3,2683.333405,846.333313,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,4,2683.333405,857.333313,Concord - 2001 Clayton,,,,,,,,,
CONCLA009,5,2607,857.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA010,0,2683.333405,846.333313,Concord - 2001 Clayton,,,,,,,,,
CONCLA010,1,2720,962.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA010,2,2887.333405,907.333313,Concord - 2001 Clayton,,,,,,,,,
CONCLA010,3,2848.666656,791.333374,Concord - 2001 Clayton,,,,,,,,,
CONCLA011,0,2775,1120.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA011,1,2940,1063.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA011,2,2887.333405,907.333313,Concord - 2001 Clayton,,,,,,,,,
CONCLA011,3,2720,962.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA012,0,2711.666656,1099.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA012,1,2749,1213.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA012,2,2627,1213.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA012,3,2627,1099.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA013,0,2775,1120.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA013,1,2848,1345.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA013,2,3013,1287.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA013,3,2940,1063.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA014,0,2749,1213.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA014,1,2793,1342.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA014,2,2627,1342.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA014,3,2627,1213.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA015,0,2627,1342.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA015,1,2627,1455.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA015,2,2828,1453.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA015,3,2793,1342.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA016,0,2848,1345.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA016,1,2913,1533.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA016,2,3079,1479.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA016,3,3013,1287.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA017,0,2913,1533.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA017,1,2968,1697.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA017,2,3132,1640.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA017,3,3079,1479.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA018,0,3132,1640.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA018,1,3208,1871.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA018,2,2894,1871.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA018,3,2894,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA018,4,2968,1697.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA019,0,2894,1871.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA019,1,2702,1871.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA019,2,2702,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA019,3,2894,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA020,0,2828,1453.0,Concord - 2001 Clayton,,,,,,,,,
CONCLA020,1,2893.5,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA020,2,2744.5,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA020,3,2744.5,1453.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA021,0,2744.5,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA021,1,2655.5,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA021,2,2655.5,1454.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA021,3,2744.5,1453.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA022,0,2702,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA022,1,2511.5,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA022,2,2510.5,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA022,3,2702,1871.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA023,0,2655.5,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA023,1,2479,1646.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA023,2,2479,1453.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA023,3,2655.5,1454.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA024,0,2511.5,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA024,1,2385,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA024,2,2385,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA024,3,2510.5,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA025,0,2385,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA025,1,2125.5,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA025,2,2125.5,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA025,3,2385,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA026,0,2344.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA026,1,2254.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA026,2,2254.5,1505.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA026,3,2344.5,1505.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA027,0,2254.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA027,1,2129.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA027,2,2129.5,1503.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA027,3,2254.5,1505.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA028,0,2129.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA028,1,2033.5,1647.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA028,2,2033.5,1504.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA028,3,2129.5,1503.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA029,0,2125.5,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA029,1,2034.5,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA029,2,2034.5,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA029,3,2125.5,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA030,0,1556,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA030,1,1652,1870.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA030,2,1652,1698.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA030,3,1557,1697.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA031,0,1651,1645.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA031,1,1550,1645.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA031,2,1550,1510.5,Concord - 2001 Clayton,,,,,,,,,
CONCLA031,3,1650,1510.5,Concord - 2001 Clayton,,,,,,,,,
