Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSCOP001,0,"1,260",2525.0,Copley add 4th Floor,1,,,,,,,,
BOSCOP001,1,"1,335",2525.0,Copley add 4th Floor,1,,,,,,,,
BOSCOP001,2,"1,335",2370.0,Copley add 4th Floor,1,,,,,,,,
BOSCOP001,3,"1,260",2370.0,Copley add 4th Floor,1,,,,,,,,
BOSCOP002,0,"1,335",2525.0,Copley add 4th Floor,2,,,,,,,,
BOSCOP002,1,"1,405",2525.0,Copley add 4th Floor,2,,,,,,,,
BOSCOP002,2,"1,405",2370.0,Copley add 4th Floor,2,,,,,,,,
BOSCOP002,3,"1,335",2370.0,Copley add 4th Floor,2,,,,,,,,
BOSCOP003,0,"1,405",2525.0,Copley add 4th Floor,3,,,,,,,,
BOSCOP003,1,"1,480",2525.0,Copley add 4th Floor,3,,,,,,,,
BOSCOP003,2,"1,480",2425.0,Copley add 4th Floor,3,,,,,,,,
BOSCOP003,3,"1,405",2425.0,Copley add 4th Floor,3,,,,,,,,
BOSCOP004,0,"1,480",2525.0,Copley add 4th Floor,4,,,,,,,,
BOSCOP004,1,"1,645",2525.0,Copley add 4th Floor,4,,,,,,,,
BOSCOP004,2,"1,645",2425.0,Copley add 4th Floor,4,,,,,,,,
BOSCOP004,3,"1,480",2425.0,Copley add 4th Floor,4,,,,,,,,
BOSCOP005,0,"1,645",2525.0,Copley add 4th Floor,5,,,,,,,,
BOSCOP005,1,"1,705",2525.0,Copley add 4th Floor,5,,,,,,,,
BOSCOP005,2,"1,705",2425.0,Copley add 4th Floor,5,,,,,,,,
BOSCOP005,3,"1,645",2425.0,Copley add 4th Floor,5,,,,,,,,
BOSCOP006,0,"1,705",2525.0,Copley add 4th Floor,6,,,,,,,,
BOSCOP006,1,"1,785",2525.0,Copley add 4th Floor,6,,,,,,,,
BOSCOP006,2,"1,785",2425.0,Copley add 4th Floor,6,,,,,,,,
BOSCOP006,3,"1,705",2425.0,Copley add 4th Floor,6,,,,,,,,
BOSCOP007,0,"1,785",2525.0,Copley add 4th Floor,7,,,,,,,,
BOSCOP007,1,"1,930",2525.0,Copley add 4th Floor,7,,,,,,,,
BOSCOP007,2,"1,930",2425.0,Copley add 4th Floor,7,,,,,,,,
BOSCOP007,3,"1,785",2425.0,Copley add 4th Floor,7,,,,,,,,
BOSCOP008,0,"1,930",2525.0,Copley add 4th Floor,8,,,,,,,,
BOSCOP008,1,"2,000",2525.0,Copley add 4th Floor,8,,,,,,,,
BOSCOP008,2,"2,000",2425.0,Copley add 4th Floor,8,,,,,,,,
BOSCOP008,3,"1,930",2425.0,Copley add 4th Floor,8,,,,,,,,
BOSCOP009,0,"2,000",2525.0,Copley add 4th Floor,9,,,,,,,,
BOSCOP009,1,"2,075",2525.0,Copley add 4th Floor,9,,,,,,,,
BOSCOP009,2,"2,075",2425.0,Copley add 4th Floor,9,,,,,,,,
BOSCOP009,3,"2,000",2425.0,Copley add 4th Floor,9,,,,,,,,
BOSCOP010,0,"2,075",2525.0,Copley add 4th Floor,10,,,,,,,,
BOSCOP010,1,"2,145",2525.0,Copley add 4th Floor,10,,,,,,,,
BOSCOP010,2,"2,145",2425.0,Copley add 4th Floor,10,,,,,,,,
BOSCOP010,3,"2,075",2425.0,Copley add 4th Floor,10,,,,,,,,
BOSCOP011,0,"2,145",2525.0,Copley add 4th Floor,11,,,,,,,,
BOSCOP011,1,"2,220",2525.0,Copley add 4th Floor,11,,,,,,,,
BOSCOP011,2,"2,220",2425.0,Copley add 4th Floor,11,,,,,,,,
BOSCOP011,3,"2,145",2425.0,Copley add 4th Floor,11,,,,,,,,
BOSCOP012,0,"2,220",2525.0,Copley add 4th Floor,12,,,,,,,,
BOSCOP012,1,"2,360",2525.0,Copley add 4th Floor,12,,,,,,,,
BOSCOP012,2,"2,360",2425.0,Copley add 4th Floor,12,,,,,,,,
BOSCOP012,3,"2,220",2425.0,Copley add 4th Floor,12,,,,,,,,
BOSCOP013,0,"2,360",2525.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,1,"2,455",2525.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,2,"2,525",2500.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,3,"2,575",2455.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,4,"2,605",2400.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,5,"2,445",2400.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,6,"2,445",2425.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP013,7,"2,360",2425.0,Copley add 4th Floor,13,,,,,,,,
BOSCOP014,0,"1,435",2325.0,Copley add 4th Floor,14,,,,,,,,
BOSCOP014,1,"1,560",2325.0,Copley add 4th Floor,14,,,,,,,,
BOSCOP014,2,"1,560",2260.0,Copley add 4th Floor,14,,,,,,,,
BOSCOP014,3,"1,435",2260.0,Copley add 4th Floor,14,,,,,,,,
BOSCOP015,0,"1,435",2325.0,Copley add 4th Floor,15,,,,,,,,
BOSCOP015,1,"1,435",2395.0,Copley add 4th Floor,15,,,,,,,,
BOSCOP015,2,"1,560",2395.0,Copley add 4th Floor,15,,,,,,,,
BOSCOP015,3,"1,560",2325.0,Copley add 4th Floor,15,,,,,,,,
BOSCOP016,0,"1,560",2395.0,Copley add 4th Floor,16,,,,,,,,
BOSCOP016,1,"1,645",2395.0,Copley add 4th Floor,16,,,,,,,,
BOSCOP016,2,"1,645",2260.0,Copley add 4th Floor,16,,,,,,,,
BOSCOP016,3,"1,560",2260.0,Copley add 4th Floor,16,,,,,,,,
BOSCOP017,0,"1,645",2395.0,Copley add 4th Floor,17,,,,,,,,
BOSCOP017,1,"1,730",2395.0,Copley add 4th Floor,17,,,,,,,,
BOSCOP017,2,"1,730",2260.0,Copley add 4th Floor,17,,,,,,,,
BOSCOP017,3,"1,645",2260.0,Copley add 4th Floor,17,,,,,,,,
BOSCOP018,0,"1,730",2395.0,Copley add 4th Floor,18,,,,,,,,
BOSCOP018,1,"1,795",2395.0,Copley add 4th Floor,18,,,,,,,,
BOSCOP018,2,"1,795",2260.0,Copley add 4th Floor,18,,,,,,,,
BOSCOP018,3,"1,730",2260.0,Copley add 4th Floor,18,,,,,,,,
BOSCOP019,0,"1,795",2395.0,Copley add 4th Floor,19,,,,,,,,
BOSCOP019,1,"1,870",2395.0,Copley add 4th Floor,19,,,,,,,,
BOSCOP019,2,"1,870",2260.0,Copley add 4th Floor,19,,,,,,,,
BOSCOP019,3,"1,795",2260.0,Copley add 4th Floor,19,,,,,,,,
BOSCOP020,0,"1,935",2395.0,Copley add 4th Floor,20,,,,,,,,
BOSCOP020,1,"2,005",2395.0,Copley add 4th Floor,20,,,,,,,,
BOSCOP020,2,"2,005",2350.0,Copley add 4th Floor,20,,,,,,,,
BOSCOP020,3,"1,935",2350.0,Copley add 4th Floor,20,,,,,,,,
BOSCOP021,0,"2,005",2350.0,Copley add 4th Floor,21,,,,,,,,
BOSCOP021,1,"2,005",2305.0,Copley add 4th Floor,21,,,,,,,,
BOSCOP021,2,"1,935",2305.0,Copley add 4th Floor,21,,,,,,,,
BOSCOP021,3,"1,935",2350.0,Copley add 4th Floor,21,,,,,,,,
BOSCOP022,0,"2,005",2395.0,Copley add 4th Floor,22,,,,,,,,
BOSCOP022,1,"2,075",2395.0,Copley add 4th Floor,22,,,,,,,,
BOSCOP022,2,"2,075",2305.0,Copley add 4th Floor,22,,,,,,,,
BOSCOP022,3,"2,005",2305.0,Copley add 4th Floor,22,,,,,,,,
BOSCOP023,0,"2,075",2395.0,Copley add 4th Floor,23,,,,,,,,
BOSCOP023,1,"2,145",2395.0,Copley add 4th Floor,23,,,,,,,,
BOSCOP023,2,"2,145",2305.0,Copley add 4th Floor,23,,,,,,,,
BOSCOP023,3,"2,075",2305.0,Copley add 4th Floor,23,,,,,,,,
BOSCOP024,0,"2,145",2395.0,Copley add 4th Floor,24,,,,,,,,
BOSCOP024,1,"2,245",2395.0,Copley add 4th Floor,24,,,,,,,,
BOSCOP024,2,"2,245",2305.0,Copley add 4th Floor,24,,,,,,,,
