Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SNABRI901,0,1312.2,1543.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI001,0,1686,971.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI001,1,1881,971.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI001,2,1881,845.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI001,3,1687,845.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI002,0,1881,845.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI002,1,1881,666.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI002,2,1653,666.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI002,3,1653,845.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI003,0,1881,666.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI003,1,1881,521.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI003,2,1653,521.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI003,3,1653,666.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,0,1881,521.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,1,1881,391.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,2,1736,391.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,3,1711,410.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,4,1672,410.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,5,1672,454.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,6,1652,473.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI004,7,1653,521.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI005,0,2043,785.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI005,1,1935,785.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI005,2,1935,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI005,3,2159,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI005,4,2159,785.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI006,0,1935,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI006,1,1937,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI006,2,2047,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI006,3,2047,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI007,0,2047,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI007,1,2158,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI007,2,2159,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI007,3,2047,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI008,0,2158,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI008,1,2300,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI008,2,2300,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI008,3,2159,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI009,0,2300,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI009,1,2407,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI009,2,2407,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI009,3,2300,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI010,0,2407,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI010,1,2481,470.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI010,2,2481,617.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI010,3,2407,616.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,0,2046,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,1,1899,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,2,1899,223.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,3,1917,199.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,4,1918,159.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,5,1959,159.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,6,1982,139.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI011,7,2042,139.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI012,0,2046,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI012,1,2167,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI012,2,2167,138.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI012,3,2042,139.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI013,0,2167,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI013,1,2355,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI013,2,2355,138.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI013,3,2167,138.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI014,0,2355,138.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI014,1,2420,138.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI014,2,2685,397.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI014,3,2685,419.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI014,4,2355,418.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI015,0,2685,419.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI015,1,2685,594.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI015,2,2532,594.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI015,3,2532,419.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI016,0,2532,594.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI016,1,2532,781.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI016,2,2685,781.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI016,3,2685,594.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI017,0,2532,781.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI017,1,2532,917.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI017,2,2686,917.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI017,3,2685,781.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI018,0,2532,917.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI018,1,2532,1029.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI018,2,2687,1029.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI018,3,2686,917.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI019,0,2536,1032.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI019,1,2536,1146.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI019,2,2687,1146.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI019,3,2687,1029.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI020,0,2536,1146.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI020,1,2536,1396.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI020,2,2686,1396.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI020,3,2687,1146.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,0,2536,1396.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,1,2536,1548.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,2,2654,1672.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,3,2666,1654.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,4,2666,1610.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,5,2686,1596.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI021,6,2686,1396.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,0,2536,1548.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,1,2373,1701.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,2,2508,1842.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,3,2636,1718.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,4,2636,1687.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI022,5,2654,1672.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI023,0,2508,1842.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI023,1,2431,1922.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI023,2,2295,1786.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI023,3,2373,1701.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI024,0,2431,1922.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI024,1,2431,2174.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI024,2,2170,1910.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
SNABRI024,3,2295,1786.0,Costa Mesa - 3090 Bristol Street,,,,,,,,,
