Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WASHST201,0,1674,1251.0,DC H Street Corridor,,,,,,,,,
WASHST201,1,1728,1251.0,DC H Street Corridor,,,,,,,,,
WASHST201,2,1728,1216.0,DC H Street Corridor,,,,,,,,,
WASHST201,3,1717,1216.0,DC H Street Corridor,,,,,,,,,
WASHST201,4,1718,1171.0,DC H Street Corridor,,,,,,,,,
WASHST201,5,1674,1171.0,DC H Street Corridor,,,,,,,,,
WASHST202,0,1674,1171.0,DC H Street Corridor,,,,,,,,,
WASHST202,1,1612,1171.0,DC H Street Corridor,,,,,,,,,
WASHST202,2,1612,1251.0,DC H Street Corridor,,,,,,,,,
WASHST202,3,1674,1251.0,DC H Street Corridor,,,,,,,,,
WASHST203,0,1612,1171.0,DC H Street Corridor,,,,,,,,,
WASHST203,1,1551,1171.0,DC H Street Corridor,,,,,,,,,
WASHST203,2,1552,1249.0,DC H Street Corridor,,,,,,,,,
WASHST203,3,1612,1251.0,DC H Street Corridor,,,,,,,,,
WASHST204,0,1551,1171.0,DC H Street Corridor,,,,,,,,,
WASHST204,1,1500,1171.0,DC H Street Corridor,,,,,,,,,
WASHST204,2,1500,1187.0,DC H Street Corridor,,,,,,,,,
WASHST204,3,1459,1187.0,DC H Street Corridor,,,,,,,,,
WASHST204,4,1459,1252.0,DC H Street Corridor,,,,,,,,,
WASHST204,5,1552,1249.0,DC H Street Corridor,,,,,,,,,
WASHST205,0,1612,1138.5,DC H Street Corridor,,,,,,,,,
WASHST205,1,1671,1138.5,DC H Street Corridor,,,,,,,,,
WASHST205,2,1671.25,1062.0,DC H Street Corridor,,,,,,,,,
WASHST205,3,1612.25,1063.0,DC H Street Corridor,,,,,,,,,
WASHST206,0,1612,1138.5,DC H Street Corridor,,,,,,,,,
WASHST206,1,1551,1138.5,DC H Street Corridor,,,,,,,,,
WASHST206,2,1551,1062.5,DC H Street Corridor,,,,,,,,,
WASHST206,3,1612.25,1062.0,DC H Street Corridor,,,,,,,,,
WASHST207,0,1551,1138.5,DC H Street Corridor,,,,,,,,,
WASHST207,1,1499.25,1138.5,DC H Street Corridor,,,,,,,,,
WASHST207,2,1499.25,1135.0,DC H Street Corridor,,,,,,,,,
WASHST207,3,1459.25,1135.0,DC H Street Corridor,,,,,,,,,
WASHST207,4,1459.25,1063.0,DC H Street Corridor,,,,,,,,,
WASHST207,5,1551,1062.5,DC H Street Corridor,,,,,,,,,
WASHST208,0,1264.75,1141.0,DC H Street Corridor,,,,,,,,,
WASHST208,1,1341.75,1141.0,DC H Street Corridor,,,,,,,,,
WASHST208,2,1341.75,1094.0,DC H Street Corridor,,,,,,,,,
WASHST208,3,1264.75,1094.0,DC H Street Corridor,,,,,,,,,
WASHST209,0,1341.75,1094.0,DC H Street Corridor,,,,,,,,,
WASHST209,1,1341.75,1032.0,DC H Street Corridor,,,,,,,,,
WASHST209,2,1265.75,1032.0,DC H Street Corridor,,,,,,,,,
WASHST209,3,1264.75,1094.0,DC H Street Corridor,,,,,,,,,
WASHST210,0,1341.75,1032.0,DC H Street Corridor,,,,,,,,,
WASHST210,1,1341.75,962.5,DC H Street Corridor,,,,,,,,,
WASHST210,2,1264.75,962.5,DC H Street Corridor,,,,,,,,,
WASHST210,3,1265.75,1032.0,DC H Street Corridor,,,,,,,,,
WASHST211,0,1341.75,962.5,DC H Street Corridor,,,,,,,,,
WASHST211,1,1341.75,922.5,DC H Street Corridor,,,,,,,,,
WASHST211,2,1263.75,922.5,DC H Street Corridor,,,,,,,,,
WASHST211,3,1264.75,962.5,DC H Street Corridor,,,,,,,,,
WASHST212,0,1341.75,922.5,DC H Street Corridor,,,,,,,,,
WASHST212,1,1341.75,881.5,DC H Street Corridor,,,,,,,,,
WASHST212,2,1264.75,881.5,DC H Street Corridor,,,,,,,,,
WASHST212,3,1263.75,922.5,DC H Street Corridor,,,,,,,,,
WASHST213,0,1459.25,1135.0,DC H Street Corridor,,,,,,,,,
WASHST213,1,1417.75,1135.0,DC H Street Corridor,,,,,,,,,
WASHST213,2,1416.75,1141.25,DC H Street Corridor,,,,,,,,,
