Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DALPEA901,0,191,429.0,Dallas Farmer's Market,,,,,,,,,
DALPEA001,0,127,557.0,Dallas Farmer's Market,,,,,,,,,
DALPEA001,1,127,621.0,Dallas Farmer's Market,,,,,,,,,
DALPEA001,2,181,621.0,Dallas Farmer's Market,,,,,,,,,
DALPEA001,3,181,557.0,Dallas Farmer's Market,,,,,,,,,
DALPEA002,0,181,621.0,Dallas Farmer's Market,,,,,,,,,
DALPEA002,1,181,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA002,2,127,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA002,3,127,621.0,Dallas Farmer's Market,,,,,,,,,
DALPEA003,0,181,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA003,1,239,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA003,2,239,645.0,Dallas Farmer's Market,,,,,,,,,
DALPEA003,3,181,645.0,Dallas Farmer's Market,,,,,,,,,
DALPEA004,0,239,645.0,Dallas Farmer's Market,,,,,,,,,
DALPEA004,1,239,605.0,Dallas Farmer's Market,,,,,,,,,
DALPEA004,2,200,605.0,Dallas Farmer's Market,,,,,,,,,
DALPEA004,3,200,645.0,Dallas Farmer's Market,,,,,,,,,
DALPEA005,0,200,605.0,Dallas Farmer's Market,,,,,,,,,
DALPEA005,1,200,566.0,Dallas Farmer's Market,,,,,,,,,
DALPEA005,2,239,566.0,Dallas Farmer's Market,,,,,,,,,
DALPEA005,3,239,605.0,Dallas Farmer's Market,,,,,,,,,
DALPEA006,0,239,566.0,Dallas Farmer's Market,,,,,,,,,
DALPEA006,1,280,566.0,Dallas Farmer's Market,,,,,,,,,
DALPEA006,2,280,606.0,Dallas Farmer's Market,,,,,,,,,
DALPEA006,3,239,606.0,Dallas Farmer's Market,,,,,,,,,
DALPEA007,0,280,606.0,Dallas Farmer's Market,,,,,,,,,
DALPEA007,1,280,646.0,Dallas Farmer's Market,,,,,,,,,
DALPEA007,2,239,646.0,Dallas Farmer's Market,,,,,,,,,
DALPEA007,3,239,606.0,Dallas Farmer's Market,,,,,,,,,
DALPEA008,0,239,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA008,1,239,646.0,Dallas Farmer's Market,,,,,,,,,
DALPEA008,2,300,646.0,Dallas Farmer's Market,,,,,,,,,
DALPEA008,3,300,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA009,0,300,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA009,1,351,706.0,Dallas Farmer's Market,,,,,,,,,
DALPEA009,2,351,616.0,Dallas Farmer's Market,,,,,,,,,
DALPEA009,3,300,615.0,Dallas Farmer's Market,,,,,,,,,
DALPEA010,0,346,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA010,1,302,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA010,2,302,486.0,Dallas Farmer's Market,,,,,,,,,
DALPEA010,3,346,485.0,Dallas Farmer's Market,,,,,,,,,
DALPEA011,0,346,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA011,1,388,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA011,2,388,485.0,Dallas Farmer's Market,,,,,,,,,
DALPEA011,3,346,485.0,Dallas Farmer's Market,,,,,,,,,
DALPEA012,0,388,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA012,1,429,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA012,2,429,486.0,Dallas Farmer's Market,,,,,,,,,
DALPEA012,3,388,485.0,Dallas Farmer's Market,,,,,,,,,
DALPEA013,0,429,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA013,1,465,548.0,Dallas Farmer's Market,,,,,,,,,
DALPEA013,2,465,486.0,Dallas Farmer's Market,,,,,,,,,
DALPEA013,3,429,486.0,Dallas Farmer's Market,,,,,,,,,
DALPEA014,0,473,601.0,Dallas Farmer's Market,,,,,,,,,
DALPEA014,1,426,601.0,Dallas Farmer's Market,,,,,,,,,
DALPEA014,2,426,567.0,Dallas Farmer's Market,,,,,,,,,
DALPEA014,3,473,567.0,Dallas Farmer's Market,,,,,,,,,
DALPEA015,0,426,601.0,Dallas Farmer's Market,,,,,,,,,
DALPEA015,1,426,634.0,Dallas Farmer's Market,,,,,,,,,
DALPEA015,2,473,634.0,Dallas Farmer's Market,,,,,,,,,
DALPEA015,3,473,601.0,Dallas Farmer's Market,,,,,,,,,
DALPEA016,0,426,634.0,Dallas Farmer's Market,,,,,,,,,
DALPEA016,1,426,690.0,Dallas Farmer's Market,,,,,,,,,
DALPEA016,2,448,690.0,Dallas Farmer's Market,,,,,,,,,
DALPEA016,3,473,680.0,Dallas Farmer's Market,,,,,,,,,
DALPEA016,4,473,634.0,Dallas Farmer's Market,,,,,,,,,
DALPEA017,0,353,677.0,Dallas Farmer's Market,,,,,,,,,
DALPEA017,1,407,677.0,Dallas Farmer's Market,,,,,,,,,
DALPEA017,2,407,639.0,Dallas Farmer's Market,,,,,,,,,
DALPEA017,3,351,639.0,Dallas Farmer's Market,,,,,,,,,
