Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DALART029,0,265,1900.0,Dallas One Arts,29,,,,,,,,
DALART029,1,265,2185.0,Dallas One Arts,29,,,,,,,,
DALART029,2,45,2185.0,Dallas One Arts,29,,,,,,,,
DALART029,3,45,1900.0,Dallas One Arts,29,,,,,,,,
DALART028,0,45,1900.0,Dallas One Arts,28,,,,,,,,
DALART028,1,45,1690.0,Dallas One Arts,28,,,,,,,,
DALART028,2,265,1690.0,Dallas One Arts,28,,,,,,,,
DALART028,3,265,1900.0,Dallas One Arts,28,,,,,,,,
DALART027,0,45,1690.0,Dallas One Arts,27,,,,,,,,
DALART027,1,45,1505.0,Dallas One Arts,27,,,,,,,,
DALART027,2,265,1505.0,Dallas One Arts,27,,,,,,,,
DALART027,3,265,1690.0,Dallas One Arts,27,,,,,,,,
DALART026,0,45,1505.0,Dallas One Arts,26,,,,,,,,
DALART026,1,45,1320.0,Dallas One Arts,26,,,,,,,,
DALART026,2,265,1320.0,Dallas One Arts,26,,,,,,,,
DALART026,3,265,1505.0,Dallas One Arts,26,,,,,,,,
DALART025,0,45,1320.0,Dallas One Arts,25,,,,,,,,
DALART025,1,45,1060.0,Dallas One Arts,25,,,,,,,,
DALART025,2,265,1060.0,Dallas One Arts,25,,,,,,,,
DALART025,3,265,1320.0,Dallas One Arts,25,,,,,,,,
DALART024,0,45,1060.0,Dallas One Arts,24,,,,,,,,
DALART024,1,45,805.0,Dallas One Arts,24,,,,,,,,
DALART024,2,265,805.0,Dallas One Arts,24,,,,,,,,
DALART024,3,265,1060.0,Dallas One Arts,24,,,,,,,,
DALART023,0,45,805.0,Dallas One Arts,23,,,,,,,,
DALART023,1,45,365.0,Dallas One Arts,23,,,,,,,,
DALART023,2,265,365.0,Dallas One Arts,23,,,,,,,,
DALART023,3,265,805.0,Dallas One Arts,23,,,,,,,,
DALART022,0,265,365.0,Dallas One Arts,22,,,,,,,,
DALART022,1,480,365.0,Dallas One Arts,22,,,,,,,,
DALART022,2,480,575.0,Dallas One Arts,22,,,,,,,,
DALART022,3,265,575.0,Dallas One Arts,22,,,,,,,,
DALART021,0,480,575.0,Dallas One Arts,21,,,,,,,,
DALART021,1,735,575.0,Dallas One Arts,21,,,,,,,,
DALART021,2,735,365.0,Dallas One Arts,21,,,,,,,,
DALART021,3,480,365.0,Dallas One Arts,21,,,,,,,,
DALART020,0,735,575.0,Dallas One Arts,20,,,,,,,,
DALART020,1,930,575.0,Dallas One Arts,20,,,,,,,,
DALART020,2,930,365.0,Dallas One Arts,20,,,,,,,,
DALART020,3,735,365.0,Dallas One Arts,20,,,,,,,,
DALART030,0,265,2185.0,Dallas One Arts,30,,,,,,,,
DALART030,1,480,2185.0,Dallas One Arts,30,,,,,,,,
DALART030,2,480,1970.0,Dallas One Arts,30,,,,,,,,
DALART030,3,265,1970.0,Dallas One Arts,30,,,,,,,,
DALART031,0,480,2185.0,Dallas One Arts,31,,,,,,,,
DALART031,1,685,2185.0,Dallas One Arts,31,,,,,,,,
DALART031,2,685,1970.0,Dallas One Arts,31,,,,,,,,
DALART031,3,480,1970.0,Dallas One Arts,31,,,,,,,,
DALART032,0,685,2185.0,Dallas One Arts,32,,,,,,,,
DALART032,1,930,2185.0,Dallas One Arts,32,,,,,,,,
DALART032,2,930,1970.0,Dallas One Arts,32,,,,,,,,
DALART032,3,685,1970.0,Dallas One Arts,32,,,,,,,,
DALART036,0,500,1890.0,Dallas One Arts,36,,,,,,,,
DALART036,1,500,1735.0,Dallas One Arts,36,,,,,,,,
DALART036,2,345,1735.0,Dallas One Arts,36,,,,,,,,
DALART036,3,345,1890.0,Dallas One Arts,36,,,,,,,,
DALART037,0,345,1735.0,Dallas One Arts,37,,,,,,,,
DALART037,1,345,1585.0,Dallas One Arts,37,,,,,,,,
DALART037,2,500,1585.0,Dallas One Arts,37,,,,,,,,
DALART037,3,500,1735.0,Dallas One Arts,37,,,,,,,,
DALART035,0,500,1890.0,Dallas One Arts,35,,,,,,,,
DALART035,1,650,1890.0,Dallas One Arts,35,,,,,,,,
DALART035,2,650,1735.0,Dallas One Arts,35,,,,,,,,
DALART035,3,500,1735.0,Dallas One Arts,35,,,,,,,,
DALART038,0,500,1735.0,Dallas One Arts,38,,,,,,,,
DALART038,1,650,1735.0,Dallas One Arts,38,,,,,,,,
DALART038,2,650,1585.0,Dallas One Arts,38,,,,,,,,
DALART038,3,500,1585.0,Dallas One Arts,38,,,,,,,,
DALART034,0,650,1890.0,Dallas One Arts,34,,,,,,,,
DALART034,1,790,1890.0,Dallas One Arts,34,,,,,,,,
DALART034,2,790,1735.0,Dallas One Arts,34,,,,,,,,
DALART034,3,650,1735.0,Dallas One Arts,34,,,,,,,,
DALART039,0,650,1735.0,Dallas One Arts,39,,,,,,,,
DALART039,1,790,1735.0,Dallas One Arts,39,,,,,,,,
DALART039,2,790,1585.0,Dallas One Arts,39,,,,,,,,
DALART039,3,650,1585.0,Dallas One Arts,39,,,,,,,,
DALART033,0,790,1890.0,Dallas One Arts,33,,,,,,,,
DALART033,1,910,1890.0,Dallas One Arts,33,,,,,,,,
DALART033,2,910,1735.0,Dallas One Arts,33,,,,,,,,
DALART033,3,790,1735.0,Dallas One Arts,33,,,,,,,,
DALART040,0,790,1735.0,Dallas One Arts,40,,,,,,,,
DALART040,1,910,1735.0,Dallas One Arts,40,,,,,,,,
DALART040,2,910,1585.0,Dallas One Arts,40,,,,,,,,
DALART040,3,790,1585.0,Dallas One Arts,40,,,,,,,,
DALART041,0,910,1890.0,Dallas One Arts,41,,,,,,,,
DALART041,1,1100,1890.0,Dallas One Arts,41,,,,,,,,
DALART041,2,1100,1585.0,Dallas One Arts,41,,,,,,,,
DALART041,3,910,1585.0,Dallas One Arts,41,,,,,,,,
DALART042,0,1100,1890.0,Dallas One Arts,42,,,,,,,,
DALART042,1,1290,1890.0,Dallas One Arts,42,,,,,,,,
DALART042,2,1290,1585.0,Dallas One Arts,42,,,,,,,,
DALART042,3,1100,1585.0,Dallas One Arts,42,,,,,,,,
DALART043,0,1375,1890.0,Dallas One Arts,43,,,,,,,,
DALART043,1,1375,1600.0,Dallas One Arts,43,,,,,,,,
DALART043,2,1540,1600.0,Dallas One Arts,43,,,,,,,,
DALART043,3,1540,1890.0,Dallas One Arts,43,,,,,,,,
DALART047,0,350,1500.0,Dallas One Arts,47,,,,,,,,
DALART047,1,500,1500.0,Dallas One Arts,47,,,,,,,,
DALART047,2,500,1375.0,Dallas One Arts,47,,,,,,,,
DALART047,3,350,1375.0,Dallas One Arts,47,,,,,,,,
DALART048,0,350,1375.0,Dallas One Arts,48,,,,,,,,
DALART048,1,350,1170.0,Dallas One Arts,48,,,,,,,,
DALART048,2,500,1170.0,Dallas One Arts,48,,,,,,,,
DALART048,3,500,1375.0,Dallas One Arts,48,,,,,,,,
DALART049,0,350,1170.0,Dallas One Arts,49,,,,,,,,
DALART049,1,350,1045.0,Dallas One Arts,49,,,,,,,,
DALART049,2,500,1045.0,Dallas One Arts,49,,,,,,,,
DALART049,3,500,1170.0,Dallas One Arts,49,,,,,,,,
DALART046,0,500,1500.0,Dallas One Arts,46,,,,,,,,
DALART046,1,500,1275.0,Dallas One Arts,46,,,,,,,,
DALART046,2,635,1275.0,Dallas One Arts,46,,,,,,,,
DALART046,3,635,1500.0,Dallas One Arts,46,,,,,,,,
DALART050,0,500,1275.0,Dallas One Arts,50,,,,,,,,
DALART050,1,500,1045.0,Dallas One Arts,50,,,,,,,,
DALART050,2,635,1045.0,Dallas One Arts,50,,,,,,,,
DALART050,3,635,1275.0,Dallas One Arts,50,,,,,,,,
DALART045,0,635,1500.0,Dallas One Arts,45,,,,,,,,
DALART045,1,770,1500.0,Dallas One Arts,45,,,,,,,,
DALART045,2,770,1275.0,Dallas One Arts,45,,,,,,,,
DALART045,3,635,1275.0,Dallas One Arts,45,,,,,,,,
DALART051,0,635,1275.0,Dallas One Arts,51,,,,,,,,
DALART051,1,635,1045.0,Dallas One Arts,51,,,,,,,,
DALART051,2,770,1045.0,Dallas One Arts,51,,,,,,,,
DALART051,3,770,1275.0,Dallas One Arts,51,,,,,,,,
DALART044,0,770,1500.0,Dallas One Arts,44,,,,,,,,
DALART044,1,910,1500.0,Dallas One Arts,44,,,,,,,,
DALART044,2,910,1275.0,Dallas One Arts,44,,,,,,,,
DALART044,3,770,1275.0,Dallas One Arts,44,,,,,,,,
DALART052,0,770,1275.0,Dallas One Arts,52,,,,,,,,
DALART052,1,770,1045.0,Dallas One Arts,52,,,,,,,,
DALART052,2,910,1045.0,Dallas One Arts,52,,,,,,,,
DALART052,3,910,1275.0,Dallas One Arts,52,,,,,,,,
DALART055,0,910,1500.0,Dallas One Arts,55,,,,,,,,
DALART055,1,1060,1500.0,Dallas One Arts,55,,,,,,,,
DALART055,2,1060,1375.0,Dallas One Arts,55,,,,,,,,
DALART055,3,910,1375.0,Dallas One Arts,55,,,,,,,,
DALART054,0,910,1375.0,Dallas One Arts,54,,,,,,,,
DALART054,1,910,1175.0,Dallas One Arts,54,,,,,,,,
DALART054,2,1060,1175.0,Dallas One Arts,54,,,,,,,,
DALART054,3,1060,1375.0,Dallas One Arts,54,,,,,,,,
DALART053,0,910,1175.0,Dallas One Arts,53,,,,,,,,
DALART053,1,910,1045.0,Dallas One Arts,53,,,,,,,,
DALART053,2,1060,1045.0,Dallas One Arts,53,,,,,,,,
DALART053,3,1060,1175.0,Dallas One Arts,53,,,,,,,,
DALART016,0,520,965.0,Dallas One Arts,16,,,,,,,,
DALART016,1,520,810.0,Dallas One Arts,16,,,,,,,,
DALART016,2,350,810.0,Dallas One Arts,16,,,,,,,,
DALART016,3,350,965.0,Dallas One Arts,16,,,,,,,,
DALART017,0,350,810.0,Dallas One Arts,17,,,,,,,,
DALART017,1,350,660.0,Dallas One Arts,17,,,,,,,,
DALART017,2,520,660.0,Dallas One Arts,17,,,,,,,,
DALART017,3,520,810.0,Dallas One Arts,17,,,,,,,,
DALART015,0,520,965.0,Dallas One Arts,15,,,,,,,,
DALART015,1,650,965.0,Dallas One Arts,15,,,,,,,,
DALART015,2,650,810.0,Dallas One Arts,15,,,,,,,,
DALART015,3,520,810.0,Dallas One Arts,15,,,,,,,,
DALART018,0,520,810.0,Dallas One Arts,18,,,,,,,,
DALART018,1,520,660.0,Dallas One Arts,18,,,,,,,,
DALART018,2,650,660.0,Dallas One Arts,18,,,,,,,,
DALART018,3,650,810.0,Dallas One Arts,18,,,,,,,,
DALART014,0,650,965.0,Dallas One Arts,14,,,,,,,,
DALART014,1,785,965.0,Dallas One Arts,14,,,,,,,,
DALART014,2,785,810.0,Dallas One Arts,14,,,,,,,,
DALART014,3,650,810.0,Dallas One Arts,14,,,,,,,,
DALART019,0,650,810.0,Dallas One Arts,19,,,,,,,,
DALART019,1,650,660.0,Dallas One Arts,19,,,,,,,,
DALART019,2,785,660.0,Dallas One Arts,19,,,,,,,,
DALART019,3,785,810.0,Dallas One Arts,19,,,,,,,,
DALART013,0,785,965.0,Dallas One Arts,13,,,,,,,,
DALART013,1,1010,965.0,Dallas One Arts,13,,,,,,,,
DALART013,2,1010,660.0,Dallas One Arts,13,,,,,,,,
DALART013,3,785,660.0,Dallas One Arts,13,,,,,,,,
DALART012,0,1340,960.0,Dallas One Arts,12,,,,,,,,
DALART012,1,1340,655.0,Dallas One Arts,12,,,,,,,,
DALART012,2,1090,655.0,Dallas One Arts,12,,,,,,,,
DALART012,3,1090,960.0,Dallas One Arts,12,,,,,,,,
DALART011,0,1340,960.0,Dallas One Arts,11,,,,,,,,
DALART011,1,1340,810.0,Dallas One Arts,11,,,,,,,,
DALART011,2,1600,810.0,Dallas One Arts,11,,,,,,,,
DALART011,3,1600,960.0,Dallas One Arts,11,,,,,,,,
