Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DELRAYN101,0,"1,810",2555.0,Delray Beach North,N101,,,,,,,,
DELRAYN101,1,"2,075",2555.0,Delray Beach North,N101,,,,,,,,
DELRAYN101,2,"2,075",2365.0,Delray Beach North,N101,,,,,,,,
DELRAYN101,3,"1,810",2370.0,Delray Beach North,N101,,,,,,,,
DELRAYN102,0,"2,075",2365.0,Delray Beach North,N102,,,,,,,,
DELRAYN102,1,"2,075",2205.0,Delray Beach North,N102,,,,,,,,
DELRAYN102,2,"1,710",2205.0,Delray Beach North,N102,,,,,,,,
DELRAYN102,3,"1,710",2460.0,Delray Beach North,N102,,,,,,,,
DELRAYN102,4,"1,810",2460.0,Delray Beach North,N102,,,,,,,,
DELRAYN102,5,"1,810",2370.0,Delray Beach North,N102,,,,,,,,
DELRAYN103,0,"1,710",2205.0,Delray Beach North,N103,,,,,,,,
DELRAYN103,1,"1,485",2205.0,Delray Beach North,N103,,,,,,,,
DELRAYN103,2,"1,485",2515.0,Delray Beach North,N103,,,,,,,,
DELRAYN103,3,"1,570",2515.0,Delray Beach North,N103,,,,,,,,
DELRAYN103,4,"1,570",2550.0,Delray Beach North,N103,,,,,,,,
DELRAYN103,5,"1,710",2550.0,Delray Beach North,N103,,,,,,,,
DELRAYN104,0,780,2435.0,Delray Beach North,N104,,,,,,,,
DELRAYN104,1,940,2435.0,Delray Beach North,N104,,,,,,,,
DELRAYN104,2,940,2210.0,Delray Beach North,N104,,,,,,,,
DELRAYN104,3,780,2210.0,Delray Beach North,N104,,,,,,,,
DELRAYN105,0,685,2685.0,Delray Beach North,N105,,,,,,,,
DELRAYN105,1,940,2685.0,Delray Beach North,N105,,,,,,,,
DELRAYN105,2,940,2545.0,Delray Beach North,N105,,,,,,,,
DELRAYN105,3,685,2545.0,Delray Beach North,N105,,,,,,,,
DELRAYN106,0,685,2545.0,Delray Beach North,N106,,,,,,,,
DELRAYN106,1,940,2545.0,Delray Beach North,N106,,,,,,,,
DELRAYN106,2,940,2435.0,Delray Beach North,N106,,,,,,,,
DELRAYN106,3,685,2435.0,Delray Beach North,N106,,,,,,,,
DELRAYN107,0,600,2435.0,Delray Beach North,N107,,,,,,,,
DELRAYN107,1,780,2435.0,Delray Beach North,N107,,,,,,,,
DELRAYN107,2,780,2210.0,Delray Beach North,N107,,,,,,,,
DELRAYN107,3,600,2210.0,Delray Beach North,N107,,,,,,,,
DELRAYN108,0,450,2550.0,Delray Beach North,N108,,,,,,,,
DELRAYN108,1,600,2550.0,Delray Beach North,N108,,,,,,,,
DELRAYN108,2,600,2210.0,Delray Beach North,N108,,,,,,,,
DELRAYN108,3,450,2210.0,Delray Beach North,N108,,,,,,,,
DELRAYN109,0,445,3285.0,Delray Beach North,N109,,,,,,,,
DELRAYN109,1,600,3285.0,Delray Beach North,N109,,,,,,,,
DELRAYN109,2,600,2935.0,Delray Beach North,N109,,,,,,,,
DELRAYN109,3,445,2935.0,Delray Beach North,N109,,,,,,,,
DELRAYN110,0,600,3285.0,Delray Beach North,N110,,,,,,,,
DELRAYN110,1,765,3285.0,Delray Beach North,N110,,,,,,,,
DELRAYN110,2,765,3020.0,Delray Beach North,N110,,,,,,,,
DELRAYN110,3,600,3020.0,Delray Beach North,N110,,,,,,,,
DELRAYN111,0,765,3140.0,Delray Beach North,N111,,,,,,,,
DELRAYN111,1,940,3140.0,Delray Beach North,N111,,,,,,,,
DELRAYN111,2,940,3020.0,Delray Beach North,N111,,,,,,,,
DELRAYN111,3,765,3020.0,Delray Beach North,N111,,,,,,,,
DELRAYN112,0,765,3285.0,Delray Beach North,N112,,,,,,,,
DELRAYN112,1,940,3285.0,Delray Beach North,N112,,,,,,,,
DELRAYN112,2,940,3140.0,Delray Beach North,N112,,,,,,,,
DELRAYN112,3,765,3140.0,Delray Beach North,N112,,,,,,,,
DELRAYN201,0,730,1275.0,Delray Beach North,N201,,,,,,,,
DELRAYN201,1,895,1275.0,Delray Beach North,N201,,,,,,,,
DELRAYN201,2,895,1105.0,Delray Beach North,N201,,,,,,,,
DELRAYN201,3,730,1105.0,Delray Beach North,N201,,,,,,,,
DELRAYN202,0,565,1275.0,Delray Beach North,N202,,,,,,,,
DELRAYN202,1,730,1275.0,Delray Beach North,N202,,,,,,,,
DELRAYN202,2,730,1105.0,Delray Beach North,N202,,,,,,,,
DELRAYN202,3,565,1105.0,Delray Beach North,N202,,,,,,,,
DELRAYN203,0,415,1485.0,Delray Beach North,N203,,,,,,,,
DELRAYN203,1,565,1485.0,Delray Beach North,N203,,,,,,,,
