Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DENCAL901,0,714,376.0,Denver - 1801 California,,,,,,,,,
DENCAL001,0,388,358.0,Denver - 1801 California,,,,,,,,,
DENCAL001,1,232,513.0,Denver - 1801 California,,,,,,,,,
DENCAL001,2,361,646.0,Denver - 1801 California,,,,,,,,,
DENCAL001,3,521,490.0,Denver - 1801 California,,,,,,,,,
DENCAL002,0,361,646.0,Denver - 1801 California,,,,,,,,,
DENCAL002,1,269,741.0,Denver - 1801 California,,,,,,,,,
DENCAL002,2,269,795.0,Denver - 1801 California,,,,,,,,,
DENCAL002,3,88,795.0,Denver - 1801 California,,,,,,,,,
DENCAL002,4,88,661.0,Denver - 1801 California,,,,,,,,,
DENCAL002,5,232,513.0,Denver - 1801 California,,,,,,,,,
DENCAL003,0,269,795.0,Denver - 1801 California,,,,,,,,,
DENCAL003,1,269,938.0,Denver - 1801 California,,,,,,,,,
DENCAL003,2,89,939.0,Denver - 1801 California,,,,,,,,,
DENCAL003,3,88,795.0,Denver - 1801 California,,,,,,,,,
DENCAL004,0,269,938.0,Denver - 1801 California,,,,,,,,,
DENCAL004,1,269,1221.0,Denver - 1801 California,,,,,,,,,
DENCAL004,2,89,1221.0,Denver - 1801 California,,,,,,,,,
DENCAL004,3,89,939.0,Denver - 1801 California,,,,,,,,,
DENCAL005,0,269,1221.0,Denver - 1801 California,,,,,,,,,
DENCAL005,1,269,1505.0,Denver - 1801 California,,,,,,,,,
DENCAL005,2,89,1505.0,Denver - 1801 California,,,,,,,,,
DENCAL005,3,89,1221.0,Denver - 1801 California,,,,,,,,,
DENCAL006,0,269,1505.0,Denver - 1801 California,,,,,,,,,
DENCAL006,1,269,1645.0,Denver - 1801 California,,,,,,,,,
DENCAL006,2,89,1645.0,Denver - 1801 California,,,,,,,,,
DENCAL006,3,89,1505.0,Denver - 1801 California,,,,,,,,,
DENCAL007,0,334,1733.0,Denver - 1801 California,,,,,,,,,
DENCAL007,1,430,1733.0,Denver - 1801 California,,,,,,,,,
DENCAL007,2,430,1612.0,Denver - 1801 California,,,,,,,,,
DENCAL007,3,334,1612.0,Denver - 1801 California,,,,,,,,,
DENCAL008,0,334,1612.0,Denver - 1801 California,,,,,,,,,
