Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DENSTH1101,0,"1,510",950.0,Denver S,1101,,,,,,,,
DENSTH1101,1,"1,510",710.0,Denver S,1101,,,,,,,,
DENSTH1101,2,"1,265",710.0,Denver S,1101,,,,,,,,
DENSTH1101,3,"1,265",950.0,Denver S,1101,,,,,,,,
DENSTH1102,0,"1,265",950.0,Denver S,1102,,,,,,,,
DENSTH1102,1,"1,035",950.0,Denver S,1102,,,,,,,,
DENSTH1102,2,"1,035",710.0,Denver S,1102,,,,,,,,
DENSTH1102,3,"1,265",710.0,Denver S,1102,,,,,,,,
DENSTH1103,0,"1,035",950.0,Denver S,1103,,,,,,,,
DENSTH1103,1,805,950.0,Denver S,1103,,,,,,,,
DENSTH1103,2,805,710.0,Denver S,1103,,,,,,,,
DENSTH1103,3,"1,035",710.0,Denver S,1103,,,,,,,,
DENSTH1104,0,805,950.0,Denver S,1104,,,,,,,,
DENSTH1104,1,555,950.0,Denver S,1104,,,,,,,,
DENSTH1104,2,555,710.0,Denver S,1104,,,,,,,,
DENSTH1104,3,805,710.0,Denver S,1104,,,,,,,,
DENSTH1105,0,555,950.0,Denver S,1105,,,,,,,,
DENSTH1105,1,345,950.0,Denver S,1105,,,,,,,,
DENSTH1105,2,345,710.0,Denver S,1105,,,,,,,,
DENSTH1105,3,555,710.0,Denver S,1105,,,,,,,,
DENSTH1106,0,345,950.0,Denver S,1106,,,,,,,,
DENSTH1106,1,45,950.0,Denver S,1106,,,,,,,,
DENSTH1106,2,45,710.0,Denver S,1106,,,,,,,,
DENSTH1106,3,345,710.0,Denver S,1106,,,,,,,,
DENSTH1107,0,45,950.0,Denver S,1107,,,,,,,,
DENSTH1107,1,45,1275.0,Denver S,1107,,,,,,,,
DENSTH1107,2,275,1275.0,Denver S,1107,,,,,,,,
DENSTH1107,3,275,950.0,Denver S,1107,,,,,,,,
DENSTH1108,0,50,1580.0,Denver S,1108,,,,,,,,
DENSTH1108,1,50,1815.0,Denver S,1108,,,,,,,,
DENSTH1108,2,275,1815.0,Denver S,1108,,,,,,,,
DENSTH1108,3,275,1580.0,Denver S,1108,,,,,,,,
DENSTH1109,0,275,1815.0,Denver S,1109,,,,,,,,
DENSTH1109,1,490,1815.0,Denver S,1109,,,,,,,,
DENSTH1109,2,490,1650.0,Denver S,1109,,,,,,,,
DENSTH1109,3,275,1650.0,Denver S,1109,,,,,,,,
DENSTH1110,0,805,1815.0,Denver S,1110,,,,,,,,
DENSTH1110,1,965,1815.0,Denver S,1110,,,,,,,,
DENSTH1110,2,965,1650.0,Denver S,1110,,,,,,,,
DENSTH1110,3,805,1650.0,Denver S,1110,,,,,,,,
DENSTH1111,0,965,1815.0,Denver S,1111,,,,,,,,
DENSTH1111,1,"1,125",1815.0,Denver S,1111,,,,,,,,
DENSTH1111,2,"1,125",1650.0,Denver S,1111,,,,,,,,
DENSTH1111,3,965,1650.0,Denver S,1111,,,,,,,,
DENSTH1112,0,"1,125",1815.0,Denver S,1112,,,,,,,,
DENSTH1112,1,"1,335",1815.0,Denver S,1112,,,,,,,,
