Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHXWAS501,0,"2,480",2185.0,Downtown Phoenix,501,,,,,,,,
PHXWAS501,1,"2,070",2185.0,Downtown Phoenix,501,,,,,,,,
PHXWAS501,2,"2,070",1710.0,Downtown Phoenix,501,,,,,,,,
PHXWAS501,3,"2,480",1710.0,Downtown Phoenix,501,,,,,,,,
PHXWAS502,0,"2,485",1635.0,Downtown Phoenix,502,,,,,,,,
PHXWAS502,1,"2,325",1635.0,Downtown Phoenix,502,,,,,,,,
PHXWAS502,2,"2,325",1520.0,Downtown Phoenix,502,,,,,,,,
PHXWAS502,3,"2,485",1520.0,Downtown Phoenix,502,,,,,,,,
PHXWAS503,0,"2,485",1635.0,Downtown Phoenix,503,,,,,,,,
PHXWAS503,1,"2,600",1635.0,Downtown Phoenix,503,,,,,,,,
PHXWAS503,2,"2,600",1520.0,Downtown Phoenix,503,,,,,,,,
PHXWAS503,3,"2,485",1520.0,Downtown Phoenix,503,,,,,,,,
PHXWAS504,0,"2,480",2185.0,Downtown Phoenix,504,,,,,,,,
PHXWAS504,1,"2,860",2185.0,Downtown Phoenix,504,,,,,,,,
PHXWAS504,2,"2,860",1710.0,Downtown Phoenix,504,,,,,,,,
PHXWAS504,3,"2,480",1710.0,Downtown Phoenix,504,,,,,,,,
PHXWAS505,0,"2,895",1635.0,Downtown Phoenix,505,,,,,,,,
PHXWAS505,1,"2,800",1635.0,Downtown Phoenix,505,,,,,,,,
PHXWAS505,2,"2,800",1525.0,Downtown Phoenix,505,,,,,,,,
PHXWAS505,3,"2,895",1525.0,Downtown Phoenix,505,,,,,,,,
PHXWAS506,0,"2,860",2185.0,Downtown Phoenix,506,,,,,,,,
PHXWAS506,1,"3,250",2185.0,Downtown Phoenix,506,,,,,,,,
PHXWAS506,2,"3,245",1750.0,Downtown Phoenix,506,,,,,,,,
PHXWAS506,3,"2,975",1750.0,Downtown Phoenix,506,,,,,,,,
PHXWAS506,4,"2,975",1710.0,Downtown Phoenix,506,,,,,,,,
PHXWAS506,5,"2,860",1710.0,Downtown Phoenix,506,,,,,,,,
PHXWAS507,0,"2,975",1750.0,Downtown Phoenix,507,,,,,,,,
PHXWAS507,1,"2,975",1570.0,Downtown Phoenix,507,,,,,,,,
PHXWAS507,2,"3,245",1570.0,Downtown Phoenix,507,,,,,,,,
PHXWAS507,3,"3,245",1750.0,Downtown Phoenix,507,,,,,,,,
