Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ELSGDO101,0,480,2455.0,El Segundo,101,,,,,,,,
ELSGDO101,1,480,2290.0,El Segundo,101,,,,,,,,
ELSGDO101,2,350,2290.0,El Segundo,101,,,,,,,,
ELSGDO101,3,350,2455.0,El Segundo,101,,,,,,,,
ELSGDO102,0,480,2250.0,El Segundo,102,,,,,,,,
ELSGDO102,1,480,2060.0,El Segundo,102,,,,,,,,
ELSGDO102,2,310,2060.0,El Segundo,102,,,,,,,,
ELSGDO102,3,310,2250.0,El Segundo,102,,,,,,,,
ELSGDO103,0,310,2250.0,El Segundo,103,,,,,,,,
ELSGDO103,1,190,2250.0,El Segundo,103,,,,,,,,
ELSGDO103,2,190,2060.0,El Segundo,103,,,,,,,,
ELSGDO103,3,310,2060.0,El Segundo,103,,,,,,,,
ELSGDO104,0,190,2060.0,El Segundo,104,,,,,,,,
ELSGDO104,1,10,2060.0,El Segundo,104,,,,,,,,
ELSGDO104,2,10,2295.0,El Segundo,104,,,,,,,,
ELSGDO104,3,190,2295.0,El Segundo,104,,,,,,,,
ELSGDO105,0,350,2290.0,El Segundo,105,,,,,,,,
ELSGDO105,1,240,2290.0,El Segundo,105,,,,,,,,
ELSGDO105,2,240,2375.0,El Segundo,105,,,,,,,,
ELSGDO105,3,350,2375.0,El Segundo,105,,,,,,,,
ELSGDO106,0,10,2295.0,El Segundo,106,,,,,,,,
ELSGDO106,1,10,2415.0,El Segundo,106,,,,,,,,
ELSGDO106,2,190,2415.0,El Segundo,106,,,,,,,,
ELSGDO106,3,190,2295.0,El Segundo,106,,,,,,,,
ELSGDO107,0,240,2375.0,El Segundo,107,,,,,,,,
ELSGDO107,1,240,2455.0,El Segundo,107,,,,,,,,
ELSGDO107,2,350,2455.0,El Segundo,107,,,,,,,,
ELSGDO107,3,350,2375.0,El Segundo,107,,,,,,,,
ELSGDO108,0,10,2415.0,El Segundo,108,,,,,,,,
ELSGDO108,1,10,2520.0,El Segundo,108,,,,,,,,
ELSGDO108,2,190,2520.0,El Segundo,108,,,,,,,,
ELSGDO108,3,190,2415.0,El Segundo,108,,,,,,,,
ELSGDO109,0,240,2455.0,El Segundo,109,,,,,,,,
ELSGDO109,1,240,2535.0,El Segundo,109,,,,,,,,
ELSGDO109,2,350,2535.0,El Segundo,109,,,,,,,,
ELSGDO109,3,350,2455.0,El Segundo,109,,,,,,,,
ELSGDO110,0,10,2520.0,El Segundo,110,,,,,,,,
ELSGDO110,1,10,2640.0,El Segundo,110,,,,,,,,
ELSGDO110,2,190,2640.0,El Segundo,110,,,,,,,,
ELSGDO110,3,190,2520.0,El Segundo,110,,,,,,,,
ELSGDO111,0,240,2535.0,El Segundo,111,,,,,,,,
ELSGDO111,1,240,2615.0,El Segundo,111,,,,,,,,
