Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CLEEAS001,0,2889,2083.0,Erieview Tower,1,,,,,,,,
CLEEAS001,1,2888,1868.0,Erieview Tower,1,,,,,,,,
CLEEAS001,2,2969,1869.0,Erieview Tower,1,,,,,,,,
CLEEAS001,3,2971,1903.0,Erieview Tower,1,,,,,,,,
CLEEAS001,4,3186,1901.0,Erieview Tower,1,,,,,,,,
CLEEAS001,5,3182,2084.0,Erieview Tower,1,,,,,,,,
CLEEAS002,0,2971,1903.0,Erieview Tower,2,,,,,,,,
CLEEAS002,1,2970,1699.0,Erieview Tower,2,,,,,,,,
CLEEAS002,2,3184,1699.0,Erieview Tower,2,,,,,,,,
CLEEAS002,3,3186,1901.0,Erieview Tower,2,,,,,,,,
CLEEAS003,0,2970,1699.0,Erieview Tower,3,,,,,,,,
CLEEAS003,1,2971,1403.0,Erieview Tower,3,,,,,,,,
CLEEAS003,2,3181,1403.0,Erieview Tower,3,,,,,,,,
CLEEAS003,3,3184,1699.0,Erieview Tower,3,,,,,,,,
CLEEAS004,0,2726,1626.0,Erieview Tower,4,,,,,,,,
CLEEAS004,1,2727,1465.0,Erieview Tower,4,,,,,,,,
CLEEAS004,2,2904,1462.0,Erieview Tower,4,,,,,,,,
CLEEAS004,3,2904,1629.0,Erieview Tower,4,,,,,,,,
CLEEAS005,0,2971,1403.0,Erieview Tower,5,,,,,,,,
CLEEAS005,1,2970,1110.0,Erieview Tower,5,,,,,,,,
CLEEAS005,2,3184,1112.0,Erieview Tower,5,,,,,,,,
CLEEAS005,3,3181,1403.0,Erieview Tower,5,,,,,,,,
CLEEAS006,0,2727,1465.0,Erieview Tower,6,,,,,,,,
CLEEAS006,1,2724,1278.0,Erieview Tower,6,,,,,,,,
CLEEAS006,2,2902,1282.0,Erieview Tower,6,,,,,,,,
CLEEAS006,3,2904,1462.0,Erieview Tower,6,,,,,,,,
CLEEAS007,0,2970,1110.0,Erieview Tower,7,,,,,,,,
CLEEAS007,1,2971,780.0,Erieview Tower,7,,,,,,,,
CLEEAS007,2,3181,781.0,Erieview Tower,7,,,,,,,,
CLEEAS007,3,3184,1112.0,Erieview Tower,7,,,,,,,,
CLEEAS008,0,2724,1278.0,Erieview Tower,8,,,,,,,,
CLEEAS008,1,2726,1023.0,Erieview Tower,8,,,,,,,,
CLEEAS008,2,2905,1021.0,Erieview Tower,8,,,,,,,,
CLEEAS008,3,2902,1282.0,Erieview Tower,8,,,,,,,,
CLEEAS009,0,2909,762.0,Erieview Tower,9,,,,,,,,
CLEEAS009,1,2907,564.0,Erieview Tower,9,,,,,,,,
CLEEAS009,2,3182,564.0,Erieview Tower,9,,,,,,,,
CLEEAS009,3,3181,781.0,Erieview Tower,9,,,,,,,,
CLEEAS009,4,2971,780.0,Erieview Tower,9,,,,,,,,
CLEEAS009,5,2972,762.0,Erieview Tower,9,,,,,,,,
CLEEAS010,0,2698,763.0,Erieview Tower,10,,,,,,,,
CLEEAS010,1,2695,566.0,Erieview Tower,10,,,,,,,,
CLEEAS010,2,2906,566.0,Erieview Tower,10,,,,,,,,
CLEEAS010,3,2909,762.0,Erieview Tower,10,,,,,,,,
CLEEAS011,0,2590,766.0,Erieview Tower,11,,,,,,,,
CLEEAS011,1,2591,563.0,Erieview Tower,11,,,,,,,,
CLEEAS011,2,2697,563.0,Erieview Tower,11,,,,,,,,
CLEEAS011,3,2698,763.0,Erieview Tower,11,,,,,,,,
CLEEAS012,0,2214,956.0,Erieview Tower,12,,,,,,,,
CLEEAS012,1,2216,833.0,Erieview Tower,12,,,,,,,,
CLEEAS012,2,2433,832.0,Erieview Tower,12,,,,,,,,
CLEEAS012,3,2433,953.0,Erieview Tower,12,,,,,,,,
CLEEAS013,0,2285,763.0,Erieview Tower,13,,,,,,,,
CLEEAS013,1,2284,561.0,Erieview Tower,13,,,,,,,,
CLEEAS013,2,2591,563.0,Erieview Tower,13,,,,,,,,
CLEEAS013,3,2590,766.0,Erieview Tower,13,,,,,,,,
CLEEAS014,0,2046,765.0,Erieview Tower,14,,,,,,,,
CLEEAS014,1,2048,560.0,Erieview Tower,14,,,,,,,,
CLEEAS014,2,2284,561.0,Erieview Tower,14,,,,,,,,
CLEEAS014,3,2285,763.0,Erieview Tower,14,,,,,,,,
CLEEAS015,0,2065,954.0,Erieview Tower,15,,,,,,,,
CLEEAS015,1,2066,831.0,Erieview Tower,15,,,,,,,,
CLEEAS015,2,2218,830.0,Erieview Tower,15,,,,,,,,
CLEEAS015,3,2214,956.0,Erieview Tower,15,,,,,,,,
CLEEAS016,0,1916,955.0,Erieview Tower,16,,,,,,,,
CLEEAS016,1,1916,830.0,Erieview Tower,16,,,,,,,,
CLEEAS016,2,2066,831.0,Erieview Tower,16,,,,,,,,
CLEEAS016,3,2065,954.0,Erieview Tower,16,,,,,,,,
CLEEAS017,0,1831,763.0,Erieview Tower,17,,,,,,,,
CLEEAS017,1,1831,559.0,Erieview Tower,17,,,,,,,,
CLEEAS017,2,2048,560.0,Erieview Tower,17,,,,,,,,
CLEEAS017,3,2046,765.0,Erieview Tower,17,,,,,,,,
CLEEAS018,0,1763,952.0,Erieview Tower,18,,,,,,,,
CLEEAS018,1,1764,833.0,Erieview Tower,18,,,,,,,,
CLEEAS018,2,1916,830.0,Erieview Tower,18,,,,,,,,
CLEEAS018,3,1916,955.0,Erieview Tower,18,,,,,,,,
CLEEAS019,0,1615,762.0,Erieview Tower,19,,,,,,,,
CLEEAS019,1,1617,558.0,Erieview Tower,19,,,,,,,,
CLEEAS019,2,1831,559.0,Erieview Tower,19,,,,,,,,
CLEEAS019,3,1831,763.0,Erieview Tower,19,,,,,,,,
CLEEAS020,0,1611,953.0,Erieview Tower,20,,,,,,,,
CLEEAS020,1,1612,828.0,Erieview Tower,20,,,,,,,,
CLEEAS020,2,1761,829.0,Erieview Tower,20,,,,,,,,
CLEEAS020,3,1763,952.0,Erieview Tower,20,,,,,,,,
CLEEAS021,0,1402,762.0,Erieview Tower,21,,,,,,,,
CLEEAS021,1,1400,558.0,Erieview Tower,21,,,,,,,,
CLEEAS021,2,1617,558.0,Erieview Tower,21,,,,,,,,
CLEEAS021,3,1615,762.0,Erieview Tower,21,,,,,,,,
CLEEAS022,0,1185,764.0,Erieview Tower,22,,,,,,,,
CLEEAS022,1,1187,562.0,Erieview Tower,22,,,,,,,,
CLEEAS022,2,1400,558.0,Erieview Tower,22,,,,,,,,
CLEEAS022,3,1402,762.0,Erieview Tower,22,,,,,,,,
CLEEAS023,0,996,1023.0,Erieview Tower,23,,,,,,,,
CLEEAS023,1,993,831.0,Erieview Tower,23,,,,,,,,
CLEEAS023,2,1234,830.0,Erieview Tower,23,,,,,,,,
CLEEAS023,3,1233,1021.0,Erieview Tower,23,,,,,,,,
CLEEAS024,0,968,763.0,Erieview Tower,24,,,,,,,,
CLEEAS024,1,969,562.0,Erieview Tower,24,,,,,,,,
CLEEAS024,2,1187,562.0,Erieview Tower,24,,,,,,,,
CLEEAS024,3,1185,764.0,Erieview Tower,24,,,,,,,,
CLEEAS025,0,709,764.0,Erieview Tower,25,,,,,,,,
CLEEAS025,1,708,561.0,Erieview Tower,25,,,,,,,,
CLEEAS025,2,969,562.0,Erieview Tower,25,,,,,,,,
CLEEAS025,3,968,763.0,Erieview Tower,25,,,,,,,,
CLEEAS026,0,822,1099.0,Erieview Tower,26,,,,,,,,
CLEEAS026,1,820,833.0,Erieview Tower,26,,,,,,,,
CLEEAS026,2,993,831.0,Erieview Tower,26,,,,,,,,
CLEEAS026,3,989,1046.0,Erieview Tower,26,,,,,,,,
CLEEAS026,4,1010,1048.0,Erieview Tower,26,,,,,,,,
CLEEAS026,5,1011,1097.0,Erieview Tower,26,,,,,,,,
CLEEAS027,0,580,934.0,Erieview Tower,27,,,,,,,,
CLEEAS027,1,579,831.0,Erieview Tower,27,,,,,,,,
