Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
EVADAV901,0,1334,1302.6,Evanston - 909 Davis,,,,,,,,,
EVADAV001,0,2242.3,701.2,Evanston - 909 Davis,,,,,,,,,
EVADAV001,1,2242.3,785.2,Evanston - 909 Davis,,,,,,,,,
EVADAV001,2,2084.8,785.2,Evanston - 909 Davis,,,,,,,,,
EVADAV001,3,2084.8,701.2,Evanston - 909 Davis,,,,,,,,,
EVADAV002,0,2242.3,785.2,Evanston - 909 Davis,,,,,,,,,
EVADAV002,1,2242.3,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV002,2,2084.8,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV002,3,2084.8,785.2,Evanston - 909 Davis,,,,,,,,,
EVADAV003,0,2242.3,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV003,1,2242.3,1037.2,Evanston - 909 Davis,,,,,,,,,
EVADAV003,2,2084.8,1037.2,Evanston - 909 Davis,,,,,,,,,
EVADAV003,3,2084.8,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV005,0,2492.5,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV005,1,2545,865.8,Evanston - 909 Davis,,,,,,,,,
EVADAV005,2,2545,886.0,Evanston - 909 Davis,,,,,,,,,
EVADAV005,3,2709.5,886.0,Evanston - 909 Davis,,,,,,,,,
EVADAV005,4,2709.5,912.9,Evanston - 909 Davis,,,,,,,,,
EVADAV005,5,2730.5,912.9,Evanston - 909 Davis,,,,,,,,,
EVADAV005,6,2730.5,1013.7,Evanston - 909 Davis,,,,,,,,,
EVADAV005,7,2702.5,1013.7,Evanston - 909 Davis,,,,,,,,,
EVADAV005,8,2699,1037.2,Evanston - 909 Davis,,,,,,,,,
EVADAV005,9,2492.5,1037.2,Evanston - 909 Davis,,,,,,,,,
EVADAV006,0,2545,886.0,Evanston - 909 Davis,,,,,,,,,
EVADAV006,1,2545,808.7,Evanston - 909 Davis,,,,,,,,,
EVADAV006,2,2728.8,808.7,Evanston - 909 Davis,,,,,,,,,
EVADAV006,3,2730.5,912.9,Evanston - 909 Davis,,,,,,,,,
EVADAV006,4,2709.5,912.9,Evanston - 909 Davis,,,,,,,,,
EVADAV006,5,2709.5,886.0,Evanston - 909 Davis,,,,,,,,,
EVADAV007,0,2545,808.7,Evanston - 909 Davis,,,,,,,,,
EVADAV007,1,2545,694.5,Evanston - 909 Davis,,,,,,,,,
EVADAV007,2,2700.8,694.5,Evanston - 909 Davis,,,,,,,,,
EVADAV007,3,2700.8,724.7,Evanston - 909 Davis,,,,,,,,,
EVADAV007,4,2728.8,724.7,Evanston - 909 Davis,,,,,,,,,
EVADAV007,5,2728.8,808.7,Evanston - 909 Davis,,,,,,,,,
EVADAV008,0,2545,694.5,Evanston - 909 Davis,,,,,,,,,
EVADAV008,1,2545,655.8,Evanston - 909 Davis,,,,,,,,,
EVADAV008,2,2497.8,655.8,Evanston - 909 Davis,,,,,,,,,
EVADAV008,3,2497.8,491.2,Evanston - 909 Davis,,,,,,,,,
EVADAV008,4,2697.3,491.2,Evanston - 909 Davis,,,,,,,,,
EVADAV008,5,2697.3,521.4,Evanston - 909 Davis,,,,,,,,,
EVADAV008,6,2725.3,521.4,Evanston - 909 Davis,,,,,,,,,
EVADAV008,7,2725.3,696.2,Evanston - 909 Davis,,,,,,,,,
EVADAV009,0,2497.8,655.8,Evanston - 909 Davis,,,,,,,,,
EVADAV009,1,2308.8,655.8,Evanston - 909 Davis,,,,,,,,,
EVADAV009,2,2308.8,551.7,Evanston - 909 Davis,,,,,,,,,
EVADAV009,3,2357.8,551.7,Evanston - 909 Davis,,,,,,,,,
EVADAV009,4,2357.8,514.7,Evanston - 909 Davis,,,,,,,,,
EVADAV009,5,2408.5,514.7,Evanston - 909 Davis,,,,,,,,,
