Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCFLA301,0,1085,1400.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,1,1085,1415.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,2,1090,1415.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,3,1090,1535.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,4,1005,1535.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,5,1005,1540.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,6,955,1540.0,Flatiron Retrace,301,,,,,,,,
NYCFLA301,7,955,1400.0,Flatiron Retrace,301,,,,,,,,
NYCFLA302,0,955,1400.0,Flatiron Retrace,302,,,,,,,,
NYCFLA302,1,855,1400.0,Flatiron Retrace,302,,,,,,,,
NYCFLA302,2,855,1415.0,Flatiron Retrace,302,,,,,,,,
NYCFLA302,3,840,1415.0,Flatiron Retrace,302,,,,,,,,
NYCFLA302,4,840,1500.0,Flatiron Retrace,302,,,,,,,,
NYCFLA302,5,955,1500.0,Flatiron Retrace,302,,,,,,,,
NYCFLA303,0,840,1500.0,Flatiron Retrace,303,,,,,,,,
NYCFLA303,1,715,1500.0,Flatiron Retrace,303,,,,,,,,
NYCFLA303,2,715,1400.0,Flatiron Retrace,303,,,,,,,,
NYCFLA303,3,840,1400.0,Flatiron Retrace,303,,,,,,,,
NYCFLA304,0,715,1400.0,Flatiron Retrace,304,,,,,,,,
NYCFLA304,1,605,1400.0,Flatiron Retrace,304,,,,,,,,
NYCFLA304,2,605,1415.0,Flatiron Retrace,304,,,,,,,,
NYCFLA304,3,595,1415.0,Flatiron Retrace,304,,,,,,,,
NYCFLA304,4,595,1500.0,Flatiron Retrace,304,,,,,,,,
NYCFLA304,5,715,1500.0,Flatiron Retrace,304,,,,,,,,
NYCFLA305,0,720,1545.0,Flatiron Retrace,305,,,,,,,,
NYCFLA305,1,720,1640.0,Flatiron Retrace,305,,,,,,,,
NYCFLA305,2,600,1640.0,Flatiron Retrace,305,,,,,,,,
NYCFLA305,3,600,1545.0,Flatiron Retrace,305,,,,,,,,
NYCFLA306,0,595,1500.0,Flatiron Retrace,306,,,,,,,,
NYCFLA306,1,475,1500.0,Flatiron Retrace,306,,,,,,,,
NYCFLA306,2,475,1400.0,Flatiron Retrace,306,,,,,,,,
NYCFLA306,3,585,1400.0,Flatiron Retrace,306,,,,,,,,
NYCFLA306,4,585,1415.0,Flatiron Retrace,306,,,,,,,,
NYCFLA306,5,595,1415.0,Flatiron Retrace,306,,,,,,,,
NYCFLA307,0,600,1640.0,Flatiron Retrace,307,,,,,,,,
NYCFLA307,1,480,1640.0,Flatiron Retrace,307,,,,,,,,
NYCFLA307,2,480,1545.0,Flatiron Retrace,307,,,,,,,,
NYCFLA307,3,600,1545.0,Flatiron Retrace,307,,,,,,,,
NYCFLA308,0,475,1400.0,Flatiron Retrace,308,,,,,,,,
NYCFLA308,1,355,1400.0,Flatiron Retrace,308,,,,,,,,
NYCFLA308,2,355,1500.0,Flatiron Retrace,308,,,,,,,,
NYCFLA308,3,475,1500.0,Flatiron Retrace,308,,,,,,,,
NYCFLA309,0,480,1640.0,Flatiron Retrace,309,,,,,,,,
NYCFLA309,1,480,1735.0,Flatiron Retrace,309,,,,,,,,
NYCFLA309,2,355,1735.0,Flatiron Retrace,309,,,,,,,,
NYCFLA309,3,355,1545.0,Flatiron Retrace,309,,,,,,,,
NYCFLA309,4,480,1545.0,Flatiron Retrace,309,,,,,,,,
NYCFLA310,0,355,1400.0,Flatiron Retrace,310,,,,,,,,
NYCFLA310,1,95,1400.0,Flatiron Retrace,310,,,,,,,,
NYCFLA310,2,95,1530.0,Flatiron Retrace,310,,,,,,,,
NYCFLA310,3,160,1530.0,Flatiron Retrace,310,,,,,,,,
NYCFLA310,4,160,1500.0,Flatiron Retrace,310,,,,,,,,
NYCFLA310,5,355,1500.0,Flatiron Retrace,310,,,,,,,,
NYCFLA311,0,355,1545.0,Flatiron Retrace,311,,,,,,,,
NYCFLA311,1,245,1545.0,Flatiron Retrace,311,,,,,,,,
NYCFLA311,2,245,1735.0,Flatiron Retrace,311,,,,,,,,
NYCFLA311,3,355,1735.0,Flatiron Retrace,311,,,,,,,,
NYCFLA312,0,245,1735.0,Flatiron Retrace,312,,,,,,,,
NYCFLA312,1,245,1845.0,Flatiron Retrace,312,,,,,,,,
NYCFLA312,2,320,1845.0,Flatiron Retrace,312,,,,,,,,
NYCFLA312,3,320,1735.0,Flatiron Retrace,312,,,,,,,,
NYCFLA313,0,435,1955.0,Flatiron Retrace,313,,,,,,,,
NYCFLA313,1,310,1955.0,Flatiron Retrace,313,,,,,,,,
NYCFLA313,2,310,2045.0,Flatiron Retrace,313,,,,,,,,
NYCFLA313,3,435,2045.0,Flatiron Retrace,313,,,,,,,,
NYCFLA314,0,310,2000.0,Flatiron Retrace,314,,,,,,,,
NYCFLA314,1,245,2000.0,Flatiron Retrace,314,,,,,,,,
NYCFLA314,2,245,2145.0,Flatiron Retrace,314,,,,,,,,
NYCFLA314,3,310,2145.0,Flatiron Retrace,314,,,,,,,,
NYCFLA315,0,275,2190.0,Flatiron Retrace,315,,,,,,,,
NYCFLA315,1,275,2285.0,Flatiron Retrace,315,,,,,,,,
NYCFLA315,2,90,2285.0,Flatiron Retrace,315,,,,,,,,
NYCFLA315,3,90,2190.0,Flatiron Retrace,315,,,,,,,,
NYCFLA316,0,309,2143.0,Flatiron Retrace,316,,,,,,,,
NYCFLA316,1,309,2047.0,Flatiron Retrace,316,,,,,,,,
NYCFLA316,2,436,2047.0,Flatiron Retrace,316,,,,,,,,
NYCFLA316,3,309,2143.0,Flatiron Retrace,316,,,,,,,,
NYCFLA317,0,275,2190.0,Flatiron Retrace,317,,,,,,,,
NYCFLA317,1,415,2190.0,Flatiron Retrace,317,,,,,,,,
NYCFLA317,2,415,2285.0,Flatiron Retrace,317,,,,,,,,
NYCFLA317,3,275,2285.0,Flatiron Retrace,317,,,,,,,,
NYCFLA318,0,435,1955.0,Flatiron Retrace,318,,,,,,,,
NYCFLA318,1,545,1955.0,Flatiron Retrace,318,,,,,,,,
NYCFLA318,2,545,2145.0,Flatiron Retrace,318,,,,,,,,
NYCFLA318,3,435,2145.0,Flatiron Retrace,318,,,,,,,,
NYCFLA319,0,415,2190.0,Flatiron Retrace,319,,,,,,,,
NYCFLA319,1,535,2190.0,Flatiron Retrace,319,,,,,,,,
NYCFLA319,2,535,2285.0,Flatiron Retrace,319,,,,,,,,
NYCFLA319,3,415,2285.0,Flatiron Retrace,319,,,,,,,,
NYCFLA320,0,595,1955.0,Flatiron Retrace,320,,,,,,,,
NYCFLA320,1,830,1955.0,Flatiron Retrace,320,,,,,,,,
NYCFLA320,2,830,2145.0,Flatiron Retrace,320,,,,,,,,
NYCFLA320,3,595,2145.0,Flatiron Retrace,320,,,,,,,,
NYCFLA321,0,725,2190.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,1,725,2315.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,2,705,2315.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,3,705,2295.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,4,655,2295.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,5,655,2305.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,6,590,2305.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,7,590,2395.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,8,605,2395.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,9,605,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,10,705,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,11,705,2450.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,12,730,2450.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,13,730,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,14,835,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,15,835,2450.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,16,850,2450.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,17,850,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,18,1095,2460.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,19,1095,2310.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,20,970,2310.0,Flatiron Retrace,321,,,,,,,,
NYCFLA321,21,970,2190.0,Flatiron Retrace,321,,,,,,,,
NYCFLA322,0,395,1775.0,Flatiron Retrace,322,,,,,,,,
NYCFLA322,1,395,1910.0,Flatiron Retrace,322,,,,,,,,
NYCFLA322,2,585,1910.0,Flatiron Retrace,322,,,,,,,,
NYCFLA322,3,585,1775.0,Flatiron Retrace,322,,,,,,,,
NYCFLA323,0,480,1735.0,Flatiron Retrace,323,,,,,,,,
NYCFLA323,1,720,1735.0,Flatiron Retrace,323,,,,,,,,
NYCFLA323,2,720,1640.0,Flatiron Retrace,323,,,,,,,,
NYCFLA323,3,480,1640.0,Flatiron Retrace,323,,,,,,,,
NYCFLA401,0,2020,970.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,1,2020,825.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,2,2155,825.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,3,2155,950.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,4,2130,950.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,5,2130,960.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,6,2065,960.0,Flatiron Retrace,401,,,,,,,,
NYCFLA401,7,2065,970.0,Flatiron Retrace,401,,,,,,,,
NYCFLA402,0,2020,825.0,Flatiron Retrace,402,,,,,,,,
NYCFLA402,1,1915,825.0,Flatiron Retrace,402,,,,,,,,
NYCFLA402,2,1915,840.0,Flatiron Retrace,402,,,,,,,,
NYCFLA402,3,1905,845.0,Flatiron Retrace,402,,,,,,,,
NYCFLA402,4,1905,925.0,Flatiron Retrace,402,,,,,,,,
NYCFLA402,5,2020,925.0,Flatiron Retrace,402,,,,,,,,
NYCFLA403,0,1905,845.0,Flatiron Retrace,403,,,,,,,,
NYCFLA403,1,1905,825.0,Flatiron Retrace,403,,,,,,,,
NYCFLA403,2,1780,825.0,Flatiron Retrace,403,,,,,,,,
NYCFLA403,3,1780,925.0,Flatiron Retrace,403,,,,,,,,
NYCFLA403,4,1905,925.0,Flatiron Retrace,403,,,,,,,,
NYCFLA404,0,1780,825.0,Flatiron Retrace,404,,,,,,,,
NYCFLA404,1,1660,825.0,Flatiron Retrace,404,,,,,,,,
NYCFLA404,2,1660,925.0,Flatiron Retrace,404,,,,,,,,
NYCFLA404,3,1780,925.0,Flatiron Retrace,404,,,,,,,,
NYCFLA405,0,1660,925.0,Flatiron Retrace,405,,,,,,,,
NYCFLA405,1,1535,925.0,Flatiron Retrace,405,,,,,,,,
NYCFLA405,2,1535,825.0,Flatiron Retrace,405,,,,,,,,
NYCFLA405,3,1650,825.0,Flatiron Retrace,405,,,,,,,,
NYCFLA405,4,1650,840.0,Flatiron Retrace,405,,,,,,,,
NYCFLA405,5,1660,840.0,Flatiron Retrace,405,,,,,,,,
NYCFLA406,0,1535,925.0,Flatiron Retrace,406,,,,,,,,
NYCFLA406,1,1415,925.0,Flatiron Retrace,406,,,,,,,,
NYCFLA406,2,1415,825.0,Flatiron Retrace,406,,,,,,,,
NYCFLA406,3,1535,825.0,Flatiron Retrace,406,,,,,,,,
NYCFLA407,0,1415,925.0,Flatiron Retrace,407,,,,,,,,
NYCFLA407,1,1295,925.0,Flatiron Retrace,407,,,,,,,,
NYCFLA407,2,1295,825.0,Flatiron Retrace,407,,,,,,,,
NYCFLA407,3,1400,825.0,Flatiron Retrace,407,,,,,,,,
NYCFLA407,4,1400,840.0,Flatiron Retrace,407,,,,,,,,
NYCFLA407,5,1415,840.0,Flatiron Retrace,407,,,,,,,,
NYCFLA408,0,1295,825.0,Flatiron Retrace,408,,,,,,,,
NYCFLA408,1,1155,825.0,Flatiron Retrace,408,,,,,,,,
NYCFLA408,2,1155,945.0,Flatiron Retrace,408,,,,,,,,
