Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
FTL2001101,0,1380,2025.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001101,1,1405,2025.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001101,2,1470,2090.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001101,3,1510,2050.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001101,4,1510,1980.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001101,5,1380,1980.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1101,,,,,,,,
FTL2001102,0,1330,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,1,1330,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,2,1510,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,3,1510,1885.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,4,1500,1885.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,5,1500,1900.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,6,1445,1900.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001102,7,1445,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1102,,,,,,,,
FTL2001103,0,1330,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1103,,,,,,,,
FTL2001103,1,1190,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1103,,,,,,,,
FTL2001103,2,1190,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1103,,,,,,,,
FTL2001103,3,1330,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1103,,,,,,,,
FTL2001104,0,1155,2075.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1104,,,,,,,,
FTL2001104,1,1080,2075.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1104,,,,,,,,
FTL2001104,2,1080,1970.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1104,,,,,,,,
FTL2001104,3,1155,1970.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1104,,,,,,,,
FTL2001105,0,1190,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1105,,,,,,,,
FTL2001105,1,1045,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1105,,,,,,,,
FTL2001105,2,1045,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1105,,,,,,,,
FTL2001105,3,1190,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1105,,,,,,,,
FTL2001106,0,1080,2075.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1106,,,,,,,,
FTL2001106,1,1005,2075.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1106,,,,,,,,
FTL2001106,2,1005,1970.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1106,,,,,,,,
FTL2001106,3,1080,1970.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1106,,,,,,,,
FTL2001107,0,1045,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1107,,,,,,,,
FTL2001107,1,930,1930.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1107,,,,,,,,
FTL2001107,2,930,1770.0,Fort Lauderdale - 200 E Las Olas (Las Olas),1107,,,,,,,,
