Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCFUL201,0,768,2207.0,Fulton Center,201,,,,,,,,
NYCFUL201,1,872,2207.0,Fulton Center,201,,,,,,,,
NYCFUL201,2,874,2133.0,Fulton Center,201,,,,,,,,
NYCFUL201,3,898,2133.0,Fulton Center,201,,,,,,,,
NYCFUL201,4,899,2025.0,Fulton Center,201,,,,,,,,
NYCFUL201,5,768,2050.0,Fulton Center,201,,,,,,,,
NYCFUL202,0,610,2283.0,Fulton Center,202,,,,,,,,
NYCFUL202,1,612,2244.0,Fulton Center,202,,,,,,,,
NYCFUL202,2,660,2242.0,Fulton Center,202,,,,,,,,
NYCFUL202,3,659,2284.0,Fulton Center,202,,,,,,,,
NYCFUL203,0,621,2209.0,Fulton Center,203,,,,,,,,
NYCFUL203,1,621,2124.0,Fulton Center,203,,,,,,,,
NYCFUL203,2,636,2122.0,Fulton Center,203,,,,,,,,
NYCFUL203,3,637,2072.0,Fulton Center,203,,,,,,,,
NYCFUL203,4,749,2051.0,Fulton Center,203,,,,,,,,
NYCFUL203,5,751,2059.0,Fulton Center,203,,,,,,,,
NYCFUL203,6,768,2050.0,Fulton Center,203,,,,,,,,
NYCFUL203,7,768,2207.0,Fulton Center,203,,,,,,,,
NYCFUL204,0,565,2283.0,Fulton Center,204,,,,,,,,
NYCFUL204,1,565,2245.0,Fulton Center,204,,,,,,,,
NYCFUL204,2,612,2244.0,Fulton Center,204,,,,,,,,
NYCFUL204,3,612,2283.0,Fulton Center,204,,,,,,,,
NYCFUL205,0,475,2209.0,Fulton Center,205,,,,,,,,
NYCFUL205,1,477,2106.0,Fulton Center,205,,,,,,,,
NYCFUL205,2,495,2103.0,Fulton Center,205,,,,,,,,
NYCFUL205,3,493,2092.0,Fulton Center,205,,,,,,,,
NYCFUL205,4,607,2071.0,Fulton Center,205,,,,,,,,
NYCFUL205,5,607,2122.0,Fulton Center,205,,,,,,,,
NYCFUL205,6,621,2124.0,Fulton Center,205,,,,,,,,
NYCFUL205,7,621,2209.0,Fulton Center,205,,,,,,,,
NYCFUL206,0,516,2280.0,Fulton Center,206,,,,,,,,
NYCFUL206,1,515,2245.0,Fulton Center,206,,,,,,,,
NYCFUL206,2,565,2245.0,Fulton Center,206,,,,,,,,
NYCFUL206,3,565,2283.0,Fulton Center,206,,,,,,,,
NYCFUL207,0,329,2209.0,Fulton Center,207,,,,,,,,
NYCFUL207,1,331,2167.0,Fulton Center,207,,,,,,,,
NYCFUL207,2,343,2166.0,Fulton Center,207,,,,,,,,
NYCFUL207,3,344,2118.0,Fulton Center,207,,,,,,,,
NYCFUL207,4,456,2097.0,Fulton Center,207,,,,,,,,
NYCFUL207,5,458,2108.0,Fulton Center,207,,,,,,,,
NYCFUL207,6,477,2106.0,Fulton Center,207,,,,,,,,
NYCFUL207,7,475,2209.0,Fulton Center,207,,,,,,,,
NYCFUL208,0,467,2282.0,Fulton Center,208,,,,,,,,
NYCFUL208,1,470,2244.0,Fulton Center,208,,,,,,,,
NYCFUL208,2,515,2245.0,Fulton Center,208,,,,,,,,
NYCFUL208,3,516,2283.0,Fulton Center,208,,,,,,,,
NYCFUL209,0,187,2219.0,Fulton Center,209,,,,,,,,
NYCFUL209,1,230,2219.0,Fulton Center,209,,,,,,,,
NYCFUL209,2,230,2208.0,Fulton Center,209,,,,,,,,
NYCFUL209,3,329,2209.0,Fulton Center,209,,,,,,,,
NYCFUL209,4,331,2167.0,Fulton Center,209,,,,,,,,
NYCFUL209,5,343,2166.0,Fulton Center,209,,,,,,,,
NYCFUL209,6,344,2118.0,Fulton Center,209,,,,,,,,
NYCFUL209,7,186,2146.0,Fulton Center,209,,,,,,,,
NYCFUL210,0,420,2279.0,Fulton Center,210,,,,,,,,
NYCFUL210,1,421,2243.0,Fulton Center,210,,,,,,,,
NYCFUL210,2,470,2244.0,Fulton Center,210,,,,,,,,
NYCFUL210,3,467,2282.0,Fulton Center,210,,,,,,,,
NYCFUL211,0,62,2272.0,Fulton Center,211,,,,,,,,
NYCFUL211,1,46,2230.0,Fulton Center,211,,,,,,,,
NYCFUL211,2,45,2200.0,Fulton Center,211,,,,,,,,
NYCFUL211,3,64,2164.0,Fulton Center,211,,,,,,,,
NYCFUL211,4,97,2143.0,Fulton Center,211,,,,,,,,
NYCFUL211,5,125,2138.0,Fulton Center,211,,,,,,,,
NYCFUL211,6,161,2150.0,Fulton Center,211,,,,,,,,
NYCFUL211,7,186,2146.0,Fulton Center,211,,,,,,,,
NYCFUL211,8,187,2219.0,Fulton Center,211,,,,,,,,
NYCFUL211,9,230,2219.0,Fulton Center,211,,,,,,,,
NYCFUL211,10,230,2277.0,Fulton Center,211,,,,,,,,
NYCFUL212,0,347,2277.0,Fulton Center,212,,,,,,,,
NYCFUL212,1,346,2244.0,Fulton Center,212,,,,,,,,
NYCFUL212,2,421,2243.0,Fulton Center,212,,,,,,,,
NYCFUL212,3,420,2279.0,Fulton Center,212,,,,,,,,
NYCFUL301,0,451,1818.0,Fulton Center,301,,,,,,,,
NYCFUL301,1,494,1716.0,Fulton Center,301,,,,,,,,
NYCFUL301,2,553,1715.0,Fulton Center,301,,,,,,,,
NYCFUL301,3,552,1817.0,Fulton Center,301,,,,,,,,
NYCFUL302,0,552,1817.0,Fulton Center,302,,,,,,,,
NYCFUL302,1,639,1816.0,Fulton Center,302,,,,,,,,
NYCFUL302,2,638,1716.0,Fulton Center,302,,,,,,,,
NYCFUL302,3,553,1715.0,Fulton Center,302,,,,,,,,
NYCFUL303,0,639,1816.0,Fulton Center,303,,,,,,,,
NYCFUL303,1,739,1816.0,Fulton Center,303,,,,,,,,
NYCFUL303,2,701,1716.0,Fulton Center,303,,,,,,,,
NYCFUL303,3,638,1716.0,Fulton Center,303,,,,,,,,
NYCFUL304,0,831,763.0,Fulton Center,304,,,,,,,,
NYCFUL304,1,830,722.0,Fulton Center,304,,,,,,,,
NYCFUL304,2,854,722.0,Fulton Center,304,,,,,,,,
NYCFUL304,3,851,684.0,Fulton Center,304,,,,,,,,
NYCFUL304,4,939,668.0,Fulton Center,304,,,,,,,,
NYCFUL304,5,942,672.0,Fulton Center,304,,,,,,,,
NYCFUL304,6,977,668.0,Fulton Center,304,,,,,,,,
NYCFUL304,7,975,657.0,Fulton Center,304,,,,,,,,
NYCFUL304,8,1000,643.0,Fulton Center,304,,,,,,,,
NYCFUL304,9,1021,640.0,Fulton Center,304,,,,,,,,
NYCFUL304,10,1046,644.0,Fulton Center,304,,,,,,,,
NYCFUL304,11,1050,658.0,Fulton Center,304,,,,,,,,
NYCFUL304,12,1056,657.0,Fulton Center,304,,,,,,,,
NYCFUL304,13,1057,699.0,Fulton Center,304,,,,,,,,
NYCFUL304,14,942,699.0,Fulton Center,304,,,,,,,,
NYCFUL304,15,942,763.0,Fulton Center,304,,,,,,,,
NYCFUL305,0,724,769.0,Fulton Center,305,,,,,,,,
NYCFUL305,1,831,768.0,Fulton Center,305,,,,,,,,
NYCFUL305,2,829,683.0,Fulton Center,305,,,,,,,,
NYCFUL305,3,737,699.0,Fulton Center,305,,,,,,,,
NYCFUL305,4,741,709.0,Fulton Center,305,,,,,,,,
NYCFUL305,5,725,712.0,Fulton Center,305,,,,,,,,
NYCFUL306,0,614,858.0,Fulton Center,306,,,,,,,,
NYCFUL306,1,726,856.0,Fulton Center,306,,,,,,,,
NYCFUL306,2,725,712.0,Fulton Center,306,,,,,,,,
NYCFUL306,3,715,713.0,Fulton Center,306,,,,,,,,
NYCFUL306,4,712,705.0,Fulton Center,306,,,,,,,,
NYCFUL306,5,627,723.0,Fulton Center,306,,,,,,,,
NYCFUL306,6,627,762.0,Fulton Center,306,,,,,,,,
NYCFUL306,7,614,762.0,Fulton Center,306,,,,,,,,
NYCFUL307,0,502,857.0,Fulton Center,307,,,,,,,,
NYCFUL307,1,614,858.0,Fulton Center,307,,,,,,,,
NYCFUL307,2,614,762.0,Fulton Center,307,,,,,,,,
NYCFUL307,3,602,762.0,Fulton Center,307,,,,,,,,
NYCFUL307,4,602,725.0,Fulton Center,307,,,,,,,,
NYCFUL307,5,514,740.0,Fulton Center,307,,,,,,,,
NYCFUL307,6,515,750.0,Fulton Center,307,,,,,,,,
NYCFUL307,7,502,752.0,Fulton Center,307,,,,,,,,
NYCFUL308,0,502,857.0,Fulton Center,308,,,,,,,,
NYCFUL308,1,422,856.0,Fulton Center,308,,,,,,,,
NYCFUL308,2,421,848.0,Fulton Center,308,,,,,,,,
NYCFUL308,3,389,848.0,Fulton Center,308,,,,,,,,
NYCFUL308,4,388,798.0,Fulton Center,308,,,,,,,,
NYCFUL308,5,398,799.0,Fulton Center,308,,,,,,,,
NYCFUL308,6,399,761.0,Fulton Center,308,,,,,,,,
NYCFUL308,7,487,744.0,Fulton Center,308,,,,,,,,
NYCFUL308,8,488,754.0,Fulton Center,308,,,,,,,,
NYCFUL308,9,502,752.0,Fulton Center,308,,,,,,,,
NYCFUL309,0,276,850.0,Fulton Center,309,,,,,,,,
NYCFUL309,1,275,787.0,Fulton Center,309,,,,,,,,
NYCFUL309,2,290,784.0,Fulton Center,309,,,,,,,,
NYCFUL309,3,287,774.0,Fulton Center,309,,,,,,,,
NYCFUL309,4,372,759.0,Fulton Center,309,,,,,,,,
NYCFUL309,5,374,771.0,Fulton Center,309,,,,,,,,
NYCFUL309,6,381,772.0,Fulton Center,309,,,,,,,,
NYCFUL309,7,379,798.0,Fulton Center,309,,,,,,,,
NYCFUL309,8,388,798.0,Fulton Center,309,,,,,,,,
NYCFUL309,9,389,848.0,Fulton Center,309,,,,,,,,
NYCFUL310,0,273,879.0,Fulton Center,310,,,,,,,,
NYCFUL310,1,181,876.0,Fulton Center,310,,,,,,,,
NYCFUL310,2,171,849.0,Fulton Center,310,,,,,,,,
NYCFUL310,3,172,824.0,Fulton Center,310,,,,,,,,
NYCFUL310,4,180,797.0,Fulton Center,310,,,,,,,,
NYCFUL310,5,204,780.0,Fulton Center,310,,,,,,,,
NYCFUL310,6,230,776.0,Fulton Center,310,,,,,,,,
NYCFUL310,7,256,781.0,Fulton Center,310,,,,,,,,
NYCFUL310,8,274,779.0,Fulton Center,310,,,,,,,,
NYCFUL401,0,2103,2187.0,Fulton Center,401,,,,,,,,
NYCFUL401,1,2174,2188.0,Fulton Center,401,,,,,,,,
NYCFUL401,2,2173,2214.0,Fulton Center,401,,,,,,,,
NYCFUL401,3,2218,2215.0,Fulton Center,401,,,,,,,,
NYCFUL401,4,2218,2134.0,Fulton Center,401,,,,,,,,
NYCFUL401,5,2236,2133.0,Fulton Center,401,,,,,,,,
NYCFUL401,6,2236,2116.0,Fulton Center,401,,,,,,,,
NYCFUL401,7,2243,2115.0,Fulton Center,401,,,,,,,,
NYCFUL401,8,2241,2016.0,Fulton Center,401,,,,,,,,
NYCFUL401,9,2121,2036.0,Fulton Center,401,,,,,,,,
NYCFUL401,10,2123,2046.0,Fulton Center,401,,,,,,,,
NYCFUL401,11,2103,2050.0,Fulton Center,401,,,,,,,,
NYCFUL402,0,2010,2292.0,Fulton Center,402,,,,,,,,
NYCFUL402,1,2046,2292.0,Fulton Center,402,,,,,,,,
NYCFUL402,2,2086,2292.0,Fulton Center,402,,,,,,,,
NYCFUL402,3,2088,2225.0,Fulton Center,402,,,,,,,,
NYCFUL402,4,2066,2225.0,Fulton Center,402,,,,,,,,
