Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCGRM401,0,340,1250.0,Gramercy Park,401,,,,,,,,
NYCGRM401,1,340,1080.0,Gramercy Park,401,,,,,,,,
NYCGRM401,2,25,1080.0,Gramercy Park,401,,,,,,,,
NYCGRM401,3,25,1250.0,Gramercy Park,401,,,,,,,,
NYCGRM402,0,340,1250.0,Gramercy Park,402,,,,,,,,
NYCGRM402,1,340,1405.0,Gramercy Park,402,,,,,,,,
NYCGRM402,2,25,1405.0,Gramercy Park,402,,,,,,,,
NYCGRM402,3,25,1250.0,Gramercy Park,402,,,,,,,,
NYCGRM403,0,340,1405.0,Gramercy Park,403,,,,,,,,
NYCGRM403,1,340,1555.0,Gramercy Park,403,,,,,,,,
NYCGRM403,2,25,1555.0,Gramercy Park,403,,,,,,,,
NYCGRM403,3,25,1405.0,Gramercy Park,403,,,,,,,,
NYCGRM404,0,340,1555.0,Gramercy Park,404,,,,,,,,
NYCGRM404,1,340,1695.0,Gramercy Park,404,,,,,,,,
NYCGRM404,2,25,1695.0,Gramercy Park,404,,,,,,,,
NYCGRM404,3,25,1555.0,Gramercy Park,404,,,,,,,,
NYCGRM405,0,340,1695.0,Gramercy Park,405,,,,,,,,
NYCGRM405,1,340,1870.0,Gramercy Park,405,,,,,,,,
NYCGRM405,2,25,1870.0,Gramercy Park,405,,,,,,,,
NYCGRM405,3,25,1695.0,Gramercy Park,405,,,,,,,,
NYCGRM406,0,340,1870.0,Gramercy Park,406,,,,,,,,
NYCGRM406,1,340,1925.0,Gramercy Park,406,,,,,,,,
NYCGRM406,2,405,1925.0,Gramercy Park,406,,,,,,,,
NYCGRM406,3,405,2085.0,Gramercy Park,406,,,,,,,,
NYCGRM406,4,25,2085.0,Gramercy Park,406,,,,,,,,
NYCGRM406,5,25,1870.0,Gramercy Park,406,,,,,,,,
NYCGRM407,0,525,1850.0,Gramercy Park,407,,,,,,,,
NYCGRM407,1,525,1670.0,Gramercy Park,407,,,,,,,,
NYCGRM407,2,410,1670.0,Gramercy Park,407,,,,,,,,
