Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCGOP101,0,"1,245",1065.0,Greenwich Office Park,101,,,,,,,,
NYCGOP101,1,"1,390",1065.0,Greenwich Office Park,101,,,,,,,,
NYCGOP101,2,"1,390",925.0,Greenwich Office Park,101,,,,,,,,
NYCGOP101,3,"1,245",925.0,Greenwich Office Park,101,,,,,,,,
NYCGOP102,0,"1,090",1065.0,Greenwich Office Park,102,,,,,,,,
NYCGOP102,1,"1,245",1065.0,Greenwich Office Park,102,,,,,,,,
NYCGOP102,2,"1,245",925.0,Greenwich Office Park,102,,,,,,,,
NYCGOP102,3,"1,090",925.0,Greenwich Office Park,102,,,,,,,,
NYCGOP103,0,"1,030",1395.0,Greenwich Office Park,103,,,,,,,,
NYCGOP103,1,"1,265",1395.0,Greenwich Office Park,103,,,,,,,,
NYCGOP103,2,"1,265",1240.0,Greenwich Office Park,103,,,,,,,,
NYCGOP103,3,"1,030",1240.0,Greenwich Office Park,103,,,,,,,,
NYCGOP104,0,"1,090",1195.0,Greenwich Office Park,104,,,,,,,,
NYCGOP104,1,"1,245",1195.0,Greenwich Office Park,104,,,,,,,,
NYCGOP104,2,"1,245",1065.0,Greenwich Office Park,104,,,,,,,,
NYCGOP104,3,"1,090",1065.0,Greenwich Office Park,104,,,,,,,,
NYCGOP105,0,"1,265",1395.0,Greenwich Office Park,105,,,,,,,,
NYCGOP105,1,"1,390",1395.0,Greenwich Office Park,105,,,,,,,,
NYCGOP105,2,"1,390",1240.0,Greenwich Office Park,105,,,,,,,,
NYCGOP105,3,"1,265",1240.0,Greenwich Office Park,105,,,,,,,,
NYCGOP106,0,"1,245",1195.0,Greenwich Office Park,106,,,,,,,,
NYCGOP106,1,"1,390",1195.0,Greenwich Office Park,106,,,,,,,,
NYCGOP106,2,"1,390",1065.0,Greenwich Office Park,106,,,,,,,,
NYCGOP106,3,"1,245",1065.0,Greenwich Office Park,106,,,,,,,,
NYCGOP107,0,"1,545",1195.0,Greenwich Office Park,107,,,,,,,,
NYCGOP107,1,"1,635",1195.0,Greenwich Office Park,107,,,,,,,,
NYCGOP107,2,"1,635",1070.0,Greenwich Office Park,107,,,,,,,,
NYCGOP107,3,"1,545",1070.0,Greenwich Office Park,107,,,,,,,,
NYCGOP108,0,"1,665",1395.0,Greenwich Office Park,108,,,,,,,,
NYCGOP108,1,"1,815",1395.0,Greenwich Office Park,108,,,,,,,,
NYCGOP108,2,"1,815",1245.0,Greenwich Office Park,108,,,,,,,,
NYCGOP108,3,"1,665",1245.0,Greenwich Office Park,108,,,,,,,,
NYCGOP109,0,"1,635",1195.0,Greenwich Office Park,109,,,,,,,,
NYCGOP109,1,"1,760",1195.0,Greenwich Office Park,109,,,,,,,,
NYCGOP109,2,"1,760",1070.0,Greenwich Office Park,109,,,,,,,,
NYCGOP109,3,"1,635",1070.0,Greenwich Office Park,109,,,,,,,,
NYCGOP110,0,"1,815",1395.0,Greenwich Office Park,110,,,,,,,,
NYCGOP110,1,"1,965",1395.0,Greenwich Office Park,110,,,,,,,,
NYCGOP110,2,"1,965",1245.0,Greenwich Office Park,110,,,,,,,,
NYCGOP110,3,"1,815",1245.0,Greenwich Office Park,110,,,,,,,,
NYCGOP111,0,"1,760",1195.0,Greenwich Office Park,111,,,,,,,,
NYCGOP111,1,"1,970",1195.0,Greenwich Office Park,111,,,,,,,,
NYCGOP111,2,"1,970",1040.0,Greenwich Office Park,111,,,,,,,,
NYCGOP111,3,"1,760",1040.0,Greenwich Office Park,111,,,,,,,,
NYCGOP112,0,"1,965",1395.0,Greenwich Office Park,112,,,,,,,,
NYCGOP112,1,"2,190",1395.0,Greenwich Office Park,112,,,,,,,,
NYCGOP112,2,"2,190",1245.0,Greenwich Office Park,112,,,,,,,,
NYCGOP112,3,"1,965",1245.0,Greenwich Office Park,112,,,,,,,,
NYCGOP113,0,"2,025",1245.0,Greenwich Office Park,113,,,,,,,,
NYCGOP113,1,"2,190",1245.0,Greenwich Office Park,113,,,,,,,,
NYCGOP113,2,"2,190",1065.0,Greenwich Office Park,113,,,,,,,,
NYCGOP113,3,"2,025",1065.0,Greenwich Office Park,113,,,,,,,,
NYCGOP114,0,"2,025",1065.0,Greenwich Office Park,114,,,,,,,,
NYCGOP114,1,"2,190",1065.0,Greenwich Office Park,114,,,,,,,,
NYCGOP114,2,"2,190",930.0,Greenwich Office Park,114,,,,,,,,
NYCGOP114,3,"2,025",930.0,Greenwich Office Park,114,,,,,,,,
NYCGOP115,0,"1,805",1040.0,Greenwich Office Park,115,,,,,,,,
NYCGOP115,1,"1,905",1040.0,Greenwich Office Park,115,,,,,,,,
NYCGOP115,2,"1,905",925.0,Greenwich Office Park,115,,,,,,,,
NYCGOP115,3,"1,805",925.0,Greenwich Office Park,115,,,,,,,,
NYCGOP116,0,605,1205.0,Greenwich Office Park,116,,,,,,,,
NYCGOP116,1,720,1205.0,Greenwich Office Park,116,,,,,,,,
NYCGOP116,2,720,1100.0,Greenwich Office Park,116,,,,,,,,
NYCGOP116,3,605,1100.0,Greenwich Office Park,116,,,,,,,,
NYCGOP117,0,570,1410.0,Greenwich Office Park,117,,,,,,,,
NYCGOP117,1,720,1410.0,Greenwich Office Park,117,,,,,,,,
NYCGOP117,2,720,1265.0,Greenwich Office Park,117,,,,,,,,
NYCGOP117,3,570,1265.0,Greenwich Office Park,117,,,,,,,,
NYCGOP118,0,480,1205.0,Greenwich Office Park,118,,,,,,,,
NYCGOP118,1,605,1205.0,Greenwich Office Park,118,,,,,,,,
NYCGOP118,2,605,1100.0,Greenwich Office Park,118,,,,,,,,
NYCGOP118,3,480,1100.0,Greenwich Office Park,118,,,,,,,,
NYCGOP119,0,375,1410.0,Greenwich Office Park,119,,,,,,,,
NYCGOP119,1,570,1410.0,Greenwich Office Park,119,,,,,,,,
NYCGOP119,2,570,1265.0,Greenwich Office Park,119,,,,,,,,
NYCGOP119,3,375,1265.0,Greenwich Office Park,119,,,,,,,,
NYCGOP120,0,360,1205.0,Greenwich Office Park,120,,,,,,,,
NYCGOP120,1,480,1205.0,Greenwich Office Park,120,,,,,,,,
NYCGOP120,2,480,1100.0,Greenwich Office Park,120,,,,,,,,
NYCGOP120,3,360,1100.0,Greenwich Office Park,120,,,,,,,,
NYCGOP121,0,265,1395.0,Greenwich Office Park,121,,,,,,,,
NYCGOP121,1,375,1395.0,Greenwich Office Park,121,,,,,,,,
NYCGOP121,2,375,1265.0,Greenwich Office Park,121,,,,,,,,
NYCGOP121,3,265,1265.0,Greenwich Office Park,121,,,,,,,,
NYCGOP122,0,265,1205.0,Greenwich Office Park,122,,,,,,,,
NYCGOP122,1,360,1205.0,Greenwich Office Park,122,,,,,,,,
NYCGOP122,2,360,1075.0,Greenwich Office Park,122,,,,,,,,
NYCGOP122,3,265,1075.0,Greenwich Office Park,122,,,,,,,,
NYCGOP123,0,170,1395.0,Greenwich Office Park,123,,,,,,,,
NYCGOP123,1,265,1395.0,Greenwich Office Park,123,,,,,,,,
NYCGOP123,2,265,1265.0,Greenwich Office Park,123,,,,,,,,
NYCGOP123,3,170,1265.0,Greenwich Office Park,123,,,,,,,,
NYCGOP124,0,25,1395.0,Greenwich Office Park,124,,,,,,,,
NYCGOP124,1,170,1395.0,Greenwich Office Park,124,,,,,,,,
NYCGOP124,2,170,1205.0,Greenwich Office Park,124,,,,,,,,
NYCGOP124,3,265,1205.0,Greenwich Office Park,124,,,,,,,,
NYCGOP124,4,265,1135.0,Greenwich Office Park,124,,,,,,,,
NYCGOP124,5,25,1135.0,Greenwich Office Park,124,,,,,,,,
NYCGOP125,0,715,1785.0,Greenwich Office Park,125,,,,,,,,
NYCGOP125,1,800,1785.0,Greenwich Office Park,125,,,,,,,,
NYCGOP125,2,800,1685.0,Greenwich Office Park,125,,,,,,,,
NYCGOP125,3,715,1685.0,Greenwich Office Park,125,,,,,,,,
NYCGOP126,0,375,1700.0,Greenwich Office Park,126,,,,,,,,
NYCGOP126,1,505,1700.0,Greenwich Office Park,126,,,,,,,,
NYCGOP126,2,505,1510.0,Greenwich Office Park,126,,,,,,,,
NYCGOP126,3,375,1510.0,Greenwich Office Park,126,,,,,,,,
NYCGOP127,0,640,1785.0,Greenwich Office Park,127,,,,,,,,
NYCGOP127,1,715,1785.0,Greenwich Office Park,127,,,,,,,,
NYCGOP127,2,715,1685.0,Greenwich Office Park,127,,,,,,,,
NYCGOP127,3,640,1685.0,Greenwich Office Park,127,,,,,,,,
NYCGOP128,0,375,1900.0,Greenwich Office Park,128,,,,,,,,
NYCGOP128,1,505,1900.0,Greenwich Office Park,128,,,,,,,,
NYCGOP128,2,505,1700.0,Greenwich Office Park,128,,,,,,,,
NYCGOP128,3,375,1700.0,Greenwich Office Park,128,,,,,,,,
NYCGOP129,0,550,1785.0,Greenwich Office Park,129,,,,,,,,
NYCGOP129,1,640,1785.0,Greenwich Office Park,129,,,,,,,,
NYCGOP129,2,640,1685.0,Greenwich Office Park,129,,,,,,,,
NYCGOP129,3,550,1685.0,Greenwich Office Park,129,,,,,,,,
NYCGOP130,0,370,2100.0,Greenwich Office Park,130,,,,,,,,
NYCGOP130,1,505,2100.0,Greenwich Office Park,130,,,,,,,,
NYCGOP130,2,505,1900.0,Greenwich Office Park,130,,,,,,,,
NYCGOP130,3,375,1900.0,Greenwich Office Park,130,,,,,,,,
NYCGOP131,0,550,1890.0,Greenwich Office Park,131,,,,,,,,
NYCGOP131,1,715,1890.0,Greenwich Office Park,131,,,,,,,,
NYCGOP131,2,715,1785.0,Greenwich Office Park,131,,,,,,,,
NYCGOP131,3,550,1785.0,Greenwich Office Park,131,,,,,,,,
NYCGOP132,0,370,2295.0,Greenwich Office Park,132,,,,,,,,
NYCGOP132,1,505,2295.0,Greenwich Office Park,132,,,,,,,,
NYCGOP132,2,505,2100.0,Greenwich Office Park,132,,,,,,,,
NYCGOP132,3,370,2100.0,Greenwich Office Park,132,,,,,,,,
NYCGOP133,0,550,1990.0,Greenwich Office Park,133,,,,,,,,
NYCGOP133,1,715,1990.0,Greenwich Office Park,133,,,,,,,,
NYCGOP133,2,715,1890.0,Greenwich Office Park,133,,,,,,,,
NYCGOP133,3,550,1890.0,Greenwich Office Park,133,,,,,,,,
NYCGOP134,0,370,2445.0,Greenwich Office Park,134,,,,,,,,
NYCGOP134,1,570,2445.0,Greenwich Office Park,134,,,,,,,,
NYCGOP134,2,570,2295.0,Greenwich Office Park,134,,,,,,,,
NYCGOP134,3,370,2295.0,Greenwich Office Park,134,,,,,,,,
NYCGOP135,0,550,2140.0,Greenwich Office Park,135,,,,,,,,
NYCGOP135,1,715,2140.0,Greenwich Office Park,135,,,,,,,,
NYCGOP135,2,715,1990.0,Greenwich Office Park,135,,,,,,,,
NYCGOP135,3,550,1990.0,Greenwich Office Park,135,,,,,,,,
NYCGOP136,0,570,2445.0,Greenwich Office Park,136,,,,,,,,
NYCGOP136,1,720,2445.0,Greenwich Office Park,136,,,,,,,,
NYCGOP136,2,720,2295.0,Greenwich Office Park,136,,,,,,,,
NYCGOP136,3,570,2295.0,Greenwich Office Park,136,,,,,,,,
NYCGOP137,0,550,2250.0,Greenwich Office Park,137,,,,,,,,
NYCGOP137,1,640,2250.0,Greenwich Office Park,137,,,,,,,,
NYCGOP137,2,640,2140.0,Greenwich Office Park,137,,,,,,,,
NYCGOP137,3,550,2140.0,Greenwich Office Park,137,,,,,,,,
NYCGOP138,0,720,2445.0,Greenwich Office Park,138,,,,,,,,
NYCGOP138,1,870,2445.0,Greenwich Office Park,138,,,,,,,,
NYCGOP138,2,870,2295.0,Greenwich Office Park,138,,,,,,,,
NYCGOP138,3,720,2295.0,Greenwich Office Park,138,,,,,,,,
NYCGOP139,0,640,2250.0,Greenwich Office Park,139,,,,,,,,
NYCGOP139,1,715,2250.0,Greenwich Office Park,139,,,,,,,,
NYCGOP139,2,715,2140.0,Greenwich Office Park,139,,,,,,,,
NYCGOP139,3,640,2140.0,Greenwich Office Park,139,,,,,,,,
NYCGOP140,0,870,2445.0,Greenwich Office Park,140,,,,,,,,
NYCGOP140,1,"1,065",2445.0,Greenwich Office Park,140,,,,,,,,
NYCGOP140,2,"1,065",2295.0,Greenwich Office Park,140,,,,,,,,
NYCGOP140,3,870,2295.0,Greenwich Office Park,140,,,,,,,,
NYCGOP141,0,715,2250.0,Greenwich Office Park,141,,,,,,,,
NYCGOP141,1,800,2250.0,Greenwich Office Park,141,,,,,,,,
NYCGOP141,2,800,2140.0,Greenwich Office Park,141,,,,,,,,
NYCGOP141,3,715,2140.0,Greenwich Office Park,141,,,,,,,,
NYCGOP142,0,935,2295.0,Greenwich Office Park,142,,,,,,,,
NYCGOP142,1,"1,065",2295.0,Greenwich Office Park,142,,,,,,,,
NYCGOP142,2,"1,065",2200.0,Greenwich Office Park,142,,,,,,,,
NYCGOP142,3,935,2200.0,Greenwich Office Park,142,,,,,,,,
NYCGOP143,0,800,2250.0,Greenwich Office Park,143,,,,,,,,
NYCGOP143,1,885,2250.0,Greenwich Office Park,143,,,,,,,,
NYCGOP143,2,885,2140.0,Greenwich Office Park,143,,,,,,,,
NYCGOP143,3,800,2140.0,Greenwich Office Park,143,,,,,,,,
NYCGOP144,0,935,2200.0,Greenwich Office Park,144,,,,,,,,
NYCGOP144,1,"1,065",2200.0,Greenwich Office Park,144,,,,,,,,
NYCGOP144,2,"1,065",2095.0,Greenwich Office Park,144,,,,,,,,
NYCGOP144,3,935,2095.0,Greenwich Office Park,144,,,,,,,,
NYCGOP145,0,715,2140.0,Greenwich Office Park,145,,,,,,,,
NYCGOP145,1,885,2140.0,Greenwich Office Park,145,,,,,,,,
NYCGOP145,2,885,1990.0,Greenwich Office Park,145,,,,,,,,
NYCGOP145,3,715,1990.0,Greenwich Office Park,145,,,,,,,,
NYCGOP146,0,935,2095.0,Greenwich Office Park,146,,,,,,,,
NYCGOP146,1,"1,065",2095.0,Greenwich Office Park,146,,,,,,,,
NYCGOP146,2,"1,065",2000.0,Greenwich Office Park,146,,,,,,,,
NYCGOP146,3,935,2000.0,Greenwich Office Park,146,,,,,,,,
NYCGOP147,0,715,1990.0,Greenwich Office Park,147,,,,,,,,
NYCGOP147,1,885,1990.0,Greenwich Office Park,147,,,,,,,,
NYCGOP147,2,885,1890.0,Greenwich Office Park,147,,,,,,,,
NYCGOP147,3,715,1890.0,Greenwich Office Park,147,,,,,,,,
NYCGOP148,0,935,2000.0,Greenwich Office Park,148,,,,,,,,
NYCGOP148,1,"1,065",2000.0,Greenwich Office Park,148,,,,,,,,
NYCGOP148,2,"1,065",1900.0,Greenwich Office Park,148,,,,,,,,
NYCGOP148,3,935,1900.0,Greenwich Office Park,148,,,,,,,,
NYCGOP149,0,715,1890.0,Greenwich Office Park,149,,,,,,,,
NYCGOP149,1,885,1890.0,Greenwich Office Park,149,,,,,,,,
NYCGOP149,2,885,1785.0,Greenwich Office Park,149,,,,,,,,
NYCGOP149,3,715,1785.0,Greenwich Office Park,149,,,,,,,,
NYCGOP150,0,935,1900.0,Greenwich Office Park,150,,,,,,,,
NYCGOP150,1,"1,065",1900.0,Greenwich Office Park,150,,,,,,,,
NYCGOP150,2,"1,065",1805.0,Greenwich Office Park,150,,,,,,,,
NYCGOP150,3,935,1805.0,Greenwich Office Park,150,,,,,,,,
NYCGOP151,0,800,1785.0,Greenwich Office Park,151,,,,,,,,
NYCGOP151,1,885,1785.0,Greenwich Office Park,151,,,,,,,,
NYCGOP151,2,885,1685.0,Greenwich Office Park,151,,,,,,,,
NYCGOP151,3,800,1685.0,Greenwich Office Park,151,,,,,,,,
NYCGOP152,0,935,1805.0,Greenwich Office Park,152,,,,,,,,
NYCGOP152,1,"1,065",1805.0,Greenwich Office Park,152,,,,,,,,
NYCGOP152,2,"1,065",1700.0,Greenwich Office Park,152,,,,,,,,
NYCGOP152,3,935,1700.0,Greenwich Office Park,152,,,,,,,,
NYCGOP153,0,935,1700.0,Greenwich Office Park,153,,,,,,,,
NYCGOP153,1,"1,065",1700.0,Greenwich Office Park,153,,,,,,,,
NYCGOP153,2,"1,065",1600.0,Greenwich Office Park,153,,,,,,,,
NYCGOP153,3,935,1600.0,Greenwich Office Park,153,,,,,,,,
NYCGOP154,0,935,1600.0,Greenwich Office Park,154,,,,,,,,
NYCGOP154,1,"1,065",1600.0,Greenwich Office Park,154,,,,,,,,
NYCGOP154,2,"1,065",1500.0,Greenwich Office Park,154,,,,,,,,
NYCGOP154,3,935,1500.0,Greenwich Office Park,154,,,,,,,,
