Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ARL2451CRYS6.01,0,3736,2879.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,1,4350,2835.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,2,4301,2162.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,3,3661,2216.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,4,3671,2302.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,5,3710,2302.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,6,3722,2426.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.01,7,3699,2428.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,0,3618,1881.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,1,3618,1824.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,2,3634,1824.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,3,3635,1728.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,4,3598,1728.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,5,3598,1483.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,6,3881.999908,1484.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,7,3880,1843.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,8,3776,1855.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.02,9,3778,1867.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,0,4301,2162.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,1,4280,1937.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,2,3989,1963.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,3,3991,1975.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,4,3903,1986.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.03,5,3919,2195.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,0,4350,2835.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,1,4620,2811.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,2,4694,2787.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,3,4756,2733.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,4,4800,2641.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,5,4976,1930.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,6,4886,1872.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,7,4813,1794.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,8,4768.999908,1693.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,9,4297,1694.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,10,4297,1807.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,11,4333,1807.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,12,4333,1935.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.04,13,4280,1937.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,0,3881.999908,1657.333313,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,1,4181.999908,1657.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,2,4181.999908,1743.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,3,4193,1744.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,4,4193,1813.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,5,4185.999908,1831.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,6,4166.999908,1839.333313,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,7,3881.999908,1864.333313,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.05,8,3880.999908,1656.333313,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,0,4180.999908,1656.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,1,4179.999908,1571.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,2,4191.999908,1570.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,3,4191.999908,1464.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,4,3880.999908,1464.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,5,3880.999908,1656.333313,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.06,6,4180.999908,1655.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,0,4768.999908,1694.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,1,4297,1694.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,2,4297,1407.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,3,4811.999908,1407.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,4,4768.999908,1506.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,5,4754.999908,1600.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.07,6,4768.999908,1693.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,0,4191.999908,1464.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,1,4191.999908,1370.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,2,4179.666656,1370.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,3,4179.666656,1284.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,4,3880.666656,1284.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.08,5,3880.999908,1464.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,0,4179.666656,1284.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,1,4179.666656,1198.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,2,4193.666656,1198.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,3,4193.666656,1151.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,4,4184.666656,1133.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,5,4166.666656,1122.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,6,3880.666656,1101.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.09,7,3880.666656,1284.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,0,4297,1407.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,1,4297,1175.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,2,4299.999908,1157.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,3,4311.999908,1142.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,4,4329.999908,1133.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,5,4504.999908,1143.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,6,4504.999908,1158.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,7,4597.999908,1165.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.1,8,4597.999908,1408.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,0,4597.999908,1408.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,1,4811.999908,1407.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,2,4875.333405,1332.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,3,4977.333405,1272.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,4,4791.333405,559.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,5,4751.333405,473.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,6,4682.333405,415.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,7,4599.333405,390.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,8,4423.333405,377.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,9,4377.333405,1039.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,10,4469.333405,1045.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,11,4474.333405,1004.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,12,4605.333405,1014.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.11,13,4597.999908,1165.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,0,4377.333405,1039.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,1,4073.666656,1019.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,2,4073.666656,978.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,3,3949.333405,970.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,4,3946.666656,1007.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,5,3852.666656,1001.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,6,3898.666656,339.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.12,7,4423.333405,377.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,0,3653.333405,1484.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,1,3653.333405,1083.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,2,3787.333405,1095.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,3,3787.333405,1107.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,4,3880.333405,1113.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.13,5,3880.333405,1484.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,0,3852.666656,1001.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,1,3762.333405,994.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,2,3762.333405,954.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,3,3636.333405,943.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,4,3635.333405,982.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,5,3330.333405,963.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,6,3375.333405,299.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.14,7,3898.666656,339.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,0,3330.333405,963.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,1,2958.999908,937.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,2,2958.999908,899.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,3,2834.999908,890.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,4,2829.999908,929.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,5,2742.999908,924.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,6,2779.999908,386.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,7,2824.999908,360.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,8,2901.999908,268.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.15,9,3375.333405,299.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,0,1671.000031,964.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,1,2009.000031,939.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,2,2005.000031,900.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,3,2131.000031,890.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,4,2136.000031,929.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,5,2229.000031,922.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,6,2184.000031,372.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,7,2092.000031,273.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.16,8,1620.000031,310.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,0,1620.000031,310.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,1,1093.999969,353.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,2,1146.999969,1010.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,3,1234.999969,1001.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,4,1234.999969,964.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,5,1358.999969,955.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,6,1362.999969,990.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.17,7,1671.000031,964.666748,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.18,0,1188.333344,1481.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.18,1,1373.333344,1481.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.18,2,1373.333344,1087.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.18,3,1188.333344,1107.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,0,1093.999969,353.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,1,656.333313,387.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,2,709.333313,1044.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,3,927.333313,1027.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,4,924.333313,989.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,5,1051.333313,978.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,6,1056.333313,1017.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.19,7,1146.999969,1010.333252,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,0,776.9999886,1039.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,1,776.9999886,1107.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,2,741.9999886,1107.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,3,741.9999886,1235.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,4,777.9999886,1235.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,5,777.9999886,1321.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,6,368.9999886,1321.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,7,283.9999886,1206.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,8,224.9999886,1155.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,9,155.9999886,1112.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,10,155.9999886,757.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,11,169.9999886,669.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,12,202.9999886,591.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,13,258.9999886,516.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,14,324.9999886,459.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,15,399.9999886,421.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,16,488.9999886,399.333374,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,17,656.333313,387.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.2,18,709.333313,1044.0,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,0,1188.333344,1107.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,1,905.6666565,1124.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,2,885.6666565,1135.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,3,874.6666565,1153.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,4,874.6666565,1205.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,5,888.6666565,1205.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,6,888.6666565,1292.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.21,7,1187.666656,1292.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,0,888.6666565,1292.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,1,888.6666565,1379.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,2,876.6666565,1379.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,3,876.6666565,1477.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,4,1187.666656,1477.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.22,5,1187.666656,1292.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,0,876.6666565,1477.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,1,876.6666565,1574.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,2,887.6666565,1574.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,3,887.6666565,1663.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,4,1186.666656,1663.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.23,5,1187.666656,1478.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.24,0,887.6666565,1663.666626,Hana: Arlington- National Landing,,,,,,,,,
ARL2451CRYS6.24,1,887.6666565,1750.666626,Hana: Arlington- National Landing,,,,,,,,,
