Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DAL2121PEARL2A,0,1081.666656,1680.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2A,1,1221.666656,1680.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2A,2,1221.666656,1357.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2A,3,1076.666656,1357.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2A,4,1076.666656,1491.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2A,5,1080.666656,1492.0,Hana: Dallas- Park District,2A,,,,,,,,
DAL2121PEARL2B,0,1221.666656,1680.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2B,1,1519.333344,1680.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2B,2,1558.333344,1374.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2B,3,1550.333344,1372.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2B,4,1550.333344,1357.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2B,5,1221.666656,1357.0,Hana: Dallas- Park District,2B,,,,,,,,
DAL2121PEARL2C,0,1519.333344,1680.0,Hana: Dallas- Park District,2C,,,,,,,,
DAL2121PEARL2C,1,1495.333344,1847.666672,Hana: Dallas- Park District,2C,,,,,,,,
DAL2121PEARL2C,2,1279.333344,1847.666672,Hana: Dallas- Park District,2C,,,,,,,,
DAL2121PEARL2C,3,1279.333344,1679.666672,Hana: Dallas- Park District,2C,,,,,,,,
DAL2121PEARL2D,0,1279.333344,1847.666672,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,1,1279.333344,1972.0,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,2,1274.333344,1972.0,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,3,1274.333344,2145.0,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,4,1470.333344,2145.0,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,5,1470.333344,2048.0,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2D,6,1495.333344,1847.666672,Hana: Dallas- Park District,2D,,,,,,,,
DAL2121PEARL2E,0,1274.333344,2145.0,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL2E,1,1302.333344,2145.0,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL2E,2,1302.333344,2209.333336,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL2E,3,999.3333435,2209.333336,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL2E,4,999.3333435,1977.333336,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL2E,5,1275.333344,1978.333336,Hana: Dallas- Park District,2E,,,,,,,,
DAL2121PEARL3A,0,1861.000031,2198.333336,Hana: Dallas- Park District,3A,,,,,,,,
DAL2121PEARL3A,1,2156.000031,2198.333336,Hana: Dallas- Park District,3A,,,,,,,,
DAL2121PEARL3A,2,2156.000031,1951.333336,Hana: Dallas- Park District,3A,,,,,,,,
DAL2121PEARL3A,3,1860.000031,1952.333336,Hana: Dallas- Park District,3A,,,,,,,,
DAL2121PEARL3B,0,2156.000031,2198.333336,Hana: Dallas- Park District,3B,,,,,,,,
DAL2121PEARL3B,1,2387.666656,2198.333336,Hana: Dallas- Park District,3B,,,,,,,,
DAL2121PEARL3B,2,2387.666656,1952.333336,Hana: Dallas- Park District,3B,,,,,,,,
DAL2121PEARL3B,3,2156.000031,1951.333336,Hana: Dallas- Park District,3B,,,,,,,,
DAL2121PEARL3C,0,2518.333405,1951.333336,Hana: Dallas- Park District,3C,,,,,,,,
DAL2121PEARL3C,1,2518.333405,2198.333336,Hana: Dallas- Park District,3C,,,,,,,,
DAL2121PEARL3C,2,2913.333405,2198.333336,Hana: Dallas- Park District,3C,,,,,,,,
DAL2121PEARL3C,3,2913.333405,2192.333336,Hana: Dallas- Park District,3C,,,,,,,,
DAL2121PEARL3C,4,2930.333405,2192.333336,Hana: Dallas- Park District,3C,,,,,,,,
