Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
IRV3349MICH2.M20,0,2212,1556.0,Hana: Irvine 3349 Michelson Dr,02.M20,,,,,,,,
IRV3349MICH2.M20,1,2211,1461.0,Hana: Irvine 3349 Michelson Dr,02.M20,,,,,,,,
IRV3349MICH2.M20,2,2300,1512.0,Hana: Irvine 3349 Michelson Dr,02.M20,,,,,,,,
IRV3349MICH2.M20,3,2298,1557.0,Hana: Irvine 3349 Michelson Dr,02.M20,,,,,,,,
IRV3349MICH2.S10,0,2199,1329.0,Hana: Irvine 3349 Michelson Dr,1019,,,,,,,,
IRV3349MICH2.S10,1,2238,1262.0,Hana: Irvine 3349 Michelson Dr,1019,,,,,,,,
IRV3349MICH2.S10,2,2175,1227.0,Hana: Irvine 3349 Michelson Dr,1020,,,,,,,,
IRV3349MICH2.S10,3,2163,1248.0,Hana: Irvine 3349 Michelson Dr,1020,,,,,,,,
IRV3349MICH2.S10,4,2163,1309.0,Hana: Irvine 3349 Michelson Dr,1020,,,,,,,,
IRV3349MICH2.S11,0,2322,1399.0,Hana: Irvine 3349 Michelson Dr,1020,,,,,,,,
IRV3349MICH2.S11,1,2358,1332.0,Hana: Irvine 3349 Michelson Dr,1020,,,,,,,,
IRV3349MICH2.S11,2,2303,1300.0,Hana: Irvine 3349 Michelson Dr,1021,,,,,,,,
IRV3349MICH2.S11,3,2264,1364.0,Hana: Irvine 3349 Michelson Dr,1021,,,,,,,,
IRV3349MICH02A,0,1882,1265.0,Hana: Irvine 3349 Michelson Dr,1021,,,,,,,,
IRV3349MICH02A,1,1882,1310.0,Hana: Irvine 3349 Michelson Dr,1021,,,,,,,,
IRV3349MICH02A,2,1944,1310.0,Hana: Irvine 3349 Michelson Dr,1021,,,,,,,,
IRV3349MICH02A,3,1944,1264.0,Hana: Irvine 3349 Michelson Dr,1022,,,,,,,,
IRV3349MICH02A,4,1882,1264.0,Hana: Irvine 3349 Michelson Dr,1022,,,,,,,,
IRV3349MICH02B,0,1944,1310.0,Hana: Irvine 3349 Michelson Dr,1022,,,,,,,,
IRV3349MICH02B,1,2032,1310.0,Hana: Irvine 3349 Michelson Dr,1022,,,,,,,,
IRV3349MICH02B,2,2031,1226.0,Hana: Irvine 3349 Michelson Dr,1022,,,,,,,,
IRV3349MICH02B,3,1944,1226.0,Hana: Irvine 3349 Michelson Dr,1023,,,,,,,,
IRV3349MICH02C,0,2030,1120.0,Hana: Irvine 3349 Michelson Dr,1023,,,,,,,,
IRV3349MICH02C,1,2031,1311.0,Hana: Irvine 3349 Michelson Dr,1023,,,,,,,,
IRV3349MICH02C,2,2163,1310.0,Hana: Irvine 3349 Michelson Dr,1023,,,,,,,,
IRV3349MICH02C,3,2162,1120.0,Hana: Irvine 3349 Michelson Dr,1023,,,,,,,,
IRV3349MICH02D,0,2030,1189.0,Hana: Irvine 3349 Michelson Dr,1024,,,,,,,,
IRV3349MICH02D,1,2030,1120.0,Hana: Irvine 3349 Michelson Dr,1024,,,,,,,,
IRV3349MICH02D,2,1828,1120.0,Hana: Irvine 3349 Michelson Dr,1024,,,,,,,,
IRV3349MICH02D,3,1828,1223.0,Hana: Irvine 3349 Michelson Dr,1024,,,,,,,,
IRV3349MICH02D,4,1874,1223.0,Hana: Irvine 3349 Michelson Dr,1024,,,,,,,,
IRV3349MICH02D,5,1873,1190.0,Hana: Irvine 3349 Michelson Dr,1025,,,,,,,,
IRV3349MICH04A,0,1902,1076.0,Hana: Irvine 3349 Michelson Dr,1025,,,,,,,,
IRV3349MICH04A,1,1902,973.0,Hana: Irvine 3349 Michelson Dr,1025,,,,,,,,
IRV3349MICH04A,2,1991,973.0,Hana: Irvine 3349 Michelson Dr,1025,,,,,,,,
IRV3349MICH04A,3,1991,1077.0,Hana: Irvine 3349 Michelson Dr,1025,,,,,,,,
IRV3349MICH04B,0,1991,973.0,Hana: Irvine 3349 Michelson Dr,1026,,,,,,,,
IRV3349MICH04B,1,2165,973.0,Hana: Irvine 3349 Michelson Dr,1026,,,,,,,,
IRV3349MICH04B,2,2162,1120.0,Hana: Irvine 3349 Michelson Dr,1026,,,,,,,,
IRV3349MICH04B,3,1989,1120.0,Hana: Irvine 3349 Michelson Dr,1026,,,,,,,,
IRV3349MICH06A,0,1902,973.0,Hana: Irvine 3349 Michelson Dr,1026,,,,,,,,
IRV3349MICH06A,1,1991,973.0,Hana: Irvine 3349 Michelson Dr,1027,,,,,,,,
IRV3349MICH06A,2,1991,869.0,Hana: Irvine 3349 Michelson Dr,1027,,,,,,,,
IRV3349MICH06A,3,1903,869.0,Hana: Irvine 3349 Michelson Dr,1027,,,,,,,,
IRV3349MICH06B,0,1991,973.0,Hana: Irvine 3349 Michelson Dr,1027,,,,,,,,
IRV3349MICH06B,1,1991,823.0,Hana: Irvine 3349 Michelson Dr,1027,,,,,,,,
IRV3349MICH06B,2,2165,823.0,Hana: Irvine 3349 Michelson Dr,1028,,,,,,,,
IRV3349MICH06B,3,2165,973.0,Hana: Irvine 3349 Michelson Dr,1028,,,,,,,,
IRV3349MICH07A,0,1882,524.0,Hana: Irvine 3349 Michelson Dr,1028,,,,,,,,
IRV3349MICH07A,1,1948,524.0,Hana: Irvine 3349 Michelson Dr,1028,,,,,,,,
IRV3349MICH07A,2,1947,572.0,Hana: Irvine 3349 Michelson Dr,1028,,,,,,,,
IRV3349MICH07A,3,1882,571.0,Hana: Irvine 3349 Michelson Dr,1029,,,,,,,,
IRV3349MICH07B,0,1947,572.0,Hana: Irvine 3349 Michelson Dr,1029,,,,,,,,
IRV3349MICH07B,1,1947,626.0,Hana: Irvine 3349 Michelson Dr,1029,,,,,,,,
IRV3349MICH07B,2,1902,626.0,Hana: Irvine 3349 Michelson Dr,1029,,,,,,,,
IRV3349MICH07B,3,1902,573.0,Hana: Irvine 3349 Michelson Dr,1029,,,,,,,,
IRV3349MICH07C,0,1947,626.0,Hana: Irvine 3349 Michelson Dr,1030,,,,,,,,
IRV3349MICH07C,1,2034,626.0,Hana: Irvine 3349 Michelson Dr,1030,,,,,,,,
IRV3349MICH07C,2,2034,523.0,Hana: Irvine 3349 Michelson Dr,1030,,,,,,,,
IRV3349MICH07C,3,1948,524.0,Hana: Irvine 3349 Michelson Dr,1030,,,,,,,,
IRV3349MICH07D,0,2034,626.0,Hana: Irvine 3349 Michelson Dr,1030,,,,,,,,
IRV3349MICH07D,1,2164,626.0,Hana: Irvine 3349 Michelson Dr,1031,,,,,,,,
IRV3349MICH07D,2,2164,524.0,Hana: Irvine 3349 Michelson Dr,1031,,,,,,,,
IRV3349MICH07D,3,2034,523.0,Hana: Irvine 3349 Michelson Dr,1031,,,,,,,,
IRV3349MICH07E,0,2164,677.0,Hana: Irvine 3349 Michelson Dr,1031,,,,,,,,
IRV3349MICH07E,1,2035,677.0,Hana: Irvine 3349 Michelson Dr,1031,,,,,,,,
IRV3349MICH07E,2,2035,822.0,Hana: Irvine 3349 Michelson Dr,1032,,,,,,,,
IRV3349MICH07E,3,2165,823.0,Hana: Irvine 3349 Michelson Dr,1032,,,,,,,,
IRV3349MICH07F,0,2035,677.0,Hana: Irvine 3349 Michelson Dr,1032,,,,,,,,
IRV3349MICH07F,1,2035,822.0,Hana: Irvine 3349 Michelson Dr,1032,,,,,,,,
IRV3349MICH07F,2,1931,822.0,Hana: Irvine 3349 Michelson Dr,1032,,,,,,,,
IRV3349MICH07F,3,1931,676.0,Hana: Irvine 3349 Michelson Dr,1033,,,,,,,,
IRV3349MICH07G,0,1931,676.0,Hana: Irvine 3349 Michelson Dr,1033,,,,,,,,
IRV3349MICH07G,1,1931,822.0,Hana: Irvine 3349 Michelson Dr,1033,,,,,,,,
IRV3349MICH07G,2,1827,822.0,Hana: Irvine 3349 Michelson Dr,1033,,,,,,,,
