Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LONSTM201,0,384.75,1960.5,Hana London - 70 SMA (2),60,,,,,,,,
LONSTM201,1,88.75,1960.5,Hana London - 70 SMA (2),61,,,,,,,,
LONSTM201,2,88.75,1676.5,Hana London - 70 SMA (2),61,,,,,,,,
LONSTM201,3,118.75,1676.5,Hana London - 70 SMA (2),61,,,,,,,,
LONSTM201,4,117.75,1668.5,Hana London - 70 SMA (2),61,,,,,,,,
LONSTM201,5,383.75,1668.5,Hana London - 70 SMA (2),62,,,,,,,,
LONSTM202,0,383.75,1668.5,Hana London - 70 SMA (2),62,,,,,,,,
LONSTM202,1,383.75,1595.5,Hana London - 70 SMA (2),62,,,,,,,,
LONSTM202,2,437.75,1595.5,Hana London - 70 SMA (2),62,,,,,,,,
LONSTM202,3,437.75,1618.5,Hana London - 70 SMA (2),63,,,,,,,,
LONSTM202,4,479.75,1618.5,Hana London - 70 SMA (2),63,,,,,,,,
LONSTM202,5,479.75,1318.5,Hana London - 70 SMA (2),63,,,,,,,,
LONSTM202,6,87.75,1318.5,Hana London - 70 SMA (2),63,,,,,,,,
LONSTM202,7,88.75,1676.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM202,8,118.75,1676.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM202,9,117.75,1668.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM203,0,479.75,1618.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM203,1,520.75,1618.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM203,2,520.75,1597.5,Hana London - 70 SMA (2),64,,,,,,,,
LONSTM203,3,572.75,1597.5,Hana London - 70 SMA (2),65,,,,,,,,
LONSTM203,4,572.75,1612.5,Hana London - 70 SMA (2),65,,,,,,,,
LONSTM203,5,762.75,1612.5,Hana London - 70 SMA (2),65,,,,,,,,
LONSTM203,6,762.75,1341.5,Hana London - 70 SMA (2),65,,,,,,,,
LONSTM203,7,753.75,1341.5,Hana London - 70 SMA (2),66,,,,,,,,
LONSTM203,8,753.75,1317.5,Hana London - 70 SMA (2),66,,,,,,,,
LONSTM203,9,479.75,1318.5,Hana London - 70 SMA (2),66,,,,,,,,
LONSTM204,0,762.75,1612.5,Hana London - 70 SMA (2),66,,,,,,,,
LONSTM204,1,1141.25,1612.5,Hana London - 70 SMA (2),67,,,,,,,,
LONSTM204,2,1141.25,1596.5,Hana London - 70 SMA (2),67,,,,,,,,
LONSTM204,3,1197.25,1596.5,Hana London - 70 SMA (2),67,,,,,,,,
LONSTM204,4,1197.25,1616.5,Hana London - 70 SMA (2),67,,,,,,,,
LONSTM204,5,1239.25,1616.5,Hana London - 70 SMA (2),68,,,,,,,,
LONSTM204,6,1239.25,1318.5,Hana London - 70 SMA (2),68,,,,,,,,
LONSTM204,7,753.75,1317.5,Hana London - 70 SMA (2),68,,,,,,,,
LONSTM204,8,753.75,1341.5,Hana London - 70 SMA (2),68,,,,,,,,
LONSTM204,9,762.75,1341.5,Hana London - 70 SMA (2),69,,,,,,,,
