Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LONHAM101-A,0,1580.75,2359.0,Hana: London 245 Hammersmith (2),03-07,,,,,,,,
LONHAM101-A,1,1580.75,2307.0,Hana: London 245 Hammersmith (2),03-07,,,,,,,,
LONHAM101-A,2,1622.75,2307.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-A,3,1622.75,2359.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-B,0,1622.75,2359.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-B,1,1671.75,2359.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-B,2,1671.75,2323.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-B,3,1622.75,2323.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-C,0,1580.75,2359.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-C,1,1580.75,2490.0,Hana: London 245 Hammersmith (2),03-08,,,,,,,,
LONHAM101-C,2,1704.75,2490.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-C,3,1704.75,2358.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-D,0,1747.5,2336.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-D,1,1747.5,2261.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-D,2,1884.5,2261.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-D,3,1884.5,2335.0,Hana: London 245 Hammersmith (2),03-09,,,,,,,,
LONHAM101-E,0,1747.5,2336.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM101-E,1,1747.5,2410.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM101-E,2,1885.5,2410.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM101-E,3,1884.5,2335.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM102-A,0,1580.75,2307.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM102-A,1,1540.25,2307.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM102-A,2,1540.25,2358.0,Hana: London 245 Hammersmith (2),03-10,,,,,,,,
LONHAM102-A,3,1580.75,2359.0,Hana: London 245 Hammersmith (2),03-115,,,,,,,,
LONHAM102-B,0,1540.25,2358.0,Hana: London 245 Hammersmith (2),03-115,,,,,,,,
LONHAM102-B,1,1492.25,2358.0,Hana: London 245 Hammersmith (2),03-115,,,,,,,,
LONHAM102-B,2,1492.25,2323.0,Hana: London 245 Hammersmith (2),03-115,,,,,,,,
LONHAM102-B,3,1540.25,2324.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-C,0,1580.75,2490.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-C,1,1458.25,2490.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-C,2,1458.25,2358.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-C,3,1580.75,2359.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-D,0,1280.25,2336.0,Hana: London 245 Hammersmith (2),201,,,,,,,,
LONHAM102-D,1,1414.25,2335.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-D,2,1416.25,2260.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-D,3,1281.25,2260.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-E,0,1414.25,2335.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-E,1,1414.25,2411.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-E,2,1280.25,2411.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-E,3,1280.25,2336.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-F,0,1280.25,2411.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-F,1,1458.25,2411.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-F,2,1458.25,2490.0,Hana: London 245 Hammersmith (2),202,,,,,,,,
LONHAM102-F,3,1280.25,2490.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM201,0,2149.75,581.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM201,1,2239.75,581.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM201,2,2239.75,440.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM201,3,2148.75,440.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM202,0,2239.75,581.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM202,1,2320.75,581.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM202,2,2320.75,440.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM202,3,2239.75,440.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM203,0,2320.75,581.0,Hana: London 245 Hammersmith (2),203,,,,,,,,
LONHAM203,1,2401.75,581.0,Hana: London 245 Hammersmith (2),204,,,,,,,,
LONHAM203,2,2401.75,441.0,Hana: London 245 Hammersmith (2),204,,,,,,,,
LONHAM203,3,2320.75,440.0,Hana: London 245 Hammersmith (2),204,,,,,,,,
