Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MANWIN0.01,0,455.6666565,1591.333344,Hana: Manchester 24 Mount/Windmill Green (2),307,,,,,,,,
MANWIN0.01,1,511.6666565,1591.333344,Hana: Manchester 24 Mount/Windmill Green (2),307,,,,,,,,
MANWIN0.01,2,511.6666565,1601.333344,Hana: Manchester 24 Mount/Windmill Green (2),307,,,,,,,,
MANWIN0.01,3,530.6666565,1601.333344,Hana: Manchester 24 Mount/Windmill Green (2),307,,,,,,,,
MANWIN0.01,4,530.6666565,1404.333344,Hana: Manchester 24 Mount/Windmill Green (2),307,,,,,,,,
MANWIN0.01,5,455.6666565,1404.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,0,455.6666565,1591.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,1,382.6666565,1591.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,2,382.6666565,1601.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,3,309.6666565,1601.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,4,309.6666565,1405.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.02,5,455.6666565,1404.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.03,0,309.6666565,1405.333344,Hana: Manchester 24 Mount/Windmill Green (2),308,,,,,,,,
MANWIN0.03,1,165.6666565,1405.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,2,130.6666565,1412.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,3,104.6666565,1422.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,4,87.66665649,1434.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,5,73.66665649,1448.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,6,61.66665649,1466.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,7,49.66665649,1485.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,8,42.66665649,1506.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,9,37.66665649,1529.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
MANWIN0.03,10,37.66665649,1551.333344,Hana: Manchester 24 Mount/Windmill Green (2),309,,,,,,,,
