Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MANLAN2.01,0,1287,1634.25,Hana: Manchester St Peters Square,27,,,,,,,,
MANLAN2.01,1,1043,1634.25,Hana: Manchester St Peters Square,28,,,,,,,,
MANLAN2.01,2,761,895.25,Hana: Manchester St Peters Square,28,,,,,,,,
MANLAN2.01,3,1584,895.25,Hana: Manchester St Peters Square,28,,,,,,,,
MANLAN2.01,4,1584,1311.25,Hana: Manchester St Peters Square,28,,,,,,,,
MANLAN2.01,5,1541,1311.25,Hana: Manchester St Peters Square,29,,,,,,,,
MANLAN2.01,6,1541,1290.25,Hana: Manchester St Peters Square,29,,,,,,,,
MANLAN2.01,7,1484,1290.25,Hana: Manchester St Peters Square,29,,,,,,,,
MANLAN2.01,8,1484,1309.25,Hana: Manchester St Peters Square,29,,,,,,,,
MANLAN2.01,9,1288,1309.25,Hana: Manchester St Peters Square,30,,,,,,,,
MANLAN2.05,0,1916.5,1094.25,Hana: Manchester St Peters Square,30,,,,,,,,
MANLAN2.05,1,1780.5,1094.25,Hana: Manchester St Peters Square,30,,,,,,,,
MANLAN2.05,2,1780.5,1020.25,Hana: Manchester St Peters Square,30,,,,,,,,
MANLAN2.05,3,1755.5,1020.25,Hana: Manchester St Peters Square,31,,,,,,,,
MANLAN2.05,4,1755.5,961.25,Hana: Manchester St Peters Square,31,,,,,,,,
MANLAN2.05,5,1734.5,961.25,Hana: Manchester St Peters Square,31,,,,,,,,
MANLAN2.05,6,1734.5,898.25,Hana: Manchester St Peters Square,31,,,,,,,,
MANLAN2.05,7,1916.5,898.25,Hana: Manchester St Peters Square,32,,,,,,,,
MANLAN2.06,0,1916.5,898.25,Hana: Manchester St Peters Square,32,,,,,,,,
MANLAN2.06,1,1916.5,1094.25,Hana: Manchester St Peters Square,32,,,,,,,,
MANLAN2.06,2,1780.5,1094.25,Hana: Manchester St Peters Square,32,,,,,,,,
MANLAN2.06,3,1780.5,1242.25,Hana: Manchester St Peters Square,33,,,,,,,,
MANLAN2.06,4,1918.25,1242.25,Hana: Manchester St Peters Square,33,,,,,,,,
MANLAN2.06,5,1918.25,1310.25,Hana: Manchester St Peters Square,33,,,,,,,,
MANLAN2.06,6,1962.25,1310.25,Hana: Manchester St Peters Square,33,,,,,,,,
MANLAN2.06,7,1962.25,1291.25,Hana: Manchester St Peters Square,34,,,,,,,,
MANLAN2.06,8,2018.25,1291.25,Hana: Manchester St Peters Square,34,,,,,,,,
MANLAN2.06,9,2018.25,1308.25,Hana: Manchester St Peters Square,34,,,,,,,,
MANLAN2.06,10,2111.25,1308.25,Hana: Manchester St Peters Square,34,,,,,,,,
MANLAN2.06,11,2111.25,1290.25,Hana: Manchester St Peters Square,35,,,,,,,,
MANLAN2.06,12,2161.25,1290.25,Hana: Manchester St Peters Square,35,,,,,,,,
MANLAN2.06,13,2161.25,1311.25,Hana: Manchester St Peters Square,35,,,,,,,,
MANLAN2.06,14,2292.25,1311.25,Hana: Manchester St Peters Square,35,,,,,,,,
MANLAN2.06,15,2292.25,1187.25,Hana: Manchester St Peters Square,36,,,,,,,,
MANLAN2.06,16,2397.25,1187.25,Hana: Manchester St Peters Square,36,,,,,,,,
MANLAN2.06,17,2397.25,1227.25,Hana: Manchester St Peters Square,36,,,,,,,,
MANLAN2.06,18,2562.75,1227.25,Hana: Manchester St Peters Square,36,,,,,,,,
MANLAN2.06,19,2561.75,899.25,Hana: Manchester St Peters Square,37,,,,,,,,
MANLAN2.09,0,2125.75,1439.25,Hana: Manchester St Peters Square,37,,,,,,,,
MANLAN2.09,1,2225.75,1439.25,Hana: Manchester St Peters Square,37,,,,,,,,
MANLAN2.09,2,2225.75,1377.25,Hana: Manchester St Peters Square,37,,,,,,,,
MANLAN2.09,3,2277.75,1377.25,Hana: Manchester St Peters Square,38,,,,,,,,
MANLAN2.09,4,2277.75,1355.25,Hana: Manchester St Peters Square,38,,,,,,,,
MANLAN2.09,5,2325.75,1355.25,Hana: Manchester St Peters Square,38,,,,,,,,
MANLAN2.09,6,2325.75,1630.25,Hana: Manchester St Peters Square,38,,,,,,,,
MANLAN2.09,7,2125.75,1630.25,Hana: Manchester St Peters Square,39,,,,,,,,
MANLAN2.1,0,2325.75,1630.25,Hana: Manchester St Peters Square,39,,,,,,,,
MANLAN2.1,1,2564.75,1630.25,Hana: Manchester St Peters Square,39,,,,,,,,
MANLAN2.1,2,2564.75,1380.25,Hana: Manchester St Peters Square,39,,,,,,,,
MANLAN2.1,3,2326.75,1380.25,Hana: Manchester St Peters Square,40,,,,,,,,
MANLAN2.13,0,2564.75,1380.25,Hana: Manchester St Peters Square,40,,,,,,,,
MANLAN2.13,1,2562.75,1227.25,Hana: Manchester St Peters Square,40,,,,,,,,
MANLAN2.13,2,2397.25,1227.25,Hana: Manchester St Peters Square,40,,,,,,,,
MANLAN2.13,3,2394.75,1379.25,Hana: Manchester St Peters Square,41,,,,,,,,
MANLAN2.13,4,2564.75,1381.25,Hana: Manchester St Peters Square,41,,,,,,,,
MANLAN2.14,0,2292.25,1311.25,Hana: Manchester St Peters Square,41,,,,,,,,
MANLAN2.14,1,2394.75,1311.25,Hana: Manchester St Peters Square,41,,,,,,,,
MANLAN2.14,2,2397.25,1187.25,Hana: Manchester St Peters Square,42,,,,,,,,
MANLAN2.14,3,2292.25,1187.25,Hana: Manchester St Peters Square,42,,,,,,,,
MANLAN3.01,0,1361,250.0,Hana: Manchester St Peters Square,42,,,,,,,,
MANLAN3.01,1,1585,250.0,Hana: Manchester St Peters Square,42,,,,,,,,
MANLAN3.01,2,1585,66.0,Hana: Manchester St Peters Square,43,,,,,,,,
MANLAN3.01,3,1360,65.0,Hana: Manchester St Peters Square,43,,,,,,,,
MANLAN3.02,0,1360,65.0,Hana: Manchester St Peters Square,43,,,,,,,,
MANLAN3.02,1,1360,481.0,Hana: Manchester St Peters Square,43,,,,,,,,
MANLAN3.02,2,1232,481.0,Hana: Manchester St Peters Square,44,,,,,,,,
MANLAN3.02,3,1232,463.0,Hana: Manchester St Peters Square,44,,,,,,,,
MANLAN3.02,4,1175,463.0,Hana: Manchester St Peters Square,44,,,,,,,,
