Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1A2A,0,1802.5,1072.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,1,1802.5,940.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,2,1821.5,940.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,3,1821.5,892.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,4,1801.5,892.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,5,1801.5,849.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,6,2105.5,849.5,Hana: NJ- 200 Connell,,,,,,,,,
1A2A,7,2105.5,1071.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,0,1802.5,1072.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,1,1802.5,1116.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,2,1822.5,1116.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,3,1822.5,1163.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,4,1801.5,1163.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,5,1801.5,1325.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,6,2104.5,1324.5,Hana: NJ- 200 Connell,,,,,,,,,
1A3A,7,2105.5,1071.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,0,1617,1508.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,1,1679,1508.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,2,1679,1526.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,3,1725,1526.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,4,1725,1507.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,5,2105,1507.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,6,2105,1537.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,7,2095,1574.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,8,2084,1608.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,9,2066,1641.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,10,2040,1671.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,11,2014,1696.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,12,1982,1714.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,13,1947,1730.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,14,1914,1740.5,Hana: NJ- 200 Connell,,,,,,,,,
1A5A,15,1618,1740.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,0,1759.5,1070.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,1,1759.5,940.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,2,1742.5,940.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,3,1742.5,895.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,4,1763.5,895.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,5,1763.5,850.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,6,1650.5,850.5,Hana: NJ- 200 Connell,,,,,,,,,
1B2A,7,1650.5,1070.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4A,0,1425.75,1464.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4A,1,1504.75,1464.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4A,2,1504.75,1415.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4A,3,1426.75,1415.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4B,0,1504.75,1415.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4B,1,1504.75,1335.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4B,2,1426.75,1335.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4B,3,1426.75,1415.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4C,0,1504.75,1335.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4C,1,1504.75,1287.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4C,2,1425.75,1287.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4C,3,1426.75,1335.5,Hana: NJ- 200 Connell,,,,,,,,,
1C4D,0,1543.75,1464.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4D,1,1543.75,1416.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4D,2,1617.75,1416.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4D,3,1617.75,1464.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4E,0,1617.75,1416.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4E,1,1617.75,1336.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4E,2,1543.75,1336.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4E,3,1543.75,1416.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4F,0,1543.75,1336.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4F,1,1543.75,1290.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4F,2,1616.75,1290.0,Hana: NJ- 200 Connell,,,,,,,,,
1C4F,3,1617.75,1336.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,0,1432.75,1741.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,1,1504.75,1741.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,2,1504.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,3,1435.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,4,1435.75,1731.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5A,5,1431.75,1731.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5B,0,1435.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5B,1,1435.75,1587.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5B,2,1505.75,1587.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5B,3,1504.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5C,0,1505.75,1587.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5C,1,1505.75,1507.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5C,2,1436.75,1507.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5C,3,1435.75,1587.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5D,0,1545.75,1740.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5D,1,1545.75,1663.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5D,2,1617.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5D,3,1618,1740.5,Hana: NJ- 200 Connell,,,,,,,,,
1C5E,0,1545.75,1663.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5E,1,1545.75,1586.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5E,2,1616.75,1586.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5E,3,1617.75,1662.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5F,0,1545.75,1586.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5F,1,1545.75,1508.0,Hana: NJ- 200 Connell,,,,,,,,,
1C5F,2,1617,1508.5,Hana: NJ- 200 Connell,,,,,,,,,
1C5F,3,1616.75,1586.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,0,2771.5,1946.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,1,2771.5,1706.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,2,2821.5,1706.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,3,2821.5,1725.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,4,2863.5,1725.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,5,2863.5,1708.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,6,2926.5,1708.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,7,2926.5,1749.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,8,3154.5,1749.75,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,9,3153,1778.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,10,3147,1808.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,11,3134,1840.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,12,3118,1866.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,13,3097,1891.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,14,3075,1910.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,15,3048,1926.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,16,3018,1938.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,17,2990,1945.0,Hana: NJ- 200 Connell,,,,,,,,,
2H9A,18,2971,1947.0,Hana: NJ- 200 Connell,,,,,,,,,
2K8C,0,2584,1771.0,Hana: NJ- 200 Connell,,,,,,,,,
2K8C,1,2640,1771.0,Hana: NJ- 200 Connell,,,,,,,,,
2K8C,2,2640,1709.0,Hana: NJ- 200 Connell,,,,,,,,,
