Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC3WTCCAN-A,0,1403,1674.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,1,1609,1674.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,2,1609,1175.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,3,1402,1175.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,4,1403,1849.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,5,973.5,1849.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,6,973.5,2044.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,7,1172.5,2044.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,8,1173.5,2045.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,9,1207.5,2045.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,10,1494.5,2044.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,11,1493.5,1675.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,12,279.5,1676.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,13,279.5,1849.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,14,707.5,1849.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,15,707.5,2044.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,16,507.5,2044.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,17,507.5,2043.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,18,476.5,2043.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,19,474.5,2045.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,20,187.5,2045.0,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,21,188.5,1673.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,22,279.5,1165.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,23,86.5,1165.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,24,86.5,1176.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,25,73.5,1176.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,26,73.5,1673.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,27,279.5,867.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,28,279.5,697.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,29,1404,697.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,30,1404,866.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,31,1494,866.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,32,1494,499.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,33,188.5,499.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTCCAN-A,34,188.5,867.5,Hana: NYC- 3 WTC,37,,,,,,,,
NYC3WTC01,0,1819.5,874.5,Hana: NYC- 3 WTC,38,,,,,,,,
NYC3WTC01,1,2005.5,874.5,Hana: NYC- 3 WTC,38,,,,,,,,
NYC3WTC01,2,2005.5,835.5,Hana: NYC- 3 WTC,38,,,,,,,,
NYC3WTC01,3,1986.5,835.5,Hana: NYC- 3 WTC,38,,,,,,,,
NYC3WTC01,4,1986.5,777.5,Hana: NYC- 3 WTC,38,,,,,,,,
