Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
PHI1818MARK009,0,1145.666656,1768.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,1,1374.666656,1768.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,2,1374.666656,1729.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,3,1597.666656,1729.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,4,1597.666656,2055.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,5,1133.666656,2055.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,6,1133.666656,2041.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK009,7,1144.666656,2041.666672,Hana: Philadelphia- 1818 Market St,9,,,,,,,,
PHI1818MARK9.01,0,1144.666656,1720.666672,Hana: Philadelphia- 1818 Market St,9.01,,,,,,,,
PHI1818MARK9.01,1,1370.666656,1720.666672,Hana: Philadelphia- 1818 Market St,9.01,,,,,,,,
PHI1818MARK9.01,2,1370.666656,1526.666672,Hana: Philadelphia- 1818 Market St,9.01,,,,,,,,
PHI1818MARK9.01,3,1142.666656,1525.666672,Hana: Philadelphia- 1818 Market St,9.01,,,,,,,,
PHI1818MARK9.02,0,390.6666565,2054.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.02,1,390.6666565,1769.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.02,2,830.6666565,1769.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.02,3,830.6666565,1841.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.02,4,840.6666565,1841.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.02,5,840.6666565,2055.666672,Hana: Philadelphia- 1818 Market St,9.02,,,,,,,,
PHI1818MARK9.03,0,336.6666565,2055.666672,Hana: Philadelphia- 1818 Market St,9.03,,,,,,,,
PHI1818MARK9.03,1,106.6666565,2055.666672,Hana: Philadelphia- 1818 Market St,9.03,,,,,,,,
PHI1818MARK9.03,2,106.6666565,1268.666656,Hana: Philadelphia- 1818 Market St,9.03,,,,,,,,
PHI1818MARK9.03,3,336.6666565,1268.666656,Hana: Philadelphia- 1818 Market St,9.03,,,,,,,,
PHI1818MARK9.04,0,336.6666565,1026.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,1,336.6666565,811.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,2,832.3333282,811.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,3,832.3333282,508.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,4,842.3333282,508.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,5,842.3333282,497.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,6,105.6666565,497.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,7,105.6666565,1021.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,8,118.6666565,1021.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK9.04,9,118.6666565,1027.0,Hana: Philadelphia- 1818 Market St,9.04,,,,,,,,
PHI1818MARK10,0,2867.333405,1567.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,1,2867.333405,1397.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,2,2887.333405,1397.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,3,2887.333405,1329.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,4,2866.333405,1329.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,5,2866.333405,1281.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,6,3203.333405,1281.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,7,3203.333405,1561.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,8,3193.333405,1560.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10,9,3192.333405,1566.0,Hana: Philadelphia- 1818 Market St,10,,,,,,,,
PHI1818MARK10.01,0,2866.333405,1281.0,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
PHI1818MARK10.01,1,2866.333405,1232.333313,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
PHI1818MARK10.01,2,2886.333405,1232.333313,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
PHI1818MARK10.01,3,2886.333405,1166.333313,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
PHI1818MARK10.01,4,2868.333405,1166.333313,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
PHI1818MARK10.01,5,2868.333405,1059.333313,Hana: Philadelphia- 1818 Market St,10.01,,,,,,,,
