Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSHAR001,0,1335,1667.0,Harvard Square,1,,,,,,,,
BOSHAR001,1,1366,1667.0,Harvard Square,1,,,,,,,,
BOSHAR001,2,1366,1679.0,Harvard Square,1,,,,,,,,
BOSHAR001,3,1503,1678.0,Harvard Square,1,,,,,,,,
BOSHAR001,4,1506,1462.0,Harvard Square,1,,,,,,,,
BOSHAR001,5,1361,1459.0,Harvard Square,1,,,,,,,,
BOSHAR001,6,1362,1498.0,Harvard Square,1,,,,,,,,
BOSHAR001,7,1336,1498.0,Harvard Square,1,,,,,,,,
BOSHAR002,0,1503,1678.0,Harvard Square,2,,,,,,,,
BOSHAR002,1,1659,1681.0,Harvard Square,2,,,,,,,,
BOSHAR002,2,1661,1461.0,Harvard Square,2,,,,,,,,
BOSHAR002,3,1506,1462.0,Harvard Square,2,,,,,,,,
BOSHAR003,0,1659,1681.0,Harvard Square,3,,,,,,,,
BOSHAR003,1,1814,1681.0,Harvard Square,3,,,,,,,,
BOSHAR003,2,1815,1460.0,Harvard Square,3,,,,,,,,
BOSHAR003,3,1661,1461.0,Harvard Square,3,,,,,,,,
BOSHAR004,0,1814,1681.0,Harvard Square,4,,,,,,,,
BOSHAR004,1,1952,1680.0,Harvard Square,4,,,,,,,,
BOSHAR004,2,1953,1657.0,Harvard Square,4,,,,,,,,
BOSHAR004,3,1974,1658.0,Harvard Square,4,,,,,,,,
BOSHAR004,4,1972,1587.0,Harvard Square,4,,,,,,,,
BOSHAR004,5,1957,1588.0,Harvard Square,4,,,,,,,,
BOSHAR004,6,1959,1461.0,Harvard Square,4,,,,,,,,
BOSHAR004,7,1815,1460.0,Harvard Square,4,,,,,,,,
BOSHAR005,0,1501,1124.0,Harvard Square,5,,,,,,,,
BOSHAR005,1,1596,1123.0,Harvard Square,5,,,,,,,,
BOSHAR005,2,1597,1050.0,Harvard Square,5,,,,,,,,
BOSHAR005,3,1497,1049.0,Harvard Square,5,,,,,,,,
BOSHAR006,0,1651,1123.0,Harvard Square,6,,,,,,,,
