Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SFIKEA5057,0,500,2410.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,1,500,2675.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,2,205,2675.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,3,205,2640.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,4,105,2640.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,5,105,2475.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,6,355,2475.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5057,7,355,2410.0,Hej!Workshop,5057,,,,,,,,
SFIKEA5058,0,500,2675.0,Hej!Workshop,5058,,,,,,,,
SFIKEA5058,1,800,2675.0,Hej!Workshop,5058,,,,,,,,
SFIKEA5058,2,800,2410.0,Hej!Workshop,5058,,,,,,,,
SFIKEA5058,3,500,2410.0,Hej!Workshop,5058,,,,,,,,
SFIKEA5059,0,800,2675.0,Hej!Workshop,5059,,,,,,,,
SFIKEA5059,1,1100,2675.0,Hej!Workshop,5059,,,,,,,,
SFIKEA5059,2,1100,2410.0,Hej!Workshop,5059,,,,,,,,
SFIKEA5059,3,800,2410.0,Hej!Workshop,5059,,,,,,,,
SFIKEA5060,0,1100,2675.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5060,1,1325,2675.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5060,2,1325,2495.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5060,3,1210,2495.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5060,4,1210,2410.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5060,5,1100,2410.0,Hej!Workshop,5060,,,,,,,,
SFIKEA5061,0,1325,2675.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5061,1,1545,2675.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5061,2,1545,2410.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5061,3,1295,2410.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5061,4,1295,2495.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5061,5,1325,2495.0,Hej!Workshop,5061,,,,,,,,
SFIKEA5062,0,1060,2345.0,Hej!Workshop,5062,,,,,,,,
SFIKEA5062,1,1060,2220.0,Hej!Workshop,5062,,,,,,,,
SFIKEA5062,2,1230,2220.0,Hej!Workshop,5062,,,,,,,,
SFIKEA5062,3,1230,2345.0,Hej!Workshop,5062,,,,,,,,
SFIKEA5066,0,1060,2345.0,Hej!Workshop,5066,,,,,,,,
