Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC44W37-CAN2,0,28.5,1494.0,Herald Square,2,,,,,,,,
NYC44W37-CAN2,1,467.5,1494.0,Herald Square,2,,,,,,,,
NYC44W37-CAN2,2,467.5,2550.0,Herald Square,2,,,,,,,,
NYC44W37-CAN2,3,29.5,2550.0,Herald Square,2,,,,,,,,
NYC44W37-CAN3,0,487,2350.0,Herald Square,3,,,,,,,,
NYC44W37-CAN3,1,922,2350.0,Herald Square,3,,,,,,,,
NYC44W37-CAN3,2,922,1490.0,Herald Square,3,,,,,,,,
NYC44W37-CAN3,3,488,1490.0,Herald Square,3,,,,,,,,
NYC44W37-CAN4,0,959,2344.0,Herald Square,4,,,,,,,,
NYC44W37-CAN4,1,1384,2344.0,Herald Square,4,,,,,,,,
NYC44W37-CAN4,2,1384,1504.0,Herald Square,4,,,,,,,,
NYC44W37-CAN4,3,959,1504.0,Herald Square,4,,,,,,,,
NYC44W37-CAN5,0,1420,2340.0,Herald Square,5,,,,,,,,
NYC44W37-CAN5,1,1849,2340.0,Herald Square,5,,,,,,,,
NYC44W37-CAN5,2,1849,1494.0,Herald Square,5,,,,,,,,
NYC44W37-CAN5,3,1421,1494.0,Herald Square,5,,,,,,,,
NYC44W37-CAN6,0,1883.5,2339.0,Herald Square,6,,,,,,,,
NYC44W37-CAN6,1,2318.5,2339.0,Herald Square,6,,,,,,,,
NYC44W37-CAN6,2,2318.5,1481.0,Herald Square,6,,,,,,,,
NYC44W37-CAN6,3,1884.5,1481.0,Herald Square,6,,,,,,,,
NYC44W37-CAN7,0,2345,2339.0,Herald Square,7,,,,,,,,
NYC44W37-CAN7,1,2780,2339.0,Herald Square,7,,,,,,,,
NYC44W37-CAN7,2,2780,1477.0,Herald Square,7,,,,,,,,
NYC44W37-CAN7,3,2346,1477.0,Herald Square,7,,,,,,,,
NYC44W37-CAN8,0,2808.5,2338.0,Herald Square,8,,,,,,,,
NYC44W37-CAN8,1,3229.5,2338.0,Herald Square,8,,,,,,,,
NYC44W37-CAN8,2,3229.5,1715.0,Herald Square,8,,,,,,,,
NYC44W37-CAN8,3,2808.5,1715.0,Herald Square,8,,,,,,,,
NYC44W37-CAN9,0,32.5,1235.5,Herald Square,9,,,,,,,,
NYC44W37-CAN9,1,462.5,1235.5,Herald Square,9,,,,,,,,
NYC44W37-CAN9,2,462.5,600.5,Herald Square,9,,,,,,,,
NYC44W37-CAN9,3,31.5,600.5,Herald Square,9,,,,,,,,
NYC44W37-CAN10,0,485.5,1230.5,Herald Square,10,,,,,,,,
NYC44W37-CAN10,1,913.5,1230.5,Herald Square,10,,,,,,,,
NYC44W37-CAN10,2,913.5,599.5,Herald Square,10,,,,,,,,
NYC44W37-CAN10,3,487.5,599.5,Herald Square,10,,,,,,,,
NYC44W37-CAN11,0,944.5,1232.5,Herald Square,11,,,,,,,,
NYC44W37-CAN11,1,1376.5,1232.5,Herald Square,11,,,,,,,,
NYC44W37-CAN11,2,1376.5,599.5,Herald Square,11,,,,,,,,
NYC44W37-CAN11,3,945.5,599.5,Herald Square,11,,,,,,,,
NYC44W37-CAN12,0,1405.5,1232.0,Herald Square,12,,,,,,,,
NYC44W37-CAN12,1,1843.5,1232.0,Herald Square,12,,,,,,,,
NYC44W37-CAN12,2,1843.5,647.0,Herald Square,12,,,,,,,,
NYC44W37-CAN12,3,1406.5,647.0,Herald Square,12,,,,,,,,
NYC44W37-CAN13,0,1879.5,1232.5,Herald Square,13,,,,,,,,
NYC44W37-CAN13,1,2314.5,1232.5,Herald Square,13,,,,,,,,
NYC44W37-CAN13,2,2314.5,654.5,Herald Square,13,,,,,,,,
NYC44W37-CAN13,3,1879.5,653.5,Herald Square,13,,,,,,,,
NYC44W37-CAN14,0,2333,1230.5,Herald Square,14,,,,,,,,
NYC44W37-CAN14,1,2769,1230.5,Herald Square,14,,,,,,,,
NYC44W37-CAN14,2,2769,735.5,Herald Square,14,,,,,,,,
NYC44W37-CAN14,3,2460,735.5,Herald Square,14,,,,,,,,
NYC44W37-CAN14,4,2460,710.5,Herald Square,14,,,,,,,,
NYC44W37-CAN14,5,2334,710.5,Herald Square,14,,,,,,,,
NYC44W37-CAN15,0,2806.5,1223.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,1,3238.5,1223.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,2,3238.5,737.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,3,2930.5,737.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,4,2930.5,712.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,5,2806.5,712.5,Herald Square,15,,,,,,,,
NYC44W37-CAN15,6,2809.5,631.0,Herald Square,15,,,,,,,,
NYC44W37-CAN15,7,3240.5,632.0,Herald Square,15,,,,,,,,
NYC44W37-CAN15,8,3240.5,210.0,Herald Square,15,,,,,,,,
NYC44W37-CAN15,9,2808.5,210.0,Herald Square,15,,,,,,,,
