Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXHOL400,0,1813,1586.0,Hollywood,400,,,,,,,,
LAXHOL400,1,1890,1587.0,Hollywood,400,,,,,,,,
LAXHOL400,2,1890,1719.0,Hollywood,400,,,,,,,,
LAXHOL400,3,1811,1720.0,Hollywood,400,,,,,,,,
LAXHOL4001,0,1737,1720.0,Hollywood,4001,,,,,,,,
LAXHOL4001,1,1737,1588.0,Hollywood,4001,,,,,,,,
LAXHOL4001,2,1811,1588.0,Hollywood,4001,,,,,,,,
LAXHOL4001,3,1811,1720.0,Hollywood,4001,,,,,,,,
LAXHOL401,0,1658,1720.0,Hollywood,401,,,,,,,,
LAXHOL401,1,1737,1720.0,Hollywood,401,,,,,,,,
LAXHOL401,2,1737,1588.0,Hollywood,401,,,,,,,Hollywood,401
LAXHOL401,3,1656,1588.0,Hollywood,401,,,,,,,Hollywood,401
LAXHOL402,0,1656,1542.0,Hollywood,402,,,,,,,Hollywood,401
LAXHOL402,1,1585,1541.0,Hollywood,402,,,,,,,Hollywood,401
LAXHOL402,2,1582,1722.0,Hollywood,402,,,,,,,,
LAXHOL402,3,1656,1721.0,Hollywood,402,,,,,,,,
LAXHOL403,0,2265,1413.0,Hollywood,403,,,,,,,,
LAXHOL403,1,2266,1324.0,Hollywood,403,,,,,,,,
LAXHOL403,2,2184,1325.0,Hollywood,403,,,,,,,,
LAXHOL403,3,2183,1414.0,Hollywood,403,,,,,,,,
LAXHOL404,0,2183,1414.0,Hollywood,404,,,,,,,,
LAXHOL404,1,2184,1325.0,Hollywood,404,,,,,,,,
LAXHOL404,2,2105,1323.0,Hollywood,404,,,,,,,,
LAXHOL404,3,2104,1414.0,Hollywood,404,,,,,,,,
LAXHOL405,0,2104,1414.0,Hollywood,405,,,,,,,,
LAXHOL405,1,2105,1323.0,Hollywood,405,,,,,,,,
LAXHOL405,2,2027,1322.0,Hollywood,405,,,,,,,,
LAXHOL405,3,2026,1414.0,Hollywood,405,,,,,,,,
LAXHOL406,0,2026,1414.0,Hollywood,406,,,,,,,,
LAXHOL406,1,2027,1322.0,Hollywood,406,,,,,,,,
LAXHOL406,2,1953,1321.0,Hollywood,406,,,,,,,,
LAXHOL406,3,1952,1413.0,Hollywood,406,,,,,,,,
LAXHOL407,0,1952,1413.0,Hollywood,407,,,,,,,,
LAXHOL407,1,1953,1321.0,Hollywood,407,,,,,,,,
LAXHOL407,2,1880,1321.0,Hollywood,407,,,,,,,,
LAXHOL407,3,1879,1412.0,Hollywood,407,,,,,,,,
LAXHOL408,0,1879,1412.0,Hollywood,408,,,,,,,,
LAXHOL408,1,1880,1321.0,Hollywood,408,,,,,,,,
LAXHOL408,2,1798,1321.0,Hollywood,408,,,,,,,,
LAXHOL408,3,1797,1412.0,Hollywood,408,,,,,,,,
LAXHOL409,0,1814,1462.0,Hollywood,409,,,,,,,,
LAXHOL409,1,1891,1462.0,Hollywood,409,,,,,,,,
LAXHOL409,2,1890,1541.0,Hollywood,409,,,,,,,,
LAXHOL409,3,1813,1542.0,Hollywood,409,,,,,,,,
LAXHOL410,0,1798,1321.0,Hollywood,410,,,,,,,,
LAXHOL410,1,1797,1412.0,Hollywood,410,,,,,,,,
LAXHOL410,2,1715,1412.0,Hollywood,410,,,,,,,,
LAXHOL410,3,1716,1320.0,Hollywood,410,,,,,,,,
LAXHOL411,0,1814,1462.0,Hollywood,411,,,,,,,,
LAXHOL411,1,1813,1542.0,Hollywood,411,,,,,,,,
LAXHOL411,2,1734,1542.0,Hollywood,411,,,,,,,,
LAXHOL411,3,1735,1461.0,Hollywood,411,,,,,,,,
LAXHOL412,0,1715,1412.0,Hollywood,412,,,,,,,,
LAXHOL412,1,1716,1320.0,Hollywood,412,,,,,,,,
LAXHOL412,2,1643,1320.0,Hollywood,412,,,,,,,,
LAXHOL412,3,1640,1412.0,Hollywood,412,,,,,,,,
LAXHOL413,0,1656,1542.0,Hollywood,413,,,,,,,,
LAXHOL413,1,1734,1542.0,Hollywood,413,,,,,,,,
LAXHOL413,2,1735,1461.0,Hollywood,413,,,,,,,,
LAXHOL413,3,1657,1462.0,Hollywood,413,,,,,,,,
LAXHOL414,0,1640,1412.0,Hollywood,414,,,,,,,,
LAXHOL414,1,1643,1320.0,Hollywood,414,,,,,,,,
LAXHOL414,2,1567,1319.0,Hollywood,414,,,,,,,,
LAXHOL414,3,1565,1413.0,Hollywood,414,,,,,,,,
LAXHOL415,0,1585,1541.0,Hollywood,415,,,,,,,,
LAXHOL415,1,1656,1542.0,Hollywood,415,,,,,,,,
LAXHOL415,2,1657,1462.0,Hollywood,415,,,,,,,,
LAXHOL415,3,1584,1462.0,Hollywood,415,,,,,,,,
LAXHOL416,0,1565,1413.0,Hollywood,416,,,,,,,,
LAXHOL416,1,1567,1319.0,Hollywood,416,,,,,,,,
LAXHOL416,2,1493,1320.0,Hollywood,416,,,,,,,,
LAXHOL416,3,1492,1414.0,Hollywood,416,,,,,,,,
LAXHOL417,0,1585,1541.0,Hollywood,417,,,,,,,,
LAXHOL417,1,1495,1542.0,Hollywood,417,,,,,,,,
LAXHOL417,2,1496,1461.0,Hollywood,417,,,,,,,,
LAXHOL417,3,1584,1462.0,Hollywood,417,,,,,,,,
LAXHOL418,0,1492,1414.0,Hollywood,418,,,,,,,,
LAXHOL418,1,1493,1320.0,Hollywood,418,,,,,,,,
LAXHOL418,2,1418,1320.0,Hollywood,418,,,,,,,,
LAXHOL418,3,1417,1414.0,Hollywood,418,,,,,,,,
LAXHOL419,0,1496,1461.0,Hollywood,419,,,,,,,,
LAXHOL419,1,1495,1542.0,Hollywood,419,,,,,,,,
LAXHOL419,2,1417,1541.0,Hollywood,419,,,,,,,,
LAXHOL419,3,1417,1461.0,Hollywood,419,,,,,,,,
LAXHOL420,0,1417,1414.0,Hollywood,420,,,,,,,,
LAXHOL420,1,1418,1320.0,Hollywood,420,,,,,,,,
LAXHOL420,2,1343,1320.0,Hollywood,420,,,,,,,,
LAXHOL420,3,1342,1413.0,Hollywood,420,,,,,,,,
LAXHOL421,0,1339,1462.0,Hollywood,421,,,,,,,,
LAXHOL421,1,1417,1461.0,Hollywood,421,,,,,,,,
LAXHOL421,2,1417,1541.0,Hollywood,421,,,,,,,,
LAXHOL421,3,1338,1542.0,Hollywood,421,,,,,,,,
LAXHOL422,0,1342,1413.0,Hollywood,422,,,,,,,,
LAXHOL422,1,1268,1413.0,Hollywood,422,,,,,,,,
LAXHOL422,2,1270,1318.0,Hollywood,422,,,,,,,,
LAXHOL422,3,1343,1320.0,Hollywood,422,,,,,,,,
LAXHOL423,0,1339,1462.0,Hollywood,423,,,,,,,,
LAXHOL423,1,1338,1542.0,Hollywood,423,,,,,,,,
LAXHOL423,2,1262,1541.0,Hollywood,423,,,,,,,,
LAXHOL423,3,1263,1461.0,Hollywood,423,,,,,,,,
LAXHOL424,0,1268,1413.0,Hollywood,424,,,,,,,,
LAXHOL424,1,1270,1318.0,Hollywood,424,,,,,,,,
LAXHOL424,2,1190,1318.0,Hollywood,424,,,,,,,,
LAXHOL424,3,1188,1413.0,Hollywood,424,,,,,,,,
LAXHOL425,0,1182,1463.0,Hollywood,425,,,,,,,,
LAXHOL425,1,1263,1461.0,Hollywood,425,,,,,,,,
LAXHOL425,2,1262,1541.0,Hollywood,425,,,,,,,,
LAXHOL425,3,1182,1541.0,Hollywood,425,,,,,,,,
LAXHOL426,0,1188,1413.0,Hollywood,426,,,,,,,,
LAXHOL426,1,1190,1318.0,Hollywood,426,,,,,,,,
LAXHOL426,2,1054,1318.0,Hollywood,426,,,,,,,,
LAXHOL426,3,1055,1412.0,Hollywood,426,,,,,,,,
LAXHOL427,0,1103,1462.0,Hollywood,427,,,,,,,,
LAXHOL427,1,1182,1463.0,Hollywood,427,,,,,,,,
LAXHOL427,2,1182,1541.0,Hollywood,427,,,,,,,,
LAXHOL427,3,1104,1543.0,Hollywood,427,,,,,,,,
LAXHOL428,0,1032,1317.0,Hollywood,428,,,,,,,,
LAXHOL428,1,1054,1318.0,Hollywood,428,,,,,,,,
LAXHOL428,2,1054,1514.0,Hollywood,428,,,,,,,,
LAXHOL428,3,849,1513.0,Hollywood,428,,,,,,,,
LAXHOL428,4,848,1494.0,Hollywood,428,,,,,,,,
LAXHOL429,0,1054,1514.0,Hollywood,429,,,,,,,,
LAXHOL429,1,1054,1623.0,Hollywood,429,,,,,,,,
LAXHOL429,2,831,1624.0,Hollywood,429,,,,,,,,
LAXHOL429,3,839,1513.0,Hollywood,429,,,,,,,,
LAXHOL430,0,831,1624.0,Hollywood,430,,,,,,,,
LAXHOL430,1,824,1718.0,Hollywood,430,,,,,,,,
LAXHOL430,2,1056,1719.0,Hollywood,430,,,,,,,,
LAXHOL430,3,1054,1623.0,Hollywood,430,,,,,,,,
LAXHOL431,0,1104,1543.0,Hollywood,431,,,,,,,,
LAXHOL431,1,1182,1541.0,Hollywood,431,,,,,,,,
LAXHOL431,2,1183,1732.0,Hollywood,431,,,,,,,,
LAXHOL431,3,1104,1732.0,Hollywood,431,,,,,,,,
LAXHOL432,0,1183,1732.0,Hollywood,432,,,,,,,,
LAXHOL432,1,1182,1541.0,Hollywood,432,,,,,,,,
LAXHOL432,2,1262,1541.0,Hollywood,432,,,,,,,,
LAXHOL432,3,1262,1732.0,Hollywood,432,,,,,,,,
LAXHOL433,0,1262,1732.0,Hollywood,433,,,,,,,,
LAXHOL433,1,1262,1541.0,Hollywood,433,,,,,,,,
LAXHOL433,2,1338,1542.0,Hollywood,433,,,,,,,,
LAXHOL433,3,1339,1732.0,Hollywood,433,,,,,,,,
LAXHOL434,0,1339,1732.0,Hollywood,434,,,,,,,,
LAXHOL434,1,1338,1542.0,Hollywood,434,,,,,,,,
LAXHOL434,2,1417,1541.0,Hollywood,434,,,,,,,,
LAXHOL434,3,1416,1733.0,Hollywood,434,,,,,,,,
LAXHOL435,0,1416,1733.0,Hollywood,435,,,,,,,,
LAXHOL435,1,1417,1541.0,Hollywood,435,,,,,,,,
LAXHOL435,2,1495,1542.0,Hollywood,435,,,,,,,,
LAXHOL435,3,1496,1733.0,Hollywood,435,,,,,,,,
LAXHOL436,0,1496,1733.0,Hollywood,436,,,,,,,,
LAXHOL436,1,1495,1542.0,Hollywood,436,,,,,,,,
LAXHOL436,2,1585,1541.0,Hollywood,436,,,,,,,,
LAXHOL436,3,1582,1731.0,Hollywood,436,,,,,,,,
LAXHOL437,0,1195,1781.0,Hollywood,437,,,,,,,,
LAXHOL437,1,1280,1780.0,Hollywood,437,,,,,,,,
LAXHOL437,2,1281,1960.0,Hollywood,437,,,,,,,,
LAXHOL437,3,1196,1962.0,Hollywood,437,,,,,,,,
LAXHOL438,0,1114,1780.0,Hollywood,438,,,,,,,,
LAXHOL438,1,1195,1781.0,Hollywood,438,,,,,,,,
LAXHOL438,2,1196,1962.0,Hollywood,438,,,,,,,,
LAXHOL438,3,1113,1961.0,Hollywood,438,,,,,,,,
LAXHOL439,0,1024,1781.0,Hollywood,439,,,,,,,,
LAXHOL439,1,1114,1780.0,Hollywood,439,,,,,,,,
LAXHOL439,2,1113,1961.0,Hollywood,439,,,,,,,,
LAXHOL439,3,1025,1961.0,Hollywood,439,,,,,,,,
LAXHOL440,0,824,1718.0,Hollywood,440,,,,,,,,
LAXHOL440,1,819,1797.0,Hollywood,440,,,,,,,,
LAXHOL440,2,976,1796.0,Hollywood,440,,,,,,,,
