Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
HOUTEX901,0,1384,835.0,Houston - 717 Texas,,,,,,,,,
HOUTEX001,0,1223.015625,619.5,Houston - 717 Texas,,,,,,,,,
HOUTEX001,1,1105.015625,619.5,Houston - 717 Texas,,,,,,,,,
HOUTEX001,2,1105.015625,800.5,Houston - 717 Texas,,,,,,,,,
HOUTEX001,3,1223.015625,800.5,Houston - 717 Texas,,,,,,,,,
HOUTEX002,0,1105.015625,619.5,Houston - 717 Texas,,,,,,,,,
HOUTEX002,1,920.015625,619.5,Houston - 717 Texas,,,,,,,,,
HOUTEX002,2,907.015625,643.5,Houston - 717 Texas,,,,,,,,,
HOUTEX002,3,907.015625,799.5,Houston - 717 Texas,,,,,,,,,
HOUTEX002,4,1105.015625,800.5,Houston - 717 Texas,,,,,,,,,
HOUTEX003,0,907.015625,643.5,Houston - 717 Texas,,,,,,,,,
HOUTEX003,1,732.015625,643.5,Houston - 717 Texas,,,,,,,,,
HOUTEX003,2,732.015625,800.5,Houston - 717 Texas,,,,,,,,,
HOUTEX003,3,907.015625,799.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,0,732.015625,643.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,1,601.515625,643.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,2,583.515625,668.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,3,544.515625,668.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,4,488.515625,768.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,5,670.515625,844.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,6,689.515625,801.5,Houston - 717 Texas,,,,,,,,,
HOUTEX004,7,732.015625,800.5,Houston - 717 Texas,,,,,,,,,
HOUTEX005,0,670.515625,844.5,Houston - 717 Texas,,,,,,,,,
HOUTEX005,1,631.515625,951.5,Houston - 717 Texas,,,,,,,,,
HOUTEX005,2,438.515625,880.5,Houston - 717 Texas,,,,,,,,,
HOUTEX005,3,488.515625,768.5,Houston - 717 Texas,,,,,,,,,
HOUTEX006,0,631.515625,951.5,Houston - 717 Texas,,,,,,,,,
HOUTEX006,1,596.515625,1126.5,Houston - 717 Texas,,,,,,,,,
