Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
HOU1301DT301,0,1495,370.0,Houston Downtown,301,,,,,,,,
HOU1301DT301,1,1495,500.0,Houston Downtown,301,,,,,,,,
HOU1301DT301,2,1360,500.0,Houston Downtown,301,,,,,,,,
HOU1301DT301,3,1360,370.0,Houston Downtown,301,,,,,,,,
HOU1301DT302,0,1360,500.0,Houston Downtown,302,,,,,,,,
HOU1301DT302,1,1215,500.0,Houston Downtown,302,,,,,,,,
HOU1301DT302,2,1215,475.0,Houston Downtown,302,,,,,,,,
HOU1301DT302,3,1315,370.0,Houston Downtown,302,,,,,,,,
HOU1301DT302,4,1360,370.0,Houston Downtown,302,,,,,,,,
HOU1301DT303,0,1345,555.0,Houston Downtown,303,,,,,,,,
HOU1301DT303,1,1345,685.0,Houston Downtown,303,,,,,,,,
HOU1301DT303,2,1170,685.0,Houston Downtown,303,,,,,,,,
HOU1301DT303,3,1170,555.0,Houston Downtown,303,,,,,,,,
HOU1301DT304,0,1215,500.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,1,1100,500.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,2,1030,430.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,3,1100,360.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,4,1120,380.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,5,1140,360.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,6,1205,425.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,7,1185,445.0,Houston Downtown,304,,,,,,,,
HOU1301DT304,8,1215,475.0,Houston Downtown,304,,,,,,,,
HOU1301DT305,0,1170,685.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,1,1005,685.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,2,1005,640.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,3,970,640.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,4,970,480.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,5,1005,480.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,6,1080,555.0,Houston Downtown,305,,,,,,,,
HOU1301DT305,7,1170,555.0,Houston Downtown,305,,,,,,,,
HOU1301DT306,0,1030,430.0,Houston Downtown,306,,,,,,,,
HOU1301DT306,1,910,430.0,Houston Downtown,306,,,,,,,,
HOU1301DT306,2,840,360.0,Houston Downtown,306,,,,,,,,
HOU1301DT306,3,970,230.0,Houston Downtown,306,,,,,,,,
HOU1301DT306,4,1100,360.0,Houston Downtown,306,,,,,,,,
HOU1301DT307,0,910,430.0,Houston Downtown,307,,,,,,,,
HOU1301DT307,1,815,525.0,Houston Downtown,307,,,,,,,,
HOU1301DT307,2,815,595.0,Houston Downtown,307,,,,,,,,
HOU1301DT307,3,665,595.0,Houston Downtown,307,,,,,,,,
HOU1301DT307,4,665,535.0,Houston Downtown,307,,,,,,,,
HOU1301DT307,5,840,360.0,Houston Downtown,307,,,,,,,,
HOU1301DT308,0,970,640.0,Houston Downtown,308,,,,,,,,
HOU1301DT308,1,865,640.0,Houston Downtown,308,,,,,,,,
HOU1301DT308,2,865,550.0,Houston Downtown,308,,,,,,,,
HOU1301DT308,3,930,480.0,Houston Downtown,308,,,,,,,,
HOU1301DT308,4,970,480.0,Houston Downtown,308,,,,,,,,
HOU1301DT309,0,815,595.0,Houston Downtown,309,,,,,,,,
HOU1301DT309,1,815,800.0,Houston Downtown,309,,,,,,,,
HOU1301DT309,2,665,800.0,Houston Downtown,309,,,,,,,,
HOU1301DT309,3,665,595.0,Houston Downtown,309,,,,,,,,
HOU1301DT310,0,815,800.0,Houston Downtown,310,,,,,,,,
HOU1301DT310,1,665,800.0,Houston Downtown,310,,,,,,,,
HOU1301DT310,2,665,960.0,Houston Downtown,310,,,,,,,,
HOU1301DT310,3,815,960.0,Houston Downtown,310,,,,,,,,
HOU1301DT311,0,865,855.0,Houston Downtown,311,,,,,,,,
HOU1301DT311,1,1025,855.0,Houston Downtown,311,,,,,,,,
HOU1301DT311,2,1025,1035.0,Houston Downtown,311,,,,,,,,
HOU1301DT311,3,865,1035.0,Houston Downtown,311,,,,,,,,
HOU1301DT312,0,665,960.0,Houston Downtown,312,,,,,,,,
HOU1301DT312,1,665,1165.0,Houston Downtown,312,,,,,,,,
HOU1301DT312,2,815,1165.0,Houston Downtown,312,,,,,,,,
HOU1301DT312,3,815,960.0,Houston Downtown,312,,,,,,,,
HOU1301DT313,0,865,1035.0,Houston Downtown,313,,,,,,,,
HOU1301DT313,1,865,1155.0,Houston Downtown,313,,,,,,,,
HOU1301DT313,2,970,1155.0,Houston Downtown,313,,,,,,,,
HOU1301DT313,3,970,1035.0,Houston Downtown,313,,,,,,,,
HOU1301DT314,0,815,1165.0,Houston Downtown,314,,,,,,,,
HOU1301DT314,1,815,1325.0,Houston Downtown,314,,,,,,,,
HOU1301DT314,2,665,1325.0,Houston Downtown,314,,,,,,,,
HOU1301DT314,3,665,1165.0,Houston Downtown,314,,,,,,,,
HOU1301DT315,0,970,1155.0,Houston Downtown,315,,,,,,,,
HOU1301DT315,1,970,1255.0,Houston Downtown,315,,,,,,,,
HOU1301DT315,2,865,1255.0,Houston Downtown,315,,,,,,,,
HOU1301DT315,3,865,1155.0,Houston Downtown,315,,,,,,,,
HOU1301DT316,0,815,1325.0,Houston Downtown,316,,,,,,,,
HOU1301DT316,1,815,1530.0,Houston Downtown,316,,,,,,,,
HOU1301DT316,2,665,1530.0,Houston Downtown,316,,,,,,,,
HOU1301DT316,3,665,1325.0,Houston Downtown,316,,,,,,,,
HOU1301DT317,0,865,1630.0,Houston Downtown,317,,,,,,,,
HOU1301DT317,1,975,1630.0,Houston Downtown,317,,,,,,,,
HOU1301DT317,2,975,1460.0,Houston Downtown,317,,,,,,,,
HOU1301DT317,3,865,1460.0,Houston Downtown,317,,,,,,,,
HOU1301DT318,0,815,1530.0,Houston Downtown,318,,,,,,,,
HOU1301DT318,1,815,1670.0,Houston Downtown,318,,,,,,,,
HOU1301DT318,2,665,1670.0,Houston Downtown,318,,,,,,,,
HOU1301DT318,3,665,1530.0,Houston Downtown,318,,,,,,,,
HOU1301DT319,0,975,1630.0,Houston Downtown,319,,,,,,,,
HOU1301DT319,1,975,1770.0,Houston Downtown,319,,,,,,,,
HOU1301DT319,2,865,1770.0,Houston Downtown,319,,,,,,,,
HOU1301DT319,3,865,1630.0,Houston Downtown,319,,,,,,,,
HOU1301DT320,0,815,1670.0,Houston Downtown,320,,,,,,,,
HOU1301DT320,1,815,1810.0,Houston Downtown,320,,,,,,,,
HOU1301DT320,2,665,1810.0,Houston Downtown,320,,,,,,,,
HOU1301DT320,3,665,1670.0,Houston Downtown,320,,,,,,,,
HOU1301DT321,0,665,1810.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,1,665,2080.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,2,830,2245.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,3,1115,2245.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,4,1115,1820.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,5,815,1820.0,Houston Downtown,321,,,,,,,,
HOU1301DT321,6,815,1810.0,Houston Downtown,321,,,,,,,,
HOU1301DT322,0,1115,2245.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,1,1470,2245.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,2,1470,2130.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,3,1420,2130.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,4,1420,2090.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,5,1460,2090.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,6,1460,1820.0,Houston Downtown,322,,,,,,,,
HOU1301DT322,7,1115,1820.0,Houston Downtown,322,,,,,,,,
HOU1301DT323,0,1472,2283.0,Houston Downtown,323,,,,,,,,
HOU1301DT323,1,1470,2007.0,Houston Downtown,323,,shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
HOU1301DT323,2,1616,2006.0,Houston Downtown,323,,0,polygon,,0,1472,2283,
HOU1301DT323,3,1616,1820.0,Houston Downtown,323,,0,polygon,,1,1470,2007,
HOU1301DT323,4,1829,1821.0,Houston Downtown,323,,0,polygon,,2,1616,2006,
HOU1301DT323,5,1825,2282.0,Houston Downtown,323,,0,polygon,,3,1616,1820,
HOU1301DT324,0,975,1770.0,Houston Downtown,324,,,,,,,,
HOU1301DT324,1,1085,1770.0,Houston Downtown,324,,,,,,,,
HOU1301DT324,2,1085,1630.0,Houston Downtown,324,,,,,,,,
HOU1301DT324,3,975,1630.0,Houston Downtown,324,,,,,,,,
HOU1301DT325,0,975,1630.0,Houston Downtown,325,,,,,,,,
HOU1301DT325,1,975,1460.0,Houston Downtown,325,,,,,,,,
HOU1301DT325,2,1085,1460.0,Houston Downtown,325,,,,,,,,
HOU1301DT325,3,1085,1630.0,Houston Downtown,325,,,,,,,,
HOU1301DT326,0,970,1255.0,Houston Downtown,326,,,,,,,,
HOU1301DT326,1,970,1155.0,Houston Downtown,326,,,,,,,,
HOU1301DT326,2,1080,1155.0,Houston Downtown,326,,,,,,,,
HOU1301DT326,3,1080,1255.0,Houston Downtown,326,,,,,,,,
HOU1301DT327,0,970,1155.0,Houston Downtown,327,,,,,,,,
HOU1301DT327,1,970,1035.0,Houston Downtown,327,,,,,,,,
HOU1301DT327,2,1080,1035.0,Houston Downtown,327,,,,,,,,
HOU1301DT327,3,1080,1155.0,Houston Downtown,327,,,,,,,,
HOU1301DT328,0,1880,2060.0,Houston Downtown,328,,,,,,,,
HOU1301DT328,1,1880,1945.0,Houston Downtown,328,,,,,,,,
HOU1301DT328,2,1960,1945.0,Houston Downtown,328,,,,,,,,
HOU1301DT328,3,1960,2060.0,Houston Downtown,328,,,,,,,,
HOU1301DT329,0,1825,2245.0,Houston Downtown,329,,,,,,,,
HOU1301DT329,1,1825,2110.0,Houston Downtown,329,,,,,,,,
HOU1301DT329,2,2025,2110.0,Houston Downtown,329,,,,,,,,
HOU1301DT329,3,2025,2245.0,Houston Downtown,329,,,,,,,,
HOU1301DT330,0,1960,1945.0,Houston Downtown,330,,,,,,,,
HOU1301DT330,1,2085,1945.0,Houston Downtown,330,,,,,,,,
HOU1301DT330,2,2085,2060.0,Houston Downtown,330,,,,,,,,
HOU1301DT330,3,1960,2060.0,Houston Downtown,330,,,,,,,,
HOU1301DT331,0,2085,2060.0,Houston Downtown,331,,,,,,,,
HOU1301DT331,1,2210,2060.0,Houston Downtown,331,,,,,,,,
HOU1301DT331,2,2210,1945.0,Houston Downtown,331,,,,,,,,
HOU1301DT331,3,2085,1945.0,Houston Downtown,331,,,,,,,,
HOU1301DT332,0,2025,2245.0,Houston Downtown,332,,,,,,,,
HOU1301DT332,1,2195,2245.0,Houston Downtown,332,,,,,,,,
