Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
HOUION201,0,"2,210",4710.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,1,"2,435",4710.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,2,"2,435",4645.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,3,"2,535",4645.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,4,"2,535",4935.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,5,"2,460",4935.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,6,"2,460",4900.0,Houston Ion (Retrace),201,,,,,,,,
HOUION201,7,"2,210",4900.0,Houston Ion (Retrace),201,,,,,,,,
HOUION202,0,"2,210",4710.0,Houston Ion (Retrace),202,,,,,,,,
HOUION202,1,"2,210",4555.0,Houston Ion (Retrace),202,,,,,,,,
HOUION202,2,"2,535",4555.0,Houston Ion (Retrace),202,,,,,,,,
HOUION202,3,"2,535",4645.0,Houston Ion (Retrace),202,,,,,,,,
HOUION202,4,"2,435",4645.0,Houston Ion (Retrace),202,,,,,,,,
HOUION202,5,"2,435",4710.0,Houston Ion (Retrace),202,,,,,,,,
HOUION203,0,"2,210",4555.0,Houston Ion (Retrace),203,,,,,,,,
HOUION203,1,"2,210",4300.0,Houston Ion (Retrace),203,,,,,,,,
HOUION203,2,"2,535",4300.0,Houston Ion (Retrace),203,,,,,,,,
HOUION203,3,"2,535",4555.0,Houston Ion (Retrace),203,,,,,,,,
HOUION204,0,"2,210",4300.0,Houston Ion (Retrace),204,,,,,,,,
HOUION204,1,"2,210",3965.0,Houston Ion (Retrace),204,,,,,,,,
HOUION204,2,"2,535",3965.0,Houston Ion (Retrace),204,,,,,,,,
HOUION204,3,"2,535",4300.0,Houston Ion (Retrace),204,,,,,,,,
HOUION205,0,"2,210",3965.0,Houston Ion (Retrace),205,,,,,,,,
HOUION205,1,"2,050",3965.0,Houston Ion (Retrace),205,,,,,,,,
HOUION205,2,"2,050",4335.0,Houston Ion (Retrace),205,,,,,,,,
HOUION205,3,"2,145",4335.0,Houston Ion (Retrace),205,,,,,,,,
HOUION205,4,"2,145",4250.0,Houston Ion (Retrace),205,,,,,,,,
HOUION205,5,"2,210",4250.0,Houston Ion (Retrace),205,,,,,,,,
HOUION206,0,"2,145",4480.0,Houston Ion (Retrace),206,,,,,,,,
HOUION206,1,"2,145",4390.0,Houston Ion (Retrace),206,,,,,,,,
HOUION206,2,"1,960",4390.0,Houston Ion (Retrace),206,,,,,,,,
HOUION206,3,"1,960",4480.0,Houston Ion (Retrace),206,,,,,,,,
HOUION207,0,"1,960",4480.0,Houston Ion (Retrace),207,,,,,,,,
HOUION207,1,"1,960",4570.0,Houston Ion (Retrace),207,,,,,,,,
HOUION207,2,"2,145",4570.0,Houston Ion (Retrace),207,,,,,,,,
HOUION207,3,"2,145",4480.0,Houston Ion (Retrace),207,,,,,,,,
HOUION208,0,"1,960",4570.0,Houston Ion (Retrace),208,,,,,,,,
HOUION208,1,"1,960",4660.0,Houston Ion (Retrace),208,,,,,,,,
HOUION208,2,"2,145",4660.0,Houston Ion (Retrace),208,,,,,,,,
HOUION208,3,"2,145",4570.0,Houston Ion (Retrace),208,,,,,,,,
HOUION209,0,"2,145",4660.0,Houston Ion (Retrace),209,,,,,,,,
HOUION209,1,"2,145",4750.0,Houston Ion (Retrace),209,,,,,,,,
HOUION209,2,"2,020",4750.0,Houston Ion (Retrace),209,,,,,,,,
HOUION209,3,"2,020",4660.0,Houston Ion (Retrace),209,,,,,,,,
HOUION210,0,"2,050",3965.0,Houston Ion (Retrace),210,,,,,,,,
HOUION210,1,"1,760",3965.0,Houston Ion (Retrace),210,,,,,,,,
HOUION210,2,"1,760",4195.0,Houston Ion (Retrace),210,,,,,,,,
HOUION210,3,"2,050",4195.0,Houston Ion (Retrace),210,,,,,,,,
HOUION211,0,"1,785",4355.0,Houston Ion (Retrace),211,,,,,,,,
HOUION211,1,"1,785",4260.0,Houston Ion (Retrace),211,,,,,,,,
HOUION211,2,"1,670",4260.0,Houston Ion (Retrace),211,,,,,,,,
HOUION211,3,"1,670",4355.0,Houston Ion (Retrace),211,,,,,,,,
HOUION212,0,"1,670",4260.0,Houston Ion (Retrace),212,,,,,,,,
HOUION212,1,"1,580",4260.0,Houston Ion (Retrace),212,,,,,,,,
HOUION212,2,"1,580",4370.0,Houston Ion (Retrace),212,,,,,,,,
HOUION212,3,"1,670",4370.0,Houston Ion (Retrace),212,,,,,,,,
HOUION213,0,"1,760",4195.0,Houston Ion (Retrace),213,,,,,,,,
HOUION213,1,"1,655",4195.0,Houston Ion (Retrace),213,,,,,,,,
HOUION213,2,"1,655",3965.0,Houston Ion (Retrace),213,,,,,,,,
HOUION213,3,"1,760",3965.0,Houston Ion (Retrace),213,,,,,,,,
HOUION214,0,"1,655",4195.0,Houston Ion (Retrace),214,,,,,,,,
HOUION214,1,"1,510",4195.0,Houston Ion (Retrace),214,,,,,,,,
HOUION214,2,"1,510",3965.0,Houston Ion (Retrace),214,,,,,,,,
HOUION214,3,"1,655",3965.0,Houston Ion (Retrace),214,,,,,,,,
HOUION215,0,"1,580",4370.0,Houston Ion (Retrace),215,,,,,,,,
HOUION215,1,"1,485",4370.0,Houston Ion (Retrace),215,,,,,,,,
HOUION215,2,"1,485",4260.0,Houston Ion (Retrace),215,,,,,,,,
HOUION215,3,"1,580",4260.0,Houston Ion (Retrace),215,,,,,,,,
HOUION216,0,"1,485",4260.0,Houston Ion (Retrace),216,,,,,,,,
HOUION216,1,"1,390",4260.0,Houston Ion (Retrace),216,,,,,,,,
HOUION216,2,"1,390",4410.0,Houston Ion (Retrace),216,,,,,,,,
HOUION216,3,"1,485",4410.0,Houston Ion (Retrace),216,,,,,,,,
HOUION217,0,"1,510",4195.0,Houston Ion (Retrace),217,,,,,,,,
HOUION217,1,"1,410",4195.0,Houston Ion (Retrace),217,,,,,,,,
HOUION217,2,"1,410",3965.0,Houston Ion (Retrace),217,,,,,,,,
HOUION217,3,"1,510",3965.0,Houston Ion (Retrace),217,,,,,,,,
HOUION218,0,"1,410",4195.0,Houston Ion (Retrace),218,,,,,,,,
HOUION218,1,"1,310",4195.0,Houston Ion (Retrace),218,,,,,,,,
HOUION218,2,"1,310",3965.0,Houston Ion (Retrace),218,,,,,,,,
HOUION218,3,"1,410",3965.0,Houston Ion (Retrace),218,,,,,,,,
HOUION219,0,"1,390",4410.0,Houston Ion (Retrace),219,,,,,,,,
HOUION219,1,"1,295",4410.0,Houston Ion (Retrace),219,,,,,,,,
HOUION219,2,"1,295",4260.0,Houston Ion (Retrace),219,,,,,,,,
HOUION219,3,"1,390",4260.0,Houston Ion (Retrace),219,,,,,,,,
HOUION220,0,"1,295",4410.0,Houston Ion (Retrace),220,,,,,,,,
HOUION220,1,"1,195",4410.0,Houston Ion (Retrace),220,,,,,,,,
HOUION220,2,"1,195",4260.0,Houston Ion (Retrace),220,,,,,,,,
HOUION220,3,"1,295",4260.0,Houston Ion (Retrace),220,,,,,,,,
HOUION221,0,"1,310",4195.0,Houston Ion (Retrace),221,,,,,,,,
HOUION221,1,"1,145",4195.0,Houston Ion (Retrace),221,,,,,,,,
HOUION221,2,"1,145",3965.0,Houston Ion (Retrace),221,,,,,,,,
HOUION221,3,"1,310",3965.0,Houston Ion (Retrace),221,,,,,,,,
HOUION222,0,"1,195",4410.0,Houston Ion (Retrace),222,,,,,,,,
HOUION222,1,"1,100",4410.0,Houston Ion (Retrace),222,,,,,,,,
HOUION222,2,"1,100",4260.0,Houston Ion (Retrace),222,,,,,,,,
HOUION222,3,"1,195",4260.0,Houston Ion (Retrace),222,,,,,,,,
HOUION223,0,"1,100",4410.0,Houston Ion (Retrace),223,,,,,,,,
HOUION223,1,"1,005",4410.0,Houston Ion (Retrace),223,,,,,,,,
HOUION223,2,"1,005",4260.0,Houston Ion (Retrace),223,,,,,,,,
HOUION223,3,"1,100",4260.0,Houston Ion (Retrace),223,,,,,,,,
HOUION224,0,"1,145",3965.0,Houston Ion (Retrace),224,,,,,,,,
HOUION224,1,"1,000",3965.0,Houston Ion (Retrace),224,,,,,,,,
HOUION224,2,"1,000",4085.0,Houston Ion (Retrace),224,,,,,,,,
HOUION224,3,"1,145",4085.0,Houston Ion (Retrace),224,,,,,,,,
HOUION225,0,"1,000",4085.0,Houston Ion (Retrace),225,,,,,,,,
HOUION225,1,905,4085.0,Houston Ion (Retrace),225,,,,,,,,
HOUION225,2,905,3965.0,Houston Ion (Retrace),225,,,,,,,,
HOUION225,3,"1,000",3965.0,Houston Ion (Retrace),225,,,,,,,,
HOUION226,0,"1,005",4410.0,Houston Ion (Retrace),226,,,,,,,,
HOUION226,1,890,4410.0,Houston Ion (Retrace),226,,,,,,,,
HOUION226,2,890,4140.0,Houston Ion (Retrace),226,,,,,,,,
HOUION226,3,"1,005",4140.0,Houston Ion (Retrace),226,,,,,,,,
HOUION227,0,905,4085.0,Houston Ion (Retrace),227,,,,,,,,
HOUION227,1,805,4085.0,Houston Ion (Retrace),227,,,,,,,,
HOUION227,2,805,3965.0,Houston Ion (Retrace),227,,,,,,,,
HOUION227,3,905,3965.0,Houston Ion (Retrace),227,,,,,,,,
HOUION228,0,890,4140.0,Houston Ion (Retrace),228,,,,,,,,
HOUION228,1,800,4140.0,Houston Ion (Retrace),228,,,,,,,,
HOUION228,2,800,4400.0,Houston Ion (Retrace),228,,,,,,,,
HOUION228,3,890,4400.0,Houston Ion (Retrace),228,,,,,,,,
HOUION229,0,800,4140.0,Houston Ion (Retrace),229,,,,,,,,
HOUION229,1,705,4140.0,Houston Ion (Retrace),229,,,,,,,,
HOUION229,2,705,4400.0,Houston Ion (Retrace),229,,,,,,,,
HOUION229,3,800,4400.0,Houston Ion (Retrace),229,,,,,,,,
HOUION230,0,805,4085.0,Houston Ion (Retrace),230,,,,,,,,
HOUION230,1,710,4085.0,Houston Ion (Retrace),230,,,,,,,,
HOUION230,2,710,3965.0,Houston Ion (Retrace),230,,,,,,,,
HOUION230,3,805,3965.0,Houston Ion (Retrace),230,,,,,,,,
HOUION231,0,705,4140.0,Houston Ion (Retrace),231,,,,,,,,
HOUION231,1,605,4140.0,Houston Ion (Retrace),231,,,,,,,,
HOUION231,2,605,4295.0,Houston Ion (Retrace),231,,,,,,,,
HOUION231,3,705,4295.0,Houston Ion (Retrace),231,,,,,,,,
HOUION232,0,710,4085.0,Houston Ion (Retrace),232,,,,,,,,
HOUION232,1,610,4085.0,Houston Ion (Retrace),232,,,,,,,,
HOUION232,2,610,3965.0,Houston Ion (Retrace),232,,,,,,,,
HOUION232,3,710,3965.0,Houston Ion (Retrace),232,,,,,,,,
HOUION233,0,610,4085.0,Houston Ion (Retrace),233,,,,,,,,
HOUION233,1,515,4085.0,Houston Ion (Retrace),233,,,,,,,,
HOUION233,2,515,3965.0,Houston Ion (Retrace),233,,,,,,,,
HOUION233,3,610,3965.0,Houston Ion (Retrace),233,,,,,,,,
HOUION234,0,440,4295.0,Houston Ion (Retrace),234,,,,,,,,
HOUION234,1,440,4140.0,Houston Ion (Retrace),234,,,,,,,,
HOUION234,2,340,4140.0,Houston Ion (Retrace),234,,,,,,,,
HOUION234,3,340,4295.0,Houston Ion (Retrace),234,,,,,,,,
HOUION235,0,515,4085.0,Houston Ion (Retrace),235,,,,,,,,
