Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
INDMAS001,0,417,180.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS001,1,366,180.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS001,2,366,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS001,3,417,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS002,0,417,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS002,1,457.342865,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS002,2,457.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS002,3,417.342865,204.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS003,0,391.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS003,1,464.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS003,2,464.342865,61.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS003,3,391.342865,60.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS004,0,464.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS004,1,500.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS004,2,500.342865,61.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS004,3,464.342865,61.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS005,0,500.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS005,1,597.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS005,2,597.342865,60.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS005,3,500.342865,61.91429137,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS006,0,623.342865,138.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS006,1,623.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS006,2,593.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS006,3,593.342865,137.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS007,0,593.342865,137.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS007,1,561.342865,137.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS007,2,561.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS007,3,593.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS008,0,561.342865,137.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS008,1,517.342865,137.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS008,2,517.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS008,3,561.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS009,0,457.342865,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS009,1,497.342865,138.0,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS009,2,497.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS009,3,457.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS010,0,497.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS010,1,497.342865,237.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS010,2,457.342865,237.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS010,3,457.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS011,0,497.342865,237.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS011,1,497.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS011,2,457.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS011,3,457.342865,237.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS012,0,457.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS012,1,416.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS012,2,416.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS012,3,457.342865,203.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS013,0,421.342865,294.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS013,1,464.342865,294.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS013,2,464.342865,340.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS013,3,421.342865,340.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS014,0,464.342865,340.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS014,1,492.342865,340.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS014,2,510.342865,323.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS014,3,510.342865,294.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS014,4,464.342865,294.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS015,0,561.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS015,1,518.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS015,2,517.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS015,3,561.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS016,0,561.342865,272.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS016,1,623.342865,211.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS016,2,623.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS016,3,561.342865,181.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,0,719.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,1,643.342865,115.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,2,643.342865,180.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,3,700.342865,180.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,4,700.342865,166.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS017,5,719.342865,166.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS018,0,700.342865,180.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS018,1,700.342865,242.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS018,2,682.342865,261.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS018,3,643.342865,221.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS018,4,643.342865,180.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS019,0,682.342865,261.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS019,1,613.342865,328.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS019,2,574.342865,289.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS019,3,643.342865,220.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS020,0,574.342865,289.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS020,1,540.342865,321.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS020,2,581.342865,361.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS020,3,613.342865,328.9142914,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS021,0,540.342865,321.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS021,1,513.342865,349.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS021,2,554.342865,387.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS021,3,581.342865,361.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS022,0,554.342865,387.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS022,1,528.342865,414.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS022,2,488.342865,375.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS022,3,513.342865,349.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS023,0,488.342865,375.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS023,1,456.342865,407.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS023,2,495.342865,447.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS023,3,528.342865,414.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
INDMAS024,0,495.342865,447.4857254,Indianapolis - 350 Massachusetts,3,,,,,,,,
