Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SANEXC301,0,430,1505.0,Industious UTC,301,,,,,,,,
SANEXC301,1,560,1505.0,Industious UTC,301,,,,,,,,
SANEXC301,2,560,1390.0,Industious UTC,301,,,,,,,,
SANEXC301,3,430,1390.0,Industious UTC,301,,,,,,,,
SANEXC302,0,420,1335.0,Industious UTC,302,,,,,,,,
SANEXC302,1,555,1335.0,Industious UTC,302,,,,,,,,
SANEXC302,2,555,1220.0,Industious UTC,302,,,,,,,,
SANEXC302,3,420,1220.0,Industious UTC,302,,,,,,,,
SANEXC303,0,430,1505.0,Industious UTC,303,,,,,,,,
SANEXC303,1,310,1505.0,Industious UTC,303,,,,,,,,
SANEXC303,2,310,1390.0,Industious UTC,303,,,,,,,,
SANEXC303,3,430,1390.0,Industious UTC,303,,,,,,,,
SANEXC304,0,420,1335.0,Industious UTC,304,,,,,,,,
SANEXC304,1,295,1335.0,Industious UTC,304,,,,,,,,
SANEXC304,2,295,1220.0,Industious UTC,304,,,,,,,,
SANEXC304,3,420,1220.0,Industious UTC,304,,,,,,,,
SANEXC305,0,310,1505.0,Industious UTC,305,,,,,,,,
SANEXC305,1,185,1505.0,Industious UTC,305,,,,,,,,
SANEXC305,2,185,1390.0,Industious UTC,305,,,,,,,,
SANEXC305,3,310,1390.0,Industious UTC,305,,,,,,,,
SANEXC306,0,295,1335.0,Industious UTC,306,,,,,,,,
SANEXC306,1,175,1335.0,Industious UTC,306,,,,,,,,
SANEXC306,2,175,1220.0,Industious UTC,306,,,,,,,,
SANEXC306,3,295,1220.0,Industious UTC,306,,,,,,,,
SANEXC307,0,175,1220.0,Industious UTC,307,,,,,,,,
SANEXC307,1,15,1220.0,Industious UTC,307,,,,,,,,
SANEXC307,2,15,1390.0,Industious UTC,307,,,,,,,,
SANEXC307,3,175,1390.0,Industious UTC,307,,,,,,,,
SANEXC308,0,185,1390.0,Industious UTC,308,,,,,,,,
SANEXC308,1,185,1600.0,Industious UTC,308,,,,,,,,
SANEXC308,2,110,1600.0,Industious UTC,308,,,,,,,,
SANEXC308,3,110,1640.0,Industious UTC,308,,,,,,,,
SANEXC308,4,15,1640.0,Industious UTC,308,,,,,,,,
SANEXC308,5,15,1390.0,Industious UTC,308,,,,,,,,
SANEXC309,0,110,1640.0,Industious UTC,309,,,,,,,,
SANEXC309,1,110,1650.0,Industious UTC,309,,,,,,,,
SANEXC309,2,175,1650.0,Industious UTC,309,,,,,,,,
SANEXC309,3,175,1810.0,Industious UTC,309,,,,,,,,
SANEXC309,4,15,1810.0,Industious UTC,309,,,,,,,,
SANEXC309,5,15,1640.0,Industious UTC,309,,,,,,,,
SANEXC310,0,185,1600.0,Industious UTC,310,,,,,,,,
SANEXC310,1,310,1600.0,Industious UTC,310,,,,,,,,
SANEXC310,2,310,1505.0,Industious UTC,310,,,,,,,,
SANEXC310,3,185,1505.0,Industious UTC,310,,,,,,,,
SANEXC311,0,175,1650.0,Industious UTC,311,,,,,,,,
SANEXC311,1,295,1650.0,Industious UTC,311,,,,,,,,
SANEXC311,2,295,1810.0,Industious UTC,311,,,,,,,,
SANEXC311,3,175,1810.0,Industious UTC,311,,,,,,,,
SANEXC312,0,310,1600.0,Industious UTC,312,,,,,,,,
SANEXC312,1,430,1600.0,Industious UTC,312,,,,,,,,
SANEXC312,2,430,1505.0,Industious UTC,312,,,,,,,,
SANEXC312,3,310,1505.0,Industious UTC,312,,,,,,,,
SANEXC313,0,295,1650.0,Industious UTC,313,,,,,,,,
SANEXC313,1,530,1650.0,Industious UTC,313,,,,,,,,
SANEXC313,2,530,1810.0,Industious UTC,313,,,,,,,,
SANEXC313,3,295,1810.0,Industious UTC,313,,,,,,,,
SANEXC314,0,430,1600.0,Industious UTC,314,,,,,,,,
SANEXC314,1,560,1600.0,Industious UTC,314,,,,,,,,
SANEXC314,2,560,1505.0,Industious UTC,314,,,,,,,,
SANEXC314,3,430,1505.0,Industious UTC,314,,,,,,,,
SANEXC315,0,530,1650.0,Industious UTC,315,,,,,,,,
SANEXC315,1,665,1650.0,Industious UTC,315,,,,,,,,
SANEXC315,2,665,1810.0,Industious UTC,315,,,,,,,,
SANEXC315,3,530,1810.0,Industious UTC,315,,,,,,,,
SANEXC316,0,700,1485.0,Industious UTC,316,,,,,,,,
SANEXC316,1,700,1600.0,Industious UTC,316,,,,,,,,
SANEXC316,2,610,1600.0,Industious UTC,316,,,,,,,,
SANEXC316,3,610,1485.0,Industious UTC,316,,,,,,,,
SANEXC317,0,700,1485.0,Industious UTC,317,,,,,,,,
SANEXC317,1,795,1485.0,Industious UTC,317,,,,,,,,
SANEXC317,2,795,1600.0,Industious UTC,317,,,,,,,,
SANEXC317,3,700,1600.0,Industious UTC,317,,,,,,,,
SANEXC318,0,795,1485.0,Industious UTC,318,,,,,,,,
SANEXC318,1,885,1485.0,Industious UTC,318,,,,,,,,
SANEXC318,2,885,1600.0,Industious UTC,318,,,,,,,,
SANEXC318,3,795,1600.0,Industious UTC,318,,,,,,,,
SANEXC319,0,665,1650.0,Industious UTC,319,,,,,,,,
SANEXC319,1,900,1650.0,Industious UTC,319,,,,,,,,
SANEXC319,2,900,1810.0,Industious UTC,319,,,,,,,,
SANEXC319,3,665,1810.0,Industious UTC,319,,,,,,,,
SANEXC320,0,900,1650.0,Industious UTC,320,,,,,,,,
SANEXC320,1,"1,035",1650.0,Industious UTC,320,,,,,,,,
SANEXC320,2,"1,035",1810.0,Industious UTC,320,,,,,,,,
SANEXC320,3,900,1810.0,Industious UTC,320,,,,,,,,
SANEXC321,0,"1,035",1650.0,Industious UTC,321,,,,,,,,
SANEXC321,1,"1,270",1650.0,Industious UTC,321,,,,,,,,
SANEXC321,2,"1,270",1810.0,Industious UTC,321,,,,,,,,
SANEXC321,3,"1,035",1810.0,Industious UTC,321,,,,,,,,
SANEXC322,0,"1,270",1650.0,Industious UTC,322,,,,,,,,
SANEXC322,1,"1,405",1650.0,Industious UTC,322,,,,,,,,
SANEXC322,2,"1,405",1810.0,Industious UTC,322,,,,,,,,
SANEXC322,3,"1,270",1810.0,Industious UTC,322,,,,,,,,
SANEXC323,0,"1,510",1445.0,Industious UTC,323,,,,,,,,
SANEXC323,1,"1,510",1605.0,Industious UTC,323,,,,,,,,
SANEXC323,2,"1,395",1605.0,Industious UTC,323,,,,,,,,
SANEXC323,3,"1,395",1445.0,Industious UTC,323,,,,,,,,
SANEXC324,0,"1,510",1445.0,Industious UTC,324,,,,,,,,
SANEXC324,1,"1,620",1445.0,Industious UTC,324,,,,,,,,
SANEXC324,2,"1,620",1605.0,Industious UTC,324,,,,,,,,
SANEXC324,3,"1,510",1605.0,Industious UTC,324,,,,,,,,
SANEXC325,0,"1,405",1650.0,Industious UTC,325,,,,,,,,
SANEXC325,1,"1,635",1650.0,Industious UTC,325,,,,,,,,
SANEXC325,2,"1,635",1810.0,Industious UTC,325,,,,,,,,
SANEXC325,3,"1,405",1810.0,Industious UTC,325,,,,,,,,
SANEXC326,0,"1,635",1650.0,Industious UTC,326,,,,,,,,
SANEXC326,1,"1,775",1650.0,Industious UTC,326,,,,,,,,
SANEXC326,2,"1,775",1810.0,Industious UTC,326,,,,,,,,
SANEXC326,3,"1,635",1810.0,Industious UTC,326,,,,,,,,
SANEXC327,0,"1,620",1605.0,Industious UTC,327,,,,,,,,
SANEXC327,1,"1,735",1605.0,Industious UTC,327,,,,,,,,
SANEXC327,2,"1,735",1445.0,Industious UTC,327,,,,,,,,
SANEXC327,3,"1,620",1445.0,Industious UTC,327,,,,,,,,
SANEXC328,0,"1,735",1445.0,Industious UTC,328,,,,,,,,
SANEXC328,1,"1,850",1445.0,Industious UTC,328,,,,,,,,
SANEXC328,2,"1,850",1605.0,Industious UTC,328,,,,,,,,
SANEXC328,3,"1,735",1605.0,Industious UTC,328,,,,,,,,
SANEXC329,0,"1,775",1650.0,Industious UTC,329,,,,,,,,
SANEXC329,1,"1,900",1650.0,Industious UTC,329,,,,,,,,
SANEXC329,2,"1,900",1810.0,Industious UTC,329,,,,,,,,
SANEXC329,3,"1,775",1810.0,Industious UTC,329,,,,,,,,
SANEXC330,0,"1,850",1445.0,Industious UTC,330,,,,,,,,
SANEXC330,1,"1,960",1445.0,Industious UTC,330,,,,,,,,
SANEXC330,2,"1,960",1605.0,Industious UTC,330,,,,,,,,
SANEXC330,3,"1,850",1605.0,Industious UTC,330,,,,,,,,
SANEXC331,0,"1,900",1650.0,Industious UTC,331,,,,,,,,
SANEXC331,1,"2,005",1650.0,Industious UTC,331,,,,,,,,
SANEXC331,2,"2,005",1810.0,Industious UTC,331,,,,,,,,
SANEXC331,3,"1,900",1810.0,Industious UTC,331,,,,,,,,
SANEXC332,0,"2,005",1650.0,Industious UTC,332,,,,,,,,
SANEXC332,1,"2,145",1650.0,Industious UTC,332,,,,,,,,
SANEXC332,2,"2,145",1810.0,Industious UTC,332,,,,,,,,
SANEXC332,3,"2,005",1810.0,Industious UTC,332,,,,,,,,
SANEXC333,0,"1,960",1445.0,Industious UTC,333,,,,,,,,
SANEXC333,1,"2,075",1445.0,Industious UTC,333,,,,,,,,
SANEXC333,2,"2,075",1605.0,Industious UTC,333,,,,,,,,
SANEXC333,3,"1,960",1605.0,Industious UTC,333,,,,,,,,
SANEXC334,0,"2,075",1445.0,Industious UTC,334,,,,,,,,
SANEXC334,1,"2,185",1445.0,Industious UTC,334,,,,,,,,
SANEXC334,2,"2,185",1605.0,Industious UTC,334,,,,,,,,
SANEXC334,3,"2,075",1605.0,Industious UTC,334,,,,,,,,
SANEXC335,0,"2,185",1605.0,Industious UTC,335,,,,,,,,
SANEXC335,1,"2,290",1605.0,Industious UTC,335,,,,,,,,
SANEXC335,2,"2,290",1375.0,Industious UTC,335,,,,,,,,
SANEXC335,3,"2,185",1375.0,Industious UTC,335,,,,,,,,
SANEXC336,0,"2,145",1650.0,Industious UTC,336,,,,,,,,
SANEXC336,1,"2,375",1650.0,Industious UTC,336,,,,,,,,
SANEXC336,2,"2,375",1810.0,Industious UTC,336,,,,,,,,
SANEXC336,3,"2,145",1810.0,Industious UTC,336,,,,,,,,
SANEXC337,0,"2,375",1650.0,Industious UTC,337,,,,,,,,
SANEXC337,1,"2,510",1650.0,Industious UTC,337,,,,,,,,
SANEXC337,2,"2,510",1810.0,Industious UTC,337,,,,,,,,
SANEXC337,3,"2,375",1810.0,Industious UTC,337,,,,,,,,
SANEXC338,0,"2,290",1375.0,Industious UTC,338,,,,,,,,
SANEXC338,1,"2,440",1375.0,Industious UTC,338,,,,,,,,
SANEXC338,2,"2,440",1605.0,Industious UTC,338,,,,,,,,
SANEXC338,3,"2,290",1605.0,Industious UTC,338,,,,,,,,
SANEXC339,0,"2,440",1375.0,Industious UTC,339,,,,,,,,
SANEXC339,1,"2,590",1375.0,Industious UTC,339,,,,,,,,
SANEXC339,2,"2,590",1605.0,Industious UTC,339,,,,,,,,
SANEXC339,3,"2,440",1605.0,Industious UTC,339,,,,,,,,
