Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCEPP308,0,965,2775.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,1,845,2775.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,2,845,2885.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,3,735,2885.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,4,735,3130.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,5,985,3130.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,6,985,2885.0,Industrious City Hall,308,,,,,,,,
NYCEPP308,7,965,2885.0,Industrious City Hall,308,,,,,,,,
NYCEPP307,0,735,3130.0,Industrious City Hall,307,,,,,,,,
NYCEPP307,1,615,3130.0,Industrious City Hall,307,,,,,,,,
NYCEPP307,2,615,3025.0,Industrious City Hall,307,,,,,,,,
NYCEPP307,3,735,3025.0,Industrious City Hall,307,,,,,,,,
NYCEPP306,0,615,3130.0,Industrious City Hall,306,,,,,,,,
NYCEPP306,1,490,3130.0,Industrious City Hall,306,,,,,,,,
NYCEPP306,2,490,3025.0,Industrious City Hall,306,,,,,,,,
NYCEPP306,3,615,3025.0,Industrious City Hall,306,,,,,,,,
NYCEPP305,0,490,3130.0,Industrious City Hall,305,,,,,,,,
NYCEPP305,1,355,3130.0,Industrious City Hall,305,,,,,,,,
NYCEPP305,2,355,2935.0,Industrious City Hall,305,,,,,,,,
NYCEPP305,3,490,2935.0,Industrious City Hall,305,,,,,,,,
NYCEPP304,0,355,2935.0,Industrious City Hall,304,,,,,,,,
NYCEPP304,1,355,2855.0,Industrious City Hall,304,,,,,,,,
NYCEPP304,2,490,2855.0,Industrious City Hall,304,,,,,,,,
NYCEPP304,3,490,2935.0,Industrious City Hall,304,,,,,,,,
NYCEPP303,0,355,2855.0,Industrious City Hall,303,,,,,,,,
NYCEPP303,1,355,2775.0,Industrious City Hall,303,,,,,,,,
NYCEPP303,2,490,2775.0,Industrious City Hall,303,,,,,,,,
NYCEPP303,3,490,2855.0,Industrious City Hall,303,,,,,,,,
NYCEPP302,0,355,2775.0,Industrious City Hall,302,,,,,,,,
NYCEPP302,1,355,2645.0,Industrious City Hall,302,,,,,,,,
NYCEPP302,2,490,2645.0,Industrious City Hall,302,,,,,,,,
NYCEPP302,3,490,2775.0,Industrious City Hall,302,,,,,,,,
NYCEPP301,0,355,2645.0,Industrious City Hall,301,,,,,,,,
NYCEPP301,1,355,2425.0,Industrious City Hall,301,,,,,,,,
NYCEPP301,2,510,2425.0,Industrious City Hall,301,,,,,,,,
NYCEPP301,3,510,2540.0,Industrious City Hall,301,,,,,,,,
NYCEPP301,4,490,2540.0,Industrious City Hall,301,,,,,,,,
NYCEPP301,5,490,2645.0,Industrious City Hall,301,,,,,,,,
NYCEPP309,0,545,2975.0,Industrious City Hall,309,,,,,,,,
NYCEPP309,1,545,2890.0,Industrious City Hall,309,,,,,,,,
NYCEPP309,2,680,2890.0,Industrious City Hall,309,,,,,,,,
NYCEPP309,3,680,2975.0,Industrious City Hall,309,,,,,,,,
NYCEPP310,0,545,2890.0,Industrious City Hall,310,,,,,,,,
NYCEPP310,1,545,2770.0,Industrious City Hall,310,,,,,,,,
NYCEPP310,2,680,2770.0,Industrious City Hall,310,,,,,,,,
NYCEPP310,3,680,2890.0,Industrious City Hall,310,,,,,,,,
NYCEPP311,0,545,2770.0,Industrious City Hall,311,,,,,,,,
NYCEPP311,1,545,2655.0,Industrious City Hall,311,,,,,,,,
NYCEPP311,2,680,2655.0,Industrious City Hall,311,,,,,,,,
NYCEPP311,3,680,2770.0,Industrious City Hall,311,,,,,,,,
NYCEPP312,0,1735,3050.0,Industrious City Hall,312,,,,,,,,
NYCEPP312,1,1735,2880.0,Industrious City Hall,312,,,,,,,,
NYCEPP312,2,1585,2880.0,Industrious City Hall,312,,,,,,,,
NYCEPP312,3,1585,3050.0,Industrious City Hall,312,,,,,,,,
NYCEPP313,0,1585,3050.0,Industrious City Hall,313,,,,,,,,
NYCEPP313,1,1585,3275.0,Industrious City Hall,313,,,,,,,,
NYCEPP313,2,1900,3275.0,Industrious City Hall,313,,,,,,,,
