Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCHTK1201,0,980,2830.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1201,1,805,2830.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1201,2,805,2870.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1201,3,330,2870.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1201,4,330,3270.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1201,5,980,3270.0,Indy Hell's Kitchen,1201,,,,,,,,
NYCHTK1202,0,"1,120",2745.0,Indy Hell's Kitchen,1202,,,,,,,,
NYCHTK1202,1,"1,120",2565.0,Indy Hell's Kitchen,1202,,,,,,,,
NYCHTK1202,2,985,2565.0,Indy Hell's Kitchen,1202,,,,,,,,
NYCHTK1202,3,985,2745.0,Indy Hell's Kitchen,1202,,,,,,,,
NYCHTK1203,0,"1,120",2745.0,Indy Hell's Kitchen,1203,,,,,,,,
NYCHTK1203,1,"1,290",2745.0,Indy Hell's Kitchen,1203,,,,,,,,
NYCHTK1203,2,"1,290",2565.0,Indy Hell's Kitchen,1203,,,,,,,,
NYCHTK1203,3,"1,120",2565.0,Indy Hell's Kitchen,1203,,,,,,,,
NYCHTK1204,0,"1,485",2745.0,Indy Hell's Kitchen,1204,,,,,,,,
NYCHTK1204,1,"1,485",2610.0,Indy Hell's Kitchen,1204,,,,,,,,
NYCHTK1204,2,"1,375",2610.0,Indy Hell's Kitchen,1204,,,,,,,,
NYCHTK1204,3,"1,375",2745.0,Indy Hell's Kitchen,1204,,,,,,,,
NYCHTK1205,0,980,3270.0,Indy Hell's Kitchen,1205,,,,,,,,
NYCHTK1205,1,"1,780",3270.0,Indy Hell's Kitchen,1205,,,,,,,,
NYCHTK1205,2,"1,780",2830.0,Indy Hell's Kitchen,1205,,,,,,,,
