Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
IRVMIC901,0,1649,371.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,0,1384,326.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,1,1288,326.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,2,1271,340.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,3,1101,171.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,4,1219,53.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC001,5,1383,53.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC002,0,1271,340.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC002,1,1107.666687,504.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC002,2,934.666687,337.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC002,3,1101,171.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC003,0,1107.666687,504.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC003,1,996.666687,613.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC003,2,826.666687,446.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC003,3,934.666687,337.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC004,0,996.666687,613.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC004,1,931.333313,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC004,2,666.333313,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC004,3,665.6666565,609.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC004,4,826.666687,446.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC005,0,666.333313,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC005,1,425.3333282,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC005,2,426.3333282,529.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC005,3,665.3333282,627.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,0,425.3333282,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,1,367.3333334,679.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,2,367.3333334,781.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,3,123.3333334,781.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,4,123.3333334,404.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC006,5,426.3333282,529.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC007,0,123.3333334,781.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC007,1,123.3333334,1010.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC007,2,367.3333334,1011.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC007,3,367.3333334,781.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC008,0,367.3333334,1011.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC008,1,367.3333334,1318.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC008,2,121.3333334,1318.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC008,3,123.3333334,1010.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC009,0,367.3333334,1318.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC009,1,366.3333334,1537.666687,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC009,2,118.3333334,1629.666687,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC009,3,121.3333334,1318.666626,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC010,0,438.3333334,1277.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC010,1,583.3333334,1277.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC010,2,583.3333334,1098.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC010,3,440.3333334,1098.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC011,0,440.3333334,1098.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC011,1,440.3333334,920.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC011,2,586.3333334,919.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC011,3,584.3333334,1099.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC012,0,440.3333334,920.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC012,1,440.3333334,742.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC012,2,585.3333334,742.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC012,3,586.3333334,919.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC013,0,585.3333334,742.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC013,1,729.3333359,742.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC013,2,729.3333359,912.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC013,3,586.3333359,912.333374,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC014,0,583.3333334,1277.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC014,1,731.3333359,1277.333313,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC014,2,731.3333359,1104.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC014,3,583.3333359,1104.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC015,0,562.3333359,1535.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC015,1,461.3333359,1535.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC015,2,440.3333359,1512.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC015,3,440.3333359,1348.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC015,4,563.3333359,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC016,0,563.3333359,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC016,1,742.3333359,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC016,2,742.3333359,1536.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC016,3,562.3333359,1535.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC017,0,742.3333359,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC017,1,879.6666565,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC017,2,879.6666565,1536.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC017,3,742.3333359,1536.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC018,0,879.6666565,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC018,1,1010.666656,1349.0,Irvine - 3333 Michelson,,,,,,,,,
IRVMIC018,2,1009.666656,1536.0,Irvine - 3333 Michelson,,,,,,,,,
