Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
KANNIC901,0,1535,833.0,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC001,0,1291.004,678.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC001,1,1208.254,678.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC001,2,1208.254,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC001,3,1292.254,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC002,0,1208.254,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC002,1,1102.254,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC002,2,1102.254,677.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC002,3,1208.254,678.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC003,0,1102.254,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC003,1,959.2539,767.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC003,2,959.2539,677.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC003,3,1102.254,677.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC004,0,785.0039,811.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC004,1,934.0039,811.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC004,2,934.0039,696.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC004,3,785.0039,696.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,0,785.0039,811.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,1,610.2539,811.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,2,610.2539,681.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,3,761.2539,681.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,4,761.2539,696.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC005,5,785.0039,696.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC006,0,750.2539,812.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC006,1,750.2539,934.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC006,2,571.2539,934.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC006,3,571.2539,813.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC007,0,750.2539,934.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC007,1,750.2539,1024.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC007,2,573.2539,1024.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC007,3,571.2539,934.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC008,0,750.2539,1024.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC008,1,750.2539,1111.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC008,2,675.2539,1111.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC008,3,675.2539,1025.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC009,0,675.2539,1111.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC009,1,571.2539,1111.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC009,2,573.2539,1024.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC009,3,675.2539,1025.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC010,0,571.2539,1306.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC010,1,666.2539,1306.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC010,2,666.2539,1156.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC010,3,571.2539,1156.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC011,0,666.2539,1156.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC011,1,751.2539,1156.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC011,2,751.2539,1231.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC011,3,666.2539,1231.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC012,0,861.2539,879.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC012,1,861.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC012,2,931.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC012,3,931.2539,880.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC013,0,861.2539,879.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC013,1,786.2539,879.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC013,2,786.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC013,3,861.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC014,0,786.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC014,1,786.2539,1061.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC014,2,932.2539,1061.75,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC014,3,931.2539,969.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC015,0,751.2539,1231.5,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC015,1,751.2539,1307.25,Kansas City - 420 Nichols Rd,,,,,,,,,
KANNIC015,2,666.2539,1306.75,Kansas City - 420 Nichols Rd,,,,,,,,,
