Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHSKIN201,0,1221,2208.0,King Street,201,,,,,,,,
CHSKIN201,1,1327,2207.0,King Street,201,,,,,,,,
CHSKIN201,2,1327,2144.0,King Street,201,,,,,,,,
CHSKIN201,3,1218,2144.0,King Street,201,,,,,,,,
CHSKIN202,0,1338,2099.0,King Street,202,,,,,,,,
CHSKIN202,1,1433,2099.0,King Street,202,,,,,,,,
CHSKIN202,2,1434,2019.0,King Street,202,,,,,,,,
CHSKIN202,3,1337,2017.0,King Street,202,,,,,,,,
CHSKIN203,0,1327,2144.0,King Street,203,,,,,,,,
CHSKIN203,1,1445,2144.0,King Street,203,,,,,,,,
CHSKIN203,2,1445,2206.0,King Street,203,,,,,,,,
CHSKIN203,3,1327,2207.0,King Street,203,,,,,,,,
CHSKIN204,0,1433,2099.0,King Street,204,,,,,,,,
CHSKIN204,1,1543,2100.0,King Street,204,,,,,,,,
CHSKIN204,2,1545,1979.0,King Street,204,,,,,,,,
CHSKIN204,3,1434,1975.0,King Street,204,,,,,,,,
CHSKIN205,0,1444,2208.0,King Street,205,,,,,,,,
CHSKIN205,1,1547,2210.0,King Street,205,,,,,,,,
CHSKIN205,2,1545,2143.0,King Street,205,,,,,,,,
CHSKIN205,3,1445,2144.0,King Street,205,,,,,,,,
CHSKIN206,0,1587,2118.0,King Street,206,,,,,,,,
CHSKIN206,1,1679,2118.0,King Street,206,,,,,,,,
CHSKIN206,2,1680,2044.0,King Street,206,,,,,,,,
CHSKIN206,3,1588,2043.0,King Street,206,,,,,,,,
CHSKIN207,0,1587,2118.0,King Street,207,,,,,,,,
CHSKIN207,1,1587,2199.0,King Street,207,,,,,,,,
CHSKIN207,2,1622,2199.0,King Street,207,,,,,,,,
CHSKIN207,3,1676,2182.0,King Street,207,,,,,,,,
CHSKIN207,4,1679,2118.0,King Street,207,,,,,,,,
CHSKIN208,0,1499,2399.0,King Street,208,,,,,,,,
CHSKIN208,1,1588,2377.0,King Street,208,,,,,,,,
CHSKIN208,2,1547,2210.0,King Street,208,,,,,,,,
CHSKIN208,3,1444,2208.0,King Street,208,,,,,,,,
CHSKIN209,0,1563,2261.0,King Street,209,,,,,,,,
