Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXPLA001,0,1512,3032.0,LA Playa District (3),1,,,,,,,,
LAXPLA001,1,1618,3032.0,LA Playa District (3),1,,,,,,,,
LAXPLA001,2,1617,3146.0,LA Playa District (3),1,,,,,,,,
LAXPLA001,3,1558,3146.0,LA Playa District (3),1,,,,,,,,
LAXPLA001,4,1559,3125.0,LA Playa District (3),1,,,,,,,,
LAXPLA001,5,1513,3125.0,LA Playa District (3),1,,,,,,,,
LAXPLA002,0,1617,3146.0,LA Playa District (3),2,,,,,,,,
LAXPLA002,1,1618,3032.0,LA Playa District (3),2,,,,,,,,
LAXPLA002,2,1699,3032.0,LA Playa District (3),2,,,,,,,,
LAXPLA002,3,1699,3147.0,LA Playa District (3),2,,,,,,,,
LAXPLA003,0,1699,3147.0,LA Playa District (3),3,,,,,,,,
LAXPLA003,1,1699,3032.0,LA Playa District (3),3,,,,,,,,
LAXPLA003,2,1804,3033.0,LA Playa District (3),3,,,,,,,,
LAXPLA003,3,1802,3146.0,LA Playa District (3),3,,,,,,,,
LAXPLA004,0,1802,3146.0,LA Playa District (3),4,,,,,,,,
LAXPLA004,1,1804,3033.0,LA Playa District (3),4,,,,,,,,
LAXPLA004,2,1908,3033.0,LA Playa District (3),4,,,,,,,,
LAXPLA004,3,1908,3147.0,LA Playa District (3),4,,,,,,,,
LAXPLA005,0,1908,3147.0,LA Playa District (3),5,,,,,,,,
LAXPLA005,1,1908,3033.0,LA Playa District (3),5,,,,,,,,
LAXPLA005,2,1989,3033.0,LA Playa District (3),5,,,,,,,,
LAXPLA005,3,1988,3147.0,LA Playa District (3),5,,,,,,,,
LAXPLA006,0,1988,3147.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,1,1989,3033.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,2,2009,3033.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,3,2093,2948.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,4,2094,2932.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,5,2247,2934.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,6,2247,2995.0,LA Playa District (3),6,,,,,,,,
LAXPLA006,7,2095,3145.0,LA Playa District (3),6,,,,,,,,
LAXPLA007,0,1729,2993.0,LA Playa District (3),7,,,,,,,,
LAXPLA007,1,1729,2921.0,LA Playa District (3),7,,,,,,,,
LAXPLA007,2,1656,2921.0,LA Playa District (3),7,,,,,,,,
LAXPLA007,3,1657,2993.0,LA Playa District (3),7,,,,,,,,
LAXPLA008,0,1657,2993.0,LA Playa District (3),8,,,,,,,,
LAXPLA008,1,1656,2921.0,LA Playa District (3),8,,,,,,,,
LAXPLA008,2,1584,2922.0,LA Playa District (3),8,,,,,,,,
LAXPLA008,3,1585,2994.0,LA Playa District (3),8,,,,,,,,
LAXPLA009,0,1584,2922.0,LA Playa District (3),9,,,,,,,,
LAXPLA009,1,1585,2994.0,LA Playa District (3),9,,,,,,,,
LAXPLA009,2,1513,2993.0,LA Playa District (3),9,,,,,,,,
LAXPLA009,3,1513,2921.0,LA Playa District (3),9,,,,,,,,
LAXPLA010,0,1513,2921.0,LA Playa District (3),10,,,,,,,,
LAXPLA010,1,1584,2922.0,LA Playa District (3),10,,,,,,,,
LAXPLA010,2,1585,2849.0,LA Playa District (3),10,,,,,,,,
LAXPLA010,3,1514,2848.0,LA Playa District (3),10,,,,,,,,
LAXPLA011,0,1585,2849.0,LA Playa District (3),11,,,,,,,,
LAXPLA011,1,1657,2848.0,LA Playa District (3),11,,,,,,,,
LAXPLA011,2,1656,2921.0,LA Playa District (3),11,,,,,,,,
LAXPLA011,3,1584,2922.0,LA Playa District (3),11,,,,,,,,
LAXPLA012,0,1729,2848.0,LA Playa District (3),12,,,,,,,,
LAXPLA012,1,1657,2848.0,LA Playa District (3),12,,,,,,,,
LAXPLA012,2,1656,2921.0,LA Playa District (3),12,,,,,,,,
LAXPLA012,3,1729,2921.0,LA Playa District (3),12,,,,,,,,
LAXPLA013,0,1729,2848.0,LA Playa District (3),13,,,,,,,,
LAXPLA013,1,1729,2993.0,LA Playa District (3),13,,,,,,,,
LAXPLA013,2,1895,2993.0,LA Playa District (3),13,,,,,,,,
LAXPLA013,3,1896,2846.0,LA Playa District (3),13,,,,,,,,
LAXPLA014,0,1896,2846.0,LA Playa District (3),14,,,,,,,,
LAXPLA014,1,1895,2993.0,LA Playa District (3),14,,,,,,,,
LAXPLA014,2,1992,2993.0,LA Playa District (3),14,,,,,,,,
LAXPLA014,3,2053,2931.0,LA Playa District (3),14,,,,,,,,
LAXPLA014,4,2053,2848.0,LA Playa District (3),14,,,,,,,,
LAXPLA015,0,1906,2807.0,LA Playa District (3),15,,,,,,,,
LAXPLA015,1,1907,2734.0,LA Playa District (3),15,,,,,,,,
LAXPLA015,2,1979,2734.0,LA Playa District (3),15,,,,,,,,
LAXPLA015,3,1978,2808.0,LA Playa District (3),15,,,,,,,,
LAXPLA016,0,1978,2808.0,LA Playa District (3),16,,,,,,,,
LAXPLA016,1,2054,2806.0,LA Playa District (3),16,,,,,,,,
LAXPLA016,2,2053,2734.0,LA Playa District (3),16,,,,,,,,
LAXPLA016,3,1979,2734.0,LA Playa District (3),16,,,,,,,,
LAXPLA017,0,1907,2734.0,LA Playa District (3),17,,,,,,,,
LAXPLA017,1,2053,2734.0,LA Playa District (3),17,,,,,,,,
LAXPLA017,2,2053,2579.0,LA Playa District (3),17,,,,,,,,
LAXPLA017,3,1904,2579.0,LA Playa District (3),17,,,,,,,,
LAXPLA018,0,1904,2579.0,LA Playa District (3),18,,,,,,,,
LAXPLA018,1,2053,2579.0,LA Playa District (3),18,,,,,,,,
LAXPLA018,2,2054,2484.0,LA Playa District (3),18,,,,,,,,
LAXPLA018,3,1906,2484.0,LA Playa District (3),18,,,,,,,,
LAXPLA019,0,2094,2932.0,LA Playa District (3),19,,,,,,,,
LAXPLA019,1,2247,2934.0,LA Playa District (3),19,,,,,,,,
LAXPLA019,2,2247,2801.0,LA Playa District (3),19,,,,,,,,
LAXPLA019,3,2093,2802.0,LA Playa District (3),19,,,,,,,,
LAXPLA020,0,2093,2802.0,LA Playa District (3),20,,,,,,,,
LAXPLA020,1,2247,2801.0,LA Playa District (3),20,,,,,,,,
LAXPLA020,2,2247,2617.0,LA Playa District (3),20,,,,,,,,
LAXPLA020,3,2092,2616.0,LA Playa District (3),20,,,,,,,,
LAXPLA021,0,2092,2616.0,LA Playa District (3),21,,,,,,,,
LAXPLA021,1,2247,2617.0,LA Playa District (3),21,,,,,,,,
LAXPLA021,2,2247,2518.0,LA Playa District (3),21,,,,,,,,
LAXPLA021,3,2094,2517.0,LA Playa District (3),21,,,,,,,,
LAXPLA022,0,2094,2517.0,LA Playa District (3),22,,,,,,,,
LAXPLA022,1,2247,2518.0,LA Playa District (3),22,,,,,,,,
LAXPLA022,2,2247,2378.0,LA Playa District (3),22,,,,,,,,
LAXPLA022,3,2093,2378.0,LA Playa District (3),22,,,,,,,,
LAXPLA023,0,2093,2378.0,LA Playa District (3),23,,,,,,,,
LAXPLA023,1,2247,2378.0,LA Playa District (3),23,,,,,,,,
LAXPLA023,2,2247,2285.0,LA Playa District (3),23,,,,,,,,
LAXPLA023,3,2092,2285.0,LA Playa District (3),23,,,,,,,,
LAXPLA024,0,2053,2436.0,LA Playa District (3),24,,,,,,,,
LAXPLA024,1,2053,2331.0,LA Playa District (3),24,,,,,,,,
LAXPLA024,2,1936,2332.0,LA Playa District (3),24,,,,,,,,
LAXPLA024,3,1936,2436.0,LA Playa District (3),24,,,,,,,,
LAXPLA025,0,1936,2436.0,LA Playa District (3),25,,,,,,,,
LAXPLA025,1,1936,2332.0,LA Playa District (3),25,,,,,,,,
LAXPLA025,2,1845,2331.0,LA Playa District (3),25,,,,,,,,
LAXPLA025,3,1846,2437.0,LA Playa District (3),25,,,,,,,,
LAXPLA026,0,1846,2437.0,LA Playa District (3),26,,,,,,,,
LAXPLA026,1,1845,2331.0,LA Playa District (3),26,,,,,,,,
LAXPLA026,2,1738,2331.0,LA Playa District (3),26,,,,,,,,
LAXPLA026,3,1737,2437.0,LA Playa District (3),26,,,,,,,,
LAXPLA027,0,1737,2437.0,LA Playa District (3),27,,,,,,,,
LAXPLA027,1,1738,2331.0,LA Playa District (3),27,,,,,,,,
LAXPLA027,2,1657,2331.0,LA Playa District (3),27,,,,,,,,
LAXPLA027,3,1657,2435.0,LA Playa District (3),27,,,,,,,,
LAXPLA028,0,1657,2435.0,LA Playa District (3),28,,,,,,,,
LAXPLA028,1,1657,2331.0,LA Playa District (3),28,,,,,,,,
LAXPLA028,2,1577,2331.0,LA Playa District (3),28,,,,,,,,
LAXPLA028,3,1576,2436.0,LA Playa District (3),28,,,,,,,,
LAXPLA029,0,1576,2436.0,LA Playa District (3),29,,,,,,,,
LAXPLA029,1,1577,2331.0,LA Playa District (3),29,,,,,,,,
LAXPLA029,2,1437,2331.0,LA Playa District (3),29,,,,,,,,
LAXPLA029,3,1437,2435.0,LA Playa District (3),29,,,,,,,,
LAXPLA030,0,1436,2226.0,LA Playa District (3),30,,,,,,,,
LAXPLA030,1,1437,2331.0,LA Playa District (3),30,,,,,,,,
LAXPLA030,2,1577,2331.0,LA Playa District (3),30,,,,,,,,
LAXPLA030,3,1576,2226.0,LA Playa District (3),30,,,,,,,,
LAXPLA031,0,1576,2226.0,LA Playa District (3),31,,,,,,,,
LAXPLA031,1,1577,2331.0,LA Playa District (3),31,,,,,,,,
LAXPLA031,2,1657,2331.0,LA Playa District (3),31,,,,,,,,
LAXPLA031,3,1657,2226.0,LA Playa District (3),31,,,,,,,,
LAXPLA032,0,1657,2226.0,LA Playa District (3),32,,,,,,,,
LAXPLA032,1,1657,2331.0,LA Playa District (3),32,,,,,,,,
LAXPLA032,2,1738,2331.0,LA Playa District (3),32,,,,,,,,
LAXPLA032,3,1738,2226.0,LA Playa District (3),32,,,,,,,,
LAXPLA033,0,1738,2226.0,LA Playa District (3),33,,,,,,,,
LAXPLA033,1,1738,2331.0,LA Playa District (3),33,,,,,,,,
LAXPLA033,2,1845,2331.0,LA Playa District (3),33,,,,,,,,
LAXPLA033,3,1845,2227.0,LA Playa District (3),33,,,,,,,,
LAXPLA034,0,1845,2227.0,LA Playa District (3),34,,,,,,,,
LAXPLA034,1,1845,2331.0,LA Playa District (3),34,,,,,,,,
