Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SEADEX101,0,740,1535.0,Lake Union,101,,,,,,,,
SEADEX101,1,615,1535.0,Lake Union,101,,,,,,,,
SEADEX101,2,615,1655.0,Lake Union,101,,,,,,,,
SEADEX101,3,740,1655.0,Lake Union,101,,,,,,,,
SEADEX102,0,615,1655.0,Lake Union,102,,,,,,,,
SEADEX102,1,500,1655.0,Lake Union,102,,,,,,,,
SEADEX102,2,500,1535.0,Lake Union,102,,,,,,,,
SEADEX102,3,615,1535.0,Lake Union,102,,,,,,,,
SEADEX103,0,500,1655.0,Lake Union,103,,,,,,,,
SEADEX103,1,380,1655.0,Lake Union,103,,,,,,,,
SEADEX103,2,380,1535.0,Lake Union,103,,,,,,,,
SEADEX103,3,500,1535.0,Lake Union,103,,,,,,,,
SEADEX104,0,380,1655.0,Lake Union,104,,,,,,,,
SEADEX104,1,250,1655.0,Lake Union,104,,,,,,,,
SEADEX104,2,250,1535.0,Lake Union,104,,,,,,,,
SEADEX104,3,380,1535.0,Lake Union,104,,,,,,,,
SEADEX105,0,250,1570.0,Lake Union,105,,,,,,,,
SEADEX105,1,20,1570.0,Lake Union,105,,,,,,,,
SEADEX105,2,20,2055.0,Lake Union,105,,,,,,,,
SEADEX105,3,250,2055.0,Lake Union,105,,,,,,,,
SEADEX106,0,250,2055.0,Lake Union,106,,,,,,,,
SEADEX106,1,490,2055.0,Lake Union,106,,,,,,,,
SEADEX106,2,490,1730.0,Lake Union,106,,,,,,,,
SEADEX106,3,250,1730.0,Lake Union,106,,,,,,,,
SEADEX107,0,490,1730.0,Lake Union,107,,,,,,,,
SEADEX107,1,640,1730.0,Lake Union,107,,,,,,,,
SEADEX107,2,640,1935.0,Lake Union,107,,,,,,,,
SEADEX107,3,490,1935.0,Lake Union,107,,,,,,,,
SEADEX108,0,490,2055.0,Lake Union,108,,,,,,,,
SEADEX108,1,705,2055.0,Lake Union,108,,,,,,,,
SEADEX108,2,705,1935.0,Lake Union,108,,,,,,,,
SEADEX108,3,490,1935.0,Lake Union,108,,,,,,,,
SEADEX109,0,705,2055.0,Lake Union,109,,,,,,,,
SEADEX109,1,935,2055.0,Lake Union,109,,,,,,,,
SEADEX109,2,935,1730.0,Lake Union,109,,,,,,,,
SEADEX109,3,705,1730.0,Lake Union,109,,,,,,,,
SEADEX110,0,935,1730.0,Lake Union,110,,,,,,,,
SEADEX110,1,"1,050",1730.0,Lake Union,110,,,,,,,,
SEADEX110,2,"1,050",1825.0,Lake Union,110,,,,,,,,
