Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
BOSLEG001,0,1432,2150.0,Legacy Place,1,,,,,,,,
BOSLEG001,1,1432,1992.0,Legacy Place,1,,,,,,,,
BOSLEG001,2,1569,1992.0,Legacy Place,1,,,,,,,,
BOSLEG001,3,1569,2149.0,Legacy Place,1,,,,,,,,
BOSLEG002,0,1571,1944.0,Legacy Place,2,,,,,,,,
BOSLEG002,1,1571,1861.0,Legacy Place,2,,,,,,,,
BOSLEG002,2,1711,1861.0,Legacy Place,2,,,,,,,,
BOSLEG002,3,1712,1943.0,Legacy Place,2,,,,,,,,
BOSLEG003,0,1569,1992.0,Legacy Place,3,,,,,,,,
BOSLEG003,1,1569,2149.0,Legacy Place,3,,,,,,,,
BOSLEG003,2,1693,2149.0,Legacy Place,3,,,,,,,,
BOSLEG003,3,1690,1992.0,Legacy Place,3,,,,,,,,
BOSLEG004,0,1712,1943.0,Legacy Place,4,,,,,,,,
BOSLEG004,1,1711,1861.0,Legacy Place,4,,,,,,,,
BOSLEG004,2,1852,1861.0,Legacy Place,4,,,,,,,,
BOSLEG004,3,1852,1943.0,Legacy Place,4,,,,,,,,
BOSLEG005,0,1690,1992.0,Legacy Place,5,,,,,,,,
BOSLEG005,1,1693,2149.0,Legacy Place,5,,,,,,,,
BOSLEG005,2,1854,2150.0,Legacy Place,5,,,,,,,,
BOSLEG005,3,1853,1992.0,Legacy Place,5,,,,,,,,
BOSLEG006,0,1854,2150.0,Legacy Place,6,,,,,,,,
BOSLEG006,1,1853,1992.0,Legacy Place,6,,,,,,,,
BOSLEG006,2,2024,1993.0,Legacy Place,6,,,,,,,,
BOSLEG006,3,2025,2150.0,Legacy Place,6,,,,,,,,
BOSLEG007,0,2025,2151.0,Legacy Place,7,,,,,,,,
BOSLEG007,1,2024,1993.0,Legacy Place,7,,,,,,,,
BOSLEG007,2,2252,1991.0,Legacy Place,7,,,,,,,,
BOSLEG007,3,2254,2150.0,Legacy Place,7,,,,,,,,
BOSLEG008,0,2115,1944.0,Legacy Place,8,,,,,,,,
BOSLEG008,1,2114,1863.0,Legacy Place,8,,,,,,,,
BOSLEG008,2,2252,1863.0,Legacy Place,8,,,,,,,,
BOSLEG008,3,2252,1946.0,Legacy Place,8,,,,,,,,
BOSLEG009,0,2252,1991.0,Legacy Place,9,,,,,,,,
BOSLEG009,1,2254,2150.0,Legacy Place,9,,,,,,,,
BOSLEG009,2,2454,2150.0,Legacy Place,9,,,,,,,,
BOSLEG009,3,2454,1992.0,Legacy Place,9,,,,,,,,
BOSLEG010,0,2252,1946.0,Legacy Place,10,,,,,,,,
BOSLEG010,1,2252,1863.0,Legacy Place,10,,,,,,,,
BOSLEG010,2,2406,1862.0,Legacy Place,10,,,,,,,,
BOSLEG010,3,2409,1946.0,Legacy Place,10,,,,,,,,
BOSLEG011,0,2454,1992.0,Legacy Place,11,,,,,,,,
BOSLEG011,1,2454,2150.0,Legacy Place,11,,,,,,,,
BOSLEG011,2,2614,2149.0,Legacy Place,11,,,,,,,,
BOSLEG011,3,2643,1993.0,Legacy Place,11,,,,,,,,
BOSLEG011,4,2525,1971.0,Legacy Place,11,,,,,,,,
BOSLEG011,5,2521,1991.0,Legacy Place,11,,,,,,,,
BOSLEG012,0,2525,1971.0,Legacy Place,12,,,,,,,,
BOSLEG012,1,2643,1993.0,Legacy Place,12,,,,,,,,
BOSLEG012,2,2663,1872.0,Legacy Place,12,,,,,,,,
BOSLEG012,3,2546,1851.0,Legacy Place,12,,,,,,,,
BOSLEG013,0,2663,1872.0,Legacy Place,13,,,,,,,,
BOSLEG013,1,2546,1851.0,Legacy Place,13,,,,,,,,
