Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCLEV501,0,"2,290",2415.0,Lever House,501,,,,,,,,
NYCLEV501,1,"2,575",2415.0,Lever House,501,,,,,,,,
NYCLEV501,2,"2,575",2225.0,Lever House,501,,,,,,,,
NYCLEV501,3,"2,290",2225.0,Lever House,501,,,,,,,,
NYCLEV502,0,"2,520",2110.0,Lever House,502,,,,,,,,
NYCLEV502,1,"2,700",2110.0,Lever House,502,,,,,,,,
NYCLEV502,2,"2,700",1945.0,Lever House,502,,,,,,,,
NYCLEV502,3,"2,520",1945.0,Lever House,502,,,,,,,,
NYCLEV503,0,"2,575",2415.0,Lever House,503,,,,,,,,
NYCLEV503,1,"2,740",2415.0,Lever House,503,,,,,,,,
NYCLEV503,2,"2,740",2225.0,Lever House,503,,,,,,,,
NYCLEV503,3,"2,575",2225.0,Lever House,503,,,,,,,,
NYCLEV504,0,"2,700",2110.0,Lever House,504,,,,,,,,
NYCLEV504,1,"2,840",2110.0,Lever House,504,,,,,,,,
NYCLEV504,2,"2,840",2005.0,Lever House,504,,,,,,,,
NYCLEV504,3,"2,700",2005.0,Lever House,504,,,,,,,,
NYCLEV505,0,"2,740",2415.0,Lever House,505,,,,,,,,
NYCLEV505,1,"2,920",2415.0,Lever House,505,,,,,,,,
NYCLEV505,2,"2,920",2225.0,Lever House,505,,,,,,,,
NYCLEV505,3,"2,740",2225.0,Lever House,505,,,,,,,,
NYCLEV506,0,"2,840",2110.0,Lever House,506,,,,,,,,
NYCLEV506,1,"2,975",2110.0,Lever House,506,,,,,,,,
NYCLEV506,2,"2,975",2005.0,Lever House,506,,,,,,,,
NYCLEV506,3,"2,840",2005.0,Lever House,506,,,,,,,,
NYCLEV507,0,"2,920",2415.0,Lever House,507,,,,,,,,
NYCLEV507,1,"3,085",2415.0,Lever House,507,,,,,,,,
NYCLEV507,2,"3,085",2225.0,Lever House,507,,,,,,,,
NYCLEV507,3,"2,920",2225.0,Lever House,507,,,,,,,,
NYCLEV508,0,"3,085",2415.0,Lever House,508,,,,,,,,
NYCLEV508,1,"3,285",2415.0,Lever House,508,,,,,,,,
NYCLEV508,2,"3,285",2135.0,Lever House,508,,,,,,,,
NYCLEV508,3,"3,085",2135.0,Lever House,508,,,,,,,,
NYCLEV509,0,"3,285",2135.0,Lever House,509,,,,,,,,
NYCLEV509,1,"3,285",1950.0,Lever House,509,,,,,,,,
NYCLEV509,2,"3,085",1950.0,Lever House,509,,,,,,,,
NYCLEV509,3,"3,085",2135.0,Lever House,509,,,,,,,,
NYCLEV510,0,"2,975",2005.0,Lever House,510,,,,,,,,
NYCLEV510,1,"2,975",1795.0,Lever House,510,,,,,,,,
NYCLEV510,2,"2,700",1795.0,Lever House,510,,,,,,,,
NYCLEV510,3,"2,700",2005.0,Lever House,510,,,,,,,,
NYCLEV511,0,"3,285",1950.0,Lever House,511,,,,,,,,
NYCLEV511,1,"3,285",1675.0,Lever House,511,,,,,,,,
NYCLEV511,2,"3,085",1675.0,Lever House,511,,,,,,,,
NYCLEV511,3,"3,085",1950.0,Lever House,511,,,,,,,,
NYCLEV512,0,"3,285",1675.0,Lever House,512,,,,,,,,
NYCLEV512,1,"3,285",1390.0,Lever House,512,,,,,,,,
NYCLEV512,2,"3,085",1390.0,Lever House,512,,,,,,,,
NYCLEV512,3,"3,085",1675.0,Lever House,512,,,,,,,,
NYCLEV513,0,"3,085",1390.0,Lever House,513,,,,,,,,
NYCLEV513,1,"2,920",1390.0,Lever House,513,,,,,,,,
NYCLEV513,2,"2,920",1590.0,Lever House,513,,,,,,,,
NYCLEV513,3,"3,085",1590.0,Lever House,513,,,,,,,,
NYCLEV514,0,"2,975",1795.0,Lever House,514,,,,,,,,
NYCLEV514,1,"2,975",1700.0,Lever House,514,,,,,,,,
NYCLEV514,2,"2,840",1700.0,Lever House,514,,,,,,,,
NYCLEV514,3,"2,840",1795.0,Lever House,514,,,,,,,,
NYCLEV515,0,"2,920",1390.0,Lever House,515,,,,,,,,
NYCLEV515,1,"2,740",1390.0,Lever House,515,,,,,,,,
NYCLEV515,2,"2,740",1590.0,Lever House,515,,,,,,,,
NYCLEV515,3,"2,920",1590.0,Lever House,515,,,,,,,,
NYCLEV516,0,"2,700",1795.0,Lever House,516,,,,,,,,
NYCLEV516,1,"2,840",1795.0,Lever House,516,,,,,,,,
NYCLEV516,2,"2,840",1700.0,Lever House,516,,,,,,,,
NYCLEV516,3,"2,700",1700.0,Lever House,516,,,,,,,,
NYCLEV517,0,"2,740",1390.0,Lever House,517,,,,,,,,
NYCLEV517,1,"2,575",1390.0,Lever House,517,,,,,,,,
NYCLEV517,2,"2,575",1590.0,Lever House,517,,,,,,,,
NYCLEV517,3,"2,740",1590.0,Lever House,517,,,,,,,,
NYCLEV518,0,"2,700",1700.0,Lever House,518,,,,,,,,
NYCLEV518,1,"2,520",1700.0,Lever House,518,,,,,,,,
NYCLEV518,2,"2,520",1945.0,Lever House,518,,,,,,,,
NYCLEV518,3,"2,700",1945.0,Lever House,518,,,,,,,,
NYCLEV519,0,"2,575",1390.0,Lever House,519,,,,,,,,
NYCLEV519,1,"2,290",1390.0,Lever House,519,,,,,,,,
NYCLEV519,2,"2,290",1590.0,Lever House,519,,,,,,,,
NYCLEV519,3,"2,575",1590.0,Lever House,519,,,,,,,,
NYCLEV601,0,"1,575",1185.0,Lever House,601,,,,,,,,
NYCLEV601,1,"1,755",1185.0,Lever House,601,,,,,,,,
NYCLEV601,2,"1,755",990.0,Lever House,601,,,,,,,,
NYCLEV601,3,"1,575",990.0,Lever House,601,,,,,,,,
NYCLEV602,0,"1,755",1185.0,Lever House,602,,,,,,,,
NYCLEV602,1,"1,935",1185.0,Lever House,602,,,,,,,,
NYCLEV602,2,"1,935",990.0,Lever House,602,,,,,,,,
NYCLEV602,3,"1,755",990.0,Lever House,602,,,,,,,,
NYCLEV603,0,"1,935",1185.0,Lever House,603,,,,,,,,
NYCLEV603,1,"2,115",1185.0,Lever House,603,,,,,,,,
NYCLEV603,2,"2,115",990.0,Lever House,603,,,,,,,,
NYCLEV603,3,"1,935",990.0,Lever House,603,,,,,,,,
NYCLEV604,0,"2,115",1185.0,Lever House,604,,,,,,,,
NYCLEV604,1,"2,295",1185.0,Lever House,604,,,,,,,,
NYCLEV604,2,"2,295",990.0,Lever House,604,,,,,,,,
NYCLEV604,3,"2,115",990.0,Lever House,604,,,,,,,,
NYCLEV605,0,"2,295",1185.0,Lever House,605,,,,,,,,
NYCLEV605,1,"2,565",1185.0,Lever House,605,,,,,,,,
NYCLEV605,2,"2,565",990.0,Lever House,605,,,,,,,,
NYCLEV605,3,"2,295",990.0,Lever House,605,,,,,,,,
NYCLEV606,0,"2,475",880.0,Lever House,606,,,,,,,,
NYCLEV606,1,"2,645",880.0,Lever House,606,,,,,,,,
NYCLEV606,2,"2,645",775.0,Lever House,606,,,,,,,,
NYCLEV606,3,"2,475",775.0,Lever House,606,,,,,,,,
NYCLEV607,0,"2,565",1185.0,Lever House,607,,,,,,,,
NYCLEV607,1,"2,745",1185.0,Lever House,607,,,,,,,,
NYCLEV607,2,"2,745",990.0,Lever House,607,,,,,,,,
NYCLEV607,3,"2,565",990.0,Lever House,607,,,,,,,,
NYCLEV608,0,"2,645",880.0,Lever House,608,,,,,,,,
NYCLEV608,1,"2,815",880.0,Lever House,608,,,,,,,,
NYCLEV608,2,"2,815",775.0,Lever House,608,,,,,,,,
NYCLEV608,3,"2,645",775.0,Lever House,608,,,,,,,,
NYCLEV609,0,"2,815",880.0,Lever House,609,,,,,,,,
NYCLEV609,1,"2,985",880.0,Lever House,609,,,,,,,,
NYCLEV609,2,"2,985",775.0,Lever House,609,,,,,,,,
NYCLEV609,3,"2,815",775.0,Lever House,609,,,,,,,,
NYCLEV610,0,"2,745",1185.0,Lever House,610,,,,,,,,
NYCLEV610,1,"2,930",1185.0,Lever House,610,,,,,,,,
NYCLEV610,2,"2,930",990.0,Lever House,610,,,,,,,,
NYCLEV610,3,"2,745",990.0,Lever House,610,,,,,,,,
NYCLEV611,0,"2,930",1185.0,Lever House,611,,,,,,,,
NYCLEV611,1,"3,095",1185.0,Lever House,611,,,,,,,,
NYCLEV611,2,"3,095",990.0,Lever House,611,,,,,,,,
NYCLEV611,3,"2,930",990.0,Lever House,611,,,,,,,,
NYCLEV612,0,"3,095",1185.0,Lever House,612,,,,,,,,
NYCLEV612,1,"3,290",1185.0,Lever House,612,,,,,,,,
NYCLEV612,2,"3,290",905.0,Lever House,612,,,,,,,,
NYCLEV612,3,"3,095",900.0,Lever House,612,,,,,,,,
NYCLEV613,0,"3,290",905.0,Lever House,613,,,,,,,,
NYCLEV613,1,"3,290",715.0,Lever House,613,,,,,,,,
NYCLEV613,2,"3,095",715.0,Lever House,613,,,,,,,,
NYCLEV613,3,"3,095",900.0,Lever House,613,,,,,,,,
NYCLEV614,0,"3,290",715.0,Lever House,614,,,,,,,,
NYCLEV614,1,"3,290",440.0,Lever House,614,,,,,,,,
NYCLEV614,2,"3,095",440.0,Lever House,614,,,,,,,,
NYCLEV614,3,"3,095",715.0,Lever House,614,,,,,,,,
NYCLEV615,0,"2,985",775.0,Lever House,615,,,,,,,,
NYCLEV615,1,"2,985",610.0,Lever House,615,,,,,,,,
NYCLEV615,2,"2,685",610.0,Lever House,615,,,,,,,,
NYCLEV615,3,"2,685",775.0,Lever House,615,,,,,,,,
NYCLEV616,0,"3,290",440.0,Lever House,616,,,,,,,,
NYCLEV616,1,"3,290",160.0,Lever House,616,,,,,,,,
NYCLEV616,2,"3,095",160.0,Lever House,616,,,,,,,,
NYCLEV616,3,"3,095",440.0,Lever House,616,,,,,,,,
NYCLEV617,0,"3,095",160.0,Lever House,617,,,,,,,,
NYCLEV617,1,"2,925",160.0,Lever House,617,,,,,,,,
NYCLEV617,2,"2,925",355.0,Lever House,617,,,,,,,,
NYCLEV617,3,"3,095",355.0,Lever House,617,,,,,,,,
NYCLEV618,0,"2,985",610.0,Lever House,618,,,,,,,,
NYCLEV618,1,"2,985",470.0,Lever House,618,,,,,,,,
NYCLEV618,2,"2,685",470.0,Lever House,618,,,,,,,,
NYCLEV618,3,"2,685",610.0,Lever House,618,,,,,,,,
NYCLEV619,0,"2,925",160.0,Lever House,619,,,,,,,,
NYCLEV619,1,"2,745",160.0,Lever House,619,,,,,,,,
NYCLEV619,2,"2,745",355.0,Lever House,619,,,,,,,,
NYCLEV619,3,"2,925",355.0,Lever House,619,,,,,,,,
NYCLEV620,0,"2,745",160.0,Lever House,620,,,,,,,,
NYCLEV620,1,"2,565",160.0,Lever House,620,,,,,,,,
NYCLEV620,2,"2,565",355.0,Lever House,620,,,,,,,,
NYCLEV620,3,"2,745",355.0,Lever House,620,,,,,,,,
NYCLEV621,0,"2,685",470.0,Lever House,621,,,,,,,,
NYCLEV621,1,"2,475",470.0,Lever House,621,,,,,,,,
NYCLEV621,2,"2,475",775.0,Lever House,621,,,,,,,,
NYCLEV621,3,"2,685",775.0,Lever House,621,,,,,,,,
NYCLEV622,0,"2,565",160.0,Lever House,622,,,,,,,,
