Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCLEX201,0,"1,935",840.0,Lex & E 50th,201,,,,,,,,
NYCLEX201,1,"1,745",840.0,Lex & E 50th,201,,,,,,,,
NYCLEX201,2,"1,745",1000.0,Lex & E 50th,201,,,,,,,,
NYCLEX201,3,"1,935",1000.0,Lex & E 50th,201,,,,,,,,
NYCLEX202,0,"1,935",1000.0,Lex & E 50th,202,,,,,,,,
NYCLEX202,1,"2,125",1000.0,Lex & E 50th,202,,,,,,,,
NYCLEX202,2,"2,125",840.0,Lex & E 50th,202,,,,,,,,
NYCLEX202,3,"1,935",840.0,Lex & E 50th,202,,,,,,,,
NYCLEX203,0,"1,955",1070.0,Lex & E 50th,203,,,,,,,,
NYCLEX203,1,"1,955",1185.0,Lex & E 50th,203,,,,,,,,
NYCLEX203,2,"2,125",1180.0,Lex & E 50th,203,,,,,,,,
NYCLEX203,3,"2,125",1070.0,Lex & E 50th,203,,,,,,,,
NYCLEX204,0,"2,125",1000.0,Lex & E 50th,204,,,,,,,,
NYCLEX204,1,"2,310",1000.0,Lex & E 50th,204,,,,,,,,
NYCLEX204,2,"2,310",840.0,Lex & E 50th,204,,,,,,,,
NYCLEX204,3,"2,125",840.0,Lex & E 50th,204,,,,,,,,
NYCLEX205,0,"2,125",1070.0,Lex & E 50th,205,,,,,,,,
NYCLEX205,1,"2,350",1070.0,Lex & E 50th,205,,,,,,,,
NYCLEX205,2,"2,350",1215.0,Lex & E 50th,205,,,,,,,,
NYCLEX205,3,"2,120",1215.0,Lex & E 50th,205,,,,,,,,
NYCLEX206,0,"2,310",1000.0,Lex & E 50th,206,,,,,,,,
NYCLEX206,1,"2,495",1000.0,Lex & E 50th,206,,,,,,,,
NYCLEX206,2,"2,495",840.0,Lex & E 50th,206,,,,,,,,
NYCLEX206,3,"2,310",840.0,Lex & E 50th,206,,,,,,,,
NYCLEX207,0,"2,350",1215.0,Lex & E 50th,207,,,,,,,,
NYCLEX207,1,"2,500",1215.0,Lex & E 50th,207,,,,,,,,
NYCLEX207,2,"2,500",1070.0,Lex & E 50th,207,,,,,,,,
NYCLEX207,3,"2,350",1070.0,Lex & E 50th,207,,,,,,,,
NYCLEX208,0,"2,495",1000.0,Lex & E 50th,208,,,,,,,,
NYCLEX208,1,"2,625",1000.0,Lex & E 50th,208,,,,,,,,
NYCLEX208,2,"2,625",840.0,Lex & E 50th,208,,,,,,,,
NYCLEX208,3,"2,495",840.0,Lex & E 50th,208,,,,,,,,
NYCLEX209,0,"2,500",1215.0,Lex & E 50th,209,,,,,,,,
NYCLEX209,1,"2,685",1215.0,Lex & E 50th,209,,,,,,,,
NYCLEX209,2,"2,685",1070.0,Lex & E 50th,209,,,,,,,,
NYCLEX209,3,"2,500",1070.0,Lex & E 50th,209,,,,,,,,
NYCLEX210,0,"2,625",1000.0,Lex & E 50th,210,,,,,,,,
NYCLEX210,1,"2,755",1000.0,Lex & E 50th,210,,,,,,,,
NYCLEX210,2,"2,755",840.0,Lex & E 50th,210,,,,,,,,
NYCLEX210,3,"2,625",840.0,Lex & E 50th,210,,,,,,,,
NYCLEX211,0,"2,755",1000.0,Lex & E 50th,211,,,,,,,,
NYCLEX211,1,"2,885",1000.0,Lex & E 50th,211,,,,,,,,
NYCLEX211,2,"2,885",840.0,Lex & E 50th,211,,,,,,,,
NYCLEX211,3,"2,755",840.0,Lex & E 50th,211,,,,,,,,
NYCLEX212,0,"2,685",1215.0,Lex & E 50th,212,,,,,,,,
NYCLEX212,1,"2,885",1215.0,Lex & E 50th,212,,,,,,,,
NYCLEX212,2,"2,885",1070.0,Lex & E 50th,212,,,,,,,,
NYCLEX212,3,"2,685",1070.0,Lex & E 50th,212,,,,,,,,
NYCLEX213,0,"2,885",1215.0,Lex & E 50th,213,,,,,,,,
NYCLEX213,1,"2,885",1425.0,Lex & E 50th,213,,,,,,,,
NYCLEX213,2,"2,700",1425.0,Lex & E 50th,213,,,,,,,,
NYCLEX213,3,"2,700",1215.0,Lex & E 50th,213,,,,,,,,
NYCLEX214,0,"2,690",1500.0,Lex & E 50th,214,,,,,,,,
NYCLEX214,1,"2,885",1500.0,Lex & E 50th,214,,,,,,,,
NYCLEX214,2,"2,885",1890.0,Lex & E 50th,214,,,,,,,,
NYCLEX214,3,"2,690",1890.0,Lex & E 50th,214,,,,,,,,
NYCLEX215,0,"2,885",1890.0,Lex & E 50th,215,,,,,,,,
NYCLEX215,1,"3,275",1890.0,Lex & E 50th,215,,,,,,,,
NYCLEX215,2,"3,275",1665.0,Lex & E 50th,215,,,,,,,,
NYCLEX215,3,"3,010",1665.0,Lex & E 50th,215,,,,,,,,
NYCLEX215,4,"3,010",1500.0,Lex & E 50th,215,,,,,,,,
NYCLEX215,5,"2,885",1500.0,Lex & E 50th,215,,,,,,,,
NYCLEX216,0,"3,275",1665.0,Lex & E 50th,216,,,,,,,,
NYCLEX216,1,"3,275",1330.0,Lex & E 50th,216,,,,,,,,
NYCLEX216,2,"2,960",1330.0,Lex & E 50th,216,,,,,,,,
NYCLEX216,3,"2,960",1500.0,Lex & E 50th,216,,,,,,,,
NYCLEX216,4,"3,010",1500.0,Lex & E 50th,216,,,,,,,,
NYCLEX216,5,"3,010",1665.0,Lex & E 50th,216,,,,,,,,
NYCLEX217,0,"3,275",1330.0,Lex & E 50th,217,,,,,,,,
NYCLEX217,1,"3,275",1140.0,Lex & E 50th,217,,,,,,,,
NYCLEX217,2,"2,960",1140.0,Lex & E 50th,217,,,,,,,,
