Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXCEN001,0,554,269.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN001,1,456,267.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN001,2,456,112.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN001,3,555,111.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN002,0,456,267.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN002,1,352,267.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN002,2,352,110.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN002,3,456,112.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN003,0,352,267.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN003,1,284,268.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN003,2,176,160.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN003,3,225,110.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN003,4,352,110.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN004,0,284,268.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN004,1,284,338.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN004,2,126,338.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN004,3,126,210.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN004,4,176,160.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN005,0,284,338.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN005,1,284,440.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN005,2,125,440.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN005,3,126,338.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN006,0,284,440.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN006,1,284,541.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN006,2,125,541.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN006,3,125,440.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN007,0,284,541.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN007,1,284,724.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN007,2,126,724.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN007,3,125,541.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN008,0,284,724.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN008,1,284,824.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN008,2,125,824.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN008,3,126,724.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN009,0,284,824.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN009,1,284,947.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN009,2,125,947.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN009,3,125,824.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN010,0,284,947.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN010,1,284,1130.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN010,2,126,1130.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN010,3,125,947.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN011,0,284,1130.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN011,1,284,1230.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN011,2,126,1230.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN011,3,126,1130.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN012,0,284,1230.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN012,1,284,1333.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN012,2,125,1333.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN012,3,126,1230.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN013,0,284,1333.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN013,1,284,1404.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN013,2,177,1510.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN013,3,126,1461.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN013,4,125,1333.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN014,0,415.3333359,315.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN014,1,325.3333359,315.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN014,2,326.3333359,384.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN014,3,414.3333359,385.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN015,0,326.3333359,384.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN015,1,326.3333359,454.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN015,2,414.3333359,454.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN015,3,414.3333359,385.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN016,0,326.3333359,454.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN016,1,326.3333359,521.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN016,2,414.3333359,521.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN016,3,414.3333359,454.666748,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN017,0,326.3333359,521.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN017,1,326.3333359,641.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN017,2,414.3333359,643.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN017,3,415.3333359,522.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN018,0,326.3333359,641.333252,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN018,1,326.3333359,721.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN018,2,415.3333359,720.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN018,3,415.3333359,641.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN019,0,326.3333359,721.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN019,1,326.3333359,839.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN019,2,414.3333359,839.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN019,3,415.3333359,719.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN020,0,327.3333359,903.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN020,1,327.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN020,2,413.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN020,3,414.3333359,903.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN020,4,326.3333359,903.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN021,0,327.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN021,1,327.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN021,2,413.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN021,3,413.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN022,0,327.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN022,1,327.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN022,2,413.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN022,3,413.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN023,0,327.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN023,1,327.3333359,1360.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN023,2,414.3333359,1359.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN023,3,413.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN024,0,415.3333359,522.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN024,1,500.3333359,522.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN024,2,499.3333359,641.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN024,3,415.3333359,641.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN025,0,499.3333359,641.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN025,1,500.3333359,720.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN025,2,415.3333359,719.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN025,3,415.3333359,641.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN026,0,500.3333359,720.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN026,1,500.3333359,840.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN026,2,414.3333359,840.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN026,3,415.3333359,719.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN027,0,413.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN027,1,499.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN027,2,499.3333359,928.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN027,3,413.3333359,928.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN028,0,499.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN028,1,499.3333359,1127.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN028,2,413.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN028,3,413.3333359,1009.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN029,0,499.3333359,1127.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN029,1,499.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN029,2,413.3333359,1243.666626,Los Angeles - 1925 Century Park E,17,,,,,,,,
LAXCEN029,3,413.3333359,1126.0,Los Angeles - 1925 Century Park E,17,,,,,,,,
