Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXDTN901PT,0,412,157.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001BNH,0,88,92.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001,0,509.6666718,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001,1,576.6666718,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001,2,576.6666718,24.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001,3,526.6666718,24.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN001,4,509.6666718,42.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN002,0,576.6666718,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN002,1,646.6666718,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN002,2,646.6666565,44.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN002,3,628.6666565,24.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN002,4,576.6666718,24.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,0,659.6666565,44.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,1,658.6666565,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,2,761.6666565,83.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,3,761.6666565,68.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,4,775.6666565,68.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,5,782.6666565,61.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,6,745.6666565,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN003,7,677.6666565,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,0,761.6666565,68.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,1,761.6666565,156.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,2,819.6666565,156.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,3,819.6666565,99.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,4,782.6666565,61.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN004,5,775.6666565,68.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN005,0,819.6666565,156.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN005,1,819.6666565,212.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN005,2,795.6666565,237.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN005,3,762.6666565,237.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN005,4,761.6666565,156.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN006,0,795.6666565,237.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN006,1,819.6666565,263.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN006,2,819.6666565,313.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN006,3,762.6666565,313.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN006,4,762.6666565,237.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN007,0,819.6666565,313.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN007,1,819.6666565,388.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN007,2,794.6666565,413.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN007,3,762.6666565,413.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN007,4,762.6666565,313.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN008,0,794.6666565,413.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN008,1,820.6666565,437.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN008,2,820.6666565,495.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN008,3,762.6666565,495.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN008,4,762.6666565,413.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN009,0,820.6666565,495.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN009,1,820.6666565,551.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN009,2,762.6666565,608.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN009,3,762.6666565,495.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN010,0,762.6666565,608.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN010,1,746.6666565,625.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN010,2,700.6666565,625.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN010,3,700.6666565,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN010,4,762.6666565,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN011,0,700.6666565,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN011,1,653.6666565,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN011,2,653.6666565,603.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN011,3,677.6666565,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN011,4,700.6666565,625.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN012,0,653.6666565,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN012,1,578,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN012,2,578,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN012,3,629,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN012,4,653.6666565,603.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN013,0,578,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN013,1,527,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN013,2,503,603.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN013,3,503,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN013,4,578,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN014,0,503,603.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN014,1,478,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN014,2,428,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN014,3,428,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN014,4,503,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN015,0,428,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN015,1,352,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN015,2,352,601.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN015,3,377,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN015,4,428,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN016,0,352,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN016,1,277,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN016,2,277,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN016,3,328,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN016,4,352,601.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN017,0,277,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN017,1,202,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN017,2,201,602.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN017,3,226,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN017,4,277,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN018,0,202,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN018,1,130.6666667,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN018,2,130.6666667,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN018,3,176.6666667,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN018,4,201,602.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,0,130.6666667,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,1,84,543.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,2,84,521.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,3,26,521.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,4,26,567.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,5,85,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN019,6,130.6666667,626.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN020,0,84,521.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN020,1,84,477.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN020,2,26,477.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN020,3,26,521.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN021,0,84,477.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN021,1,84,419.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN021,2,45,418.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN021,3,26,438.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN021,4,26,477.3333321,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN022,0,84,405.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN022,1,84,325.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN022,2,26,325.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN022,3,26,388.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN022,4,43,405.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN023,0,84,325.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN023,1,84,246.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN023,2,43,246.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN023,3,26,263.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN023,4,26,325.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN024,0,85,230.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN024,1,84,163.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN024,2,26.66666669,162.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN024,3,26.66666669,213.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN024,4,45,230.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN025,0,205.6666679,140.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN025,1,258.6666679,140.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN025,2,258.6666679,105.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN025,3,205.6666679,105.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN026,0,258.6666679,105.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN026,1,258.6666679,69.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN026,2,206.6666679,69.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN026,3,205.6666679,105.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN027,0,206.6666679,69.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN027,1,275.6666679,69.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN027,2,275.6666679,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN027,3,225.6666679,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN027,4,205.6666679,44.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN028,0,275.6666679,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN028,1,326.6666679,25.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN028,2,346.6666679,43.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN028,3,346.6666679,69.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN028,4,275.6666679,69.0,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN029,0,346.6666679,69.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN029,1,346.6666679,103.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN029,2,295.6666679,103.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN029,3,295.6666679,69.66667175,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN030,0,346.6666679,103.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN030,1,346.6666679,139.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN030,2,294.6666679,139.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
LAXDTN030,3,295.6666679,103.6666718,Los Angeles - 600 Wilshire,,,,,,,,,
