Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXSUN901,0,1295,732.0,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN001,0,1095.666687,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN001,1,991.6666565,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN001,2,991.6666565,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN001,3,1095.666656,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN002,0,991.6666565,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN002,1,851,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN002,2,851,511.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN002,3,991.6666565,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN003,0,851,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN003,1,664,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN003,2,664,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN003,3,851,511.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,0,664,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,1,570.3333282,701.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,2,570.3333282,677.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,3,402.3333282,677.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,4,402.3333282,527.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,5,418.3333282,527.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,6,418.3333282,513.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN004,7,664,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN005,0,402.3333282,677.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN005,1,402.3333282,866.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN005,2,572.3333282,866.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN005,3,570.3333282,677.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN006,0,402.3333282,866.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN006,1,402.3333282,1041.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN006,2,572.3333282,1042.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN006,3,572.3333282,866.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN007,0,402.3333282,1041.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN007,1,402.3333282,1171.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN007,2,571.3333282,1171.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN007,3,572.3333282,1042.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,0,402.3333282,1171.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,1,402.3333282,1398.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,2,419.3333282,1398.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,3,419.3333282,1414.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,4,571.3333282,1414.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN008,5,571.3333282,1171.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,0,626.6666565,1082.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,1,795.6666565,1082.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,2,795.6666565,992.6666641,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,3,771.6666565,992.6666641,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,4,771.6666565,952.6666641,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN009,5,624.6666565,952.6666641,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN010,0,626.6666565,1082.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN010,1,626.6666565,1235.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN010,2,752.6666565,1235.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN010,3,752.6666565,1083.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,0,752.6666565,1235.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,1,852.6666565,1235.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,2,852.6666565,1100.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,3,796.6666565,1099.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,4,795.6666565,1082.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN011,5,752.6666565,1083.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN012,0,1050.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN012,1,1130.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN012,2,1130.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN012,3,1049.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN013,0,1130.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN013,1,1214.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN013,2,1214.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN013,3,1130.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN014,0,1214.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN014,1,1356.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN014,2,1356.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN014,3,1214.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN015,0,1356.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN015,1,1438.666656,1233.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN015,2,1437.666656,1132.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN015,3,1356.666656,1131.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN016,0,571.3333282,1414.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN016,1,663.6666565,1414.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN016,2,663.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN016,3,569.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN017,0,663.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN017,1,852.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN017,2,852.6666565,1415.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN017,3,663.6666565,1414.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN018,0,852.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN018,1,943.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN018,2,942.6666565,1415.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN018,3,852.6666565,1415.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN019,0,943.6666565,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN019,1,1131.666656,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN019,2,1131.666656,1416.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN019,3,942.6666565,1415.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN020,0,1131.666656,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN020,1,1405.666656,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN020,2,1406.333313,1418.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN020,3,1131.666656,1416.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN021,0,1405.666656,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN021,1,1509.333313,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN021,2,1510.333313,1418.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN021,3,1405.666656,1417.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN022,0,1509.333313,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN022,1,1755.333313,1279.666664,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN022,2,1755.333313,1417.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN022,3,1510.333313,1418.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN023,0,1821,1418.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN023,1,1929.333313,1417.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN023,2,1929,1282.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN023,3,1823,1282.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN023,4,1823,1419.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,0,1930.333313,1416.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,1,2079.333313,1417.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,2,2079.333313,1397.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,3,2094.333313,1397.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,4,2094.333313,1212.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,5,1904.333313,1212.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,6,1904.333313,1281.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN024,7,1929,1282.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN025,0,1904.333313,1212.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN025,1,1904.333313,1118.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN025,2,2095.333313,1118.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN025,3,2094.333313,1212.333336,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN026,0,1904.333313,1118.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN026,1,1904.333313,997.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN026,2,2095.333313,997.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN026,3,2095.333313,1118.666656,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN027,0,1904.333313,997.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN027,1,1904.333313,865.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN027,2,2095.333313,865.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN027,3,2095.333313,997.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN028,0,1904.333313,865.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN028,1,1904.333313,678.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN028,2,2094.333313,678.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN028,3,2095.333313,865.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,0,1904.333313,678.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,1,1904.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,2,1835.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,3,1835.333313,513.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,4,2080.333313,513.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,5,2080.333313,530.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,6,2095.333313,530.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN029,7,2094.333313,678.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN030,0,1835.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN030,1,1694.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN030,2,1693.333313,514.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN030,3,1835.333313,513.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN031,0,1694.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN031,1,1554.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN031,2,1554.333313,514.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN031,3,1693.333313,514.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN032,0,1554.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN032,1,1403.333313,701.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN032,2,1402.666687,512.6666565,Los Angeles - 9255 Sunset,,,,,,,,,
LAXSUN032,3,1554.333313,514.3333435,Los Angeles - 9255 Sunset,,,,,,,,,
