Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MSNMAI001,0,90,319.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI001,1,27,319.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI001,2,27,448.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI001,3,134,448.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI001,4,134,346.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI001,5,90,346.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI002,0,134,448.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI002,1,134,546.6666641,Madison - 25 W Main,,,,,,,,,
MSNMAI002,2,28,546.6666641,Madison - 25 W Main,,,,,,,,,
MSNMAI002,3,27,448.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI003,0,134,546.6666641,Madison - 25 W Main,,,,,,,,,
MSNMAI003,1,134,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI003,2,152,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI003,3,152,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI003,4,50,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI003,5,50,547.0,Madison - 25 W Main,,,,,,,,,
MSNMAI004,0,164,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI004,1,234,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI004,2,234,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI004,3,164,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI005,0,234,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI005,1,304,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI005,2,304,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI005,3,234,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI006,0,164,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI006,1,164,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI006,2,234,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI006,3,234,546.0,Madison - 25 W Main,,,,,,,,,
MSNMAI007,0,234,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI007,1,305,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI007,2,304,545.0,Madison - 25 W Main,,,,,,,,,
MSNMAI007,3,234,546.0,Madison - 25 W Main,,,,,,,,,
MSNMAI008,0,305,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI008,1,400,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI008,2,400,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI008,3,304,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI009,0,400,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI009,1,473,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI009,2,473,485.0,Madison - 25 W Main,,,,,,,,,
MSNMAI009,3,400,486.0,Madison - 25 W Main,,,,,,,,,
MSNMAI010,0,473,485.0,Madison - 25 W Main,,,,,,,,,
MSNMAI010,1,553.3333282,485.0,Madison - 25 W Main,,,,,,,,,
MSNMAI010,2,553.3333282,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI010,3,473,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI011,0,553.3333282,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI011,1,633.3333282,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI011,2,633.3333282,485.0,Madison - 25 W Main,,,,,,,,,
MSNMAI011,3,553.3333282,485.0,Madison - 25 W Main,,,,,,,,,
MSNMAI012,0,659.6666565,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI012,1,739.6666565,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI012,2,739.6666565,552.0,Madison - 25 W Main,,,,,,,,,
MSNMAI012,3,660.6666565,552.0,Madison - 25 W Main,,,,,,,,,
MSNMAI013,0,739.6666565,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI013,1,815.6666565,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI013,2,815.6666565,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI013,3,738.6666565,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI014,0,815.6666565,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI014,1,892.3333435,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI014,2,892.3333435,501.0,Madison - 25 W Main,,,,,,,,,
MSNMAI014,3,815.6666565,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI015,0,892.3333435,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI015,1,967.3333435,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI015,2,967.3333435,552.0,Madison - 25 W Main,,,,,,,,,
MSNMAI015,3,891.3333435,552.0,Madison - 25 W Main,,,,,,,,,
MSNMAI016,0,152,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI016,1,279,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI016,2,279,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI016,3,152,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI017,0,279,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI017,1,373,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI017,2,373,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI017,3,279,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI018,0,373,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI018,1,435.6666641,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI018,2,435.6666641,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI018,3,373,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI019,0,435.6666641,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI019,1,498.6666641,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI019,2,498.6666641,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI019,3,435.6666641,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI020,0,498.6666641,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI020,1,561.3333282,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI020,2,561.3333282,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI020,3,498.6666641,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI021,0,561.3333282,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI021,1,624.3333282,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI021,2,624.3333282,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI021,3,561.3333282,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI022,0,624.3333282,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI022,1,687.3333435,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI022,2,687.3333435,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI022,3,624.3333282,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI023,0,687.3333435,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI023,1,751.3333435,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI023,2,751.3333435,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI023,3,687.3333435,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI024,0,751.3333435,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI024,1,845,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI024,2,845,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI024,3,751.3333435,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,0,845,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,1,978.666687,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,2,978.666687,686.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,3,914.666687,686.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,4,914.666687,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI025,5,845,719.0,Madison - 25 W Main,,,,,,,,,
MSNMAI026,0,978.666687,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI026,1,1041.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI026,2,1041.333313,687.0,Madison - 25 W Main,,,,,,,,,
MSNMAI026,3,978.666687,686.0,Madison - 25 W Main,,,,,,,,,
MSNMAI027,0,1041.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI027,1,1104.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI027,2,1104.333313,687.0,Madison - 25 W Main,,,,,,,,,
MSNMAI027,3,1041.333313,687.0,Madison - 25 W Main,,,,,,,,,
MSNMAI028,0,1104.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI028,1,1252.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI028,2,1252.333313,687.0,Madison - 25 W Main,,,,,,,,,
MSNMAI028,3,1104.333313,687.0,Madison - 25 W Main,,,,,,,,,
MSNMAI029,0,1046.333313,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI029,1,994.333313,604.0,Madison - 25 W Main,,,,,,,,,
MSNMAI029,2,994.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI029,3,1046.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI030,0,994.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI030,1,994.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI030,2,1046.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI030,3,1046.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI031,0,993.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI031,1,993.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI031,2,1073.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI031,3,1073.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI032,0,993.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI032,1,993.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI032,2,1059.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI032,3,1059.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI033,0,993.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI033,1,993.333313,201.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI033,2,1059.333313,201.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI033,3,1059.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI034,0,993.333313,201.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI034,1,993.333313,147.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI034,2,1126.333313,147.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI034,3,1126.333313,200.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI035,0,967.333313,241.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI035,1,890.333313,241.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI035,2,890.333313,194.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI035,3,967.333313,194.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI036,0,967.333313,194.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI036,1,967.333313,145.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI036,2,890.333313,145.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI036,3,890.333313,194.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI037,0,1126.333313,200.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI037,1,1126.333313,248.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI037,2,1059.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI037,3,1059.333313,201.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI038,0,1126.333313,248.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI038,1,1126.333313,304.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI038,2,1059.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI038,3,1059.333313,247.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI039,0,1126.333313,304.3333282,Madison - 25 W Main,,,,,,,,,
MSNMAI039,1,1126.333313,353.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI039,2,1073.333313,353.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI039,3,1073.333313,304.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI040,0,1126.333313,353.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI040,1,1126.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI040,2,1073.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI040,3,1073.333313,353.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI041,0,1126.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI041,1,1126.333313,455.0,Madison - 25 W Main,,,,,,,,,
MSNMAI041,2,1073.333313,455.0,Madison - 25 W Main,,,,,,,,,
MSNMAI041,3,1073.333313,408.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI042,0,1126.333313,455.0,Madison - 25 W Main,,,,,,,,,
MSNMAI042,1,1126.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI042,2,1073.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI042,3,1073.333313,455.0,Madison - 25 W Main,,,,,,,,,
MSNMAI043,0,1126.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI043,1,1126.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI043,2,1046.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI043,3,1046.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI044,0,1126.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI044,1,1126.333313,603.0,Madison - 25 W Main,,,,,,,,,
MSNMAI044,2,1047.333313,603.0,Madison - 25 W Main,,,,,,,,,
MSNMAI044,3,1046.333313,556.0,Madison - 25 W Main,,,,,,,,,
MSNMAI045,0,1252.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI045,1,1252.333313,565.0,Madison - 25 W Main,,,,,,,,,
MSNMAI045,2,1156.333313,565.0,Madison - 25 W Main,,,,,,,,,
MSNMAI045,3,1156.333313,630.0,Madison - 25 W Main,,,,,,,,,
MSNMAI046,0,1156.333313,565.0,Madison - 25 W Main,,,,,,,,,
MSNMAI046,1,1156.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI046,2,1252.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI046,3,1252.333313,565.0,Madison - 25 W Main,,,,,,,,,
MSNMAI047,0,1156.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI047,1,1156.333313,438.0,Madison - 25 W Main,,,,,,,,,
MSNMAI047,2,1252.333313,438.0,Madison - 25 W Main,,,,,,,,,
MSNMAI047,3,1252.333313,502.0,Madison - 25 W Main,,,,,,,,,
MSNMAI048,0,1156.333313,438.0,Madison - 25 W Main,,,,,,,,,
MSNMAI048,1,1156.333313,345.0,Madison - 25 W Main,,,,,,,,,
MSNMAI048,2,1252.333313,345.0,Madison - 25 W Main,,,,,,,,,
MSNMAI048,3,1252.333313,438.0,Madison - 25 W Main,,,,,,,,,
MSNMAI049,0,1156.333313,345.0,Madison - 25 W Main,,,,,,,,,
MSNMAI049,1,1156.333313,210.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI049,2,1252.333313,210.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI049,3,1252.333313,345.0,Madison - 25 W Main,,,,,,,,,
MSNMAI050,0,1156.333313,210.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI050,1,1156.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI050,2,1168.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI050,3,1168.333313,41.0,Madison - 25 W Main,,,,,,,,,
MSNMAI050,4,1251.333313,41.0,Madison - 25 W Main,,,,,,,,,
MSNMAI050,5,1252.333313,210.6666718,Madison - 25 W Main,,,,,,,,,
MSNMAI051,0,1168.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI051,1,1041.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI051,2,1041.333313,42.0,Madison - 25 W Main,,,,,,,,,
MSNMAI051,3,1168.333313,41.0,Madison - 25 W Main,,,,,,,,,
MSNMAI052,0,1041.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI052,1,978.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI052,2,978.333313,42.0,Madison - 25 W Main,,,,,,,,,
MSNMAI052,3,1041.333313,42.0,Madison - 25 W Main,,,,,,,,,
MSNMAI053,0,978.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI053,1,913.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI053,2,913.333313,42.0,Madison - 25 W Main,,,,,,,,,
MSNMAI053,3,978.333313,42.0,Madison - 25 W Main,,,,,,,,,
MSNMAI054,0,913.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI054,1,913.333313,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI054,2,813.333313,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI054,3,813.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI055,0,813.333313,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI055,1,719,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI055,2,719,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI055,3,813.333313,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI056,0,719,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI056,1,624,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI056,2,624,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI056,3,719,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI057,0,624,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI057,1,436.6666565,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI057,2,436.6666565,19.0,Madison - 25 W Main,,,,,,,,,
MSNMAI057,3,624,20.0,Madison - 25 W Main,,,,,,,,,
MSNMAI058,0,436.6666565,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI058,1,310,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI058,2,310,19.0,Madison - 25 W Main,,,,,,,,,
MSNMAI058,3,436.6666565,19.0,Madison - 25 W Main,,,,,,,,,
MSNMAI059,0,310,119.0,Madison - 25 W Main,,,,,,,,,
MSNMAI059,1,246,119.0,Madison - 25 W Main,,,,,,,,,
