Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAMALI104,0,1170,2155.0,Malibu,104,,,,,,,,
LAMALI104,1,835,2155.0,Malibu,104,,,,,,,,
LAMALI104,2,835,2365.0,Malibu,104,,,,,,,,
LAMALI104,3,1170,2365.0,Malibu,104,,,,,,,,
LAMALI105,0,1170,2365.0,Malibu,105,,,,,,,,
LAMALI105,1,1500,2365.0,Malibu,105,,,,,,,,
LAMALI105,2,1500,2155.0,Malibu,105,,,,,,,,
LAMALI105,3,1170,2155.0,Malibu,105,,,,,,,,
LAMALI101,0,1285,1930.0,Malibu,101,,,,,,,,
LAMALI101,1,1285,1750.0,Malibu,101,,,,,,,,
LAMALI101,2,975,1750.0,Malibu,101,,,,,,,,
LAMALI101,3,975,1930.0,Malibu,101,,,,,,,,
LAMALI102,0,1285,1930.0,Malibu,102,,,,,,,,
LAMALI102,1,1285,2050.0,Malibu,102,,,,,,,,
LAMALI102,2,1040,2050.0,Malibu,102,,,,,,,,
LAMALI102,3,1040,1930.0,Malibu,102,,,,,,,,
LAMALI103,0,1040,1930.0,Malibu,103,,,,,,,,
LAMALI103,1,835,1935.0,Malibu,103,,,,,,,,
LAMALI103,2,835,2050.0,Malibu,103,,,,,,,,
LAMALI103,3,1040,2050.0,Malibu,103,,,,,,,,
LAMALI106,0,1500,2155.0,Malibu,106,,,,,,,,
LAMALI106,1,1500,1960.0,Malibu,106,,,,,,,,
LAMALI106,2,1355,1960.0,Malibu,106,,,,,,,,
LAMALI106,3,1355,2155.0,Malibu,106,,,,,,,,
LAMALI107,0,1500,1960.0,Malibu,107,,,,,,,,
LAMALI107,1,1500,1740.0,Malibu,107,,,,,,,,
LAMALI107,2,1355,1740.0,Malibu,107,,,,,,,,
LAMALI107,3,1355,1960.0,Malibu,107,,,,,,,,
LAMALI108,0,1500,1740.0,Malibu,108,,,,,,,,
LAMALI108,1,1500,1580.0,Malibu,108,,,,,,,,
LAMALI108,2,1355,1580.0,Malibu,108,,,,,,,,
LAMALI108,3,1355,1740.0,Malibu,108,,,,,,,,
LAMALI109,0,1500,1580.0,Malibu,109,,,,,,,,
LAMALI109,1,1500,1400.0,Malibu,109,,,,,,,,
LAMALI109,2,1355,1400.0,Malibu,109,,,,,,,,
LAMALI109,3,1355,1580.0,Malibu,109,,,,,,,,
LAMALI111,0,1500,1400.0,Malibu,111,,,,,,,,
LAMALI111,1,1500,1280.0,Malibu,111,,,,,,,,
LAMALI111,2,1355,1280.0,Malibu,111,,,,,,,,
LAMALI111,3,1355,1400.0,Malibu,111,,,,,,,,
LAMALI112,0,1500,1280.0,Malibu,112,,,,,,,,
LAMALI112,1,1500,975.0,Malibu,112,,,,,,,,
LAMALI112,2,1355,980.0,Malibu,112,,,,,,,,
LAMALI112,3,1355,1280.0,Malibu,112,,,,,,,,
LAMALI113,0,1500,975.0,Malibu,113,,,,,,,,
LAMALI113,1,1500,775.0,Malibu,113,,,,,,,,
LAMALI113,2,1195,775.0,Malibu,113,,,,,,,,
LAMALI113,3,1195,925.0,Malibu,113,,,,,,,,
LAMALI113,4,1355,925.0,Malibu,113,,,,,,,,
LAMALI113,5,1355,980.0,Malibu,113,,,,,,,,
LAMALI114,0,1195,775.0,Malibu,114,,,,,,,,
LAMALI114,1,870,775.0,Malibu,114,,,,,,,,
LAMALI114,2,870,925.0,Malibu,114,,,,,,,,
LAMALI114,3,1195,925.0,Malibu,114,,,,,,,,
LAMALI110,0,1055,1370.0,Malibu,110,,,,,,,,
LAMALI110,1,1285,1370.0,Malibu,110,,,,,,,,
LAMALI110,2,1285,1570.0,Malibu,110,,,,,,,,
LAMALI110,3,1055,1570.0,Malibu,110,,,,,,,,
LAMALI115,0,460,775.0,Malibu,115,,,,,,,,
LAMALI115,1,765,775.0,Malibu,115,,,,,,,,
LAMALI115,2,765,925.0,Malibu,115,,,,,,,,
LAMALI115,3,460,925.0,Malibu,115,,,,,,,,
LAMALI116,0,460,775.0,Malibu,116,,,,,,,,
LAMALI116,1,460,650.0,Malibu,116,,,,,,,,
LAMALI116,2,675,650.0,Malibu,116,,,,,,,,
LAMALI116,3,675,770.0,Malibu,116,,,,,,,,
LAMALI117,0,460,650.0,Malibu,117,,,,,,,,
LAMALI117,1,460,510.0,Malibu,117,,,,,,,,
LAMALI117,2,675,510.0,Malibu,117,,,,,,,,
LAMALI117,3,675,650.0,Malibu,117,,,,,,,,
LAMALI118,0,675,775.0,Malibu,118,,,,,,,,
LAMALI118,1,870,775.0,Malibu,118,,,,,,,,
LAMALI118,2,870,510.0,Malibu,118,,,,,,,,
LAMALI118,3,675,510.0,Malibu,118,,,,,,,,
LAMALI126,0,390,1260.0,Malibu,126,,,,,,,,
LAMALI126,1,390,1045.0,Malibu,126,,,,,,,,
LAMALI126,2,200,1045.0,Malibu,126,,,,,,,,
LAMALI126,3,200,1260.0,Malibu,126,,,,,,,,
LAMALI125,0,390,1045.0,Malibu,125,,,,,,,,
LAMALI125,1,390,930.0,Malibu,125,,,,,,,,
LAMALI125,2,200,930.0,Malibu,125,,,,,,,,
LAMALI125,3,200,1045.0,Malibu,125,,,,,,,,
LAMALI124,0,390,930.0,Malibu,124,,,,,,,,
LAMALI124,1,390,820.0,Malibu,124,,,,,,,,
LAMALI124,2,200,820.0,Malibu,124,,,,,,,,
LAMALI124,3,200,930.0,Malibu,124,,,,,,,,
LAMALI123,0,390,820.0,Malibu,123,,,,,,,,
LAMALI123,1,390,710.0,Malibu,123,,,,,,,,
LAMALI123,2,200,710.0,Malibu,123,,,,,,,,
LAMALI123,3,200,820.0,Malibu,123,,,,,,,,
LAMALI122,0,390,710.0,Malibu,122,,,,,,,,
LAMALI122,1,390,605.0,Malibu,122,,,,,,,,
LAMALI122,2,200,605.0,Malibu,122,,,,,,,,
LAMALI122,3,200,710.0,Malibu,122,,,,,,,,
LAMALI121,0,390,605.0,Malibu,121,,,,,,,,
LAMALI121,1,390,410.0,Malibu,121,,,,,,,,
LAMALI121,2,200,410.0,Malibu,121,,,,,,,,
LAMALI121,3,200,605.0,Malibu,121,,,,,,,,
LAMALI120,0,200,410.0,Malibu,120,,,,,,,,
LAMALI120,1,200,195.0,Malibu,120,,,,,,,,
LAMALI120,2,520,195.0,Malibu,120,,,,,,,,
LAMALI120,3,520,410.0,Malibu,120,,,,,,,,
LAMALI119,0,520,410.0,Malibu,119,,,,,,,,
LAMALI119,1,865,410.0,Malibu,119,,,,,,,,
LAMALI119,2,865,205.0,Malibu,119,,,,,,,,
LAMALI119,3,825,205.0,Malibu,119,,,,,,,,
LAMALI119,4,825,70.0,Malibu,119,,,,,,,,
LAMALI119,5,520,75.0,Malibu,119,,,,,,,,
LAMALI204,0,2785,2175.0,Malibu,204,,,,,,,,
LAMALI204,1,2430,2175.0,Malibu,204,,,,,,,,
LAMALI204,2,2430,2395.0,Malibu,204,,,,,,,,
LAMALI204,3,2390,2395.0,Malibu,204,,,,,,,,
LAMALI204,4,2390,2520.0,Malibu,204,,,,,,,,
LAMALI204,5,2785,2520.0,Malibu,204,,,,,,,,
LAMALI205,0,2785,2175.0,Malibu,205,,,,,,,,
LAMALI205,1,3110,2175.0,Malibu,205,,,,,,,,
LAMALI205,2,3110,2390.0,Malibu,205,,,,,,,,
LAMALI205,3,2785,2390.0,Malibu,205,,,,,,,,
LAMALI206,0,3110,2175.0,Malibu,206,,,,,,,,
LAMALI206,1,3110,1870.0,Malibu,206,,,,,,,,
LAMALI206,2,2890,1870.0,Malibu,206,,,,,,,,
LAMALI206,3,2890,2175.0,Malibu,206,,,,,,,,
LAMALI207,0,3110,1870.0,Malibu,207,,,,,,,,
LAMALI207,1,3110,1630.0,Malibu,207,,,,,,,,
LAMALI207,2,2890,1630.0,Malibu,207,,,,,,,,
LAMALI207,3,2890,1870.0,Malibu,207,,,,,,,,
LAMALI203,0,2820,1800.0,Malibu,203,,,,,,,,
LAMALI203,1,2570,1800.0,Malibu,203,,,,,,,,
LAMALI203,2,2570,1960.0,Malibu,203,,,,,,,,
LAMALI203,3,2820,1960.0,Malibu,203,,,,,,,,
LAMALI202,0,2820,1800.0,Malibu,202,,,,,,,,
LAMALI202,1,2820,1530.0,Malibu,202,,,,,,,,
LAMALI202,2,2570,1530.0,Malibu,202,,,,,,,,
LAMALI202,3,2570,1580.0,Malibu,202,,,,,,,,
LAMALI202,4,2520,1580.0,Malibu,202,,,,,,,,
LAMALI202,5,2515,1800.0,Malibu,202,,,,,,,,
LAMALI201,0,2820,1530.0,Malibu,201,,,,,,,,
LAMALI201,1,2820,1275.0,Malibu,201,,,,,,,,
LAMALI201,2,2680,1275.0,Malibu,201,,,,,,,,
LAMALI201,3,2680,1530.0,Malibu,201,,,,,,,,
LAMALI2CRMB,0,3110,1630.0,Malibu,2CRMB,,,,,,,,
LAMALI2CRMB,1,3110,1440.0,Malibu,2CRMB,,,,,,,,
LAMALI2CRMB,2,2890,1440.0,Malibu,2CRMB,,,,,,,,
LAMALI2CRMB,3,2890,1630.0,Malibu,2CRMB,,,,,,,,
LAMALI208,0,3110,1440.0,Malibu,208,,,,,,,,
LAMALI208,1,3110,1335.0,Malibu,208,,,,,,,,
LAMALI208,2,2890,1335.0,Malibu,208,,,,,,,,
LAMALI208,3,2890,1440.0,Malibu,208,,,,,,,,
LAMALI209,0,3110,1335.0,Malibu,209,,,,,,,,
LAMALI209,1,3110,1075.0,Malibu,209,,,,,,,,
LAMALI209,2,2890,1075.0,Malibu,209,,,,,,,,
LAMALI209,3,2890,1335.0,Malibu,209,,,,,,,,
LAMALI210,0,3110,1075.0,Malibu,210,,,,,,,,
LAMALI210,1,3110,765.0,Malibu,210,,,,,,,,
LAMALI210,2,2890,765.0,Malibu,210,,,,,,,,
LAMALI210,3,2890,1075.0,Malibu,210,,,,,,,,
LAMALI211,0,2890,765.0,Malibu,211,,,,,,,,
LAMALI211,1,2690,765.0,Malibu,211,,,,,,,,
LAMALI211,2,2690,910.0,Malibu,211,,,,,,,,
LAMALI211,3,2890,910.0,Malibu,211,,,,,,,,
LAMALI212,0,2690,910.0,Malibu,212,,,,,,,,
LAMALI212,1,2325,910.0,Malibu,212,,,,,,,,
LAMALI212,2,2325,765.0,Malibu,212,,,,,,,,
LAMALI212,3,2690,765.0,Malibu,212,,,,,,,,
LAMALI216,0,2325,765.0,Malibu,216,,,,,,,,
LAMALI216,1,2325,495.0,Malibu,216,,,,,,,,
LAMALI216,2,2460,495.0,Malibu,216,,,,,,,,
LAMALI216,3,2460,765.0,Malibu,216,,,,,,,,
LAMALI218,0,2365,245.0,Malibu,218,,,,,,,,
LAMALI218,1,2365,380.0,Malibu,218,,,,,,,,
LAMALI218,2,2235,380.0,Malibu,218,,,,,,,,
LAMALI218,3,2235,245.0,Malibu,218,,,,,,,,
LAMALI219,0,2235,245.0,Malibu,219,,,,,,,,
LAMALI219,1,2110,245.0,Malibu,219,,,,,,,,
LAMALI219,2,2110,380.0,Malibu,219,,,,,,,,
LAMALI219,3,2235,380.0,Malibu,219,,,,,,,,
LAMALI220,0,2110,380.0,Malibu,220,,,,,,,,
LAMALI220,1,2110,170.0,Malibu,220,,,,,,,,
LAMALI220,2,1785,170.0,Malibu,220,,,,,,,,
LAMALI220,3,1785,380.0,Malibu,220,,,,,,,,
LAMALI222,0,1785,380.0,Malibu,222,,,,,,,,
LAMALI222,1,1785,590.0,Malibu,222,,,,,,,,
LAMALI222,2,1925,590.0,Malibu,222,,,,,,,,
LAMALI222,3,1925,380.0,Malibu,222,,,,,,,,
LAMALI223,0,1925,590.0,Malibu,223,,,,,,,,
LAMALI223,1,1925,690.0,Malibu,223,,,,,,,,
LAMALI223,2,1785,690.0,Malibu,223,,,,,,,,
LAMALI223,3,1785,590.0,Malibu,223,,,,,,,,
LAMALI225,0,1785,690.0,Malibu,225,,,,,,,,
LAMALI225,1,1785,910.0,Malibu,225,,,,,,,,
LAMALI225,2,1925,910.0,Malibu,225,,,,,,,,
LAMALI225,3,1925,690.0,Malibu,225,,,,,,,,
LAMALI227,0,1785,910.0,Malibu,227,,,,,,,,
LAMALI227,1,1785,1040.0,Malibu,227,,,,,,,,
LAMALI227,2,1925,1040.0,Malibu,227,,,,,,,,
LAMALI227,3,1925,910.0,Malibu,227,,,,,,,,
LAMALI229,0,1785,1040.0,Malibu,229,,,,,,,,
LAMALI229,1,1785,1170.0,Malibu,229,,,,,,,,
LAMALI229,2,1925,1170.0,Malibu,229,,,,,,,,
LAMALI229,3,1925,1040.0,Malibu,229,,,,,,,,
LAMALI230,0,1785,1170.0,Malibu,230,,,,,,,,
LAMALI230,1,1785,1385.0,Malibu,230,,,,,,,,
LAMALI230,2,1925,1385.0,Malibu,230,,,,,,,,
LAMALI230,3,1925,1170.0,Malibu,230,,,,,,,,
LAMALI228,0,2125,1075.0,Malibu,228,,,,,,,,
LAMALI228,1,2000,1075.0,Malibu,228,,,,,,,,
LAMALI228,2,2000,1200.0,Malibu,228,,,,,,,,
LAMALI228,3,2125,1200.0,Malibu,228,,,,,,,,
LAMALI226,0,2125,1075.0,Malibu,226,,,,,,,,
LAMALI226,1,2125,860.0,Malibu,226,,,,,,,,
LAMALI226,2,2000,860.0,Malibu,226,,,,,,,,
LAMALI226,3,2000,1075.0,Malibu,226,,,,,,,,
LAMALI214,0,2125,1075.0,Malibu,214,,,,,,,,
LAMALI214,1,2250,1075.0,Malibu,214,,,,,,,,
LAMALI214,2,2250,860.0,Malibu,214,,,,,,,,
LAMALI214,3,2125,860.0,Malibu,214,,,,,,,,
LAMALI224,0,2125,860.0,Malibu,224,,,,,,,,
LAMALI224,1,2125,650.0,Malibu,224,,,,,,,,
LAMALI224,2,2000,650.0,Malibu,224,,,,,,,,
LAMALI224,3,2000,860.0,Malibu,224,,,,,,,,
LAMALI215,0,2125,860.0,Malibu,215,,,,,,,,
LAMALI215,1,2250,860.0,Malibu,215,,,,,,,,
LAMALI215,2,2250,650.0,Malibu,215,,,,,,,,
LAMALI215,3,2125,650.0,Malibu,215,,,,,,,,
LAMALI221,0,2125,650.0,Malibu,221,,,,,,,,
LAMALI221,1,2125,450.0,Malibu,221,,,,,,,,
LAMALI221,2,2000,450.0,Malibu,221,,,,,,,,
LAMALI221,3,2000,650.0,Malibu,221,,,,,,,,
LAMALI217,0,2125,650.0,Malibu,217,,,,,,,,
LAMALI217,1,2250,650.0,Malibu,217,,,,,,,,
LAMALI217,2,2250,450.0,Malibu,217,,,,,,,,
LAMALI217,3,2125,450.0,Malibu,217,,,,,,,,
