Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCBRY901,0,1968,2849.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY001,0,1458.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY001,1,1273.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY001,2,1273.515625,2867.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY001,3,1458.515625,2867.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY002,0,1273.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY002,1,1149.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY002,2,1151.515625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY002,3,1273.515625,2867.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY003,0,1149.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY003,1,1031.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY003,2,1031.515625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY003,3,1151.515625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY004,0,1031.515625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY004,1,759.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY004,2,759.015625,3013.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY004,3,1031.515625,3014.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY005,0,759.015625,3013.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY005,1,643.015625,3013.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY005,2,643.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY005,3,759.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY006,0,643.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY006,1,526.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY006,2,526.015625,3015.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY006,3,643.015625,3013.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY007,0,526.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY007,1,324.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY007,2,324.015625,3015.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY007,3,526.015625,3015.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,0,324.015625,3015.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,1,87.015625,3015.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,2,87.015625,2752.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,3,262.015625,2751.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,4,264.015625,2867.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY008,5,324.015625,2868.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY009,0,794.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY009,1,921.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY009,2,921.015625,2732.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY009,3,794.015625,2732.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY010,0,794.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY010,1,623.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY010,2,623.015625,2617.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY010,3,792.015625,2617.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY011,0,623.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY011,1,441.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY011,2,441.015625,2615.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY011,3,623.015625,2617.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY012,0,441.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY012,1,312.015625,2820.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY012,2,312.015625,2694.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY012,3,440.015625,2694.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY013,0,87.015625,2752.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY013,1,87.015625,2635.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY013,2,263.015625,2635.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY013,3,262.015625,2751.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY014,0,263.015625,2635.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY014,1,263.015625,2517.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY014,2,88.015625,2518.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY014,3,87.015625,2635.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY015,0,263.015625,2517.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY015,1,263.015625,2388.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY015,2,89.515625,2388.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY015,3,88.015625,2518.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY016,0,263.015625,2388.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY016,1,263.015625,2245.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY016,2,89.515625,2245.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY016,3,89.515625,2388.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY017,0,263.015625,2245.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY017,1,263.015625,2067.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY017,2,90.515625,2067.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY017,3,89.515625,2245.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY018,0,90.515625,2067.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY018,1,90.515625,1885.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY018,2,264.515625,1885.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY018,3,263.015625,2067.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY019,0,312.015625,2694.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY019,1,312.015625,2594.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY019,2,440.515625,2594.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY019,3,440.015625,2694.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,0,312.015625,2594.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,1,311.515625,2381.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,2,585.515625,2382.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,3,585.515625,2616.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,4,441.015625,2615.5,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY020,5,440.515625,2594.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY021,0,311.515625,2381.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY021,1,311.515625,2169.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY021,2,455.515625,2169.0,Manhattan - 1411 Broadway,,,,,,,,,
NYCBRY021,3,455.515625,2150.0,Manhattan - 1411 Broadway,,,,,,,,,
