Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MANPRK901,0,1818,348.0,Manhattan - 215 Park,12,,,,,,,,
MANPRK001,0,836.3,738.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK001,1,964.3,738.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK001,2,964.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK001,3,836.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK002,0,1027.9,638.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK002,1,1209.9,638.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK002,2,1209.9,524.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK002,3,1027.9,523.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK003,0,1027.9,523.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK003,1,1027.9,414.5,Manhattan - 215 Park,12,,,,,,,,
MANPRK003,2,1209.9,414.5,Manhattan - 215 Park,12,,,,,,,,
MANPRK003,3,1209.9,524.7,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,0,1209.9,414.5,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,1,1209.9,172.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,2,1179,172.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,3,1179,160.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,4,974,160.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,5,974,193.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,6,947,193.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,7,947,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK004,8,1208,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK005,0,836.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK005,1,836.3,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK005,2,964.1,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK005,3,964.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,0,947,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,1,818.1,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,2,818.1,152.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,3,906.1,152.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,4,906.1,161.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,5,923.1,161.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,6,923.1,193.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK006,7,947,193.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK007,0,836.3,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK007,1,687.6,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK007,2,688.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK007,3,836.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,0,818.1,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,1,690.1,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,2,690.1,173.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,3,705.1,173.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,4,705.1,161.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,5,723.1,161.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,6,723.1,151.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK008,7,818.1,152.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK009,0,687.6,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK009,1,530.6,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK009,2,530.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK009,3,688.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,0,690.1,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,1,560.6,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,2,560.6,153.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,3,653.6,152.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,4,653.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,5,671.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,6,671.6,173.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK010,7,690.1,173.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,0,560.6,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,1,418.6,413.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,2,418.6,191.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,3,456.6,191.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,4,456.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,5,470.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,6,470.6,152.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK011,7,560.6,153.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,0,418.6,191.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,1,409.6,191.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,2,409.6,160.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,3,399.6,160.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,4,399.6,153.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,5,218.6,153.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,6,219.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,7,191.6,161.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,8,191.6,294.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,9,314.6,294.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,10,315.6,312.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK012,11,417.6,312.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,0,314.6,294.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,1,314.6,395.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,2,145.6,398.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,3,145.6,386.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,4,138.6,386.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,5,138.6,318.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,6,144.6,318.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,7,144.6,309.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,8,191.6,310.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK013,9,191.6,294.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK014,0,530.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK014,1,416.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK014,2,416.6,482.3,Manhattan - 215 Park,12,,,,,,,,
MANPRK014,3,530.6,482.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK015,0,530.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK015,1,530.6,740.3,Manhattan - 215 Park,12,,,,,,,,
MANPRK015,2,689.3,740.3,Manhattan - 215 Park,12,,,,,,,,
MANPRK015,3,688.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK016,0,689.3,740.3,Manhattan - 215 Park,12,,,,,,,,
MANPRK016,1,836.3,738.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK016,2,836.3,624.6,Manhattan - 215 Park,12,,,,,,,,
MANPRK016,3,688.6,625.2,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,0,955.3,806.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,1,1067.3,806.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,2,1067.3,1155.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,3,963.3,1155.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,4,963.3,1140.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,5,955.3,1140.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,6,955.3,935.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,7,979.3,935.4,Manhattan - 215 Park,12,,,,,,,,
MANPRK017,8,979.3,886.4,Manhattan - 215 Park,12,,,,,,,,
