Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYCHUD901,0,2083.33,843.33,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,0,1351.016,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,1,1154.016,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,2,1154.016,573.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,3,1301.016,573.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,4,1301.016,710.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD001,5,1352.016,710.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD002,0,1154.016,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD002,1,1025.516,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD002,2,1025.516,574.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD002,3,1154.016,573.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD003,0,1025.516,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD003,1,776.5156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD003,2,776.5156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD003,3,1025.516,574.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD004,0,776.5156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD004,1,549.0156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD004,2,549.0156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD004,3,776.5156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD005,0,549.0156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD005,1,293.0156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD005,2,293.0156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD005,3,549.0156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD006,0,293.0156,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD006,1,33.01563,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD006,2,33.01563,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD006,3,293.0156,572.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD007,0,33.01563,816.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD007,1,33.01563,1070.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD007,2,216.0156,1070.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD007,3,216.0156,817.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD008,0,216.0156,1070.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD008,1,216.0156,1284.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD008,2,33.01563,1284.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD008,3,33.01563,1070.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD009,0,216.0156,1284.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD009,1,216.0156,1467.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD009,2,34.01563,1467.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD009,3,33.01563,1284.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD010,0,284.0156,1361.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD010,1,284.0156,1472.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD010,2,534.0156,1472.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD010,3,534.0156,1363.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD011,0,284.0156,1361.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD011,1,284.0156,1199.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD011,2,536.0156,1199.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD011,3,534.0156,1363.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD012,0,284.0156,1199.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD012,1,284.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD012,2,535.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD012,3,536.0156,1199.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD013,0,284.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD013,1,284.0156,883.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD013,2,534.0156,883.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD013,3,535.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD014,0,534.0156,883.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD014,1,726.0156,883.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD014,2,726.0156,989.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD014,3,535.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD015,0,726.0156,989.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD015,1,726.0156,1100.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD015,2,536.0156,1100.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD015,3,535.0156,990.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD016,0,726.0156,1100.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD016,1,726.0156,1212.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD016,2,536.0156,1212.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD016,3,536.0156,1100.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD017,0,726.0156,1212.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD017,1,726.0156,1362.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD017,2,534.0156,1363.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD017,3,536.0156,1212.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD018,0,726.0156,1362.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD018,1,726.0156,1474.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD018,2,534.0156,1472.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD018,3,534.0156,1363.5,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD019,0,792.0156,1479.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD019,1,1046.016,1479.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD019,2,1046.016,1360.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD019,3,793.0156,1360.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD020,0,793.0156,1360.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD020,1,793.0156,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD020,2,1046.016,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD020,3,1046.016,1360.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD021,0,793.0156,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD021,1,793.0156,1102.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD021,2,1048.016,1102.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD021,3,1046.016,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD022,0,793.0156,1102.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD022,1,793.0156,1001.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD022,2,1046.016,1001.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD022,3,1048.016,1102.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD023,0,793.0156,1001.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD023,1,793.0156,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD023,2,1047.016,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD023,3,1046.016,1001.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD024,0,1047.016,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD024,1,1172.516,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD024,2,1172.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD024,3,1046.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD025,0,1172.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD025,1,1296.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD025,2,1296.516,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD025,3,1175.516,882.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD026,0,1296.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD026,1,1296.516,1205.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD026,2,1046.016,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD026,3,1046.516,1041.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD027,0,1296.516,1205.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD027,1,1296.516,1309.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD027,2,1047.516,1309.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD027,3,1046.016,1208.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD028,0,1296.516,1309.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD028,1,1295.516,1481.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD028,2,1046.016,1479.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD028,3,1047.516,1309.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,0,1295.516,1481.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,1,1295.516,1582.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,2,1213.516,1582.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,3,1213.516,1635.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,4,1032.516,1635.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD029,5,1032.516,1482.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD030,0,1032.516,1635.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD030,1,791.5156,1635.0,Manhattan - 325 Hudson,,,,,,,,,
NYCHUD030,2,792.0156,1479.0,Manhattan - 325 Hudson,,,,,,,,,
