Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
LAXREY201,0,"2,410",1445.0,Marina Del Rey,201,,,,,,,,
LAXREY201,1,"2,410",1345.0,Marina Del Rey,201,,,,,,,,
LAXREY201,2,"2,220",1345.0,Marina Del Rey,201,,,,,,,,
LAXREY201,3,"2,220",1445.0,Marina Del Rey,201,,,,,,,,
LAXREY202,0,"2,410",1445.0,Marina Del Rey,202,,,,,,,,
LAXREY202,1,"2,410",1535.0,Marina Del Rey,202,,,,,,,,
LAXREY202,2,"2,220",1535.0,Marina Del Rey,202,,,,,,,,
LAXREY202,3,"2,220",1445.0,Marina Del Rey,202,,,,,,,,
LAXREY203,0,"2,160",1675.0,Marina Del Rey,203,,,,,,,,
LAXREY203,1,"2,160",1525.0,Marina Del Rey,203,,,,,,,,
LAXREY203,2,"1,980",1525.0,Marina Del Rey,203,,,,,,,,
LAXREY203,3,"1,980",1675.0,Marina Del Rey,203,,,,,,,,
LAXREY204,0,"2,410",1535.0,Marina Del Rey,204,,,,,,,,
LAXREY204,1,"2,410",1635.0,Marina Del Rey,204,,,,,,,,
LAXREY204,2,"2,220",1635.0,Marina Del Rey,204,,,,,,,,
LAXREY204,3,"2,220",1535.0,Marina Del Rey,204,,,,,,,,
LAXREY205,0,"2,410",1635.0,Marina Del Rey,205,,,,,,,,
LAXREY205,1,"2,410",1730.0,Marina Del Rey,205,,,,,,,,
LAXREY205,2,"2,220",1730.0,Marina Del Rey,205,,,,,,,,
LAXREY205,3,"2,220",1635.0,Marina Del Rey,205,,,,,,,,
LAXREY206,0,"2,410",1730.0,Marina Del Rey,206,,,,,,,,
LAXREY206,1,"2,410",1830.0,Marina Del Rey,206,,,,,,,,
LAXREY206,2,"2,220",1830.0,Marina Del Rey,206,,,,,,,,
LAXREY206,3,"2,220",1730.0,Marina Del Rey,206,,,,,,,,
LAXREY207,0,"2,160",1675.0,Marina Del Rey,207,,,,,,,,
LAXREY207,1,"2,160",1805.0,Marina Del Rey,207,,,,,,,,
LAXREY207,2,"1,980",1805.0,Marina Del Rey,207,,,,,,,,
LAXREY207,3,"1,980",1675.0,Marina Del Rey,207,,,,,,,,
LAXREY208,0,"2,160",1805.0,Marina Del Rey,208,,,,,,,,
LAXREY208,1,"2,160",2075.0,Marina Del Rey,208,,,,,,,,
LAXREY208,2,"1,940",2075.0,Marina Del Rey,208,,,,,,,,
LAXREY208,3,"1,940",1880.0,Marina Del Rey,208,,,,,,,,
LAXREY208,4,"1,980",1880.0,Marina Del Rey,208,,,,,,,,
LAXREY208,5,"1,980",1805.0,Marina Del Rey,208,,,,,,,,
LAXREY209,0,"2,160",2075.0,Marina Del Rey,209,,,,,,,,
LAXREY209,1,"2,275",2075.0,Marina Del Rey,209,,,,,,,,
LAXREY209,2,"2,275",1885.0,Marina Del Rey,209,,,,,,,,
LAXREY209,3,"2,160",1885.0,Marina Del Rey,209,,,,,,,,
LAXREY210,0,"2,780",2075.0,Marina Del Rey,210,,,,,,,,
LAXREY210,1,"2,780",1970.0,Marina Del Rey,210,,,,,,,,
LAXREY210,2,"2,665",1970.0,Marina Del Rey,210,,,,,,,,
LAXREY210,3,"2,665",2075.0,Marina Del Rey,210,,,,,,,,
LAXREY211,0,"2,780",1970.0,Marina Del Rey,211,,,,,,,,
LAXREY211,1,"2,780",1880.0,Marina Del Rey,211,,,,,,,,
LAXREY211,2,"2,665",1880.0,Marina Del Rey,211,,,,,,,,
LAXREY211,3,"2,665",1970.0,Marina Del Rey,211,,,,,,,,
LAXREY212,0,"2,410",1830.0,Marina Del Rey,212,,,,,,,,
LAXREY212,1,"2,610",1830.0,Marina Del Rey,212,,,,,,,,
LAXREY212,2,"2,610",1680.0,Marina Del Rey,212,,,,,,,,
LAXREY212,3,"2,410",1680.0,Marina Del Rey,212,,,,,,,,
LAXREY213,0,"2,665",1880.0,Marina Del Rey,213,,,,,,,,
LAXREY213,1,"2,665",1670.0,Marina Del Rey,213,,,,,,,,
LAXREY213,2,"2,820",1670.0,Marina Del Rey,213,,,,,,,,
LAXREY213,3,"2,820",1880.0,Marina Del Rey,213,,,,,,,,
LAXREY214,0,"2,610",1680.0,Marina Del Rey,214,,,,,,,,
LAXREY214,1,"2,610",1535.0,Marina Del Rey,214,,,,,,,,
LAXREY214,2,"2,410",1535.0,Marina Del Rey,214,,,,,,,,
LAXREY214,3,"2,410",1680.0,Marina Del Rey,214,,,,,,,,
LAXREY215,0,"2,820",1670.0,Marina Del Rey,215,,,,,,,,
LAXREY215,1,"2,820",1530.0,Marina Del Rey,215,,,,,,,,
LAXREY215,2,"2,665",1530.0,Marina Del Rey,215,,,,,,,,
LAXREY215,3,"2,665",1670.0,Marina Del Rey,215,,,,,,,,
