Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TYSINT901,0,1793.8,1356.2,McLean - 1660 International,,,,,,,,,
TYSINT001,0,1342.1,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT001,1,1227.7,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT001,2,1227.7,1551.1,McLean - 1660 International,,,,,,,,,
TYSINT001,3,1342.1,1551.1,McLean - 1660 International,,,,,,,,,
TYSINT002,1,1227.7,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT002,2,1130.7,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT002,3,1130.7,1551.1,McLean - 1660 International,,,,,,,,,
TYSINT002,0,1227.7,1551.1,McLean - 1660 International,,,,,,,,,
TYSINT003,1,1130.7,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT003,2,1035,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT003,3,1035,1552.0,McLean - 1660 International,,,,,,,,,
TYSINT003,0,1130.7,1551.1,McLean - 1660 International,,,,,,,,,
TYSINT004,1,1035,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT004,2,930.6,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT004,3,930.6,1552.0,McLean - 1660 International,,,,,,,,,
TYSINT004,4,1035,1552.0,McLean - 1660 International,,,,,,,,,
TYSINT004,0,1035,1413.9,McLean - 1660 International,,,,,,,,,
TYSINT005,1,1579.7,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT005,2,1351.9,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT005,3,1351.9,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT005,0,1580.9,1194.3,McLean - 1660 International,,,,,,,,,
TYSINT006,1,1351.9,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT006,2,1237.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT006,3,1237.8,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT006,0,1351.9,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT007,1,1237.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT007,2,1122.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT007,3,1122.8,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT007,0,1237.8,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT008,1,1122.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT008,2,1009.3,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT008,3,1010.2,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT008,0,1122.8,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT009,1,1009.3,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT009,2,864.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT009,3,864.8,1219.9,McLean - 1660 International,,,,,,,,,
TYSINT009,4,895,1194.3,McLean - 1660 International,,,,,,,,,
TYSINT009,0,1010.2,1195.2,McLean - 1660 International,,,,,,,,,
TYSINT010,1,864.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT010,2,651.9,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT010,3,651.9,1193.4,McLean - 1660 International,,,,,,,,,
TYSINT010,4,837.6,1193.4,McLean - 1660 International,,,,,,,,,
TYSINT010,5,864.8,1219.9,McLean - 1660 International,,,,,,,,,
TYSINT010,0,864.8,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT011,1,651.9,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT011,2,494.5,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT011,3,494.5,1194.3,McLean - 1660 International,,,,,,,,,
TYSINT011,4,651.9,1193.4,McLean - 1660 International,,,,,,,,,
TYSINT011,0,651.9,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT012,1,494.5,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT012,2,365.5,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT012,3,365.5,1193.4,McLean - 1660 International,,,,,,,,,
TYSINT012,4,494.5,1194.3,McLean - 1660 International,,,,,,,,,
TYSINT012,0,494.5,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT013,1,365.5,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT013,2,324.3,1365.4,McLean - 1660 International,,,,,,,,,
TYSINT013,3,260.3,1424.9,McLean - 1660 International,,,,,,,,,
TYSINT013,4,91,1424.9,McLean - 1660 International,,,,,,,,,
TYSINT013,5,91,1368.1,McLean - 1660 International,,,,,,,,,
TYSINT013,6,160.5,1301.3,McLean - 1660 International,,,,,,,,,
TYSINT013,7,192.5,1301.3,McLean - 1660 International,,,,,,,,,
TYSINT013,8,199,1293.1,McLean - 1660 International,,,,,,,,,
TYSINT013,9,199,1256.5,McLean - 1660 International,,,,,,,,,
TYSINT013,10,265.7,1192.4,McLean - 1660 International,,,,,,,,,
TYSINT013,0,365.5,1193.4,McLean - 1660 International,,,,,,,,,
TYSINT014,1,263,1424.9,McLean - 1660 International,,,,,,,,,
TYSINT014,2,263,1526.4,McLean - 1660 International,,,,,,,,,
TYSINT014,3,90.1,1526.4,McLean - 1660 International,,,,,,,,,
TYSINT014,0,91,1424.9,McLean - 1660 International,,,,,,,,,
TYSINT015,1,263,1526.4,McLean - 1660 International,,,,,,,,,
TYSINT015,2,263.9,1641.7,McLean - 1660 International,,,,,,,,,
TYSINT015,3,90.1,1641.7,McLean - 1660 International,,,,,,,,,
TYSINT015,0,90.1,1526.4,McLean - 1660 International,,,,,,,,,
TYSINT016,1,263.9,1641.7,McLean - 1660 International,,,,,,,,,
TYSINT016,2,263.9,1871.4,McLean - 1660 International,,,,,,,,,
TYSINT016,3,90.1,1871.4,McLean - 1660 International,,,,,,,,,
TYSINT016,4,90.1,1641.7,McLean - 1660 International,,,,,,,,,
TYSINT016,0,263.9,1641.7,McLean - 1660 International,,,,,,,,,
TYSINT017,1,263.9,1871.4,McLean - 1660 International,,,,,,,,,
TYSINT017,2,263.9,1928.4,McLean - 1660 International,,,,,,,,,
TYSINT017,3,316.1,1981.5,McLean - 1660 International,,,,,,,,,
TYSINT017,4,197.1,2097.7,McLean - 1660 International,,,,,,,,,
TYSINT017,5,158.7,2097.7,McLean - 1660 International,,,,,,,,,
TYSINT017,6,91,2030.9,McLean - 1660 International,,,,,,,,,
TYSINT017,0,90.1,1871.4,McLean - 1660 International,,,,,,,,,
TYSINT018,1,482.6,1984.2,McLean - 1660 International,,,,,,,,,
TYSINT018,2,387.4,1984.2,McLean - 1660 International,,,,,,,,,
TYSINT018,3,309.7,1910.1,McLean - 1660 International,,,,,,,,,
TYSINT018,4,309.7,1870.8,McLean - 1660 International,,,,,,,,,
TYSINT018,5,481.7,1870.8,McLean - 1660 International,,,,,,,,,
TYSINT018,0,482.6,1984.2,McLean - 1660 International,,,,,,,,,
TYSINT019,1,309.7,1870.8,McLean - 1660 International,,,,,,,,,
TYSINT019,2,309.7,1783.2,McLean - 1660 International,,,,,,,,,
TYSINT019,3,425.9,1783.2,McLean - 1660 International,,,,,,,,,
TYSINT019,4,425,1870.1,McLean - 1660 International,,,,,,,,,
TYSINT019,0,309.7,1870.8,McLean - 1660 International,,,,,,,,,
TYSINT020,1,309.7,1783.2,McLean - 1660 International,,,,,,,,,
TYSINT020,2,309.7,1658.8,McLean - 1660 International,,,,,,,,,
