Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DMVMET901,0,"1,570",225.0,Met Square Renumber,901,,,,,,,,
DMVMET901,1,"1,570",20.0,Met Square Renumber,901,,,,,,,,
DMVMET901,2,870,20.0,Met Square Renumber,901,,,,,,,,
DMVMET901,3,875,465.0,Met Square Renumber,901,,,,,,,,
DMVMET901,4,985,465.0,Met Square Renumber,901,,,,,,,,
DMVMET901,5,985,310.0,Met Square Renumber,901,,,,,,,,
DMVMET901,6,"1,390",310.0,Met Square Renumber,901,,,,,,,,
DMVMET901,7,"1,390",225.0,Met Square Renumber,901,,,,,,,,
DMVMET902,0,870,210.0,Met Square Renumber,902,,,,,,,,
DMVMET902,1,410,210.0,Met Square Renumber,902,,,,,,,,
DMVMET902,2,410,560.0,Met Square Renumber,902,,,,,,,,
DMVMET902,3,645,560.0,Met Square Renumber,902,,,,,,,,
DMVMET902,4,645,465.0,Met Square Renumber,902,,,,,,,,
DMVMET902,5,875,465.0,Met Square Renumber,902,,,,,,,,
DMVMET903,0,330,1015.0,Met Square Renumber,903,,,,,,,,
DMVMET903,1,445,1015.0,Met Square Renumber,903,,,,,,,,
DMVMET903,2,445,885.0,Met Square Renumber,903,,,,,,,,
DMVMET903,3,330,885.0,Met Square Renumber,903,,,,,,,,
DMVMET904,0,330,1015.0,Met Square Renumber,904,,,,,,,,
DMVMET904,1,330,1125.0,Met Square Renumber,904,,,,,,,,
DMVMET904,2,445,1125.0,Met Square Renumber,904,,,,,,,,
DMVMET904,3,445,1015.0,Met Square Renumber,904,,,,,,,,
DMVMET905,0,330,1125.0,Met Square Renumber,905,,,,,,,,
DMVMET905,1,330,1240.0,Met Square Renumber,905,,,,,,,,
DMVMET905,2,445,1240.0,Met Square Renumber,905,,,,,,,,
DMVMET905,3,445,1125.0,Met Square Renumber,905,,,,,,,,
DMVMET906,0,490,1125.0,Met Square Renumber,906,,,,,,,,
DMVMET906,1,490,1240.0,Met Square Renumber,906,,,,,,,,
DMVMET906,2,560,1240.0,Met Square Renumber,906,,,,,,,,
DMVMET906,3,560,1125.0,Met Square Renumber,906,,,,,,,,
DMVMET907,0,330,1240.0,Met Square Renumber,907,,,,,,,,
DMVMET907,1,330,1355.0,Met Square Renumber,907,,,,,,,,
DMVMET907,2,445,1355.0,Met Square Renumber,907,,,,,,,,
DMVMET907,3,445,1240.0,Met Square Renumber,907,,,,,,,,
DMVMET908,0,490,1240.0,Met Square Renumber,908,,,,,,,,
DMVMET908,1,490,1350.0,Met Square Renumber,908,,,,,,,,
DMVMET908,2,560,1350.0,Met Square Renumber,908,,,,,,,,
DMVMET908,3,560,1240.0,Met Square Renumber,908,,,,,,,,
DMVMET909,0,330,1355.0,Met Square Renumber,909,,,,,,,,
DMVMET909,1,330,1470.0,Met Square Renumber,909,,,,,,,,
DMVMET909,2,445,1470.0,Met Square Renumber,909,,,,,,,,
DMVMET909,3,445,1355.0,Met Square Renumber,909,,,,,,,,
DMVMET910,0,490,1350.0,Met Square Renumber,910,,,,,,,,
DMVMET910,1,490,1465.0,Met Square Renumber,910,,,,,,,,
DMVMET910,2,560,1465.0,Met Square Renumber,910,,,,,,,,
DMVMET910,3,560,1350.0,Met Square Renumber,910,,,,,,,,
DMVMET911,0,330,1470.0,Met Square Renumber,911,,,,,,,,
DMVMET911,1,330,1585.0,Met Square Renumber,911,,,,,,,,
DMVMET911,2,445,1585.0,Met Square Renumber,911,,,,,,,,
DMVMET911,3,445,1470.0,Met Square Renumber,911,,,,,,,,
DMVMET912,0,490,1465.0,Met Square Renumber,912,,,,,,,,
DMVMET912,1,490,1575.0,Met Square Renumber,912,,,,,,,,
DMVMET912,2,560,1575.0,Met Square Renumber,912,,,,,,,,
DMVMET912,3,560,1465.0,Met Square Renumber,912,,,,,,,,
DMVMET913,0,330,1585.0,Met Square Renumber,913,,,,,,,,
DMVMET913,1,330,1705.0,Met Square Renumber,913,,,,,,,,
DMVMET913,2,445,1705.0,Met Square Renumber,913,,,,,,,,
DMVMET913,3,445,1585.0,Met Square Renumber,913,,,,,,,,
DMVMET914,0,490,1575.0,Met Square Renumber,914,,,,,,,,
DMVMET914,1,490,1690.0,Met Square Renumber,914,,,,,,,,
DMVMET914,2,560,1690.0,Met Square Renumber,914,,,,,,,,
DMVMET914,3,560,1575.0,Met Square Renumber,914,,,,,,,,
DMVMET915,0,330,1705.0,Met Square Renumber,915,,,,,,,,
DMVMET915,1,330,1815.0,Met Square Renumber,915,,,,,,,,
DMVMET915,2,445,1815.0,Met Square Renumber,915,,,,,,,,
DMVMET915,3,445,1705.0,Met Square Renumber,915,,,,,,,,
DMVMET916,0,490,1690.0,Met Square Renumber,916,,,,,,,,
DMVMET916,1,490,1800.0,Met Square Renumber,916,,,,,,,,
DMVMET916,2,560,1800.0,Met Square Renumber,916,,,,,,,,
DMVMET916,3,560,1690.0,Met Square Renumber,916,,,,,,,,
DMVMET917,0,330,1815.0,Met Square Renumber,917,,,,,,,,
DMVMET917,1,330,1930.0,Met Square Renumber,917,,,,,,,,
DMVMET917,2,445,1930.0,Met Square Renumber,917,,,,,,,,
DMVMET917,3,445,1815.0,Met Square Renumber,917,,,,,,,,
DMVMET918,0,490,1800.0,Met Square Renumber,918,,,,,,,,
DMVMET918,1,490,1915.0,Met Square Renumber,918,,,,,,,,
DMVMET918,2,560,1915.0,Met Square Renumber,918,,,,,,,,
DMVMET918,3,560,1800.0,Met Square Renumber,918,,,,,,,,
DMVMET919,0,330,1930.0,Met Square Renumber,919,,,,,,,,
DMVMET919,1,330,2040.0,Met Square Renumber,919,,,,,,,,
DMVMET919,2,445,2040.0,Met Square Renumber,919,,,,,,,,
DMVMET919,3,445,1930.0,Met Square Renumber,919,,,,,,,,
DMVMET920,0,490,1915.0,Met Square Renumber,920,,,,,,,,
DMVMET920,1,490,2030.0,Met Square Renumber,920,,,,,,,,
DMVMET920,2,560,2030.0,Met Square Renumber,920,,,,,,,,
DMVMET920,3,560,1915.0,Met Square Renumber,920,,,,,,,,
DMVMET921,0,330,2040.0,Met Square Renumber,921,,,,,,,,
DMVMET921,1,330,2150.0,Met Square Renumber,921,,,,,,,,
DMVMET921,2,445,2150.0,Met Square Renumber,921,,,,,,,,
DMVMET921,3,445,2040.0,Met Square Renumber,921,,,,,,,,
DMVMET922,0,490,2030.0,Met Square Renumber,922,,,,,,,,
DMVMET922,1,490,2135.0,Met Square Renumber,922,,,,,,,,
DMVMET922,2,560,2135.0,Met Square Renumber,922,,,,,,,,
DMVMET922,3,560,2030.0,Met Square Renumber,922,,,,,,,,
DMVMET923,0,425,2265.0,Met Square Renumber,923,,,,,,,,
DMVMET923,1,425,2520.0,Met Square Renumber,923,,,,,,,,
DMVMET923,2,610,2520.0,Met Square Renumber,923,,,,,,,,
DMVMET923,3,610,2265.0,Met Square Renumber,923,,,,,,,,
DMVMET924,0,985,2365.0,Met Square Renumber,924,,,,,,,,
DMVMET924,1,985,2425.0,Met Square Renumber,924,,,,,,,,
DMVMET924,2,"1,090",2425.0,Met Square Renumber,924,,,,,,,,
DMVMET924,3,"1,090",2365.0,Met Square Renumber,924,,,,,,,,
DMVMET925,0,985,2425.0,Met Square Renumber,925,,,,,,,,
DMVMET925,1,985,2265.0,Met Square Renumber,925,,,,,,,,
DMVMET925,2,870,2265.0,Met Square Renumber,925,,,,,,,,
DMVMET925,3,870,2425.0,Met Square Renumber,925,,,,,,,,
DMVMET926,0,"1,090",2365.0,Met Square Renumber,926,,,,,,,,
DMVMET926,1,"1,090",2265.0,Met Square Renumber,926,,,,,,,,
DMVMET926,2,985,2265.0,Met Square Renumber,926,,,,,,,,
DMVMET926,3,985,2365.0,Met Square Renumber,926,,,,,,,,
DMVMET927,0,"1,675",2025.0,Met Square Renumber,927,,,,,,,,
DMVMET927,1,"1,675",2220.0,Met Square Renumber,927,,,,,,,,
DMVMET927,2,"1,790",2220.0,Met Square Renumber,927,,,,,,,,
DMVMET927,3,"1,790",2025.0,Met Square Renumber,927,,,,,,,,
DMVMET928,0,"1,675",2025.0,Met Square Renumber,928,,,,,,,,
DMVMET928,1,"1,565",2025.0,Met Square Renumber,928,,,,,,,,
DMVMET928,2,"1,565",2220.0,Met Square Renumber,928,,,,,,,,
DMVMET928,3,"1,675",2220.0,Met Square Renumber,928,,,,,,,,
DMVMET929,0,"1,565",2025.0,Met Square Renumber,929,,,,,,,,
DMVMET929,1,"1,450",2025.0,Met Square Renumber,929,,,,,,,,
DMVMET929,2,"1,450",2220.0,Met Square Renumber,929,,,,,,,,
DMVMET929,3,"1,565",2220.0,Met Square Renumber,929,,,,,,,,
DMVMET930,0,"1,450",2025.0,Met Square Renumber,930,,,,,,,,
DMVMET930,1,"1,335",2025.0,Met Square Renumber,930,,,,,,,,
DMVMET930,2,"1,335",2220.0,Met Square Renumber,930,,,,,,,,
DMVMET930,3,"1,450",2220.0,Met Square Renumber,930,,,,,,,,
DMVMET931,0,"1,335",2025.0,Met Square Renumber,931,,,,,,,,
DMVMET931,1,"1,220",2025.0,Met Square Renumber,931,,,,,,,,
DMVMET931,2,"1,220",2220.0,Met Square Renumber,931,,,,,,,,
DMVMET931,3,"1,335",2220.0,Met Square Renumber,931,,,,,,,,
DMVMET932,0,"1,220",2025.0,Met Square Renumber,932,,,,,,,,
DMVMET932,1,"1,105",2025.0,Met Square Renumber,932,,,,,,,,
DMVMET932,2,"1,105",2220.0,Met Square Renumber,932,,,,,,,,
DMVMET932,3,"1,220",2220.0,Met Square Renumber,932,,,,,,,,
DMVMET933,0,"1,105",2025.0,Met Square Renumber,933,,,,,,,,
DMVMET933,1,990,2025.0,Met Square Renumber,933,,,,,,,,
DMVMET933,2,990,2220.0,Met Square Renumber,933,,,,,,,,
DMVMET933,3,"1,105",2220.0,Met Square Renumber,933,,,,,,,,
DMVMET934,0,990,2025.0,Met Square Renumber,934,,,,,,,,
DMVMET934,1,900,2025.0,Met Square Renumber,934,,,,,,,,
DMVMET934,2,880,2045.0,Met Square Renumber,934,,,,,,,,
DMVMET934,3,880,2220.0,Met Square Renumber,934,,,,,,,,
DMVMET934,4,990,2220.0,Met Square Renumber,934,,,,,,,,
DMVMET935,0,490,2135.0,Met Square Renumber,935,,,,,,,,
DMVMET935,1,490,2220.0,Met Square Renumber,935,,,,,,,,
DMVMET935,2,660,2220.0,Met Square Renumber,935,,,,,,,,
DMVMET935,3,660,2135.0,Met Square Renumber,935,,,,,,,,
DMVMET936,0,880,2045.0,Met Square Renumber,936,,,,,,,,
DMVMET936,1,715,2045.0,Met Square Renumber,936,,,,,,,,
DMVMET936,2,715,2220.0,Met Square Renumber,936,,,,,,,,
DMVMET936,3,880,2220.0,Met Square Renumber,936,,,,,,,,
DMVMET937,0,660,2135.0,Met Square Renumber,937,,,,,,,,
DMVMET937,1,660,2030.0,Met Square Renumber,937,,,,,,,,
DMVMET937,2,560,2030.0,Met Square Renumber,937,,,,,,,,
DMVMET937,3,560,2135.0,Met Square Renumber,937,,,,,,,,
DMVMET938,0,900,2025.0,Met Square Renumber,938,,,,,,,,
DMVMET938,1,900,1930.0,Met Square Renumber,938,,,,,,,,
DMVMET938,2,715,1930.0,Met Square Renumber,938,,,,,,,,
DMVMET938,3,715,2045.0,Met Square Renumber,938,,,,,,,,
DMVMET938,4,880,2045.0,Met Square Renumber,938,,,,,,,,
DMVMET939,0,660,2030.0,Met Square Renumber,939,,,,,,,,
DMVMET939,1,660,1915.0,Met Square Renumber,939,,,,,,,,
DMVMET939,2,560,1915.0,Met Square Renumber,939,,,,,,,,
DMVMET939,3,560,2030.0,Met Square Renumber,939,,,,,,,,
DMVMET940,0,900,1930.0,Met Square Renumber,940,,,,,,,,
DMVMET940,1,900,1820.0,Met Square Renumber,940,,,,,,,,
DMVMET940,2,715,1820.0,Met Square Renumber,940,,,,,,,,
DMVMET940,3,715,1930.0,Met Square Renumber,940,,,,,,,,
DMVMET941,0,660,1915.0,Met Square Renumber,941,,,,,,,,
DMVMET941,1,660,1800.0,Met Square Renumber,941,,,,,,,,
DMVMET941,2,560,1800.0,Met Square Renumber,941,,,,,,,,
DMVMET941,3,560,1915.0,Met Square Renumber,941,,,,,,,,
DMVMET942,0,900,1820.0,Met Square Renumber,942,,,,,,,,
DMVMET942,1,900,1705.0,Met Square Renumber,942,,,,,,,,
DMVMET942,2,715,1705.0,Met Square Renumber,942,,,,,,,,
DMVMET942,3,715,1820.0,Met Square Renumber,942,,,,,,,,
DMVMET943,0,660,1800.0,Met Square Renumber,943,,,,,,,,
DMVMET943,1,660,1690.0,Met Square Renumber,943,,,,,,,,
DMVMET943,2,560,1690.0,Met Square Renumber,943,,,,,,,,
DMVMET943,3,560,1800.0,Met Square Renumber,943,,,,,,,,
DMVMET944,0,900,1705.0,Met Square Renumber,944,,,,,,,,
DMVMET944,1,900,1595.0,Met Square Renumber,944,,,,,,,,
DMVMET944,2,715,1595.0,Met Square Renumber,944,,,,,,,,
DMVMET944,3,715,1705.0,Met Square Renumber,944,,,,,,,,
DMVMET945,0,660,1690.0,Met Square Renumber,945,,,,,,,,
DMVMET945,1,660,1575.0,Met Square Renumber,945,,,,,,,,
DMVMET945,2,560,1575.0,Met Square Renumber,945,,,,,,,,
DMVMET945,3,560,1690.0,Met Square Renumber,945,,,,,,,,
DMVMET946,0,900,1595.0,Met Square Renumber,946,,,,,,,,
DMVMET946,1,900,1480.0,Met Square Renumber,946,,,,,,,,
DMVMET946,2,715,1480.0,Met Square Renumber,946,,,,,,,,
DMVMET946,3,715,1595.0,Met Square Renumber,946,,,,,,,,
DMVMET947,0,660,1575.0,Met Square Renumber,947,,,,,,,,
DMVMET947,1,660,1465.0,Met Square Renumber,947,,,,,,,,
DMVMET947,2,560,1465.0,Met Square Renumber,947,,,,,,,,
DMVMET947,3,560,1575.0,Met Square Renumber,947,,,,,,,,
DMVMET948,0,900,1480.0,Met Square Renumber,948,,,,,,,,
DMVMET948,1,900,1365.0,Met Square Renumber,948,,,,,,,,
DMVMET948,2,715,1365.0,Met Square Renumber,948,,,,,,,,
DMVMET948,3,715,1480.0,Met Square Renumber,948,,,,,,,,
DMVMET949,0,660,1465.0,Met Square Renumber,949,,,,,,,,
