Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MIAWYN901,0,1763,1691.0,Miami - 280 NW 28th,2.S10,,,,,,,,
MIAWYN901,1,1763,1586.0,Miami - 280 NW 28th,2.S10,,,,,,,,
MIAWYN901,2,1603,1586.0,Miami - 280 NW 28th,2.S11,,,,,,,,
MIAWYN901,3,1603,1691.0,Miami - 280 NW 28th,2.S11,,,,,,,,
MIAWYN902,0,1603,1691.0,Miami - 280 NW 28th,2.S11,,,,,,,,
MIAWYN902,1,1603,1586.0,Miami - 280 NW 28th,2.S11,,,,,,,,
MIAWYN902,2,1440,1586.0,Miami - 280 NW 28th,2A,,,,,,,,
MIAWYN902,3,1440,1691.0,Miami - 280 NW 28th,2A,,,,,,,,
MIAWYN903,0,1440,1691.0,Miami - 280 NW 28th,2A,,,,,,,,
MIAWYN903,1,1440,1586.0,Miami - 280 NW 28th,2A,,,,,,,,
MIAWYN903,2,1357,1587.0,Miami - 280 NW 28th,2A,,,,,,,,
MIAWYN903,3,1359,1689.0,Miami - 280 NW 28th,2B,,,,,,,,
MIAWYN904,0,1359,1689.0,Miami - 280 NW 28th,2B,,,,,,,,
MIAWYN904,1,1357,1587.0,Miami - 280 NW 28th,2B,,,,,,,,
MIAWYN904,2,1278,1587.0,Miami - 280 NW 28th,2B,,,,,,,,
MIAWYN904,3,1279,1690.0,Miami - 280 NW 28th,2C,,,,,,,,
MIAWYN905,0,1155,1585.0,Miami - 280 NW 28th,2C,,,,,,,,
MIAWYN905,1,1235,1585.0,Miami - 280 NW 28th,2C,,,,,,,,
MIAWYN905,2,1235,1706.0,Miami - 280 NW 28th,2C,,,,,,,,
MIAWYN905,3,1155,1706.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,0,1155,1706.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,1,1235,1706.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,2,1235,1727.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,3,1268,1727.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,4,1268,1828.0,Miami - 280 NW 28th,2D,,,,,,,,
MIAWYN906,5,1154,1828.0,Miami - 280 NW 28th,4A,,,,,,,,
MIAWYN907,0,1389,1726.0,Miami - 280 NW 28th,4A,,,,,,,,
MIAWYN907,1,1478,1726.0,Miami - 280 NW 28th,4A,,,,,,,,
MIAWYN907,2,1478,1827.0,Miami - 280 NW 28th,4A,,,,,,,,
MIAWYN907,3,1389,1827.0,Miami - 280 NW 28th,4B,,,,,,,,
MIAWYN908,0,1478,1726.0,Miami - 280 NW 28th,4B,,,,,,,,
MIAWYN908,1,1567,1726.0,Miami - 280 NW 28th,4B,,,,,,,,
MIAWYN908,2,1567,1912.0,Miami - 280 NW 28th,4B,,,,,,,,
MIAWYN908,3,1479,1912.0,Miami - 280 NW 28th,6A,,,,,,,,
MIAWYN909,0,1603,1727.0,Miami - 280 NW 28th,6A,,,,,,,,
MIAWYN909,1,1684,1727.0,Miami - 280 NW 28th,6A,,,,,,,,
MIAWYN909,2,1684,1814.0,Miami - 280 NW 28th,6A,,,,,,,,
MIAWYN909,3,1603,1814.0,Miami - 280 NW 28th,6B,,,,,,,,
MIAWYN910,0,1684,1727.0,Miami - 280 NW 28th,6B,,,,,,,,
MIAWYN910,1,1763,1727.0,Miami - 280 NW 28th,6B,,,,,,,,
MIAWYN910,2,1763,1814.0,Miami - 280 NW 28th,6B,,,,,,,,
MIAWYN910,3,1684,1814.0,Miami - 280 NW 28th,7A,,,,,,,,
MIAWYN911,0,1763,1814.0,Miami - 280 NW 28th,7A,,,,,,,,
MIAWYN911,1,1763,1878.0,Miami - 280 NW 28th,7A,,,,,,,,
MIAWYN911,2,1712,1878.0,Miami - 280 NW 28th,7A,,,,,,,,
MIAWYN911,3,1712,1815.0,Miami - 280 NW 28th,7B,,,,,,,,
MIAWYN912,0,1712,1815.0,Miami - 280 NW 28th,7B,,,,,,,,
MIAWYN912,1,1712,1878.0,Miami - 280 NW 28th,7B,,,,,,,,
MIAWYN912,2,1659,1878.0,Miami - 280 NW 28th,7B,,,,,,,,
MIAWYN912,3,1659,1815.0,Miami - 280 NW 28th,7C,,,,,,,,
MIAWYN913,0,1603,1814.0,Miami - 280 NW 28th,7C,,,,,,,,
MIAWYN913,1,1659,1815.0,Miami - 280 NW 28th,7C,,,,,,,,
MIAWYN913,2,1659,1878.0,Miami - 280 NW 28th,7C,,,,,,,,
MIAWYN913,3,1603,1878.0,Miami - 280 NW 28th,7D,,,,,,,,
MIAWYN914,0,1389,1827.0,Miami - 280 NW 28th,7D,,,,,,,,
MIAWYN914,1,1478,1827.0,Miami - 280 NW 28th,7D,,,,,,,,
MIAWYN914,2,1479,1912.0,Miami - 280 NW 28th,7D,,,,,,,,
MIAWYN914,3,1391,1912.0,Miami - 280 NW 28th,7E,,,,,,,,
MIAWYN915,0,1389,1827.0,Miami - 280 NW 28th,7E,,,,,,,,
MIAWYN915,1,1391,1912.0,Miami - 280 NW 28th,7E,,,,,,,,
MIAWYN915,2,1303,1912.0,Miami - 280 NW 28th,7E,,,,,,,,
MIAWYN915,3,1303,1828.0,Miami - 280 NW 28th,7F,,,,,,,,
MIAWYN916,0,1154,1828.0,Miami - 280 NW 28th,7F,,,,,,,,
MIAWYN916,1,1268,1828.0,Miami - 280 NW 28th,7F,,,,,,,,
MIAWYN916,2,1268,1950.0,Miami - 280 NW 28th,7F,,,,,,,,
MIAWYN916,3,1155,1950.0,Miami - 280 NW 28th,7G,,,,,,,,
MIAWYN917,0,1155,1950.0,Miami - 280 NW 28th,7G,,,,,,,,
MIAWYN917,1,1268,1950.0,Miami - 280 NW 28th,7G,,,,,,,,
MIAWYN917,2,1268,2072.0,Miami - 280 NW 28th,7G,,,,,,,,
MIAWYN917,3,1155,2072.0,Miami - 280 NW 28th,8A,,,,,,,,
MIAWYN918,0,1303,1969.0,Miami - 280 NW 28th,8A,,,,,,,,
MIAWYN918,1,1430,1969.0,Miami - 280 NW 28th,8A,,,,,,,,
MIAWYN918,2,1430,2059.0,Miami - 280 NW 28th,8A,,,,,,,,
MIAWYN918,3,1303,2059.0,Miami - 280 NW 28th,8B,,,,,,,,
MIAWYN919,0,1303,2059.0,Miami - 280 NW 28th,8B,,,,,,,,
MIAWYN919,1,1430,2059.0,Miami - 280 NW 28th,8B,,,,,,,,
MIAWYN919,2,1430,2132.0,Miami - 280 NW 28th,8B,,,,,,,,
MIAWYN919,3,1304,2132.0,Miami - 280 NW 28th,8C,,,,,,,,
MIAWYN920,0,1762,2169.0,Miami - 280 NW 28th,8C,,,,,,,,
MIAWYN920,1,1682,2169.0,Miami - 280 NW 28th,8C,,,,,,,,
MIAWYN920,2,1682,2229.0,Miami - 280 NW 28th,8C,,,,,,,,
MIAWYN920,3,1761,2229.0,Miami - 280 NW 28th,8D,,,,,,,,
MIAWYN921,0,1682,2169.0,Miami - 280 NW 28th,8D,,,,,,,,
MIAWYN921,1,1682,2229.0,Miami - 280 NW 28th,8D,,,,,,,,
MIAWYN921,2,1602,2229.0,Miami - 280 NW 28th,8D,,,,,,,,
MIAWYN921,3,1602,2169.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN922,0,1566,2169.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN922,1,1566,2228.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN922,2,1487,2228.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN922,3,1488,2169.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN923,0,1488,2169.0,Miami - 280 NW 28th,8E,,,,,,,,
MIAWYN923,1,1487,2228.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN923,2,1408,2228.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN923,3,1408,2170.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN924,0,1153,2154.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN924,1,1267,2154.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN924,2,1267,2275.0,Miami - 280 NW 28th,8F,,,,,,,,
MIAWYN924,3,1153,2275.0,Miami - 280 NW 28th,8G,,,,,,,,
MIAWYN925,0,1153,2275.0,Miami - 280 NW 28th,8G,,,,,,,,
MIAWYN925,1,1267,2275.0,Miami - 280 NW 28th,8G,,,,,,,,
MIAWYN925,2,1267,2325.0,Miami - 280 NW 28th,8G,,,,,,,,
MIAWYN925,3,1277,2325.0,Miami - 280 NW 28th,8G,,,,,,,,
MIAWYN925,4,1277,2439.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN925,5,1154,2439.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN926,0,1277,2325.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN926,1,1277,2439.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN926,2,1440,2439.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN926,3,1440,2326.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN927,0,1440,2439.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN927,1,1440,2326.0,Miami - 280 NW 28th,11A,,,,,,,,
MIAWYN927,2,1601,2326.0,Miami - 280 NW 28th,11B,,,,,,,,
MIAWYN927,3,1601,2439.0,Miami - 280 NW 28th,11B,,,,,,,,
MIAWYN928,0,1602,2439.0,Miami - 280 NW 28th,11B,,,,,,,,
MIAWYN928,1,1601,2326.0,Miami - 280 NW 28th,11B,,,,,,,,
MIAWYN928,2,1724,2326.0,Miami - 280 NW 28th,12A,,,,,,,,
MIAWYN928,3,1724,2441.0,Miami - 280 NW 28th,12A,,,,,,,,
MIAWYN929,0,1724,2441.0,Miami - 280 NW 28th,12A,,,,,,,,
MIAWYN929,1,1724,2326.0,Miami - 280 NW 28th,12A,,,,,,,,
MIAWYN929,2,1843,2326.0,Miami - 280 NW 28th,12B,,,,,,,,
MIAWYN929,3,1843,2440.0,Miami - 280 NW 28th,12B,,,,,,,,
MIAWYN930,0,1409,2288.0,Miami - 280 NW 28th,12B,,,,,,,,
MIAWYN930,1,1408,2228.0,Miami - 280 NW 28th,12B,,,,,,,,
MIAWYN930,2,1487,2228.0,Miami - 280 NW 28th,12C,,,,,,,,
MIAWYN930,3,1487,2288.0,Miami - 280 NW 28th,12C,,,,,,,,
MIAWYN931,0,1487,2288.0,Miami - 280 NW 28th,12C,,,,,,,,
MIAWYN931,1,1567,2288.0,Miami - 280 NW 28th,12C,,,,,,,,
MIAWYN931,2,1566,2228.0,Miami - 280 NW 28th,12D,,,,,,,,
MIAWYN931,3,1487,2228.0,Miami - 280 NW 28th,12D,,,,,,,,
MIAWYN932,0,1602,2229.0,Miami - 280 NW 28th,12D,,,,,,,,
MIAWYN932,1,1682,2229.0,Miami - 280 NW 28th,12D,,,,,,,,
MIAWYN932,2,1682,2288.0,Miami - 280 NW 28th,12E,,,,,,,,
MIAWYN932,3,1603,2288.0,Miami - 280 NW 28th,12E,,,,,,,,
MIAWYN933,0,1682,2288.0,Miami - 280 NW 28th,12E,,,,,,,,
MIAWYN933,1,1682,2229.0,Miami - 280 NW 28th,12E,,,,,,,,
MIAWYN933,2,1761,2229.0,Miami - 280 NW 28th,12F,,,,,,,,
MIAWYN933,3,1761,2289.0,Miami - 280 NW 28th,12F,,,,,,,,
MIAWYN934,0,1761,2289.0,Miami - 280 NW 28th,12F,,,,,,,,
MIAWYN934,1,1761,2229.0,Miami - 280 NW 28th,12F,,,,,,,,
MIAWYN934,2,1842,2229.0,Miami - 280 NW 28th,12G,,,,,,,,
MIAWYN934,3,1842,2288.0,Miami - 280 NW 28th,12G,,,,,,,,
MIAWYN935,0,1842,2288.0,Miami - 280 NW 28th,12G,,,,,,,,
MIAWYN935,1,1947,2288.0,Miami - 280 NW 28th,12G,,,,,,,,
MIAWYN935,2,1947,2202.0,Miami - 280 NW 28th,13A,,,,,,,,
MIAWYN935,3,1843,2202.0,Miami - 280 NW 28th,13A,,,,,,,,
MIAWYN936,0,1843,2326.0,Miami - 280 NW 28th,13A,,,,,,,,
MIAWYN936,1,1843,2440.0,Miami - 280 NW 28th,13A,,,,,,,,
MIAWYN936,2,1964,2440.0,Miami - 280 NW 28th,13B,,,,,,,,
MIAWYN936,3,1964,2325.0,Miami - 280 NW 28th,13B,,,,,,,,
MIAWYN937,0,1964,2325.0,Miami - 280 NW 28th,13B,,,,,,,,
MIAWYN937,1,1964,2440.0,Miami - 280 NW 28th,13B,,,,,,,,
MIAWYN937,2,2087,2440.0,Miami - 280 NW 28th,13C,,,,,,,,
MIAWYN937,3,2087,2324.0,Miami - 280 NW 28th,13C,,,,,,,,
MIAWYN938,0,2087,2324.0,Miami - 280 NW 28th,13C,,,,,,,,
MIAWYN938,1,2087,2440.0,Miami - 280 NW 28th,13C,,,,,,,,
MIAWYN938,2,2208,2440.0,Miami - 280 NW 28th,13D,,,,,,,,
MIAWYN938,3,2208,2324.0,Miami - 280 NW 28th,13D,,,,,,,,
MIAWYN939,0,2208,2324.0,Miami - 280 NW 28th,13D,,,,,,,,
MIAWYN939,1,2208,2440.0,Miami - 280 NW 28th,13D,,,,,,,,
MIAWYN939,2,2289,2440.0,Miami - 280 NW 28th,13E,,,,,,,,
MIAWYN939,3,2289,2324.0,Miami - 280 NW 28th,13E,,,,,,,,
MIAWYN940,0,2289,2440.0,Miami - 280 NW 28th,13E,,,,,,,,
MIAWYN940,1,2370,2440.0,Miami - 280 NW 28th,13E,,,,,,,,
MIAWYN940,2,2370,2325.0,Miami - 280 NW 28th,13F,,,,,,,,
MIAWYN940,3,2289,2324.0,Miami - 280 NW 28th,13F,,,,,,,,
MIAWYN941,0,2028,2288.0,Miami - 280 NW 28th,13F,,,,,,,,
MIAWYN941,1,2028,2229.0,Miami - 280 NW 28th,13F,,,,,,,,
MIAWYN941,2,2092,2229.0,Miami - 280 NW 28th,13G,,,,,,,,
MIAWYN941,3,2092,2289.0,Miami - 280 NW 28th,13G,,,,,,,,
MIAWYN942,0,2092,2289.0,Miami - 280 NW 28th,13G,,,,,,,,
MIAWYN942,1,2092,2229.0,Miami - 280 NW 28th,13G,,,,,,,,
MIAWYN942,2,2170,2229.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN942,3,2170,2289.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN943,0,2170,2289.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN943,1,2170,2229.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN943,2,2249,2229.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN943,3,2249,2290.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN944,0,2370,2440.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN944,1,2370,2325.0,Miami - 280 NW 28th,1,,,,,,,,
MIAWYN944,2,2388,2325.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN944,3,2388,2275.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN944,4,2533,2275.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN944,5,2533,2440.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN945,0,2388,2275.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN945,1,2533,2275.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN945,2,2533,2169.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN945,3,2389,2169.0,Miami - 280 NW 28th,3,,,,,,,,
MIAWYN946,0,2279,2132.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN946,1,2378,2132.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN946,2,2378,2059.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN946,3,2296,2059.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN946,4,2296,2076.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN946,5,2278,2076.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN947,0,2249,2229.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN947,1,2170,2229.0,Miami - 280 NW 28th,5,,,,,,,,
MIAWYN947,2,2170,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN947,3,2248,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN948,0,2170,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN948,1,2170,2229.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN948,2,2092,2229.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN948,3,2092,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN949,0,2092,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN949,1,2092,2229.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN949,2,2028,2229.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN949,3,2028,2169.0,Miami - 280 NW 28th,9,,,,,,,,
MIAWYN950,0,2435,2113.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN950,1,2534,2113.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN950,2,2534,2031.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN950,3,2435,2031.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN951,0,2435,2031.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN951,1,2534,2031.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN951,2,2534,1912.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN951,3,2436,1912.0,Miami - 280 NW 28th,10,,,,,,,,
MIAWYN952,0,2296,2059.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN952,1,2378,2059.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN952,2,2378,2049.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN952,3,2397,2049.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN952,4,2397,2003.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN952,5,2296,2002.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN953,0,2296,2002.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN953,1,2397,2003.0,Miami - 280 NW 28th,14,,,,,,,,
MIAWYN953,2,2397,1949.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN953,3,2295,1949.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN954,0,2195,1911.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN954,1,2281,1911.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN954,2,2281,1816.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN954,3,2196,1816.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN955,0,2281,1911.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN955,1,2281,1816.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN955,2,2353,1816.0,Miami - 280 NW 28th,15,,,,,,,,
MIAWYN955,3,2353,1913.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN956,0,2281,1816.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN956,1,2353,1816.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN956,2,2353,1727.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN956,3,2282,1726.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN957,0,2208,1690.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN957,1,2370,1690.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN957,2,2370,1584.0,Miami - 280 NW 28th,16,,,,,,,,
MIAWYN957,3,2207,1584.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN958,0,2208,1690.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN958,1,2207,1584.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN958,2,2057,1583.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN958,3,2056,1689.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN9-A,0,2534,1912.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN9-A,1,2534,1584.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN9-A,2,2370,1584.0,Miami - 280 NW 28th,17,,,,,,,,
MIAWYN9-A,3,2370,1690.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN9-A,4,2389,1690.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN9-A,5,2389,1912.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1001,0,1553,243.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1001,1,1707,243.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1001,2,1707,86.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1001,3,1553,86.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1002,0,1553,243.0,Miami - 280 NW 28th,18,,,,,,,,
MIAWYN1002,1,1553,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1002,2,1441,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1002,3,1441,243.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1003,0,1441,243.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1003,1,1441,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1003,2,1218,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1003,3,1218,242.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1004,0,1218,242.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1004,1,1218,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1004,2,994,86.0,Miami - 280 NW 28th,19,,,,,,,,
MIAWYN1004,3,994,242.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,0,994,242.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,1,994,86.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,2,768,86.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,3,768,255.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,4,924,256.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1005,5,923,241.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1006,0,924,256.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1006,1,768,255.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1006,2,768,423.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1006,3,923,423.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1007,0,1098,292.0,Miami - 280 NW 28th,20,,,,,,,,
MIAWYN1007,1,1213,294.0,Miami - 280 NW 28th,901,,,,,,,,
MIAWYN1007,2,1214,420.0,Miami - 280 NW 28th,901,,,,,,,,
MIAWYN1007,3,1097,420.0,Miami - 280 NW 28th,901,,,,,,,,
MIAWYN1008,0,1214,420.0,Miami - 280 NW 28th,901,,,,,,,,
MIAWYN1008,1,1213,294.0,Miami - 280 NW 28th,902,,,,,,,,
MIAWYN1008,2,1337,294.0,Miami - 280 NW 28th,902,,,,,,,,
MIAWYN1008,3,1337,420.0,Miami - 280 NW 28th,902,,,,,,,,
MIAWYN1009,0,1387,293.0,Miami - 280 NW 28th,902,,,,,,,,
MIAWYN1009,1,1482,293.0,Miami - 280 NW 28th,903,,,,,,,,
MIAWYN1009,2,1481,400.0,Miami - 280 NW 28th,903,,,,,,,,
MIAWYN1009,3,1386,400.0,Miami - 280 NW 28th,903,,,,,,,,
MIAWYN1010,0,1482,293.0,Miami - 280 NW 28th,903,,,,,,,,
MIAWYN1010,1,1482,491.0,Miami - 280 NW 28th,904,,,,,,,,
MIAWYN1010,2,1603,491.0,Miami - 280 NW 28th,904,,,,,,,,
MIAWYN1010,3,1603,292.0,Miami - 280 NW 28th,904,,,,,,,,
MIAWYN1011,0,1386,400.0,Miami - 280 NW 28th,904,,,,,,,,
