Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MIABIS001,0,2389,2016.0,Miami Esplanade at Aventura,1,,,,,,,,
MIABIS001,1,2524,2014.0,Miami Esplanade at Aventura,1,,,,,,,,
MIABIS001,2,2522,1818.0,Miami Esplanade at Aventura,1,,,,,,,,
MIABIS001,3,2393,1816.0,Miami Esplanade at Aventura,1,,,,,,,,
MIABIS002,0,2524,2014.0,Miami Esplanade at Aventura,2,,,,,,,,
MIABIS002,1,2741,2013.0,Miami Esplanade at Aventura,2,,,,,,,,
MIABIS002,2,2743,1816.0,Miami Esplanade at Aventura,2,,,,,,,,
MIABIS002,3,2522,1818.0,Miami Esplanade at Aventura,2,,,,,,,,
MIABIS003,0,2741,2013.0,Miami Esplanade at Aventura,3,,,,,,,,
MIABIS003,1,2954,2014.0,Miami Esplanade at Aventura,3,,,,,,,,
MIABIS003,2,2956,1816.0,Miami Esplanade at Aventura,3,,,,,,,,
MIABIS003,3,2743,1816.0,Miami Esplanade at Aventura,3,,,,,,,,
MIABIS004,0,2954,2014.0,Miami Esplanade at Aventura,4,,,,,,,,
MIABIS004,1,3163,2013.0,Miami Esplanade at Aventura,4,,,,,,,,
MIABIS004,2,3165,1819.0,Miami Esplanade at Aventura,4,,,,,,,,
MIABIS004,3,2956,1816.0,Miami Esplanade at Aventura,4,,,,,,,,
MIABIS005,0,2516,1762.0,Miami Esplanade at Aventura,5,,,,,,,,
MIABIS005,1,2674,1763.0,Miami Esplanade at Aventura,5,,,,,,,,
MIABIS005,2,2675,1632.0,Miami Esplanade at Aventura,5,,,,,,,,
MIABIS005,3,2517,1629.0,Miami Esplanade at Aventura,5,,,,,,,,
MIABIS006,0,2674,1763.0,Miami Esplanade at Aventura,6,,,,,,,,
MIABIS006,1,2780,1763.0,Miami Esplanade at Aventura,6,,,,,,,,
MIABIS006,2,2783,1634.0,Miami Esplanade at Aventura,6,,,,,,,,
MIABIS006,3,2675,1632.0,Miami Esplanade at Aventura,6,,,,,,,,
MIABIS007,0,2783,1634.0,Miami Esplanade at Aventura,7,,,,,,,,
MIABIS007,1,2888,1633.0,Miami Esplanade at Aventura,7,,,,,,,,
MIABIS007,2,2889,1763.0,Miami Esplanade at Aventura,7,,,,,,,,
MIABIS007,3,2780,1763.0,Miami Esplanade at Aventura,7,,,,,,,,
MIABIS008,0,2889,1763.0,Miami Esplanade at Aventura,8,,,,,,,,
MIABIS008,1,2982,1762.0,Miami Esplanade at Aventura,8,,,,,,,,
MIABIS008,2,2981,1677.0,Miami Esplanade at Aventura,8,,,,,,,,
MIABIS008,3,2887,1676.0,Miami Esplanade at Aventura,8,,,,,,,,
MIABIS009,0,2887,1676.0,Miami Esplanade at Aventura,9,,,,,,,,
MIABIS009,1,2981,1677.0,Miami Esplanade at Aventura,9,,,,,,,,
MIABIS009,2,2982,1587.0,Miami Esplanade at Aventura,9,,,,,,,,
MIABIS009,3,2889,1585.0,Miami Esplanade at Aventura,9,,,,,,,,
MIABIS010,0,2889,1585.0,Miami Esplanade at Aventura,10,,,,,,,,
MIABIS010,1,2982,1587.0,Miami Esplanade at Aventura,10,,,,,,,,
MIABIS010,2,2982,1500.0,Miami Esplanade at Aventura,10,,,,,,,,
MIABIS010,3,2891,1502.0,Miami Esplanade at Aventura,10,,,,,,,,
MIABIS011,0,2783,1634.0,Miami Esplanade at Aventura,11,,,,,,,,
MIABIS011,1,2888,1633.0,Miami Esplanade at Aventura,11,,,,,,,,
MIABIS011,2,2889,1518.0,Miami Esplanade at Aventura,11,,,,,,,,
MIABIS011,3,2780,1519.0,Miami Esplanade at Aventura,11,,,,,,,,
MIABIS012,0,2783,1634.0,Miami Esplanade at Aventura,12,,,,,,,,
MIABIS012,1,2675,1632.0,Miami Esplanade at Aventura,12,,,,,,,,
MIABIS012,2,2674,1518.0,Miami Esplanade at Aventura,12,,,,,,,,
MIABIS012,3,2780,1518.0,Miami Esplanade at Aventura,12,,,,,,,,
MIABIS013,0,3036,1815.0,Miami Esplanade at Aventura,13,,,,,,,,
MIABIS013,1,3165,1819.0,Miami Esplanade at Aventura,13,,,,,,,,
MIABIS013,2,3165,1635.0,Miami Esplanade at Aventura,13,,,,,,,,
MIABIS013,3,3035,1636.0,Miami Esplanade at Aventura,13,,,,,,,,
MIABIS014,0,3035,1636.0,Miami Esplanade at Aventura,14,,,,,,,,
MIABIS014,1,3165,1635.0,Miami Esplanade at Aventura,14,,,,,,,,
MIABIS014,2,3166,1455.0,Miami Esplanade at Aventura,14,,,,,,,,
MIABIS014,3,3035,1455.0,Miami Esplanade at Aventura,14,,,,,,,,
MIABIS015,0,3035,1455.0,Miami Esplanade at Aventura,15,,,,,,,,
MIABIS015,1,3166,1455.0,Miami Esplanade at Aventura,15,,,,,,,,
MIABIS015,2,3163,1251.0,Miami Esplanade at Aventura,15,,,,,,,,
MIABIS015,3,3036,1255.0,Miami Esplanade at Aventura,15,,,,,,,,
MIABIS016,0,3036,1255.0,Miami Esplanade at Aventura,16,,,,,,,,
MIABIS016,1,3163,1251.0,Miami Esplanade at Aventura,16,,,,,,,,
MIABIS016,2,3164,1053.0,Miami Esplanade at Aventura,16,,,,,,,,
MIABIS016,3,3035,1053.0,Miami Esplanade at Aventura,16,,,,,,,,
MIABIS017,0,3035,1053.0,Miami Esplanade at Aventura,17,,,,,,,,
MIABIS017,1,3164,1053.0,Miami Esplanade at Aventura,17,,,,,,,,
MIABIS017,2,3163,881.0,Miami Esplanade at Aventura,17,,,,,,,,
MIABIS017,3,3036,881.0,Miami Esplanade at Aventura,17,,,,,,,,
MIABIS018,0,3036,881.0,Miami Esplanade at Aventura,18,,,,,,,,
MIABIS018,1,3163,881.0,Miami Esplanade at Aventura,18,,,,,,,,
MIABIS018,2,3166,694.0,Miami Esplanade at Aventura,18,,,,,,,,
MIABIS018,3,3037,695.0,Miami Esplanade at Aventura,18,,,,,,,,
MIABIS019,0,3166,694.0,Miami Esplanade at Aventura,19,,,,,,,,
MIABIS019,1,3166,510.0,Miami Esplanade at Aventura,19,,,,,,,,
MIABIS019,2,2894,513.0,Miami Esplanade at Aventura,19,,,,,,,,
MIABIS019,3,2890,695.0,Miami Esplanade at Aventura,19,,,,,,,,
MIABIS020,0,2684,697.0,Miami Esplanade at Aventura,20,,,,,,,,
MIABIS020,1,2890,695.0,Miami Esplanade at Aventura,20,,,,,,,,
MIABIS020,2,2894,513.0,Miami Esplanade at Aventura,20,,,,,,,,
MIABIS020,3,2684,512.0,Miami Esplanade at Aventura,20,,,,,,,,
MIABIS021,0,2496,695.0,Miami Esplanade at Aventura,21,,,,,,,,
MIABIS021,1,2684,697.0,Miami Esplanade at Aventura,21,,,,,,,,
MIABIS021,2,2684,512.0,Miami Esplanade at Aventura,21,,,,,,,,
MIABIS021,3,2498,513.0,Miami Esplanade at Aventura,21,,,,,,,,
MIABIS022,0,2496,695.0,Miami Esplanade at Aventura,22,,,,,,,,
MIABIS022,1,2320,695.0,Miami Esplanade at Aventura,22,,,,,,,,
MIABIS022,2,2319,517.0,Miami Esplanade at Aventura,22,,,,,,,,
MIABIS022,3,2498,517.0,Miami Esplanade at Aventura,22,,,,,,,,
MIABIS023,0,2319,517.0,Miami Esplanade at Aventura,23,,,,,,,,
MIABIS023,1,2065,517.0,Miami Esplanade at Aventura,23,,,,,,,,
MIABIS023,2,2066,693.0,Miami Esplanade at Aventura,23,,,,,,,,
MIABIS023,3,2320,695.0,Miami Esplanade at Aventura,23,,,,,,,,
MIABIS024,0,1900,696.0,Miami Esplanade at Aventura,24,,,,,,,,
MIABIS024,1,2066,693.0,Miami Esplanade at Aventura,24,,,,,,,,
MIABIS024,2,2065,517.0,Miami Esplanade at Aventura,24,,,,,,,,
MIABIS024,3,1901,516.0,Miami Esplanade at Aventura,24,,,,,,,,
MIABIS025,0,1901,515.0,Miami Esplanade at Aventura,25,,,,,,,,
MIABIS025,1,1668,516.0,Miami Esplanade at Aventura,25,,,,,,,,
MIABIS025,2,1663,694.0,Miami Esplanade at Aventura,25,,,,,,,,
