Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHI24E001,0,1066,790.0,Millennium Park,1,,,,,,,,
CHI24E001,1,1066,689.0,Millennium Park,1,,,,,,,,
CHI24E001,2,1177,689.0,Millennium Park,1,,,,,,,,
CHI24E001,3,1178,788.0,Millennium Park,1,,,,,,,,
CHI24E002,0,1066,689.0,Millennium Park,2,,,,,,,,
CHI24E002,1,1065,748.0,Millennium Park,2,,,,,,,,
CHI24E002,2,1029,748.0,Millennium Park,2,,,,,,,,
CHI24E002,3,1030,811.0,Millennium Park,2,,,,,,,,
CHI24E002,4,938,810.0,Millennium Park,2,,,,,,,,
CHI24E002,5,940,690.0,Millennium Park,2,,,,,,,,
CHI24E003,0,1030,811.0,Millennium Park,3,,,,,,,,
CHI24E003,1,938,810.0,Millennium Park,3,,,,,,,,
CHI24E003,2,940,882.0,Millennium Park,3,,,,,,,,
CHI24E003,3,1029,882.0,Millennium Park,3,,,,,,,,
CHI24E004,0,940,882.0,Millennium Park,4,,,,,,,,
CHI24E004,1,938,810.0,Millennium Park,4,,,,,,,,
CHI24E004,2,825,811.0,Millennium Park,4,,,,,,,,
CHI24E004,3,825,882.0,Millennium Park,4,,,,,,,,
CHI24E005,0,825,811.0,Millennium Park,5,,,,,,,,
CHI24E005,1,938,810.0,Millennium Park,5,,,,,,,,
CHI24E005,2,940,750.0,Millennium Park,5,,,,,,,,
CHI24E005,3,823,750.0,Millennium Park,5,,,,,,,,
CHI24E006,0,823,750.0,Millennium Park,6,,,,,,,,
CHI24E006,1,940,750.0,Millennium Park,6,,,,,,,,
CHI24E006,2,940,690.0,Millennium Park,6,,,,,,,,
CHI24E006,3,824,690.0,Millennium Park,6,,,,,,,,
CHI24E007,0,690,754.0,Millennium Park,7,,,,,,,,
CHI24E007,1,781,755.0,Millennium Park,7,,,,,,,,
CHI24E007,2,781,569.0,Millennium Park,7,,,,,,,,
CHI24E007,3,692,569.0,Millennium Park,7,,,,,,,,
CHI24E008,0,824,690.0,Millennium Park,8,,,,,,,,
CHI24E008,1,958,690.0,Millennium Park,8,,,,,,,,
CHI24E008,2,957,632.0,Millennium Park,8,,,,,,,,
CHI24E008,3,824,632.0,Millennium Park,8,,,,,,,,
CHI24E009,0,824,632.0,Millennium Park,9,,,,,,,,
CHI24E009,1,957,632.0,Millennium Park,9,,,,,,,,
CHI24E009,2,958,510.0,Millennium Park,9,,,,,,,,
CHI24E009,3,930,509.0,Millennium Park,9,,,,,,,,
CHI24E009,4,930,497.0,Millennium Park,9,,,,,,,,
CHI24E009,5,824,497.0,Millennium Park,9,,,,,,,,
CHI24E010,0,824,497.0,Millennium Park,10,,,,,,,,
CHI24E010,1,930,497.0,Millennium Park,10,,,,,,,,
CHI24E010,2,930,432.0,Millennium Park,10,,,,,,,,
CHI24E010,3,824,432.0,Millennium Park,10,,,,,,,,
CHI24E011,0,866,230.0,Millennium Park,11,,,,,,,,
CHI24E011,1,867,125.0,Millennium Park,11,,,,,,,,
CHI24E011,2,777,124.0,Millennium Park,11,,,,,,,,
CHI24E011,3,777,230.0,Millennium Park,11,,,,,,,,
CHI24E012,0,700,269.0,Millennium Park,12,,,,,,,,
CHI24E012,1,782,269.0,Millennium Park,12,,,,,,,,
