Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MINLOP001,0,861,737.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP001,1,797,737.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP001,2,797,693.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP001,3,862,693.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP002,0,862,693.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP002,1,862,638.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP002,2,817,638.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP002,3,817,693.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP003,0,862,638.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP003,1,862,585.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP003,2,817,585.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP003,3,817,638.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP004,0,862,585.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP004,1,862,507.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP004,2,818,507.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP004,3,817,585.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP005,0,818,507.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP005,1,763,507.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP005,2,763,567.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP005,3,816,567.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP006,0,763,507.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP006,1,763,433.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP006,2,812,433.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP006,3,812,508.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP007,0,763,433.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP007,1,763,386.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP007,2,812,386.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP007,3,812,432.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,0,812,386.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,1,812,343.3333333,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,2,764,323.3333333,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,3,749,360.3333333,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,4,764,370.3333333,Minneapolis - 323 Washington,,,,,,,,,
MINLOP008,5,763,386.0,Minneapolis - 323 Washington,,,,,,,,,
MINLOP009,0,749,360.3333333,Minneapolis - 323 Washington,,,,,,,,,
MINLOP009,1,705,343.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP009,2,721,307.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP009,3,764,323.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP010,0,705,343.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP010,1,675,329.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP010,2,690,293.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP010,3,721,307.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP011,0,690,293.3333359,Minneapolis - 323 Washington,,,,,,,,,
MINLOP011,1,649,274.6666641,Minneapolis - 323 Washington,,,,,,,,,
MINLOP011,2,632,312.6666641,Minneapolis - 323 Washington,,,,,,,,,
MINLOP011,3,675,329.3333359,Minneapolis - 323 Washington,,,,,,,,,
