Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
MINDTN901,0,425,322.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,0,583.2783966,202.272728,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,1,645.3333435,202.272728,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,2,645.3333435,40.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,3,588.3333435,40.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,4,588.3333435,105.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN001,5,583.3333435,105.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN002,0,645.3333435,202.272728,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN002,1,705,202.272728,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN002,2,705,119.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN002,3,645,119.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN003,0,705,119.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN003,1,705,40.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN003,2,644,40.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN003,3,645,119.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN004,0,705,40.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN004,1,779,40.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN004,2,779,98.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN004,3,706,98.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN005,0,779,98.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN005,1,851.7999878,98.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN005,2,851.7999878,46.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN005,3,778.7999878,46.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN006,0,851.7999878,46.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN006,1,934.7999878,46.80000305,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN006,2,934.7999878,147.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN006,3,852.7999878,147.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN007,0,852.7999878,147.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN007,1,852.7999878,196.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN007,2,934.7999878,196.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN007,3,934.7999878,147.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN008,0,852.7999878,196.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN008,1,852.7999878,245.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN008,2,934.7999878,245.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN008,3,934.7999878,196.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN009,0,852.7999878,245.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN009,1,852.7999878,294.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN009,2,934.7999878,294.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN009,3,934.7999878,245.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN010,0,852.7999878,294.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN010,1,852.7999878,342.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN010,2,933.7999878,342.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN010,3,934.7999878,294.8000031,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN011,0,852.7999878,342.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN011,1,852.7999878,392.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN011,2,933.7999878,392.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN011,3,933.7999878,342.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN012,0,852.7999878,392.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN012,1,852.7999878,493.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN012,2,933.7999878,493.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN012,3,933.7999878,392.5999985,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN013,0,751,540.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN013,1,788,540.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN013,2,788,483.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN013,3,750,483.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN014,0,751,540.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN014,1,751,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN014,2,788,587.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN014,3,788,540.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN015,0,788,587.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN015,1,788,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN015,2,707,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN015,3,707,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN016,0,707,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN016,1,640.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN016,2,640.1999969,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN016,3,707,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN017,0,640.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN017,1,558.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN017,2,557.1999969,645.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN017,3,640.1999969,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN018,0,558.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN018,1,494.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN018,2,494.1999969,645.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN018,3,557.1999969,645.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN019,0,494.1999969,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN019,1,387.8000031,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN019,2,387.8000031,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN019,3,494.1999969,645.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN020,0,387.8000031,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN020,1,348.8000031,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN020,2,348.8000031,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN020,3,387.8000031,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN021,0,348.8000031,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN021,1,265,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN021,2,265,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN021,3,348.8000031,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN022,0,265,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN022,1,183,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN022,2,183,644.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN022,3,265,646.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN023,0,183,588.0,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN023,1,183,483.1999998,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN023,2,226,483.1999998,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN023,3,226,587.1999998,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN024,0,37.33333397,493.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN024,1,118.333334,493.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN024,2,118.333334,416.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN024,3,37.33333397,416.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN025,0,118.333334,416.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN025,1,118.333334,349.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN025,2,37.33333397,349.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN025,3,37.33333397,416.333333,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN026,0,118.333334,349.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN026,1,118.333334,293.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN026,2,37.33333397,293.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN026,3,37.33333397,349.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN027,0,118.333334,293.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN027,1,118.333334,244.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN027,2,37.33333397,244.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN027,3,37.33333397,293.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN028,0,118.333334,244.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN028,1,118.333334,187.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN028,2,37.33333397,187.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN028,3,37.33333397,244.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN029,0,118.333334,187.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN029,1,118.333334,46.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN029,2,37.33333397,46.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN029,3,37.33333397,187.6666718,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN030,0,118.333334,46.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN030,1,183,46.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN030,2,183,98.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN030,3,118,98.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN031,0,183,98.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN031,1,183,40.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN031,2,241,40.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN031,3,241,99.33332825,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN032,0,146,203.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN032,1,198,203.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN032,2,198,125.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN032,3,146,125.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN033,0,145,287.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN033,1,201,287.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN033,2,201,229.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN033,3,145,229.3333282,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN034,0,230,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN034,1,284,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN034,2,284,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN034,3,230,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN035,0,230,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN035,1,176,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN035,2,176,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN035,3,230,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN036,0,176,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN036,1,145,376.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN036,2,145,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN036,3,176,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN037,0,145,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN037,1,145,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN037,2,176,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN037,3,176,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN038,0,176,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN038,1,230,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN038,2,230,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN038,3,176,415.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN039,0,230,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN039,1,284,456.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN039,2,284,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN039,3,230,416.6666641,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN040,0,253,560.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN040,1,297,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN040,2,297,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN040,3,252,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN041,0,297,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN041,1,392,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN041,2,392,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN041,3,297,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN042,0,392,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN042,1,434,482.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN042,2,434,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN042,3,392,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN043,0,434,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN043,1,434,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN043,2,392,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN043,3,392,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN044,0,567.3333435,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN044,1,609.3333435,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN044,2,608.3333435,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN044,3,567.3333435,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN045,0,567.3333435,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN045,1,567.3333435,483.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN045,2,608.3333435,483.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN045,3,608.3333435,522.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN046,0,609.3333435,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN046,1,678.3333435,561.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN046,2,678.3333435,483.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
MINDTN046,3,608.3333435,483.3333359,Minneapolis - 60 S. 6th,,,,,,,,,
