Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
NYC135W901,0,2232,721.0,NYC 135 W 50th,,,,,,,,,
NYC135W001,0,2523,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W001,1,2604,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W001,2,2603,835.0,NYC 135 W 50th,,,,,,,,,
NYC135W001,3,2524,836.0,NYC 135 W 50th,,,,,,,,,
NYC135W002,0,2604,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W002,1,2691,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W002,2,2691,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W002,3,2604,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W003,0,2691,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W003,1,2783,1013.0,NYC 135 W 50th,,,,,,,,,
NYC135W003,2,2783,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W003,3,2691,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W004,0,2783,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W004,1,2783,836.0,NYC 135 W 50th,,,,,,,,,
NYC135W004,2,2603,835.0,NYC 135 W 50th,,,,,,,,,
NYC135W004,3,2604,925.0,NYC 135 W 50th,,,,,,,,,
NYC135W005,0,2783,836.0,NYC 135 W 50th,,,,,,,,,
NYC135W005,1,2783,725.0,NYC 135 W 50th,,,,,,,,,
NYC135W005,2,2528,725.0,NYC 135 W 50th,,,,,,,,,
NYC135W005,3,2528,835.0,NYC 135 W 50th,,,,,,,,,
NYC135W006,0,2847,824.5,NYC 135 W 50th,,,,,,,,,
NYC135W006,1,2847,708.5,NYC 135 W 50th,,,,,,,,,
NYC135W006,2,2939,708.5,NYC 135 W 50th,,,,,,,,,
NYC135W006,3,2939,823.5,NYC 135 W 50th,,,,,,,,,
NYC135W007,0,2783,725.0,NYC 135 W 50th,,,,,,,,,
NYC135W007,1,2783,615.5,NYC 135 W 50th,,,,,,,,,
NYC135W007,2,2649,615.5,NYC 135 W 50th,,,,,,,,,
NYC135W007,3,2649,725.5,NYC 135 W 50th,,,,,,,,,
NYC135W008,0,2649,615.5,NYC 135 W 50th,,,,,,,,,
NYC135W008,1,2527.5,616.5,NYC 135 W 50th,,,,,,,,,
NYC135W008,2,2528,725.0,NYC 135 W 50th,,,,,,,,,
NYC135W008,3,2649,725.5,NYC 135 W 50th,,,,,,,,,
NYC135W009,0,2389,381.0,NYC 135 W 50th,,,,,,,,,
NYC135W009,1,2389,560.5,NYC 135 W 50th,,,,,,,,,
NYC135W009,2,2545.5,560.5,NYC 135 W 50th,,,,,,,,,
